date,open,high,low,close,volume,adj_close,fetched_at
2024-02-11,10.0,10.0,9.0,9.0,1327,9.0,2026-09-03T19:36:54.448169+00:00
2024-02-12,8.82,8.82,8.1,8.2,19173,8.2,2026-09-03T19:36:54.448169+00:00
2024-02-13,8.04,8.27,7.83,8.15,12510,8.15,2026-09-03T19:36:54.448169+00:00
2024-02-14,8.15,8.15,7.84,7.9,14350,7.9,2026-09-03T19:36:54.448169+00:00
2024-02-15,7.75,7.86,7.55,7.65,7950,7.65,2026-09-03T19:36:54.448169+00:00
2024-02-18,7.51,8.0,7.51,7.65,6680,7.65,2026-09-03T19:36:54.448169+00:00
2024-02-20,7.5,7.95,7.5,7.76,4400,7.76,2026-09-03T19:36:54.448169+00:00
2024-02-21,7.76,8.06,7.75,7.75,3430,7.75,2026-09-03T19:36:54.448169+00:00
2024-02-22,7.6,8.16,7.45,7.56,3650,7.56,2026-09-03T19:36:54.448169+00:00
2024-02-25,7.43,7.85,7.43,7.61,4720,7.61,2026-09-03T19:36:54.448169+00:00
2024-02-26,7.76,7.76,7.61,7.61,3000,7.61,2026-09-03T19:36:54.448169+00:00
2024-02-27,7.46,7.8,7.46,7.62,8375,7.62,2026-09-03T19:36:54.448169+00:00
2024-02-28,7.47,8.19,7.47,8.19,2920,8.19,2026-09-03T19:36:54.448169+00:00
2024-02-29,8.03,8.03,7.57,7.57,1140,7.57,2026-09-03T19:36:54.448169+00:00
2024-03-03,7.57,8.22,7.46,8.21,4625,8.21,2026-09-03T19:36:54.448169+00:00
2024-03-05,8.05,8.63,7.81,8.44,5125,8.44,2026-09-03T19:36:54.448169+00:00
2024-03-06,8.4,8.87,8.4,8.7,1725,8.7,2026-09-03T19:36:54.448169+00:00
2024-03-07,8.53,8.87,7.82,8.16,19073,8.16,2026-09-03T19:36:54.448169+00:00
2024-03-10,8.0,8.0,7.71,7.76,2300,7.76,2026-09-03T19:36:54.448169+00:00
2024-03-12,7.75,8.31,7.75,8.31,5750,8.31,2026-09-03T19:36:54.448169+00:00
2024-03-13,8.15,8.45,8.15,8.3,2200,8.3,2026-09-03T19:36:54.448169+00:00
2024-03-14,8.14,8.2,8.1,8.2,3100,8.2,2026-09-03T19:36:54.448169+00:00
2024-03-17,8.04,8.1,7.89,7.92,13273,7.92,2026-09-03T19:36:54.448169+00:00
2024-03-18,7.77,7.95,7.48,7.76,13120,7.76,2026-09-03T19:36:54.448169+00:00
2024-03-19,7.76,7.84,7.63,7.75,5600,7.75,2026-09-03T19:36:54.448169+00:00
2024-03-20,7.75,8.3,7.75,8.27,4020,8.27,2026-09-03T19:36:54.448169+00:00
2024-03-21,8.3,8.75,8.11,8.38,4100,8.38,2026-09-03T19:36:54.448169+00:00
2024-03-25,8.22,8.22,7.84,8.06,5530,8.06,2026-09-03T19:36:54.448169+00:00
2024-03-26,8.0,8.12,7.85,8.12,2450,8.12,2026-09-03T19:36:54.448169+00:00
2024-03-27,8.2,8.58,8.08,8.08,6310,8.08,2026-09-03T19:36:54.448169+00:00
2024-03-28,7.92,8.16,7.92,8.16,4200,8.16,2026-09-03T19:36:54.448169+00:00
2024-03-31,8.0,8.14,7.84,8.14,5810,8.14,2026-09-03T19:36:54.448169+00:00
2024-04-01,7.98,8.0,7.85,7.85,3625,7.85,2026-09-03T19:36:54.448169+00:00
2024-04-02,7.8,7.94,7.79,7.94,5650,7.94,2026-09-03T19:36:54.448169+00:00
2024-04-03,7.8,7.95,7.69,7.8,12575,7.8,2026-09-03T19:36:54.448169+00:00
2024-04-04,7.65,7.71,7.65,7.71,500,7.71,2026-09-03T19:36:54.448169+00:00
2024-04-07,7.66,7.95,7.66,7.8,4500,7.8,2026-09-03T19:36:54.448169+00:00
2024-04-09,7.8,8.0,7.8,7.96,4660,7.96,2026-09-03T19:36:54.448169+00:00
2024-04-10,7.81,7.96,7.67,7.81,2925,7.81,2026-09-03T19:36:54.448169+00:00
2024-04-14,7.66,7.85,7.66,7.8,1500,7.8,2026-09-03T19:36:54.448169+00:00
2024-04-15,7.7,7.75,7.61,7.7,1900,7.7,2026-09-03T19:36:54.448169+00:00
2024-04-16,7.7,7.7,7.7,7.7,800,7.7,2026-09-03T19:36:54.448169+00:00
2024-04-18,7.7,8.25,7.65,8.14,5670,8.14,2026-09-03T19:36:54.448169+00:00
2024-04-21,8.3,8.3,8.14,8.14,5225,8.14,2026-09-03T19:36:54.448169+00:00
2024-04-22,8.3,8.46,8.24,8.39,950,8.39,2026-09-03T19:36:54.448169+00:00
2024-04-24,8.39,8.5,8.24,8.24,1225,8.24,2026-09-03T19:36:54.448169+00:00
2024-04-25,8.4,8.4,8.3,8.39,325,8.39,2026-09-03T19:36:54.448169+00:00
2024-04-28,8.55,8.55,7.87,8.04,1950,8.04,2026-09-03T19:36:54.448169+00:00
2024-04-29,7.88,8.33,7.32,8.25,4615,8.25,2026-09-03T19:36:54.448169+00:00
2024-04-30,8.09,8.4,8.09,8.24,1675,8.24,2026-09-03T19:36:54.448169+00:00
2024-05-02,8.08,8.08,7.94,8.05,2525,8.05,2026-09-03T19:36:54.448169+00:00
2024-05-05,8.21,8.53,8.0,8.0,3225,8.0,2026-09-03T19:36:54.448169+00:00
2024-05-06,7.92,7.92,7.5,7.57,7100,7.57,2026-09-03T19:36:54.448169+00:00
2024-05-07,7.56,8.09,7.56,8.09,2995,8.09,2026-09-03T19:36:54.448169+00:00
2024-05-08,8.25,8.25,7.93,7.93,2125,7.93,2026-09-03T19:36:54.448169+00:00
2024-05-09,7.78,7.9,7.71,7.76,6020,7.76,2026-09-03T19:36:54.448169+00:00
2024-05-12,7.85,8.06,7.71,8.0,5775,8.0,2026-09-03T19:36:54.448169+00:00
2024-05-13,8.16,8.46,7.79,7.79,1625,7.79,2026-09-03T19:36:54.448169+00:00
2024-05-14,7.64,7.91,7.64,7.65,4125,7.65,2026-09-03T19:36:54.448169+00:00
2024-05-15,7.55,7.78,7.55,7.7,2825,7.7,2026-09-03T19:36:54.448169+00:00
2024-05-16,7.56,8.38,7.56,8.22,3400,8.22,2026-09-03T19:36:54.448169+00:00
2024-05-19,8.06,8.21,7.75,7.8,8835,7.8,2026-09-03T19:36:54.448169+00:00
2024-05-20,7.66,8.26,7.66,8.26,4225,8.26,2026-09-03T19:36:54.448169+00:00
2024-05-21,8.42,8.58,7.86,8.01,4325,8.01,2026-09-03T19:36:54.448169+00:00
2024-05-22,8.01,8.46,8.0,8.3,2325,8.3,2026-09-03T19:36:54.448169+00:00
2024-05-26,8.4,8.45,7.98,8.15,2000,8.15,2026-09-03T19:36:54.448169+00:00
2024-05-27,7.99,8.16,7.86,8.16,4950,8.16,2026-09-03T19:36:54.448169+00:00
2024-05-29,8.16,8.29,8.16,8.29,18640,8.29,2026-09-03T19:36:54.448169+00:00
2024-05-30,8.13,8.13,7.97,7.97,500,7.97,2026-09-03T19:36:54.448169+00:00
2024-06-02,7.82,7.92,7.69,7.8,2275,7.8,2026-09-03T19:36:54.448169+00:00
2024-06-03,7.8,8.0,7.8,7.9,2500,7.9,2026-09-03T19:36:54.448169+00:00
2024-06-04,7.93,8.0,7.92,7.99,1450,7.99,2026-09-03T19:36:54.448169+00:00
2024-06-05,8.14,8.14,7.86,7.92,2300,7.92,2026-09-03T19:36:54.448169+00:00
2024-06-06,7.77,7.93,7.77,7.93,1875,7.93,2026-09-03T19:36:54.448169+00:00
2024-06-09,7.92,8.0,7.92,8.0,2600,8.0,2026-09-03T19:36:54.448169+00:00
2024-06-10,7.99,8.1,7.98,7.98,9500,7.98,2026-09-03T19:36:54.448169+00:00
2024-06-11,8.0,8.25,8.0,8.25,3700,8.25,2026-09-03T19:36:54.448169+00:00
2024-06-12,8.09,8.4,7.96,8.4,2200,8.4,2026-09-03T19:36:54.448169+00:00
2024-06-13,8.24,8.24,8.08,8.09,2100,8.09,2026-09-03T19:36:54.448169+00:00
2024-06-16,8.09,8.09,7.95,7.96,500,7.96,2026-09-03T19:36:54.448169+00:00
2024-06-18,7.96,7.98,7.83,7.83,3000,7.83,2026-09-03T19:36:54.448169+00:00
2024-06-19,7.7,8.26,7.66,8.26,12640,8.26,2026-09-03T19:36:54.448169+00:00
2024-06-20,8.42,8.42,7.94,8.26,5777,8.26,2026-09-03T19:36:54.448169+00:00
2024-06-23,8.26,8.26,8.0,8.0,4200,8.0,2026-09-03T19:36:54.448169+00:00
2024-06-24,8.01,8.41,8.01,8.27,5440,8.27,2026-09-03T19:36:54.448169+00:00
2024-06-25,8.27,8.68,8.27,8.35,10280,8.35,2026-09-03T19:36:54.448169+00:00
2024-06-26,8.35,8.66,8.35,8.66,2800,8.66,2026-09-03T19:36:54.448169+00:00
2024-06-27,8.49,8.9,8.49,8.9,12035,8.9,2026-09-03T19:36:54.448169+00:00
2024-06-30,8.75,8.82,8.75,8.82,5600,8.82,2026-09-03T19:36:54.448169+00:00
2024-07-01,8.65,8.68,8.51,8.59,26243,8.59,2026-09-03T19:36:54.448169+00:00
2024-07-02,8.59,8.59,8.43,8.48,2100,8.48,2026-09-03T19:36:54.448169+00:00
2024-07-03,8.35,8.57,8.35,8.47,4310,8.47,2026-09-03T19:36:54.448169+00:00
2024-07-04,8.47,8.57,8.4,8.4,1800,8.4,2026-09-03T19:36:54.448169+00:00
2024-07-07,8.24,8.28,8.12,8.12,2000,8.12,2026-09-03T19:36:54.448169+00:00
2024-07-08,8.12,8.28,8.12,8.12,1100,8.12,2026-09-03T19:36:54.448169+00:00
2024-07-09,7.96,8.16,7.96,8.08,18790,8.08,2026-09-03T19:36:54.448169+00:00
2024-07-10,8.0,8.3,8.0,8.09,7980,8.09,2026-09-03T19:36:54.448169+00:00
2024-07-11,8.01,8.17,8.01,8.05,1500,8.05,2026-09-03T19:36:54.448169+00:00
2024-07-14,7.92,8.36,7.92,8.36,4150,8.36,2026-09-03T19:36:54.448169+00:00
2024-07-15,8.3,8.4,8.2,8.2,7325,8.2,2026-09-03T19:36:54.448169+00:00
2024-07-16,8.06,8.36,8.06,8.36,3975,8.36,2026-09-03T19:36:54.448169+00:00
2024-07-17,8.2,8.56,8.11,8.56,2900,8.56,2026-09-03T19:36:54.448169+00:00
2024-07-18,8.5,8.67,8.5,8.6,5140,8.6,2026-09-03T19:36:54.448169+00:00
2024-07-21,8.43,8.61,8.27,8.5,10960,8.5,2026-09-03T19:36:54.448169+00:00
2024-07-22,8.33,8.49,8.2,8.49,185170,8.49,2026-09-03T19:36:54.448169+00:00
2024-07-23,8.56,8.79,8.56,8.78,106500,8.78,2026-09-03T19:36:54.448169+00:00
2024-07-24,8.75,8.78,8.58,8.65,71730,8.65,2026-09-03T19:36:54.448169+00:00
2024-07-25,8.49,8.99,8.49,8.82,10663,8.82,2026-09-03T19:36:54.448169+00:00
2024-07-28,8.65,9.0,8.48,8.92,104870,8.92,2026-09-03T19:36:54.448169+00:00
2024-07-29,8.76,9.09,8.76,9.0,5150,9.0,2026-09-03T19:36:54.448169+00:00
2024-07-30,8.82,8.9,8.65,8.86,18900,8.86,2026-09-03T19:36:54.448169+00:00
2024-07-31,8.86,9.18,8.86,8.96,47350,8.96,2026-09-03T19:36:54.448169+00:00
2024-08-01,8.97,9.14,8.97,9.0,113060,9.0,2026-09-03T19:36:54.448169+00:00
2024-08-05,8.9,9.18,8.9,8.9,6050,8.9,2026-09-03T19:36:54.448169+00:00
2024-08-06,8.75,9.07,8.73,8.74,4490,8.74,2026-09-03T19:36:54.448169+00:00
2024-08-07,8.74,8.74,8.45,8.71,5450,8.71,2026-09-03T19:36:54.448169+00:00
2024-08-08,8.55,9.02,8.55,8.84,51500,8.84,2026-09-03T19:36:54.448169+00:00
2024-08-11,8.84,8.9,8.68,8.9,51325,8.9,2026-09-03T19:36:54.448169+00:00
2024-08-12,8.75,9.07,8.75,8.86,19220,8.86,2026-09-03T19:36:54.448169+00:00
2024-08-13,8.75,9.44,8.75,9.1,57630,9.1,2026-09-03T19:36:54.448169+00:00
2024-08-14,8.92,9.0,8.92,8.97,12576,8.97,2026-09-03T19:36:54.448169+00:00
2024-08-15,8.8,9.27,8.8,8.95,4900,8.95,2026-09-03T19:36:54.448169+00:00
2024-08-18,8.78,9.15,8.78,8.96,25638,8.96,2026-09-03T19:36:54.448169+00:00
2024-08-21,8.96,9.0,8.96,9.0,5800,9.0,2026-09-03T19:36:54.448169+00:00
2024-08-22,9.1,9.11,8.82,8.91,12900,8.91,2026-09-03T19:36:54.448169+00:00
2024-08-25,8.84,8.84,8.67,8.82,2700,8.82,2026-09-03T19:36:54.448169+00:00
2024-08-27,8.82,8.99,8.5,8.55,6885,8.55,2026-09-03T19:36:54.448169+00:00
2024-08-28,8.5,8.87,8.5,8.87,2600,8.87,2026-09-03T19:36:54.448169+00:00
2024-08-29,8.75,9.0,8.75,8.83,8750,8.83,2026-09-03T19:36:54.448169+00:00
2024-09-01,8.75,9.0,8.75,8.9,43100,8.9,2026-09-03T19:36:54.448169+00:00
2024-09-02,8.75,8.92,8.75,8.92,4610,8.92,2026-09-03T19:36:54.448169+00:00
2024-09-03,8.82,9.18,8.82,9.04,59422,9.04,2026-09-03T19:36:54.448169+00:00
2024-09-04,9.0,9.0,8.86,8.86,17300,8.86,2026-09-03T19:36:54.448169+00:00
2024-09-05,8.77,9.03,8.7,9.0,9650,9.0,2026-09-03T19:36:54.448169+00:00
2024-09-08,8.85,9.2,8.72,8.8,192610,8.8,2026-09-03T19:36:54.448169+00:00
2024-09-09,8.66,8.8,8.66,8.8,2375,8.8,2026-09-03T19:36:54.448169+00:00
2024-09-10,8.7,8.85,8.7,8.71,1600,8.71,2026-09-03T19:36:54.448169+00:00
2024-09-11,8.54,8.88,8.54,8.81,9700,8.81,2026-09-03T19:36:54.448169+00:00
