date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,209.0,219.0,219.0,219.0,20,219.0,2026-09-03T19:33:33.489246+00:00
2012-09-11,219.0,229.0,229.0,229.0,20,229.0,2026-09-03T19:33:33.489246+00:00
2012-09-12,229.0,240.0,240.0,240.0,20,240.0,2026-09-03T19:33:33.489246+00:00
2012-09-13,240.0,252.0,252.0,252.0,20,252.0,2026-09-03T19:33:33.489246+00:00
2012-09-16,252.0,264.0,264.0,264.0,20,264.0,2026-09-03T19:33:33.489246+00:00
2012-09-17,264.0,282.0,277.0,282.0,184,282.0,2026-09-03T19:33:33.489246+00:00
2012-09-18,282.0,286.0,286.0,286.0,20,286.0,2026-09-03T19:33:33.489246+00:00
2012-09-19,286.0,300.0,294.0,294.0,3717,294.0,2026-09-03T19:33:33.489246+00:00
2012-09-20,294.0,323.0,308.0,323.0,56,323.0,2026-09-03T19:33:33.489246+00:00
2012-09-23,323.0,345.0,339.0,339.0,282,339.0,2026-09-03T19:33:33.489246+00:00
2012-09-24,339.0,334.0,321.0,321.0,135,321.0,2026-09-03T19:33:33.489246+00:00
2012-11-25,321.0,320.0,315.0,315.0,273,315.0,2026-09-03T19:33:33.489246+00:00
2012-12-03,315.0,311.0,290.0,290.0,127,290.0,2026-09-03T19:33:33.489246+00:00
2012-12-05,290.0,299.0,295.0,299.0,478,299.0,2026-09-03T19:33:33.489246+00:00
2012-12-11,299.0,295.0,294.0,294.0,512,294.0,2026-09-03T19:33:33.489246+00:00
2012-12-12,294.0,290.0,290.0,290.0,19,290.0,2026-09-03T19:33:33.489246+00:00
2012-12-16,290.0,290.0,290.0,290.0,13,290.0,2026-09-03T19:33:33.489246+00:00
2012-12-20,290.0,291.0,291.0,291.0,62,291.0,2026-09-03T19:33:33.489246+00:00
2012-12-23,291.0,291.0,291.0,291.0,624,291.0,2026-09-03T19:33:33.489246+00:00
2012-12-24,291.0,301.0,296.0,301.0,761,301.0,2026-09-03T19:33:33.489246+00:00
2012-12-26,301.0,307.0,307.0,307.0,624,307.0,2026-09-03T19:33:33.489246+00:00
2012-12-31,307.0,307.0,307.0,307.0,859,307.0,2026-09-03T19:33:33.489246+00:00
2013-02-05,307.0,256.0,256.0,256.0,5149,256.0,2026-09-03T19:33:33.489246+00:00
2013-03-05,256.0,251.0,246.0,246.0,205,246.0,2026-09-03T19:33:33.489246+00:00
2013-03-20,246.0,250.0,249.0,250.0,257,250.0,2026-09-03T19:33:33.489246+00:00
2013-04-03,250.0,247.0,247.0,247.0,50,247.0,2026-09-03T19:33:33.489246+00:00
2013-04-04,247.0,246.0,246.0,246.0,50,246.0,2026-09-03T19:33:33.489246+00:00
2013-04-29,246.0,249.0,249.0,249.0,32,249.0,2026-09-03T19:33:33.489246+00:00
2013-05-02,249.0,245.0,245.0,245.0,100,245.0,2026-09-03T19:33:33.489246+00:00
2013-05-09,245.0,245.0,245.0,245.0,51,245.0,2026-09-03T19:33:33.489246+00:00
2013-05-20,245.0,245.0,245.0,245.0,317,245.0,2026-09-03T19:33:33.489246+00:00
2013-06-03,245.0,249.0,249.0,249.0,454,249.0,2026-09-03T19:33:33.489246+00:00
2013-06-10,249.0,253.0,253.0,253.0,2600,253.0,2026-09-03T19:33:33.489246+00:00
2013-06-27,253.0,253.0,245.0,253.0,11628,253.0,2026-09-03T19:33:33.489246+00:00
2013-07-09,253.0,250.0,250.0,250.0,11031,250.0,2026-09-03T19:33:33.489246+00:00
2013-07-22,250.0,245.0,233.0,233.0,617,233.0,2026-09-03T19:33:33.489246+00:00
2013-07-30,233.0,241.0,237.0,241.0,22,241.0,2026-09-03T19:33:33.489246+00:00
2013-08-06,241.0,249.0,245.0,249.0,595,249.0,2026-09-03T19:33:33.489246+00:00
2013-08-07,249.0,258.0,253.0,258.0,1354,258.0,2026-09-03T19:33:33.489246+00:00
2013-08-08,258.0,273.0,253.0,273.0,2754,273.0,2026-09-03T19:33:33.489246+00:00
2013-08-11,273.0,278.0,273.0,273.0,5333,273.0,2026-09-03T19:33:33.489246+00:00
2013-08-12,273.0,268.0,249.0,250.0,3487,250.0,2026-09-03T19:33:33.489246+00:00
2013-08-15,250.0,246.0,244.0,244.0,99,244.0,2026-09-03T19:33:33.489246+00:00
2013-08-25,244.0,248.0,248.0,248.0,716,248.0,2026-09-03T19:33:33.489246+00:00
2013-08-29,248.0,267.0,252.0,267.0,5000,267.0,2026-09-03T19:33:33.489246+00:00
2013-09-01,267.0,282.0,272.0,282.0,3879,282.0,2026-09-03T19:33:33.489246+00:00
2013-09-02,282.0,287.0,287.0,287.0,17,287.0,2026-09-03T19:33:33.489246+00:00
2013-09-04,287.0,282.0,272.0,272.0,716,272.0,2026-09-03T19:33:33.489246+00:00
2013-09-05,272.0,272.0,272.0,272.0,2021,272.0,2026-09-03T19:33:33.489246+00:00
2013-09-08,272.0,287.0,277.0,287.0,74,287.0,2026-09-03T19:33:33.489246+00:00
2013-09-10,287.0,302.0,292.0,302.0,1240,302.0,2026-09-03T19:33:33.489246+00:00
2013-09-11,302.0,328.0,308.0,319.0,5123,319.0,2026-09-03T19:33:33.489246+00:00
2013-09-15,319.0,313.0,313.0,313.0,287,313.0,2026-09-03T19:33:33.489246+00:00
2013-09-24,313.0,319.0,319.0,319.0,25,319.0,2026-09-03T19:33:33.489246+00:00
2013-10-03,319.0,350.0,320.0,350.0,3129,350.0,2026-09-03T19:33:33.489246+00:00
2013-10-06,350.0,385.0,357.0,385.0,150,385.0,2026-09-03T19:33:33.489246+00:00
2013-10-07,385.0,410.0,380.0,410.0,6097,410.0,2026-09-03T19:33:33.489246+00:00
