date,open,high,low,close,volume,adj_close,fetched_at
2020-07-09,331.0,364.0,331.0,364.0,230,364.0,2026-09-03T19:35:17.106810+00:00
2020-07-12,371.0,400.0,371.0,400.0,260,400.0,2026-09-03T19:35:17.106810+00:00
2020-07-13,408.0,440.0,408.0,440.0,400,440.0,2026-09-03T19:35:17.106810+00:00
2020-07-14,448.0,484.0,448.0,484.0,250,484.0,2026-09-03T19:35:17.106810+00:00
2020-07-15,508.0,532.0,508.0,532.0,1050,532.0,2026-09-03T19:35:17.106810+00:00
2020-07-16,542.0,585.0,542.0,585.0,1170,585.0,2026-09-03T19:35:17.106810+00:00
2020-07-19,614.0,626.0,614.0,626.0,20,626.0,2026-09-03T19:35:17.106810+00:00
2020-07-20,657.0,688.0,657.0,688.0,8160,688.0,2026-09-03T19:35:17.106810+00:00
2020-07-21,722.0,756.0,722.0,756.0,38948,756.0,2026-09-03T19:35:17.106810+00:00
2020-07-22,793.0,831.0,793.0,805.0,221826,805.0,2026-09-03T19:35:17.106810+00:00
2020-07-23,820.0,820.0,781.0,793.0,89223,793.0,2026-09-03T19:35:17.106810+00:00
2020-07-26,795.0,795.0,775.0,781.0,80655,781.0,2026-09-03T19:35:17.106810+00:00
2020-07-27,780.0,855.0,780.0,821.0,96139,821.0,2026-09-03T19:35:17.106810+00:00
2020-07-28,811.0,839.0,810.0,830.0,59825,830.0,2026-09-03T19:35:17.106810+00:00
2020-07-29,840.0,840.0,807.0,812.0,53350,812.0,2026-09-03T19:35:17.106810+00:00
2020-07-30,812.0,820.0,800.0,806.0,44120,806.0,2026-09-03T19:35:17.106810+00:00
2020-08-02,810.0,810.0,783.0,787.0,52090,787.0,2026-09-03T19:35:17.106810+00:00
2020-08-03,775.0,799.0,772.0,787.0,29520,787.0,2026-09-03T19:35:17.106810+00:00
2020-08-05,785.0,785.0,768.0,770.0,33236,770.0,2026-09-03T19:35:17.106810+00:00
2020-08-06,775.0,775.0,760.0,763.0,27895,763.0,2026-09-03T19:35:17.106810+00:00
2020-08-09,755.0,764.0,730.0,756.0,43385,756.0,2026-09-03T19:35:17.106810+00:00
2020-08-10,742.0,795.0,742.0,793.0,34851,793.0,2026-09-03T19:35:17.106810+00:00
2020-08-11,793.0,793.0,772.0,778.0,30656,778.0,2026-09-03T19:35:17.106810+00:00
2020-08-12,775.0,780.0,765.0,767.0,26710,767.0,2026-09-03T19:35:17.106810+00:00
2020-08-13,753.0,770.0,753.0,759.0,30385,759.0,2026-09-03T19:35:17.106810+00:00
2021-03-31,780.0,795.0,780.0,795.0,239,795.0,2026-09-03T19:35:17.106810+00:00
2021-04-01,834.0,874.0,834.0,874.0,451,874.0,2026-09-03T19:35:17.106810+00:00
2021-04-04,917.0,961.0,917.0,961.0,3460,961.0,2026-09-03T19:35:17.106810+00:00
2021-04-05,980.0,1057.0,980.0,1057.0,1217,1057.0,2026-09-03T19:35:17.106810+00:00
2021-04-06,1109.0,1162.0,1109.0,1162.0,1052,1162.0,2026-09-03T19:35:17.106810+00:00
2021-04-07,1220.0,1278.0,1220.0,1278.0,1399,1278.0,2026-09-03T19:35:17.106810+00:00
2021-04-08,1297.0,1405.0,1297.0,1405.0,731,1405.0,2026-09-03T19:35:17.106810+00:00
2021-04-12,1475.0,1545.0,1475.0,1545.0,2882,1545.0,2026-09-03T19:35:17.106810+00:00
2021-04-13,1622.0,1699.0,1622.0,1699.0,10426,1699.0,2026-09-03T19:35:17.106810+00:00
2021-04-15,1783.0,1868.0,1783.0,1868.0,269135,1868.0,2026-09-03T19:35:17.106810+00:00
2021-04-18,1961.0,2037.0,1831.0,1899.0,288975,1899.0,2026-09-03T19:35:17.106810+00:00
2021-04-19,1935.0,1940.0,1840.0,1849.0,123524,1849.0,2026-09-03T19:35:17.106810+00:00
2021-04-20,1900.0,1900.0,1802.0,1818.0,85694,1818.0,2026-09-03T19:35:17.106810+00:00
2021-04-21,1900.0,1900.0,1785.0,1793.0,77827,1793.0,2026-09-03T19:35:17.106810+00:00
2021-04-22,1882.0,1885.0,1764.0,1837.0,116471,1837.0,2026-09-03T19:35:17.106810+00:00
2021-04-25,1900.0,1900.0,1761.0,1764.0,71662,1764.0,2026-09-03T19:35:17.106810+00:00
2021-04-26,1750.0,1794.0,1700.0,1701.0,73976,1701.0,2026-09-03T19:35:17.106810+00:00
2021-04-27,1701.0,1760.0,1700.0,1755.0,38987,1755.0,2026-09-03T19:35:17.106810+00:00
2021-04-28,1842.0,1842.0,1718.0,1729.0,28733,1729.0,2026-09-03T19:35:17.106810+00:00
2021-04-29,1730.0,1750.0,1711.0,1726.0,20952,1726.0,2026-09-03T19:35:17.106810+00:00
2021-05-02,1730.0,1748.0,1710.0,1736.0,39847,1736.0,2026-09-03T19:35:17.106810+00:00
2021-05-03,1744.0,1765.0,1721.0,1738.0,28252,1738.0,2026-09-03T19:35:17.106810+00:00
