date,open,high,low,close,volume,adj_close,fetched_at
2021-09-07,10.0,10.01,9.81,9.99,32140,9.99,2026-09-03T19:35:36.830468+00:00
2021-09-08,10.0,10.0,9.83,9.98,68300,9.98,2026-09-03T19:35:36.830468+00:00
2021-09-09,9.99,10.0,9.82,9.82,56000,9.82,2026-09-03T19:35:36.830468+00:00
2021-09-12,9.7,10.1,9.7,9.91,23000,9.91,2026-09-03T19:35:36.830468+00:00
2021-09-13,9.9,9.9,9.76,9.9,39250,9.9,2026-09-03T19:35:36.830468+00:00
2021-09-14,9.9,9.99,9.74,9.8,14700,9.8,2026-09-03T19:35:36.830468+00:00
2021-09-15,9.7,9.99,9.7,9.75,35710,9.75,2026-09-03T19:35:36.830468+00:00
2021-09-16,9.6,9.79,9.6,9.67,37050,9.67,2026-09-03T19:35:36.830468+00:00
2021-09-20,9.49,9.67,9.31,9.34,48650,9.34,2026-09-03T19:35:36.830468+00:00
2021-09-21,9.18,9.43,9.01,9.29,31390,9.29,2026-09-03T19:35:36.830468+00:00
2021-09-22,9.4,9.58,9.37,9.57,26800,9.57,2026-09-03T19:35:36.830468+00:00
2021-09-23,9.39,9.6,9.39,9.6,41000,9.6,2026-09-03T19:35:36.830468+00:00
2021-09-26,9.6,9.79,9.43,9.45,30600,9.45,2026-09-03T19:35:36.830468+00:00
2021-09-27,9.45,9.5,9.4,9.5,64450,9.5,2026-09-03T19:35:36.830468+00:00
2021-09-28,9.31,9.5,9.31,9.32,55600,9.32,2026-09-03T19:35:36.830468+00:00
2021-09-29,9.32,9.6,9.32,9.6,8000,9.6,2026-09-03T19:35:36.830468+00:00
2021-09-30,9.41,9.7,9.41,9.46,19900,9.46,2026-09-03T19:35:36.830468+00:00
2021-10-03,9.28,9.75,9.28,9.59,32880,9.59,2026-09-03T19:35:36.830468+00:00
2021-10-04,9.55,9.55,9.42,9.42,7550,9.42,2026-09-03T19:35:36.830468+00:00
2021-10-05,9.41,9.69,9.41,9.42,15200,9.42,2026-09-03T19:35:36.830468+00:00
2021-10-06,9.42,9.79,9.42,9.6,6200,9.6,2026-09-03T19:35:36.830468+00:00
2021-10-10,9.79,9.9,9.6,9.8,14200,9.8,2026-09-03T19:35:36.830468+00:00
2021-10-11,9.8,10.1,9.63,9.63,17850,9.63,2026-09-03T19:35:36.830468+00:00
2021-10-17,9.5,9.6,9.44,9.6,14400,9.6,2026-09-03T19:35:36.830468+00:00
2021-10-18,9.79,9.79,9.45,9.75,15150,9.75,2026-09-03T19:35:36.830468+00:00
2021-10-19,9.56,9.56,9.04,9.38,20900,9.38,2026-09-03T19:35:36.830468+00:00
2021-10-20,9.22,9.56,9.22,9.4,5600,9.4,2026-09-03T19:35:36.830468+00:00
2021-10-21,9.3,9.4,9.22,9.35,10200,9.35,2026-09-03T19:35:36.830468+00:00
2021-10-24,9.3,9.5,9.17,9.18,32553,9.18,2026-09-03T19:35:36.830468+00:00
2021-10-25,9.2,9.53,9.2,9.53,6800,9.53,2026-09-03T19:35:36.830468+00:00
2021-10-26,9.72,9.72,9.56,9.57,5900,9.57,2026-09-03T19:35:36.830468+00:00
2021-10-27,9.38,9.7,9.27,9.5,8900,9.5,2026-09-03T19:35:36.830468+00:00
2021-10-28,9.52,9.79,9.38,9.79,18160,9.79,2026-09-03T19:35:36.830468+00:00
2021-10-31,9.6,9.89,9.6,9.71,21050,9.71,2026-09-03T19:35:36.830468+00:00
2021-11-01,9.7,9.8,9.61,9.7,21780,9.7,2026-09-03T19:35:36.830468+00:00
2021-11-02,9.89,10.0,9.7,9.8,17250,9.8,2026-09-03T19:35:36.830468+00:00
2021-11-03,9.62,9.99,9.62,9.62,30870,9.62,2026-09-03T19:35:36.830468+00:00
2021-11-08,9.6,9.94,9.6,9.74,11500,9.74,2026-09-03T19:35:36.830468+00:00
2021-11-09,9.65,9.95,9.6,9.6,7500,9.6,2026-09-03T19:35:36.830468+00:00
2021-11-11,9.6,9.8,9.6,9.6,23324,9.6,2026-09-03T19:35:36.830468+00:00
2021-11-14,9.45,9.7,9.45,9.51,4700,9.51,2026-09-03T19:35:36.830468+00:00
2021-11-15,9.35,9.77,9.32,9.58,12450,9.58,2026-09-03T19:35:36.830468+00:00
2021-11-16,9.5,9.7,9.44,9.7,11270,9.7,2026-09-03T19:35:36.830468+00:00
2021-11-17,9.53,9.7,9.51,9.55,5438,9.55,2026-09-03T19:35:36.830468+00:00
2021-11-18,9.36,9.68,9.36,9.68,13362,9.68,2026-09-03T19:35:36.830468+00:00
2021-11-21,9.55,9.55,9.49,9.49,5000,9.49,2026-09-03T19:35:36.830468+00:00
2021-11-22,9.5,9.69,9.49,9.49,9950,9.49,2026-09-03T19:35:36.830468+00:00
