date,open,high,low,close,volume,adj_close,fetched_at
2021-04-25,565.0,570.0,537.0,541.0,723657,541.0,2026-09-03T19:35:26.782501+00:00
2021-04-26,540.0,541.0,520.0,526.0,476237,526.0,2026-09-03T19:35:26.782501+00:00
2021-04-27,520.0,548.0,517.0,547.0,392155,547.0,2026-09-03T19:35:26.782501+00:00
2021-04-28,550.0,555.0,532.0,545.0,209761,545.0,2026-09-03T19:35:26.782501+00:00
2021-04-29,545.0,549.0,534.0,542.0,210781,542.0,2026-09-03T19:35:26.782501+00:00
2021-05-02,542.0,545.0,535.0,542.0,448160,542.0,2026-09-03T19:35:26.782501+00:00
2021-05-03,542.0,554.0,542.0,544.0,368189,544.0,2026-09-03T19:35:26.782501+00:00
2021-05-04,560.0,560.0,541.0,544.0,302660,544.0,2026-09-03T19:35:26.782501+00:00
2021-05-05,544.0,544.0,539.0,540.0,230204,540.0,2026-09-03T19:35:26.782501+00:00
2021-05-06,540.0,540.0,531.0,532.0,282014,532.0,2026-09-03T19:35:26.782501+00:00
2021-05-09,530.0,535.0,520.0,528.0,297827,528.0,2026-09-03T19:35:26.782501+00:00
2021-05-10,528.0,540.0,525.0,534.0,182691,534.0,2026-09-03T19:35:26.782501+00:00
2021-05-11,540.0,543.0,530.0,537.0,216667,537.0,2026-09-03T19:35:26.782501+00:00
2021-05-12,511.0,545.0,511.0,534.0,167760,534.0,2026-09-03T19:35:26.782501+00:00
2021-05-13,534.0,537.0,525.0,531.0,256911,531.0,2026-09-03T19:35:26.782501+00:00
2021-05-16,535.0,549.0,526.0,547.0,546356,547.0,2026-09-03T19:35:26.782501+00:00
2021-05-17,555.0,560.0,545.0,546.0,331567,546.0,2026-09-03T19:35:26.782501+00:00
2021-05-18,546.0,553.0,542.0,544.0,314084,544.0,2026-09-03T19:35:26.782501+00:00
2021-05-19,544.0,552.0,537.0,538.0,323110,538.0,2026-09-03T19:35:26.782501+00:00
