date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,108.0,110.0,110.0,110.0,167,110.0,2026-09-03T19:33:37.915562+00:00
2012-09-11,110.0,110.0,106.0,110.0,436,110.0,2026-09-03T19:33:37.915562+00:00
2012-09-13,110.0,112.0,112.0,112.0,46,112.0,2026-09-03T19:33:37.915562+00:00
2012-09-16,112.0,114.0,110.0,114.0,870,114.0,2026-09-03T19:33:37.915562+00:00
2012-09-17,114.0,116.0,114.0,116.0,740,116.0,2026-09-03T19:33:37.915562+00:00
2012-09-18,116.0,120.0,118.0,118.0,570,118.0,2026-09-03T19:33:37.915562+00:00
2012-09-20,118.0,116.0,114.0,116.0,136,116.0,2026-09-03T19:33:37.915562+00:00
2012-10-02,116.0,117.0,114.0,114.0,10758,114.0,2026-09-03T19:33:37.915562+00:00
2012-10-03,114.0,112.0,112.0,112.0,23,112.0,2026-09-03T19:33:37.915562+00:00
2012-10-04,112.0,110.0,110.0,110.0,254,110.0,2026-09-03T19:33:37.915562+00:00
2012-10-07,110.0,120.0,112.0,118.0,622,118.0,2026-09-03T19:33:37.915562+00:00
2012-10-08,118.0,119.0,116.0,119.0,531,119.0,2026-09-03T19:33:37.915562+00:00
2012-10-09,119.0,129.0,121.0,128.0,1479,128.0,2026-09-03T19:33:37.915562+00:00
2012-10-10,128.0,130.0,130.0,130.0,23,130.0,2026-09-03T19:33:37.915562+00:00
2012-10-15,130.0,128.0,124.0,124.0,185,124.0,2026-09-03T19:33:37.915562+00:00
2012-10-30,124.0,122.0,122.0,122.0,100,122.0,2026-09-03T19:33:37.915562+00:00
2012-10-31,122.0,120.0,120.0,120.0,39,120.0,2026-09-03T19:33:37.915562+00:00
2012-11-06,120.0,118.0,118.0,118.0,24,118.0,2026-09-03T19:33:37.915562+00:00
2012-11-20,118.0,116.0,116.0,116.0,13,116.0,2026-09-03T19:33:37.915562+00:00
2012-11-27,116.0,114.0,114.0,114.0,100,114.0,2026-09-03T19:33:37.915562+00:00
2012-12-10,114.0,112.0,112.0,112.0,400,112.0,2026-09-03T19:33:37.915562+00:00
2013-01-06,112.0,110.0,106.0,108.0,1038,108.0,2026-09-03T19:33:37.915562+00:00
2013-01-07,108.0,109.0,107.0,109.0,503,109.0,2026-09-03T19:33:37.915562+00:00
2013-01-15,109.0,107.0,105.0,105.0,154,105.0,2026-09-03T19:33:37.915562+00:00
2013-01-17,105.0,107.0,106.0,107.0,98,107.0,2026-09-03T19:33:37.915562+00:00
2013-01-23,107.0,113.0,109.0,113.0,743,113.0,2026-09-03T19:33:37.915562+00:00
2013-01-24,113.0,117.0,115.0,117.0,352,117.0,2026-09-03T19:33:37.915562+00:00
2013-01-28,117.0,117.0,115.0,117.0,244,117.0,2026-09-03T19:33:37.915562+00:00
2013-01-31,117.0,117.0,117.0,117.0,253,117.0,2026-09-03T19:33:37.915562+00:00
2013-02-04,117.0,119.0,119.0,119.0,24,119.0,2026-09-03T19:33:37.915562+00:00
2013-02-28,119.0,117.0,117.0,117.0,20,117.0,2026-09-03T19:33:37.915562+00:00
2013-04-23,117.0,121.0,119.0,121.0,54,121.0,2026-09-03T19:33:37.915562+00:00
2013-04-25,121.0,121.0,119.0,119.0,420,119.0,2026-09-03T19:33:37.915562+00:00
2013-04-29,119.0,118.0,118.0,118.0,72,118.0,2026-09-03T19:33:37.915562+00:00
2013-04-30,118.0,116.0,116.0,116.0,72,116.0,2026-09-03T19:33:37.915562+00:00
2013-06-04,116.0,114.0,106.0,114.0,495,114.0,2026-09-03T19:33:37.915562+00:00
2013-06-05,114.0,116.0,113.0,113.0,1575,113.0,2026-09-03T19:33:37.915562+00:00
2013-06-06,113.0,115.0,113.0,115.0,813,115.0,2026-09-03T19:33:37.915562+00:00
2013-07-01,115.0,117.0,115.0,115.0,132,115.0,2026-09-03T19:33:37.915562+00:00
2013-07-04,115.0,113.0,113.0,113.0,100,113.0,2026-09-03T19:33:37.915562+00:00
2013-07-29,113.0,115.0,115.0,115.0,142,115.0,2026-09-03T19:33:37.915562+00:00
2013-07-30,115.0,121.0,117.0,119.0,375,119.0,2026-09-03T19:33:37.915562+00:00
2013-07-31,119.0,123.0,121.0,123.0,33,123.0,2026-09-03T19:33:37.915562+00:00
2013-08-01,123.0,125.0,123.0,125.0,327,125.0,2026-09-03T19:33:37.915562+00:00
2013-08-05,125.0,123.0,123.0,123.0,160,123.0,2026-09-03T19:33:37.915562+00:00
2013-08-06,123.0,128.0,124.0,124.0,5020,124.0,2026-09-03T19:33:37.915562+00:00
2013-08-12,124.0,126.0,126.0,126.0,198,126.0,2026-09-03T19:33:37.915562+00:00
2013-08-14,126.0,134.0,127.0,134.0,740,134.0,2026-09-03T19:33:37.915562+00:00
2013-08-15,134.0,143.0,135.0,143.0,470,143.0,2026-09-03T19:33:37.915562+00:00
2013-08-18,143.0,157.0,143.0,157.0,787,157.0,2026-09-03T19:33:37.915562+00:00
2013-08-19,157.0,172.0,160.0,172.0,1124,172.0,2026-09-03T19:33:37.915562+00:00
2013-08-20,172.0,189.0,175.0,189.0,4380,189.0,2026-09-03T19:33:37.915562+00:00
2013-08-25,189.0,207.0,189.0,207.0,2102,207.0,2026-09-03T19:33:37.915562+00:00
2013-08-26,207.0,227.0,211.0,227.0,358,227.0,2026-09-03T19:33:37.915562+00:00
2013-08-27,227.0,239.0,225.0,225.0,4338,225.0,2026-09-03T19:33:37.915562+00:00
2013-08-29,225.0,229.0,224.0,224.0,462,224.0,2026-09-03T19:33:37.915562+00:00
2013-09-03,224.0,220.0,204.0,204.0,203,204.0,2026-09-03T19:33:37.915562+00:00
2013-09-12,204.0,200.0,200.0,200.0,54,200.0,2026-09-03T19:33:37.915562+00:00
2013-10-06,200.0,196.0,193.0,193.0,120,193.0,2026-09-03T19:33:37.915562+00:00
2013-10-08,193.0,190.0,178.0,178.0,50,178.0,2026-09-03T19:33:37.915562+00:00
2013-10-09,178.0,175.0,169.0,169.0,439,169.0,2026-09-03T19:33:37.915562+00:00
2013-10-10,169.0,166.0,166.0,166.0,27,166.0,2026-09-03T19:33:37.915562+00:00
2013-10-20,166.0,163.0,150.0,150.0,84,150.0,2026-09-03T19:33:37.915562+00:00
2013-10-21,150.0,147.0,136.0,138.0,1088,138.0,2026-09-03T19:33:37.915562+00:00
