date,open,high,low,close,volume,adj_close,fetched_at
2023-02-23,232.2,232.2,213.2,216.0,276758,216.0,2026-09-03T19:33:14.174751+00:00
2023-02-26,212.0,212.0,204.0,207.5,129624,207.5,2026-09-03T19:33:14.174751+00:00
2023-02-27,207.0,210.6,203.1,206.0,88701,206.0,2026-09-03T19:33:14.174751+00:00
2023-02-28,206.0,207.0,203.2,203.7,62491,203.7,2026-09-03T19:33:14.174751+00:00
2023-03-01,205.0,205.9,203.7,204.0,41099,204.0,2026-09-03T19:33:14.174751+00:00
2023-03-02,207.8,207.8,200.0,200.5,57048,200.5,2026-09-03T19:33:14.174751+00:00
2023-03-05,202.0,202.0,197.1,197.5,78195,197.5,2026-09-03T19:33:14.174751+00:00
2023-03-07,196.1,199.8,196.1,197.0,40001,197.0,2026-09-03T19:33:14.174751+00:00
2023-03-09,199.5,202.9,199.2,201.2,67668,201.2,2026-09-03T19:33:14.174751+00:00
2023-03-12,204.0,204.0,196.0,198.2,58923,198.2,2026-09-03T19:33:14.174751+00:00
2023-03-13,196.1,198.5,195.1,197.0,45952,197.0,2026-09-03T19:33:14.174751+00:00
2023-03-14,200.9,200.9,195.0,195.0,57432,195.0,2026-09-03T19:33:14.174751+00:00
2023-03-15,197.0,197.0,192.6,193.2,58388,193.2,2026-09-03T19:33:14.174751+00:00
2023-03-16,192.0,193.0,190.6,192.0,55926,192.0,2026-09-03T19:33:14.174751+00:00
2023-03-19,192.1,193.0,189.7,190.9,72137,190.9,2026-09-03T19:33:14.174751+00:00
2023-03-20,192.0,194.0,190.2,191.4,41833,191.4,2026-09-03T19:33:14.174751+00:00
2023-03-22,194.5,194.5,190.0,191.5,51533,191.5,2026-09-03T19:33:14.174751+00:00
2023-03-23,191.0,193.8,188.5,192.0,55968,192.0,2026-09-03T19:33:14.174751+00:00
2023-03-26,193.0,193.0,186.2,187.9,85585,187.9,2026-09-03T19:33:14.174751+00:00
2023-03-27,189.0,190.7,184.3,188.3,62229,188.3,2026-09-03T19:33:14.174751+00:00
2023-03-28,191.0,193.0,187.2,191.0,39108,191.0,2026-09-03T19:33:14.174751+00:00
2023-03-29,190.0,191.9,186.0,191.4,74551,191.4,2026-09-03T19:33:14.174751+00:00
2023-03-30,189.0,191.0,187.3,187.5,74624,187.5,2026-09-03T19:33:14.174751+00:00
2023-04-02,191.2,191.2,183.0,184.9,74001,184.9,2026-09-03T19:33:14.174751+00:00
