date,open,high,low,close,volume,adj_close,fetched_at
2013-07-17,0.0,275.0,275.0,275.0,10,275.0,2026-09-03T19:34:16.286953+00:00
2013-07-18,275.0,302.0,280.0,302.0,1218,302.0,2026-09-03T19:34:16.286953+00:00
2013-07-21,302.0,332.0,308.0,332.0,1168,332.0,2026-09-03T19:34:16.286953+00:00
2013-07-22,332.0,365.0,338.0,365.0,2762,365.0,2026-09-03T19:34:16.286953+00:00
2013-07-23,365.0,401.0,372.0,401.0,3481,401.0,2026-09-03T19:34:16.286953+00:00
2013-07-24,401.0,441.0,409.0,441.0,9005,441.0,2026-09-03T19:34:16.286953+00:00
2013-07-25,441.0,475.0,418.0,435.0,27206,435.0,2026-09-03T19:34:16.286953+00:00
2013-07-28,435.0,443.0,430.0,440.0,10677,440.0,2026-09-03T19:34:16.286953+00:00
2013-07-29,440.0,475.0,443.0,474.0,7786,474.0,2026-09-03T19:34:16.286953+00:00
2013-07-30,474.0,470.0,460.0,465.0,2727,465.0,2026-09-03T19:34:16.286953+00:00
2013-07-31,465.0,458.0,452.0,453.0,6706,453.0,2026-09-03T19:34:16.286953+00:00
2013-08-01,453.0,444.0,432.0,438.0,2588,438.0,2026-09-03T19:34:16.286953+00:00
2013-08-04,438.0,444.0,437.0,440.0,4454,440.0,2026-09-03T19:34:16.286953+00:00
2013-08-05,440.0,440.0,429.0,430.0,3101,430.0,2026-09-03T19:34:16.286953+00:00
2013-08-06,430.0,438.0,422.0,435.0,2674,435.0,2026-09-03T19:34:16.286953+00:00
2013-08-07,435.0,436.0,429.0,435.0,1924,435.0,2026-09-03T19:34:16.286953+00:00
2013-08-08,435.0,430.0,427.0,429.0,1791,429.0,2026-09-03T19:34:16.286953+00:00
2013-08-11,429.0,433.0,430.0,433.0,380,433.0,2026-09-03T19:34:16.286953+00:00
2013-08-12,433.0,435.0,428.0,435.0,1664,435.0,2026-09-03T19:34:16.286953+00:00
2013-08-13,435.0,436.0,430.0,432.0,6482,432.0,2026-09-03T19:34:16.286953+00:00
2013-08-14,432.0,443.0,426.0,443.0,632,443.0,2026-09-03T19:34:16.286953+00:00
2013-08-15,443.0,465.0,435.0,460.0,10711,460.0,2026-09-03T19:34:16.286953+00:00
2013-08-18,460.0,506.0,465.0,506.0,9047,506.0,2026-09-03T19:34:16.286953+00:00
2013-08-19,506.0,509.0,471.0,500.0,9860,500.0,2026-09-03T19:34:16.286953+00:00
2013-08-20,500.0,507.0,490.0,494.0,6659,494.0,2026-09-03T19:34:16.286953+00:00
2013-08-25,494.0,498.0,488.0,491.0,2469,491.0,2026-09-03T19:34:16.286953+00:00
2013-08-26,491.0,500.0,485.0,490.0,2481,490.0,2026-09-03T19:34:16.286953+00:00
2013-08-27,490.0,490.0,480.0,487.0,2491,487.0,2026-09-03T19:34:16.286953+00:00
2013-08-29,487.0,495.0,480.0,485.0,4159,485.0,2026-09-03T19:34:16.286953+00:00
2013-09-01,485.0,480.0,471.0,477.0,1349,477.0,2026-09-03T19:34:16.286953+00:00
2013-09-02,477.0,475.0,470.0,470.0,2933,470.0,2026-09-03T19:34:16.286953+00:00
2013-09-03,470.0,470.0,452.0,466.0,4348,466.0,2026-09-03T19:34:16.286953+00:00
2013-09-04,466.0,473.0,466.0,466.0,1086,466.0,2026-09-03T19:34:16.286953+00:00
2013-09-05,466.0,474.0,469.0,474.0,2687,474.0,2026-09-03T19:34:16.286953+00:00
2013-09-08,474.0,465.0,465.0,465.0,107,465.0,2026-09-03T19:34:16.286953+00:00
2013-09-09,465.0,470.0,460.0,465.0,1003,465.0,2026-09-03T19:34:16.286953+00:00
2013-09-10,465.0,470.0,465.0,466.0,1883,466.0,2026-09-03T19:34:16.286953+00:00
2013-09-11,466.0,471.0,466.0,471.0,1510,471.0,2026-09-03T19:34:16.286953+00:00
2013-09-12,471.0,470.0,465.0,470.0,273,470.0,2026-09-03T19:34:16.286953+00:00
2013-09-15,470.0,480.0,470.0,470.0,3111,470.0,2026-09-03T19:34:16.286953+00:00
2013-09-16,470.0,479.0,471.0,476.0,200,476.0,2026-09-03T19:34:16.286953+00:00
2013-09-17,476.0,480.0,475.0,480.0,514,480.0,2026-09-03T19:34:16.286953+00:00
2013-09-19,480.0,490.0,475.0,478.0,3347,478.0,2026-09-03T19:34:16.286953+00:00
2013-09-22,478.0,485.0,475.0,475.0,1341,475.0,2026-09-03T19:34:16.286953+00:00
2013-09-23,475.0,470.0,452.0,461.0,1787,461.0,2026-09-03T19:34:16.286953+00:00
2013-09-24,461.0,467.0,452.0,460.0,1305,460.0,2026-09-03T19:34:16.286953+00:00
2013-09-25,460.0,465.0,460.0,465.0,200,465.0,2026-09-03T19:34:16.286953+00:00
2013-09-26,465.0,469.0,467.0,469.0,881,469.0,2026-09-03T19:34:16.286953+00:00
2013-09-29,469.0,470.0,469.0,470.0,2527,470.0,2026-09-03T19:34:16.286953+00:00
2013-09-30,470.0,470.0,448.0,448.0,3758,448.0,2026-09-03T19:34:16.286953+00:00
2013-10-01,448.0,460.0,450.0,460.0,2025,460.0,2026-09-03T19:34:16.286953+00:00
2013-10-02,460.0,465.0,458.0,460.0,1230,460.0,2026-09-03T19:34:16.286953+00:00
2013-10-03,460.0,470.0,460.0,470.0,890,470.0,2026-09-03T19:34:16.286953+00:00
2013-10-06,470.0,470.0,461.0,470.0,3193,470.0,2026-09-03T19:34:16.286953+00:00
2013-10-09,470.0,472.0,463.0,472.0,412,472.0,2026-09-03T19:34:16.286953+00:00
2013-10-10,472.0,478.0,470.0,470.0,320,470.0,2026-09-03T19:34:16.286953+00:00
2013-10-17,470.0,474.0,470.0,474.0,397,474.0,2026-09-03T19:34:16.286953+00:00
2013-10-20,473.0,483.0,474.0,474.0,1754,474.0,2026-09-03T19:34:16.286953+00:00
2013-10-21,474.0,482.0,475.0,481.0,2035,481.0,2026-09-03T19:34:16.286953+00:00
2013-10-22,481.0,481.0,481.0,481.0,24,481.0,2026-09-03T19:34:16.286953+00:00
2013-10-23,481.0,481.0,478.0,479.0,1989,479.0,2026-09-03T19:34:16.286953+00:00
2013-10-24,479.0,480.0,471.0,478.0,7520,478.0,2026-09-03T19:34:16.286953+00:00
2013-10-27,478.0,474.0,471.0,471.0,779,471.0,2026-09-03T19:34:16.286953+00:00
2013-10-28,471.0,471.0,471.0,471.0,50,471.0,2026-09-03T19:34:16.286953+00:00
2013-10-29,471.0,471.0,462.0,467.0,592,467.0,2026-09-03T19:34:16.286953+00:00
2013-11-06,467.0,476.0,475.0,476.0,118,476.0,2026-09-03T19:34:16.286953+00:00
2013-11-07,476.0,490.0,480.0,490.0,140,490.0,2026-09-03T19:34:16.286953+00:00
2013-11-10,490.0,490.0,485.0,490.0,2793,490.0,2026-09-03T19:34:16.286953+00:00
2013-11-11,490.0,485.0,485.0,485.0,1212,485.0,2026-09-03T19:34:16.286953+00:00
2013-11-12,485.0,486.0,485.0,486.0,295,486.0,2026-09-03T19:34:16.286953+00:00
2013-11-13,486.0,503.0,492.0,492.0,3108,492.0,2026-09-03T19:34:16.286953+00:00
2013-11-14,492.0,495.0,480.0,495.0,2957,495.0,2026-09-03T19:34:16.286953+00:00
2013-11-24,495.0,520.0,504.0,520.0,2600,520.0,2026-09-03T19:34:16.286953+00:00
2013-11-25,520.0,521.0,506.0,506.0,725,506.0,2026-09-03T19:34:16.286953+00:00
2013-11-26,506.0,549.0,510.0,549.0,4357,549.0,2026-09-03T19:34:16.286953+00:00
2013-11-27,549.0,575.0,559.0,560.0,1671,560.0,2026-09-03T19:34:16.286953+00:00
2013-11-28,560.0,585.0,560.0,580.0,2239,580.0,2026-09-03T19:34:16.286953+00:00
2013-12-01,580.0,638.0,591.0,638.0,5109,638.0,2026-09-03T19:34:16.286953+00:00
2013-12-02,638.0,698.0,640.0,698.0,13257,698.0,2026-09-03T19:34:16.286953+00:00
2013-12-03,698.0,767.0,711.0,767.0,8665,767.0,2026-09-03T19:34:16.286953+00:00
2013-12-04,767.0,828.0,782.0,828.0,1930,828.0,2026-09-03T19:34:16.286953+00:00
2013-12-05,828.0,820.0,796.0,796.0,1265,796.0,2026-09-03T19:34:16.286953+00:00
2013-12-10,796.0,781.0,751.0,751.0,40,751.0,2026-09-03T19:34:16.286953+00:00
2013-12-16,751.0,760.0,735.0,735.0,10388,735.0,2026-09-03T19:34:16.286953+00:00
2013-12-19,735.0,740.0,706.0,706.0,1888,706.0,2026-09-03T19:34:16.286953+00:00
2013-12-22,706.0,700.0,641.0,657.0,3537,657.0,2026-09-03T19:34:16.286953+00:00
2013-12-23,657.0,663.0,637.0,650.0,1232,650.0,2026-09-03T19:34:16.286953+00:00
2013-12-24,650.0,648.0,628.0,645.0,4894,645.0,2026-09-03T19:34:16.286953+00:00
2013-12-26,645.0,681.0,657.0,670.0,2443,670.0,2026-09-03T19:34:16.286953+00:00
2013-12-29,670.0,668.0,638.0,656.0,17249,656.0,2026-09-03T19:34:16.286953+00:00
2013-12-31,656.0,660.0,641.0,660.0,3747,660.0,2026-09-03T19:34:16.286953+00:00
2014-01-01,660.0,660.0,645.0,660.0,2353,660.0,2026-09-03T19:34:16.286953+00:00
2014-01-02,660.0,670.0,640.0,670.0,8757,670.0,2026-09-03T19:34:16.286953+00:00
2014-01-05,670.0,670.0,644.0,663.0,2576,663.0,2026-09-03T19:34:16.286953+00:00
2014-01-06,663.0,660.0,647.0,649.0,3457,649.0,2026-09-03T19:34:16.286953+00:00
2014-01-07,649.0,656.0,637.0,645.0,6630,645.0,2026-09-03T19:34:16.286953+00:00
2014-01-08,645.0,663.0,637.0,663.0,5818,663.0,2026-09-03T19:34:16.286953+00:00
2014-01-09,663.0,683.0,655.0,683.0,3053,683.0,2026-09-03T19:34:16.286953+00:00
2014-01-12,683.0,706.0,670.0,706.0,874,706.0,2026-09-03T19:34:16.286953+00:00
2014-01-13,706.0,730.0,699.0,720.0,1403,720.0,2026-09-03T19:34:16.286953+00:00
2014-01-14,720.0,721.0,685.0,710.0,10844,710.0,2026-09-03T19:34:16.286953+00:00
2014-01-16,710.0,745.0,696.0,740.0,8066,740.0,2026-09-03T19:34:16.286953+00:00
2014-01-19,740.0,735.0,701.0,726.0,7968,726.0,2026-09-03T19:34:16.286953+00:00
2014-01-20,726.0,755.0,716.0,740.0,10986,740.0,2026-09-03T19:34:16.286953+00:00
2014-01-21,740.0,750.0,726.0,741.0,17642,741.0,2026-09-03T19:34:16.286953+00:00
2014-01-22,741.0,750.0,728.0,733.0,20574,733.0,2026-09-03T19:34:16.286953+00:00
2014-01-23,733.0,750.0,726.0,750.0,28678,750.0,2026-09-03T19:34:16.286953+00:00
2014-01-26,682.0,695.0,690.0,690.0,162,690.0,2026-09-03T19:34:16.286953+00:00
2014-01-27,690.0,700.0,691.0,691.0,211,691.0,2026-09-03T19:34:16.286953+00:00
2014-01-28,691.0,718.0,700.0,718.0,336,718.0,2026-09-03T19:34:16.286953+00:00
2014-01-29,718.0,713.0,711.0,711.0,297,711.0,2026-09-03T19:34:16.286953+00:00
2014-02-02,711.0,720.0,718.0,720.0,565,720.0,2026-09-03T19:34:16.286953+00:00
2014-02-03,720.0,710.0,691.0,691.0,91,691.0,2026-09-03T19:34:16.286953+00:00
2014-02-04,691.0,715.0,700.0,715.0,146,715.0,2026-09-03T19:34:16.286953+00:00
