date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,431.0,473.0,439.0,470.0,4544,470.0,2026-09-03T19:33:35.064157+00:00
2012-09-10,470.0,479.0,462.0,472.0,1513,472.0,2026-09-03T19:33:35.064157+00:00
2012-09-11,472.0,475.0,464.0,475.0,6749,475.0,2026-09-03T19:33:35.064157+00:00
2012-09-12,475.0,478.0,461.0,470.0,8358,470.0,2026-09-03T19:33:35.064157+00:00
2012-09-13,470.0,495.0,479.0,495.0,311,495.0,2026-09-03T19:33:35.064157+00:00
2012-09-16,495.0,530.0,504.0,530.0,239,530.0,2026-09-03T19:33:35.064157+00:00
2012-09-17,530.0,541.0,530.0,540.0,748,540.0,2026-09-03T19:33:35.064157+00:00
2012-09-18,540.0,535.0,511.0,514.0,7401,514.0,2026-09-03T19:33:35.064157+00:00
2012-09-19,514.0,514.0,504.0,504.0,1313,504.0,2026-09-03T19:33:35.064157+00:00
2012-09-20,504.0,495.0,486.0,486.0,553,486.0,2026-09-03T19:33:35.064157+00:00
2012-09-23,486.0,504.0,495.0,504.0,87,504.0,2026-09-03T19:33:35.064157+00:00
2012-09-24,504.0,503.0,485.0,503.0,1719,503.0,2026-09-03T19:33:35.064157+00:00
2012-09-25,503.0,494.0,494.0,494.0,10,494.0,2026-09-03T19:33:35.064157+00:00
2012-09-26,494.0,489.0,478.0,489.0,1168,489.0,2026-09-03T19:33:35.064157+00:00
2012-09-30,501.0,510.0,510.0,510.0,66,510.0,2026-09-03T19:33:35.064157+00:00
2012-10-01,510.0,515.0,500.0,510.0,9373,510.0,2026-09-03T19:33:35.064157+00:00
2012-10-01,510.0,515.0,500.0,510.0,9373,510.0,2026-09-03T19:33:35.064157+00:00
2012-10-02,510.0,510.0,500.0,510.0,2058,510.0,2026-09-03T19:33:35.064157+00:00
2012-10-03,510.0,510.0,491.0,491.0,2530,491.0,2026-09-03T19:33:35.064157+00:00
2012-10-04,491.0,510.0,500.0,510.0,2089,510.0,2026-09-03T19:33:35.064157+00:00
2012-10-07,510.0,508.0,481.0,508.0,2102,508.0,2026-09-03T19:33:35.064157+00:00
2012-10-08,508.0,516.0,498.0,516.0,5070,516.0,2026-09-03T19:33:35.064157+00:00
2012-10-09,516.0,509.0,504.0,508.0,3389,508.0,2026-09-03T19:33:35.064157+00:00
2012-10-10,508.0,516.0,516.0,516.0,18,516.0,2026-09-03T19:33:35.064157+00:00
2012-10-11,516.0,517.0,517.0,517.0,18,517.0,2026-09-03T19:33:35.064157+00:00
2012-10-18,517.0,522.0,522.0,522.0,20,522.0,2026-09-03T19:33:35.064157+00:00
2012-11-05,522.0,512.0,512.0,512.0,1259,512.0,2026-09-03T19:33:35.064157+00:00
2012-11-06,512.0,522.0,522.0,522.0,18,522.0,2026-09-03T19:33:35.064157+00:00
2012-11-11,522.0,512.0,512.0,512.0,50,512.0,2026-09-03T19:33:35.064157+00:00
2012-11-12,512.0,512.0,512.0,512.0,1186,512.0,2026-09-03T19:33:35.064157+00:00
2012-11-18,512.0,515.0,515.0,515.0,22,515.0,2026-09-03T19:33:35.064157+00:00
2012-11-25,515.0,505.0,505.0,505.0,200,505.0,2026-09-03T19:33:35.064157+00:00
2012-11-29,505.0,500.0,500.0,500.0,99,500.0,2026-09-03T19:33:35.064157+00:00
2012-12-04,500.0,500.0,500.0,500.0,30,500.0,2026-09-03T19:33:35.064157+00:00
2012-12-06,500.0,500.0,480.0,480.0,1377,480.0,2026-09-03T19:33:35.064157+00:00
2012-12-12,480.0,475.0,466.0,466.0,127,466.0,2026-09-03T19:33:35.064157+00:00
2012-12-13,466.0,475.0,475.0,475.0,26,475.0,2026-09-03T19:33:35.064157+00:00
2012-12-16,475.0,480.0,480.0,480.0,153,480.0,2026-09-03T19:33:35.064157+00:00
2012-12-17,480.0,485.0,474.0,485.0,2543,485.0,2026-09-03T19:33:35.064157+00:00
2012-12-18,485.0,480.0,480.0,480.0,66,480.0,2026-09-03T19:33:35.064157+00:00
2012-12-19,480.0,480.0,480.0,480.0,287,480.0,2026-09-03T19:33:35.064157+00:00
2012-12-20,480.0,489.0,480.0,480.0,351,480.0,2026-09-03T19:33:35.064157+00:00
2012-12-23,480.0,475.0,473.0,473.0,166,473.0,2026-09-03T19:33:35.064157+00:00
2012-12-24,473.0,486.0,482.0,486.0,1453,486.0,2026-09-03T19:33:35.064157+00:00
2012-12-26,486.0,494.0,486.0,494.0,149,494.0,2026-09-03T19:33:35.064157+00:00
2012-12-27,494.0,490.0,485.0,485.0,443,485.0,2026-09-03T19:33:35.064157+00:00
2012-12-31,485.0,494.0,485.0,494.0,532,494.0,2026-09-03T19:33:35.064157+00:00
2013-01-01,494.0,495.0,495.0,495.0,341,495.0,2026-09-03T19:33:35.064157+00:00
2013-01-02,495.0,504.0,487.0,487.0,1308,487.0,2026-09-03T19:33:35.064157+00:00
2013-01-03,487.0,525.0,494.0,525.0,1605,525.0,2026-09-03T19:33:35.064157+00:00
2013-01-06,525.0,515.0,505.0,505.0,98,505.0,2026-09-03T19:33:35.064157+00:00
2013-01-07,505.0,499.0,489.0,499.0,1212,499.0,2026-09-03T19:33:35.064157+00:00
2013-01-08,499.0,505.0,500.0,500.0,306,500.0,2026-09-03T19:33:35.064157+00:00
2013-01-10,500.0,510.0,505.0,510.0,582,510.0,2026-09-03T19:33:35.064157+00:00
2013-01-13,510.0,530.0,520.0,530.0,851,530.0,2026-09-03T19:33:35.064157+00:00
2013-01-15,530.0,535.0,535.0,535.0,3421,535.0,2026-09-03T19:33:35.064157+00:00
2013-01-16,535.0,535.0,535.0,535.0,1304,535.0,2026-09-03T19:33:35.064157+00:00
2013-01-17,535.0,525.0,518.0,518.0,1452,518.0,2026-09-03T19:33:35.064157+00:00
2013-01-21,518.0,528.0,528.0,528.0,64,528.0,2026-09-03T19:33:35.064157+00:00
2013-01-22,528.0,538.0,522.0,538.0,1776,538.0,2026-09-03T19:33:35.064157+00:00
2013-01-23,538.0,565.0,540.0,565.0,3791,565.0,2026-09-03T19:33:35.064157+00:00
2013-01-24,565.0,554.0,554.0,554.0,500,554.0,2026-09-03T19:33:35.064157+00:00
2013-01-27,554.0,560.0,560.0,560.0,620,560.0,2026-09-03T19:33:35.064157+00:00
2013-01-28,560.0,549.0,539.0,539.0,235,539.0,2026-09-03T19:33:35.064157+00:00
2013-01-31,539.0,549.0,549.0,549.0,15,549.0,2026-09-03T19:33:35.064157+00:00
2013-02-05,549.0,545.0,535.0,545.0,471,545.0,2026-09-03T19:33:35.064157+00:00
2013-02-07,545.0,545.0,540.0,545.0,619,545.0,2026-09-03T19:33:35.064157+00:00
2013-02-10,545.0,555.0,550.0,555.0,1566,555.0,2026-09-03T19:33:35.064157+00:00
2013-02-12,555.0,585.0,555.0,585.0,1634,585.0,2026-09-03T19:33:35.064157+00:00
2013-02-14,585.0,585.0,580.0,585.0,106,585.0,2026-09-03T19:33:35.064157+00:00
2013-02-17,585.0,607.0,596.0,607.0,277,607.0,2026-09-03T19:33:35.064157+00:00
2013-02-19,607.0,620.0,608.0,608.0,1457,608.0,2026-09-03T19:33:35.064157+00:00
2013-02-20,608.0,620.0,610.0,610.0,420,610.0,2026-09-03T19:33:35.064157+00:00
2013-02-21,610.0,640.0,615.0,627.0,5103,627.0,2026-09-03T19:33:35.064157+00:00
2013-02-24,627.0,639.0,616.0,638.0,2414,638.0,2026-09-03T19:33:35.064157+00:00
2013-02-25,638.0,652.0,640.0,652.0,2652,652.0,2026-09-03T19:33:35.064157+00:00
2013-02-26,652.0,678.0,647.0,660.0,2610,660.0,2026-09-03T19:33:35.064157+00:00
2013-02-27,660.0,657.0,657.0,657.0,296,657.0,2026-09-03T19:33:35.064157+00:00
2013-02-28,657.0,710.0,661.0,710.0,2492,710.0,2026-09-03T19:33:35.064157+00:00
2013-03-03,710.0,696.0,691.0,691.0,492,691.0,2026-09-03T19:33:35.064157+00:00
2013-03-04,691.0,682.0,666.0,666.0,4644,666.0,2026-09-03T19:33:35.064157+00:00
2013-03-05,666.0,662.0,647.0,655.0,4841,655.0,2026-09-03T19:33:35.064157+00:00
2013-03-06,655.0,655.0,655.0,655.0,412,655.0,2026-09-03T19:33:35.064157+00:00
2013-03-07,655.0,665.0,657.0,665.0,2757,665.0,2026-09-03T19:33:35.064157+00:00
2013-03-11,665.0,675.0,670.0,670.0,685,670.0,2026-09-03T19:33:35.064157+00:00
2013-03-13,670.0,683.0,655.0,665.0,1243,665.0,2026-09-03T19:33:35.064157+00:00
2013-03-18,665.0,522.0,522.0,522.0,27,522.0,2026-09-03T19:33:35.064157+00:00
2013-03-19,522.0,532.0,532.0,532.0,18,532.0,2026-09-03T19:33:35.064157+00:00
2013-03-20,532.0,563.0,542.0,563.0,56,563.0,2026-09-03T19:33:35.064157+00:00
2013-03-21,563.0,573.0,573.0,573.0,76,573.0,2026-09-03T19:33:35.064157+00:00
2013-03-24,573.0,565.0,565.0,565.0,150,565.0,2026-09-03T19:33:35.064157+00:00
2013-04-02,565.0,576.0,576.0,576.0,18,576.0,2026-09-03T19:33:35.064157+00:00
2013-04-07,576.0,565.0,565.0,565.0,103,565.0,2026-09-03T19:33:35.064157+00:00
2013-04-08,565.0,560.0,525.0,525.0,5167,525.0,2026-09-03T19:33:35.064157+00:00
2013-04-09,525.0,535.0,528.0,528.0,638,528.0,2026-09-03T19:33:35.064157+00:00
2013-04-11,528.0,558.0,538.0,558.0,777,558.0,2026-09-03T19:33:35.064157+00:00
2013-04-15,558.0,558.0,558.0,558.0,10000,558.0,2026-09-03T19:33:35.064157+00:00
2013-04-16,558.0,547.0,535.0,535.0,1192,535.0,2026-09-03T19:33:35.064157+00:00
2013-04-17,535.0,534.0,525.0,534.0,32700,534.0,2026-09-03T19:33:35.064157+00:00
2013-04-18,534.0,530.0,530.0,530.0,650,530.0,2026-09-03T19:33:35.064157+00:00
2013-04-21,530.0,540.0,535.0,540.0,200,540.0,2026-09-03T19:33:35.064157+00:00
2013-04-22,540.0,535.0,525.0,525.0,203,525.0,2026-09-03T19:33:35.064157+00:00
2013-04-23,525.0,525.0,525.0,525.0,3500,525.0,2026-09-03T19:33:35.064157+00:00
2013-04-28,525.0,526.0,525.0,525.0,197,525.0,2026-09-03T19:33:35.064157+00:00
2013-04-30,525.0,534.0,525.0,534.0,118,534.0,2026-09-03T19:33:35.064157+00:00
2013-05-05,534.0,544.0,544.0,544.0,33,544.0,2026-09-03T19:33:35.064157+00:00
2013-05-08,544.0,534.0,534.0,534.0,20,534.0,2026-09-03T19:33:35.064157+00:00
2013-05-13,534.0,534.0,502.0,510.0,11917,510.0,2026-09-03T19:33:35.064157+00:00
2013-05-14,510.0,510.0,505.0,505.0,418,505.0,2026-09-03T19:33:35.064157+00:00
2013-05-16,505.0,555.0,512.0,555.0,432,555.0,2026-09-03T19:33:35.064157+00:00
2013-05-19,555.0,550.0,544.0,544.0,2202,544.0,2026-09-03T19:33:35.064157+00:00
2013-05-20,544.0,534.0,521.0,531.0,5358,531.0,2026-09-03T19:33:35.064157+00:00
2013-05-21,531.0,531.0,511.0,531.0,12239,531.0,2026-09-03T19:33:35.064157+00:00
2013-05-23,531.0,539.0,521.0,539.0,331,539.0,2026-09-03T19:33:35.064157+00:00
2013-05-26,539.0,535.0,535.0,535.0,318,535.0,2026-09-03T19:33:35.064157+00:00
2013-05-27,535.0,561.0,540.0,549.0,763,549.0,2026-09-03T19:33:35.064157+00:00
2013-05-28,549.0,559.0,510.0,510.0,532,510.0,2026-09-03T19:33:35.064157+00:00
2013-05-30,510.0,531.0,500.0,531.0,264217,531.0,2026-09-03T19:33:35.064157+00:00
2013-06-02,531.0,580.0,541.0,567.0,2541,567.0,2026-09-03T19:33:35.064157+00:00
2013-06-03,567.0,570.0,556.0,570.0,3725,570.0,2026-09-03T19:33:35.064157+00:00
2013-06-04,570.0,570.0,570.0,570.0,446,570.0,2026-09-03T19:33:35.064157+00:00
2013-06-05,570.0,570.0,570.0,570.0,1410,570.0,2026-09-03T19:33:35.064157+00:00
2013-06-09,570.0,560.0,560.0,560.0,77,560.0,2026-09-03T19:33:35.064157+00:00
2013-06-11,560.0,580.0,570.0,580.0,2925,580.0,2026-09-03T19:33:35.064157+00:00
2013-06-12,580.0,578.0,560.0,560.0,770,560.0,2026-09-03T19:33:35.064157+00:00
2013-06-13,560.0,551.0,551.0,551.0,156,551.0,2026-09-03T19:33:35.064157+00:00
2013-06-16,551.0,550.0,541.0,550.0,135,550.0,2026-09-03T19:33:35.064157+00:00
2013-06-18,550.0,551.0,540.0,541.0,11448,541.0,2026-09-03T19:33:35.064157+00:00
2013-06-19,541.0,550.0,550.0,550.0,205,550.0,2026-09-03T19:33:35.064157+00:00
2013-06-23,550.0,561.0,550.0,550.0,7272,550.0,2026-09-03T19:33:35.064157+00:00
2013-06-24,550.0,555.0,548.0,548.0,15190,548.0,2026-09-03T19:33:35.064157+00:00
2013-06-25,548.0,579.0,557.0,579.0,1839,579.0,2026-09-03T19:33:35.064157+00:00
2013-06-26,579.0,590.0,575.0,575.0,1624,575.0,2026-09-03T19:33:35.064157+00:00
2013-06-27,575.0,564.0,550.0,550.0,944,550.0,2026-09-03T19:33:35.064157+00:00
2013-06-30,550.0,561.0,540.0,561.0,491,561.0,2026-09-03T19:33:35.064157+00:00
2013-07-02,561.0,576.0,565.0,576.0,417,576.0,2026-09-03T19:33:35.064157+00:00
2013-07-03,576.0,570.0,567.0,570.0,267,570.0,2026-09-03T19:33:35.064157+00:00
