date,open,high,low,close,volume,adj_close,fetched_at
2025-04-21,10.0,10.0,9.08,9.23,10900,9.23,2026-09-03T19:37:00.447914+00:00
2025-04-22,9.1,9.25,9.06,9.1,14100,9.1,2026-09-03T19:37:00.447914+00:00
2025-04-23,9.0,9.14,8.93,9.05,8600,9.05,2026-09-03T19:37:00.447914+00:00
2025-04-24,9.0,9.11,8.94,9.02,11600,9.02,2026-09-03T19:37:00.447914+00:00
2025-04-27,8.93,9.12,8.93,9.09,10275,9.09,2026-09-03T19:37:00.447914+00:00
2025-04-28,8.93,9.27,8.93,9.25,9312,9.25,2026-09-03T19:37:00.447914+00:00
2025-04-29,9.07,9.15,9.01,9.04,5550,9.04,2026-09-03T19:37:00.447914+00:00
2025-04-30,8.89,9.11,8.89,9.04,12060,9.04,2026-09-03T19:37:00.447914+00:00
2025-05-04,8.86,9.2,8.86,9.05,21510,9.05,2026-09-03T19:37:00.447914+00:00
2025-05-05,8.95,9.06,8.88,9.05,17700,9.05,2026-09-03T19:37:00.447914+00:00
2025-05-06,8.9,9.0,8.87,9.0,22844,9.0,2026-09-03T19:37:00.447914+00:00
2025-05-07,9.0,9.06,8.82,8.9,26300,8.9,2026-09-03T19:37:00.447914+00:00
2025-05-08,8.74,9.08,8.39,8.64,229600,8.64,2026-09-03T19:37:00.447914+00:00
2025-05-11,8.47,8.81,8.45,8.47,22700,8.47,2026-09-03T19:37:00.447914+00:00
2025-05-13,8.34,8.91,8.34,8.47,74729,8.47,2026-09-03T19:37:00.447914+00:00
2025-05-14,8.35,8.63,8.31,8.41,34500,8.41,2026-09-03T19:37:00.447914+00:00
2025-05-15,8.33,8.59,8.25,8.46,42690,8.46,2026-09-03T19:37:00.447914+00:00
2025-05-18,8.3,8.65,8.16,8.4,28000,8.4,2026-09-03T19:37:00.447914+00:00
2025-05-19,8.34,8.61,8.34,8.4,13000,8.4,2026-09-03T19:37:00.447914+00:00
2025-05-20,8.25,8.72,8.25,8.64,103510,8.64,2026-09-03T19:37:00.447914+00:00
2025-05-21,8.64,8.98,8.47,8.57,14720,8.57,2026-09-03T19:37:00.447914+00:00
2025-05-22,8.58,8.73,8.42,8.67,11550,8.67,2026-09-03T19:37:00.447914+00:00
2025-05-25,8.5,8.8,8.5,8.57,15110,8.57,2026-09-03T19:37:00.447914+00:00
2025-05-26,8.4,8.74,8.4,8.5,6780,8.5,2026-09-03T19:37:00.447914+00:00
2025-05-27,8.34,8.58,8.34,8.43,9600,8.43,2026-09-03T19:37:00.447914+00:00
2025-05-28,8.27,9.03,8.27,8.59,15200,8.59,2026-09-03T19:37:00.447914+00:00
2025-06-02,8.43,8.5,8.33,8.5,11900,8.5,2026-09-03T19:37:00.447914+00:00
2025-06-03,8.38,8.5,8.38,8.42,7910,8.42,2026-09-03T19:37:00.447914+00:00
2025-06-04,8.27,8.74,8.27,8.51,18810,8.51,2026-09-03T19:37:00.447914+00:00
2025-06-05,8.34,8.71,8.21,8.7,19600,8.7,2026-09-03T19:37:00.447914+00:00
2025-06-08,8.53,8.69,8.5,8.66,15719,8.66,2026-09-03T19:37:00.447914+00:00
2025-06-09,8.66,8.82,8.21,8.57,68570,8.57,2026-09-03T19:37:00.447914+00:00
2025-06-10,8.73,8.73,8.42,8.55,502500,8.55,2026-09-03T19:37:00.447914+00:00
2025-06-11,8.5,8.71,8.5,8.69,5940,8.69,2026-09-03T19:37:00.447914+00:00
2025-06-12,8.52,8.57,8.52,8.55,9000,8.55,2026-09-03T19:37:00.447914+00:00
2025-06-15,8.55,9.1,8.55,8.8,694834,8.8,2026-09-03T19:37:00.447914+00:00
2025-06-16,8.63,8.9,8.5,8.67,5640,8.67,2026-09-03T19:37:00.447914+00:00
2025-06-17,8.5,8.84,8.44,8.57,11900,8.57,2026-09-03T19:37:00.447914+00:00
2025-06-18,8.45,8.94,8.45,8.7,6600,8.7,2026-09-03T19:37:00.447914+00:00
2025-06-19,8.56,8.61,8.56,8.57,5300,8.57,2026-09-03T19:37:00.447914+00:00
2025-06-22,8.56,8.65,8.42,8.65,34550,8.65,2026-09-03T19:37:00.447914+00:00
2025-06-23,8.5,8.7,8.48,8.7,23230,8.7,2026-09-03T19:37:00.447914+00:00
2025-06-24,8.53,8.7,8.43,8.69,8550,8.69,2026-09-03T19:37:00.447914+00:00
2025-06-25,8.69,8.73,8.53,8.72,21410,8.72,2026-09-03T19:37:00.447914+00:00
2025-06-26,8.89,9.06,8.44,8.77,11300,8.77,2026-09-03T19:37:00.447914+00:00
2025-06-29,8.75,8.94,8.61,8.7,11350,8.7,2026-09-03T19:37:00.447914+00:00
2025-06-30,8.7,8.98,8.61,8.8,4900,8.8,2026-09-03T19:37:00.447914+00:00
2025-07-01,8.96,9.1,8.64,8.67,16800,8.67,2026-09-03T19:37:00.447914+00:00
2025-07-02,8.5,8.67,8.5,8.65,3630,8.65,2026-09-03T19:37:00.447914+00:00
2025-07-03,8.82,9.16,8.5,8.69,43700,8.69,2026-09-03T19:37:00.447914+00:00
2025-07-06,8.55,9.0,8.55,8.91,16000,8.91,2026-09-03T19:37:00.447914+00:00
2025-07-07,8.91,9.18,8.74,8.9,27860,8.9,2026-09-03T19:37:00.447914+00:00
2025-07-08,8.73,8.99,8.63,8.98,5600,8.98,2026-09-03T19:37:00.447914+00:00
2025-07-09,8.81,9.1,8.66,8.71,2700,8.71,2026-09-03T19:37:00.447914+00:00
2025-07-10,8.8,9.0,8.8,8.99,2050,8.99,2026-09-03T19:37:00.447914+00:00
2025-07-13,8.82,9.1,8.76,9.01,30500,9.01,2026-09-03T19:37:00.447914+00:00
2025-07-14,9.19,9.19,8.75,9.01,9200,9.01,2026-09-03T19:37:00.447914+00:00
2025-07-15,8.9,9.16,8.83,9.14,4000,9.14,2026-09-03T19:37:00.447914+00:00
2025-07-16,9.0,9.5,8.92,9.06,536450,9.06,2026-09-03T19:37:00.447914+00:00
2025-07-17,9.06,9.53,8.99,9.25,45450,9.25,2026-09-03T19:37:00.447914+00:00
2025-07-20,9.09,9.6,9.08,9.13,122560,9.13,2026-09-03T19:37:00.447914+00:00
2025-07-21,9.31,9.38,9.03,9.3,4700,9.3,2026-09-03T19:37:00.447914+00:00
2025-07-22,9.3,9.48,9.13,9.17,36100,9.17,2026-09-03T19:37:00.447914+00:00
2025-07-23,8.99,9.4,8.99,9.4,15700,9.4,2026-09-03T19:37:00.447914+00:00
2025-07-24,9.22,9.58,9.22,9.26,13350,9.26,2026-09-03T19:37:00.447914+00:00
2025-07-27,9.08,9.38,8.91,9.38,44898,9.38,2026-09-03T19:37:00.447914+00:00
2025-07-28,9.38,9.51,9.03,9.3,12300,9.3,2026-09-03T19:37:00.447914+00:00
2025-07-29,9.12,9.48,9.12,9.26,14400,9.26,2026-09-03T19:37:00.447914+00:00
2025-07-30,9.44,9.44,9.12,9.31,28600,9.31,2026-09-03T19:37:00.447914+00:00
2025-07-31,9.13,9.39,8.97,9.13,5100,9.13,2026-09-03T19:37:00.447914+00:00
2025-08-03,9.13,9.31,8.79,8.92,16850,8.92,2026-09-03T19:37:00.447914+00:00
2025-08-04,9.09,9.12,8.9,8.97,5400,8.97,2026-09-03T19:37:00.447914+00:00
2025-08-05,9.14,9.14,8.8,9.1,6000,9.1,2026-09-03T19:37:00.447914+00:00
2025-08-06,8.92,9.18,8.89,9.0,22410,9.0,2026-09-03T19:37:00.447914+00:00
2025-08-07,9.1,9.27,8.92,9.09,3750,9.09,2026-09-03T19:37:00.447914+00:00
2025-08-11,9.25,9.25,8.8,8.86,26700,8.86,2026-09-03T19:37:00.447914+00:00
2025-08-12,9.03,9.1,8.8,9.1,27310,9.1,2026-09-03T19:37:00.447914+00:00
2025-08-13,8.93,9.12,8.93,9.05,4050,9.05,2026-09-03T19:37:00.447914+00:00
2025-08-14,9.0,9.1,9.0,9.05,3600,9.05,2026-09-03T19:37:00.447914+00:00
2025-08-17,9.0,9.05,8.92,9.01,6550,9.01,2026-09-03T19:37:00.447914+00:00
2025-08-18,8.91,9.02,8.91,8.97,13100,8.97,2026-09-03T19:37:00.447914+00:00
2025-08-19,8.91,9.18,8.85,9.04,19100,9.04,2026-09-03T19:37:00.447914+00:00
2025-08-20,9.0,9.07,8.72,8.79,66300,8.79,2026-09-03T19:37:00.447914+00:00
2025-08-21,8.8,9.12,8.8,8.86,14600,8.86,2026-09-03T19:37:00.447914+00:00
2025-08-24,8.86,8.93,8.75,8.93,2450,8.93,2026-09-03T19:37:00.447914+00:00
2025-08-25,8.77,8.94,8.77,8.85,2500,8.85,2026-09-03T19:37:00.447914+00:00
2025-08-26,8.85,9.08,8.8,9.0,7750,9.0,2026-09-03T19:37:00.447914+00:00
2025-08-27,9.18,9.18,8.83,9.02,7400,9.02,2026-09-03T19:37:00.447914+00:00
2025-08-28,9.02,9.15,8.85,9.15,15200,9.15,2026-09-03T19:37:00.447914+00:00
2025-08-31,8.97,9.0,8.97,9.0,4952,9.0,2026-09-03T19:37:00.447914+00:00
2025-09-01,8.9,9.1,8.73,9.1,14180,9.1,2026-09-03T19:37:00.447914+00:00
2025-09-02,8.92,8.92,8.76,8.86,2400,8.86,2026-09-03T19:37:00.447914+00:00
2025-09-03,8.82,9.15,8.82,9.15,8950,9.15,2026-09-03T19:37:00.447914+00:00
2025-09-04,8.97,9.3,8.91,8.91,7900,8.91,2026-09-03T19:37:00.447914+00:00
2025-09-07,8.85,9.15,8.8,9.15,26700,9.15,2026-09-03T19:37:00.447914+00:00
2025-09-08,8.98,9.1,8.98,9.0,3390,9.0,2026-09-03T19:37:00.447914+00:00
2025-09-21,8.82,8.99,8.66,8.76,46422,8.76,2026-09-03T19:37:00.447914+00:00
2025-09-23,8.6,8.85,8.6,8.76,2710,8.76,2026-09-03T19:37:00.447914+00:00
2025-09-24,8.75,8.93,8.75,8.82,3450,8.82,2026-09-03T19:37:00.447914+00:00
