date,open,high,low,close,volume,adj_close,fetched_at
2015-12-23,337.0,370.0,343.0,370.0,60,370.0,2026-09-03T19:34:31.380656+00:00
2015-12-24,370.0,398.0,377.0,398.0,50,398.0,2026-09-03T19:34:31.380656+00:00
2015-12-27,398.0,437.0,405.0,437.0,50,437.0,2026-09-03T19:34:31.380656+00:00
2015-12-28,437.0,480.0,445.0,480.0,50,480.0,2026-09-03T19:34:31.380656+00:00
2015-12-29,480.0,528.0,489.0,528.0,60,528.0,2026-09-03T19:34:31.380656+00:00
2015-12-31,528.0,580.0,538.0,580.0,50,580.0,2026-09-03T19:34:31.380656+00:00
2016-01-03,504.0,554.0,514.0,554.0,340,554.0,2026-09-03T19:34:31.380656+00:00
2016-01-11,554.0,609.0,565.0,609.0,50,609.0,2026-09-03T19:34:31.380656+00:00
2016-01-12,609.0,669.0,621.0,669.0,700,669.0,2026-09-03T19:34:31.380656+00:00
2016-01-13,669.0,735.0,682.0,735.0,120,735.0,2026-09-03T19:34:31.380656+00:00
2016-01-14,735.0,808.0,749.0,808.0,80,808.0,2026-09-03T19:34:31.380656+00:00
2016-03-29,808.0,840.0,824.0,840.0,20,840.0,2026-09-03T19:34:31.380656+00:00
2016-04-03,840.0,907.0,856.0,907.0,40,907.0,2026-09-03T19:34:31.380656+00:00
2016-04-04,907.0,925.0,925.0,925.0,10,925.0,2026-09-03T19:34:31.380656+00:00
2016-04-11,925.0,971.0,971.0,971.0,10,971.0,2026-09-03T19:34:31.380656+00:00
2016-04-12,971.0,1019.0,1019.0,1019.0,10,1019.0,2026-09-03T19:34:31.380656+00:00
2016-04-21,1019.0,1039.0,1039.0,1039.0,10,1039.0,2026-09-03T19:34:31.380656+00:00
2016-04-26,1039.0,1090.0,1090.0,1090.0,10,1090.0,2026-09-03T19:34:31.380656+00:00
2016-05-08,1090.0,1144.0,1144.0,1144.0,40,1144.0,2026-09-03T19:34:31.380656+00:00
2016-05-11,1144.0,1166.0,1166.0,1166.0,10,1166.0,2026-09-03T19:34:31.380656+00:00
2016-05-17,1166.0,1224.0,1224.0,1224.0,10,1224.0,2026-09-03T19:34:31.380656+00:00
2016-05-18,1224.0,1285.0,1285.0,1285.0,10,1285.0,2026-09-03T19:34:31.380656+00:00
2016-05-22,1285.0,1375.0,1349.0,1375.0,20,1375.0,2026-09-03T19:34:31.380656+00:00
2016-05-23,1375.0,1500.0,1443.0,1500.0,40,1500.0,2026-09-03T19:34:31.380656+00:00
2016-05-24,1500.0,1638.0,1575.0,1638.0,40,1638.0,2026-09-03T19:34:31.380656+00:00
2016-05-25,1638.0,1703.0,1670.0,1703.0,30,1703.0,2026-09-03T19:34:31.380656+00:00
2016-05-31,1703.0,1806.0,1737.0,1806.0,30,1806.0,2026-09-03T19:34:31.380656+00:00
2016-06-02,1806.0,1842.0,1842.0,1842.0,10,1842.0,2026-09-03T19:34:31.380656+00:00
2016-06-08,1842.0,1855.0,1855.0,1855.0,10,1855.0,2026-09-03T19:34:31.380656+00:00
2016-06-13,1855.0,2024.0,1947.0,2024.0,30,2024.0,2026-09-03T19:34:31.380656+00:00
2016-06-14,2024.0,2105.0,2064.0,2105.0,20,2105.0,2026-09-03T19:34:31.380656+00:00
2016-06-15,2105.0,2315.0,2147.0,2315.0,70,2315.0,2026-09-03T19:34:31.380656+00:00
2016-06-16,2315.0,2361.0,2361.0,2361.0,10,2361.0,2026-09-03T19:34:31.380656+00:00
2016-06-19,2361.0,2578.0,2479.0,2578.0,30,2578.0,2026-09-03T19:34:31.380656+00:00
2016-06-20,2578.0,2681.0,2629.0,2681.0,60,2681.0,2026-09-03T19:34:31.380656+00:00
2016-06-21,2681.0,2949.0,2734.0,2949.0,50,2949.0,2026-09-03T19:34:31.380656+00:00
2016-06-22,2949.0,3243.0,3007.0,3243.0,160,3243.0,2026-09-03T19:34:31.380656+00:00
2016-06-23,3243.0,3567.0,3307.0,3567.0,950,3567.0,2026-09-03T19:34:31.380656+00:00
2016-06-26,3567.0,3923.0,3540.0,3600.0,2847,3600.0,2026-09-03T19:34:31.380656+00:00
2016-06-27,3600.0,3550.0,3500.0,3500.0,210,3500.0,2026-09-03T19:34:31.380656+00:00
2016-06-28,3500.0,3551.0,3450.0,3551.0,1740,3551.0,2026-09-03T19:34:31.380656+00:00
2016-06-29,3551.0,3695.0,3536.0,3635.0,960,3635.0,2026-09-03T19:34:31.380656+00:00
2016-06-30,3635.0,3835.0,3650.0,3790.0,500,3790.0,2026-09-03T19:34:31.380656+00:00
2016-07-03,3790.0,4130.0,3781.0,4130.0,1655,4130.0,2026-09-03T19:34:31.380656+00:00
2016-07-04,4130.0,4136.0,4025.0,4136.0,980,4136.0,2026-09-03T19:34:31.380656+00:00
2016-07-05,4136.0,4145.0,4070.0,4108.0,320,4108.0,2026-09-03T19:34:31.380656+00:00
2016-07-06,4108.0,4180.0,4000.0,4151.0,470,4151.0,2026-09-03T19:34:31.380656+00:00
2016-07-10,4151.0,4220.0,4140.0,4152.0,720,4152.0,2026-09-03T19:34:31.380656+00:00
2016-07-11,4152.0,4070.0,4015.0,4040.0,380,4040.0,2026-09-03T19:34:31.380656+00:00
2016-07-12,4040.0,4039.0,4000.0,4030.0,360,4030.0,2026-09-03T19:34:31.380656+00:00
2016-07-13,4030.0,3953.0,3800.0,3902.0,160,3902.0,2026-09-03T19:34:31.380656+00:00
2016-07-14,3902.0,4124.0,3980.0,4100.0,320,4100.0,2026-09-03T19:34:31.380656+00:00
2016-07-17,4100.0,4018.0,3690.0,3690.0,250,3690.0,2026-09-03T19:34:31.380656+00:00
2016-07-18,3690.0,3748.0,3333.0,3711.0,1220,3711.0,2026-09-03T19:34:31.380656+00:00
2016-07-19,3711.0,3835.0,3650.0,3835.0,590,3835.0,2026-09-03T19:34:31.380656+00:00
2016-07-20,3835.0,3800.0,3701.0,3800.0,490,3800.0,2026-09-03T19:34:31.380656+00:00
2016-07-21,3800.0,3750.0,3640.0,3640.0,150,3640.0,2026-09-03T19:34:31.380656+00:00
2016-07-25,3640.0,3800.0,3570.0,3800.0,140,3800.0,2026-09-03T19:34:31.380656+00:00
2016-07-26,3800.0,4180.0,3870.0,4180.0,1153,4180.0,2026-09-03T19:34:31.380656+00:00
