date,open,high,low,close,volume,adj_close,fetched_at
2017-02-08,0.0,506.0,506.0,506.0,10,506.0,2026-09-03T19:34:37.139639+00:00
2017-02-14,506.0,516.0,516.0,516.0,10,516.0,2026-09-03T19:34:37.139639+00:00
2017-02-19,516.0,567.0,526.0,567.0,1000,567.0,2026-09-03T19:34:37.139639+00:00
2017-02-23,567.0,600.0,578.0,600.0,40,600.0,2026-09-03T19:34:37.139639+00:00
2017-03-14,600.0,612.0,612.0,612.0,10,612.0,2026-09-03T19:34:37.139639+00:00
2017-03-20,612.0,624.0,624.0,624.0,10,624.0,2026-09-03T19:34:37.139639+00:00
2017-03-21,624.0,648.0,636.0,648.0,30,648.0,2026-09-03T19:34:37.139639+00:00
2017-04-09,648.0,660.0,660.0,660.0,19,660.0,2026-09-03T19:34:37.139639+00:00
2017-04-11,648.0,680.0,680.0,680.0,29,680.0,2026-09-03T19:34:37.139639+00:00
2017-04-13,680.0,693.0,693.0,693.0,10,693.0,2026-09-03T19:34:37.139639+00:00
2017-05-02,693.0,706.0,706.0,706.0,10,706.0,2026-09-03T19:34:37.139639+00:00
2017-05-18,706.0,741.0,741.0,741.0,20,741.0,2026-09-03T19:34:37.139639+00:00
2017-05-22,741.0,815.0,755.0,815.0,70,815.0,2026-09-03T19:34:37.139639+00:00
2017-05-24,815.0,863.0,831.0,863.0,30,863.0,2026-09-03T19:34:37.139639+00:00
2017-05-30,863.0,914.0,880.0,914.0,30,914.0,2026-09-03T19:34:37.139639+00:00
2017-06-06,914.0,932.0,932.0,932.0,40,932.0,2026-09-03T19:34:37.139639+00:00
2017-06-08,914.0,932.0,932.0,932.0,10,932.0,2026-09-03T19:34:37.139639+00:00
2017-06-12,932.0,997.0,978.0,997.0,29,997.0,2026-09-03T19:34:37.139639+00:00
2017-06-13,997.0,1036.0,1016.0,1036.0,20,1036.0,2026-09-03T19:34:37.139639+00:00
2017-06-14,1036.0,1056.0,1056.0,1056.0,10,1056.0,2026-09-03T19:34:37.139639+00:00
2017-06-15,1036.0,1119.0,1056.0,1119.0,58,1119.0,2026-09-03T19:34:37.139639+00:00
2017-06-20,1119.0,1186.0,1141.0,1186.0,30,1186.0,2026-09-03T19:34:37.139639+00:00
2017-06-21,1186.0,1233.0,1209.0,1233.0,30,1233.0,2026-09-03T19:34:37.139639+00:00
2017-06-27,1233.0,1294.0,1294.0,1294.0,10,1294.0,2026-09-03T19:34:37.139639+00:00
2017-07-03,1294.0,1345.0,1319.0,1345.0,39,1345.0,2026-09-03T19:34:37.139639+00:00
2017-07-04,1345.0,1371.0,1371.0,1371.0,39,1371.0,2026-09-03T19:34:37.139639+00:00
2017-07-05,1371.0,1425.0,1398.0,1425.0,20,1425.0,2026-09-03T19:34:37.139639+00:00
2017-07-06,1425.0,1453.0,1453.0,1453.0,10,1453.0,2026-09-03T19:34:37.139639+00:00
2017-07-10,1453.0,1511.0,1482.0,1511.0,20,1511.0,2026-09-03T19:34:37.139639+00:00
2017-07-12,1511.0,1571.0,1541.0,1571.0,30,1571.0,2026-09-03T19:34:37.139639+00:00
2017-07-13,1571.0,1714.0,1649.0,1714.0,50,1714.0,2026-09-03T19:34:37.139639+00:00
2017-07-16,1714.0,1782.0,1748.0,1782.0,20,1782.0,2026-09-03T19:34:37.139639+00:00
2017-07-17,1782.0,1927.0,1817.0,1927.0,140,1927.0,2026-09-03T19:34:37.139639+00:00
2017-07-19,1927.0,1965.0,1965.0,1965.0,10,1965.0,2026-09-03T19:34:37.139639+00:00
2017-07-20,1965.0,2004.0,2004.0,2004.0,20,2004.0,2026-09-03T19:34:37.139639+00:00
2017-07-25,2004.0,2084.0,2044.0,2084.0,20,2084.0,2026-09-03T19:34:37.139639+00:00
2017-07-26,2084.0,2167.0,2125.0,2167.0,30,2167.0,2026-09-03T19:34:37.139639+00:00
2017-07-27,2167.0,2299.0,2210.0,2299.0,30,2299.0,2026-09-03T19:34:37.139639+00:00
2017-07-30,2299.0,2528.0,2344.0,2528.0,123,2528.0,2026-09-03T19:34:37.139639+00:00
2017-07-31,2528.0,2780.0,2578.0,2780.0,80,2780.0,2026-09-03T19:34:37.139639+00:00
2017-08-01,2780.0,3058.0,2919.0,3058.0,152,3058.0,2026-09-03T19:34:37.139639+00:00
2017-08-02,3058.0,3363.0,3119.0,3363.0,1369,3363.0,2026-09-03T19:34:37.139639+00:00
2017-08-03,3363.0,3699.0,3430.0,3699.0,8523,3699.0,2026-09-03T19:34:37.139639+00:00
2017-08-06,3699.0,3855.0,3650.0,3855.0,11155,3855.0,2026-09-03T19:34:37.139639+00:00
2017-08-07,3855.0,3860.0,3761.0,3795.0,5405,3795.0,2026-09-03T19:34:37.139639+00:00
2017-08-09,3795.0,3805.0,3750.0,3761.0,3152,3761.0,2026-09-03T19:34:37.139639+00:00
2017-08-10,3761.0,3761.0,3723.0,3725.0,2559,3725.0,2026-09-03T19:34:37.139639+00:00
2017-08-13,3725.0,3798.0,3561.0,3580.0,1769,3580.0,2026-09-03T19:34:37.139639+00:00
2017-08-15,3580.0,3630.0,3500.0,3630.0,1928,3630.0,2026-09-03T19:34:37.139639+00:00
