date,open,high,low,close,volume,adj_close,fetched_at
2020-06-29,424.0,432.0,382.0,382.0,9779,382.0,2026-09-03T19:35:15.037861+00:00
2020-06-30,363.0,363.0,344.0,344.0,20380,344.0,2026-09-03T19:35:15.037861+00:00
2020-07-01,327.0,378.0,315.0,378.0,41011,378.0,2026-09-03T19:35:15.037861+00:00
2020-07-02,396.0,415.0,368.0,383.0,152449,383.0,2026-09-03T19:35:15.037861+00:00
2020-07-05,380.0,415.0,370.0,400.0,384082,400.0,2026-09-03T19:35:15.037861+00:00
2020-07-06,400.0,440.0,400.0,440.0,337293,440.0,2026-09-03T19:35:15.037861+00:00
2020-07-07,462.0,484.0,453.0,484.0,189080,484.0,2026-09-03T19:35:15.037861+00:00
2020-07-08,508.0,532.0,480.0,508.0,501457,508.0,2026-09-03T19:35:15.037861+00:00
2020-07-09,515.0,516.0,486.0,504.0,302571,504.0,2026-09-03T19:35:15.037861+00:00
2020-07-12,504.0,535.0,501.0,509.0,279522,509.0,2026-09-03T19:35:15.037861+00:00
2020-07-13,512.0,517.0,501.0,508.0,202660,508.0,2026-09-03T19:35:15.037861+00:00
2020-07-14,505.0,510.0,497.0,500.0,221004,500.0,2026-09-03T19:35:15.037861+00:00
2020-07-15,500.0,510.0,500.0,504.0,193037,504.0,2026-09-03T19:35:15.037861+00:00
2020-07-16,529.0,529.0,503.0,521.0,182560,521.0,2026-09-03T19:35:15.037861+00:00
2020-07-19,547.0,573.0,547.0,570.0,44436,570.0,2026-09-03T19:35:15.037861+00:00
2020-07-20,598.0,618.0,537.0,565.0,309752,565.0,2026-09-03T19:35:15.037861+00:00
2020-07-21,565.0,567.0,550.0,557.0,223552,557.0,2026-09-03T19:35:15.037861+00:00
2020-07-22,560.0,561.0,528.0,535.0,301663,535.0,2026-09-03T19:35:15.037861+00:00
2020-07-23,535.0,547.0,520.0,545.0,212889,545.0,2026-09-03T19:35:15.037861+00:00
2020-07-26,520.0,552.0,520.0,549.0,373050,549.0,2026-09-03T19:35:15.037861+00:00
2020-07-27,559.0,575.0,553.0,562.0,264209,562.0,2026-09-03T19:35:15.037861+00:00
2020-07-28,562.0,569.0,555.0,566.0,183834,566.0,2026-09-03T19:35:15.037861+00:00
2020-07-29,567.0,588.0,557.0,584.0,272601,584.0,2026-09-03T19:35:15.037861+00:00
