date,open,high,low,close,volume,adj_close,fetched_at
2020-09-09,374.0,374.0,354.0,354.0,14498,354.0,2026-09-03T19:35:19.478483+00:00
2020-09-10,337.0,389.0,319.0,389.0,83295,389.0,2026-09-03T19:35:19.478483+00:00
2020-09-13,408.0,427.0,408.0,427.0,71494,427.0,2026-09-03T19:35:19.478483+00:00
2020-09-14,448.0,456.0,400.0,416.0,115029,416.0,2026-09-03T19:35:19.478483+00:00
2020-09-15,436.0,436.0,400.0,408.0,40769,408.0,2026-09-03T19:35:19.478483+00:00
2020-09-16,408.0,412.0,400.0,406.0,28882,406.0,2026-09-03T19:35:19.478483+00:00
2020-09-17,401.0,405.0,398.0,401.0,37908,401.0,2026-09-03T19:35:19.478483+00:00
2020-09-20,395.0,396.0,385.0,387.0,37140,387.0,2026-09-03T19:35:19.478483+00:00
2020-09-21,370.0,380.0,370.0,371.0,45446,371.0,2026-09-03T19:35:19.478483+00:00
2020-09-22,366.0,367.0,358.0,360.0,42449,360.0,2026-09-03T19:35:19.478483+00:00
2020-09-23,358.0,386.0,355.0,375.0,26060,375.0,2026-09-03T19:35:19.478483+00:00
2020-09-24,375.0,380.0,369.0,375.0,19135,375.0,2026-09-03T19:35:19.478483+00:00
2020-09-27,371.0,374.0,364.0,368.0,16779,368.0,2026-09-03T19:35:19.478483+00:00
2020-09-28,351.0,369.0,351.0,365.0,17357,365.0,2026-09-03T19:35:19.478483+00:00
2020-09-29,361.0,366.0,358.0,359.0,31940,359.0,2026-09-03T19:35:19.478483+00:00
2020-09-30,355.0,360.0,355.0,357.0,24501,357.0,2026-09-03T19:35:19.478483+00:00
2020-10-01,352.0,377.0,352.0,359.0,30235,359.0,2026-09-03T19:35:19.478483+00:00
2020-10-04,359.0,368.0,356.0,362.0,24105,362.0,2026-09-03T19:35:19.478483+00:00
2020-10-05,357.0,363.0,357.0,358.0,15312,358.0,2026-09-03T19:35:19.478483+00:00
2020-10-06,365.0,365.0,355.0,357.0,14308,357.0,2026-09-03T19:35:19.478483+00:00
2020-10-07,352.0,371.0,352.0,371.0,25735,371.0,2026-09-03T19:35:19.478483+00:00
2020-10-08,364.0,371.0,359.0,360.0,15029,360.0,2026-09-03T19:35:19.478483+00:00
