date,open,high,low,close,volume,adj_close,fetched_at
2023-04-03,10.0,10.0,9.9,10.0,1100,10.0,2026-09-03T19:36:11.747099+00:00
2023-04-04,9.85,9.85,9.85,9.85,500,9.85,2026-09-03T19:36:11.747099+00:00
2023-04-19,9.66,9.66,9.66,9.66,100,9.66,2026-09-03T19:36:11.747099+00:00
2023-04-20,9.47,9.47,8.69,8.69,4400,8.69,2026-09-03T19:36:11.747099+00:00
2023-04-23,8.52,8.52,7.87,8.06,8190,8.06,2026-09-03T19:36:11.747099+00:00
2023-04-24,7.9,7.9,7.31,7.66,2950,7.66,2026-09-03T19:36:11.747099+00:00
2023-04-25,7.7,7.95,7.7,7.84,2800,7.84,2026-09-03T19:36:11.747099+00:00
2023-04-26,7.69,7.85,7.69,7.79,5950,7.79,2026-09-03T19:36:11.747099+00:00
2023-04-27,7.64,7.86,7.64,7.8,4325,7.8,2026-09-03T19:36:11.747099+00:00
2023-04-30,7.95,8.1,7.8,8.06,5100,8.06,2026-09-03T19:36:11.747099+00:00
2023-05-02,8.06,8.23,8.06,8.08,3400,8.08,2026-09-03T19:36:11.747099+00:00
2023-05-03,7.99,8.01,7.94,8.01,6800,8.01,2026-09-03T19:36:11.747099+00:00
2023-05-04,7.86,8.48,7.85,8.32,10650,8.32,2026-09-03T19:36:11.747099+00:00
2023-05-07,8.32,8.32,8.16,8.16,2175,8.16,2026-09-03T19:36:11.747099+00:00
2023-05-08,8.0,8.29,7.87,8.29,5100,8.29,2026-09-03T19:36:11.747099+00:00
2023-05-09,8.13,8.13,8.13,8.13,400,8.13,2026-09-03T19:36:11.747099+00:00
2023-05-10,8.12,8.13,7.99,7.99,1800,7.99,2026-09-03T19:36:11.747099+00:00
2023-05-11,7.84,8.0,7.84,7.88,5575,7.88,2026-09-03T19:36:11.747099+00:00
2023-05-14,7.88,8.03,7.88,8.03,1000,8.03,2026-09-03T19:36:11.747099+00:00
2023-05-15,7.87,7.88,7.87,7.88,300,7.88,2026-09-03T19:36:11.747099+00:00
2023-05-16,7.8,7.82,7.8,7.82,700,7.82,2026-09-03T19:36:11.747099+00:00
2023-05-17,7.97,8.25,7.93,8.1,2525,8.1,2026-09-03T19:36:11.747099+00:00
2023-05-18,7.97,8.12,7.97,8.03,2800,8.03,2026-09-03T19:36:11.747099+00:00
2023-05-21,8.03,8.03,7.89,7.95,1600,7.95,2026-09-03T19:36:11.747099+00:00
2023-05-22,7.81,8.0,7.81,8.0,425,8.0,2026-09-03T19:36:11.747099+00:00
2023-05-23,8.16,8.79,8.16,8.5,2400,8.5,2026-09-03T19:36:11.747099+00:00
2023-05-24,8.33,8.33,8.21,8.22,1400,8.22,2026-09-03T19:36:11.747099+00:00
2023-05-28,8.22,8.22,8.12,8.21,3300,8.21,2026-09-03T19:36:11.747099+00:00
2023-05-30,8.37,8.56,8.15,8.25,6300,8.25,2026-09-03T19:36:11.747099+00:00
2023-05-31,8.3,8.3,8.15,8.21,1404,8.21,2026-09-03T19:36:11.747099+00:00
2023-06-01,8.05,8.05,7.91,8.01,4125,8.01,2026-09-03T19:36:11.747099+00:00
2023-06-04,8.01,8.11,8.01,8.11,800,8.11,2026-09-03T19:36:11.747099+00:00
2023-06-05,8.15,8.15,8.1,8.13,3660,8.13,2026-09-03T19:36:11.747099+00:00
2023-06-06,8.29,8.29,8.29,8.29,100,8.29,2026-09-03T19:36:11.747099+00:00
2023-06-07,8.25,8.32,8.16,8.23,1600,8.23,2026-09-03T19:36:11.747099+00:00
2023-06-08,8.1,8.25,8.1,8.25,900,8.25,2026-09-03T19:36:11.747099+00:00
2023-06-11,8.1,8.41,8.1,8.31,2950,8.31,2026-09-03T19:36:11.747099+00:00
2023-06-12,8.46,8.46,8.15,8.3,2199,8.3,2026-09-03T19:36:11.747099+00:00
2023-06-13,8.2,8.46,8.19,8.46,5899,8.46,2026-09-03T19:36:11.747099+00:00
2023-06-14,8.3,8.33,8.3,8.33,4830,8.33,2026-09-03T19:36:11.747099+00:00
2023-06-15,8.31,8.48,8.31,8.43,6390,8.43,2026-09-03T19:36:11.747099+00:00
2023-06-18,8.32,8.7,8.32,8.7,3915,8.7,2026-09-03T19:36:11.747099+00:00
2023-06-19,8.6,8.77,8.6,8.61,2700,8.61,2026-09-03T19:36:11.747099+00:00
2023-06-20,8.7,8.8,8.7,8.75,7350,8.75,2026-09-03T19:36:11.747099+00:00
2023-06-21,8.58,8.8,8.58,8.8,2300,8.8,2026-09-03T19:36:11.747099+00:00
2023-06-22,8.89,9.1,8.88,9.0,1400,9.0,2026-09-03T19:36:11.747099+00:00
2023-06-25,8.85,9.2,8.85,9.2,2000,9.2,2026-09-03T19:36:11.747099+00:00
2023-06-26,9.2,9.38,9.2,9.2,3815,9.2,2026-09-03T19:36:11.747099+00:00
2023-06-27,9.2,9.75,9.12,9.75,5770,9.75,2026-09-03T19:36:11.747099+00:00
2023-06-28,9.6,9.71,9.6,9.71,3225,9.71,2026-09-03T19:36:11.747099+00:00
2023-07-02,9.55,9.7,9.55,9.6,1800,9.6,2026-09-03T19:36:11.747099+00:00
