date,open,high,low,close,volume,adj_close,fetched_at
2026-03-17,10.0,10.19,9.43,10.15,40890,10.15,2026-09-03T19:37:23.992176+00:00
2026-03-19,9.95,9.95,9.5,9.63,29470,9.63,2026-09-03T19:37:23.992176+00:00
2026-03-22,9.55,9.8,9.46,9.75,35620,9.75,2026-09-03T19:37:23.992176+00:00
2026-03-23,9.57,10.02,9.35,10.02,41060,10.02,2026-09-03T19:37:23.992176+00:00
2026-03-24,10.02,10.02,9.6,9.87,21500,9.87,2026-09-03T19:37:23.992176+00:00
2026-03-25,9.8,9.85,9.61,9.71,18980,9.71,2026-09-03T19:37:23.992176+00:00
2026-03-26,9.7,9.9,9.62,9.89,8000,9.89,2026-09-03T19:37:23.992176+00:00
2026-03-29,9.7,9.87,9.57,9.85,21740,9.85,2026-09-03T19:37:23.992176+00:00
2026-03-30,9.66,10.0,9.47,9.61,12330,9.61,2026-09-03T19:37:23.992176+00:00
2026-03-31,9.42,9.8,9.24,9.51,19350,9.51,2026-09-03T19:37:23.992176+00:00
2026-04-01,9.4,9.72,9.35,9.55,24800,9.55,2026-09-03T19:37:23.992176+00:00
2026-04-02,9.4,9.74,9.4,9.5,6600,9.5,2026-09-03T19:37:23.992176+00:00
2026-04-05,9.32,9.5,9.32,9.41,21200,9.41,2026-09-03T19:37:23.992176+00:00
2026-04-06,9.25,9.66,9.25,9.66,22100,9.66,2026-09-03T19:37:23.992176+00:00
2026-04-07,9.8,9.99,9.55,9.58,16300,9.58,2026-09-03T19:37:23.992176+00:00
2026-04-08,9.4,9.7,9.4,9.5,5400,9.5,2026-09-03T19:37:23.992176+00:00
2026-04-09,9.5,9.91,9.4,9.91,13800,9.91,2026-09-03T19:37:23.992176+00:00
2026-04-10,9.72,9.73,9.62,9.72,6930,9.72,2026-09-03T19:37:23.992176+00:00
2026-04-13,9.53,9.88,9.35,9.88,16800,9.88,2026-09-03T19:37:23.992176+00:00
2026-04-15,9.7,9.8,9.51,9.71,24470,9.71,2026-09-03T19:37:23.992176+00:00
2026-04-16,9.53,9.79,9.53,9.67,4800,9.67,2026-09-03T19:37:23.992176+00:00
2026-04-17,9.57,9.75,9.57,9.75,4800,9.75,2026-09-03T19:37:23.992176+00:00
2026-04-20,9.5,9.81,9.5,9.6,13900,9.6,2026-09-03T19:37:23.992176+00:00
2026-04-21,9.32,9.7,9.32,9.7,15630,9.7,2026-09-03T19:37:23.992176+00:00
2026-04-22,9.5,9.78,9.45,9.78,6600,9.78,2026-09-03T19:37:23.992176+00:00
2026-04-23,9.49,9.77,9.32,9.6,8300,9.6,2026-09-03T19:37:23.992176+00:00
2026-04-24,9.32,9.83,9.06,9.62,4900,9.62,2026-09-03T19:37:23.992176+00:00
2026-04-27,9.62,9.7,9.18,9.5,12700,9.5,2026-09-03T19:37:23.992176+00:00
2026-04-28,9.5,9.5,9.27,9.31,13300,9.31,2026-09-03T19:37:23.992176+00:00
2026-04-29,9.31,9.68,9.25,9.67,18600,9.67,2026-09-03T19:37:23.992176+00:00
2026-04-30,9.38,9.66,9.31,9.44,5350,9.44,2026-09-03T19:37:23.992176+00:00
