date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,575.0,573.0,564.0,573.0,2320,573.0,2026-09-03T19:33:56.133862+00:00
2012-09-10,573.0,573.0,562.0,570.0,9945,570.0,2026-09-03T19:33:56.133862+00:00
2012-09-11,570.0,579.0,570.0,575.0,2660,575.0,2026-09-03T19:33:56.133862+00:00
2012-09-12,575.0,584.0,572.0,584.0,3340,584.0,2026-09-03T19:33:56.133862+00:00
2012-09-13,584.0,595.0,575.0,595.0,2630,595.0,2026-09-03T19:33:56.133862+00:00
2012-09-16,595.0,601.0,585.0,589.0,5280,589.0,2026-09-03T19:33:56.133862+00:00
2012-09-17,589.0,595.0,587.0,592.0,6100,592.0,2026-09-03T19:33:56.133862+00:00
2012-09-18,592.0,600.0,591.0,596.0,9170,596.0,2026-09-03T19:33:56.133862+00:00
2012-09-19,596.0,599.0,591.0,594.0,1810,594.0,2026-09-03T19:33:56.133862+00:00
2012-09-20,594.0,600.0,588.0,600.0,3900,600.0,2026-09-03T19:33:56.133862+00:00
2012-09-23,600.0,591.0,580.0,588.0,6225,588.0,2026-09-03T19:33:56.133862+00:00
2012-09-24,588.0,594.0,585.0,594.0,6245,594.0,2026-09-03T19:33:56.133862+00:00
2012-09-25,594.0,599.0,593.0,593.0,2695,593.0,2026-09-03T19:33:56.133862+00:00
2012-09-26,593.0,604.0,594.0,596.0,5205,596.0,2026-09-03T19:33:56.133862+00:00
2012-09-30,606.0,614.0,601.0,610.0,5360,610.0,2026-09-03T19:33:56.133862+00:00
2012-10-01,610.0,618.0,610.0,618.0,13400,618.0,2026-09-03T19:33:56.133862+00:00
2012-10-01,610.0,618.0,610.0,618.0,13400,618.0,2026-09-03T19:33:56.133862+00:00
2012-10-02,618.0,623.0,616.0,621.0,7390,621.0,2026-09-03T19:33:56.133862+00:00
2012-10-03,621.0,627.0,621.0,626.0,10770,626.0,2026-09-03T19:33:56.133862+00:00
2012-10-04,626.0,663.0,620.0,660.0,25830,660.0,2026-09-03T19:33:56.133862+00:00
2012-10-07,660.0,690.0,664.0,664.0,16030,664.0,2026-09-03T19:33:56.133862+00:00
2012-10-08,664.0,670.0,650.0,650.0,5925,650.0,2026-09-03T19:33:56.133862+00:00
2012-10-09,650.0,668.0,650.0,655.0,11280,655.0,2026-09-03T19:33:56.133862+00:00
2012-10-10,655.0,653.0,648.0,648.0,5920,648.0,2026-09-03T19:33:56.133862+00:00
2012-10-11,648.0,655.0,642.0,650.0,3555,650.0,2026-09-03T19:33:56.133862+00:00
2012-10-14,650.0,652.0,645.0,652.0,5265,652.0,2026-09-03T19:33:56.133862+00:00
2012-10-15,652.0,651.0,646.0,647.0,3380,647.0,2026-09-03T19:33:56.133862+00:00
2012-10-17,647.0,663.0,647.0,660.0,6010,660.0,2026-09-03T19:33:56.133862+00:00
2012-10-18,660.0,677.0,655.0,675.0,3520,675.0,2026-09-03T19:33:56.133862+00:00
