date,open,high,low,close,volume,adj_close,fetched_at
2012-10-10,193.0,190.0,190.0,190.0,199,190.0,2026-09-03T19:33:29.171089+00:00
2012-10-11,190.0,187.0,181.0,181.0,743,181.0,2026-09-03T19:33:29.171089+00:00
2012-10-15,181.0,178.0,178.0,178.0,207,178.0,2026-09-03T19:33:29.171089+00:00
2012-10-18,178.0,176.0,176.0,176.0,31,176.0,2026-09-03T19:33:29.171089+00:00
2012-11-06,176.0,178.0,175.0,175.0,189,175.0,2026-09-03T19:33:29.171089+00:00
2012-11-11,175.0,175.0,175.0,175.0,107,175.0,2026-09-03T19:33:29.171089+00:00
2012-11-26,175.0,178.0,178.0,178.0,107,178.0,2026-09-03T19:33:29.171089+00:00
2012-11-28,178.0,176.0,176.0,176.0,31,176.0,2026-09-03T19:33:29.171089+00:00
2012-12-12,176.0,189.0,171.0,189.0,1155,189.0,2026-09-03T19:33:29.171089+00:00
2012-12-13,189.0,207.0,192.0,207.0,535,207.0,2026-09-03T19:33:29.171089+00:00
2012-12-16,207.0,200.0,200.0,200.0,500,200.0,2026-09-03T19:33:29.171089+00:00
2012-12-18,200.0,200.0,200.0,200.0,168,200.0,2026-09-03T19:33:29.171089+00:00
2012-12-19,200.0,201.0,201.0,201.0,1851,201.0,2026-09-03T19:33:29.171089+00:00
2012-12-20,201.0,200.0,200.0,200.0,76,200.0,2026-09-03T19:33:29.171089+00:00
2013-01-06,200.0,208.0,204.0,208.0,259,208.0,2026-09-03T19:33:29.171089+00:00
2013-01-10,208.0,204.0,204.0,204.0,502,204.0,2026-09-03T19:33:29.171089+00:00
2013-01-13,204.0,212.0,208.0,212.0,20,212.0,2026-09-03T19:33:29.171089+00:00
2013-01-15,212.0,220.0,216.0,220.0,1158,220.0,2026-09-03T19:33:29.171089+00:00
2013-01-16,220.0,224.0,224.0,224.0,510,224.0,2026-09-03T19:33:29.171089+00:00
2013-01-17,224.0,228.0,228.0,228.0,50,228.0,2026-09-03T19:33:29.171089+00:00
2013-01-21,228.0,235.0,232.0,235.0,411,235.0,2026-09-03T19:33:29.171089+00:00
2013-01-22,235.0,235.0,225.0,225.0,443,225.0,2026-09-03T19:33:29.171089+00:00
2013-01-23,225.0,225.0,225.0,225.0,153,225.0,2026-09-03T19:33:29.171089+00:00
