date,open,high,low,close,volume,adj_close,fetched_at
2023-12-21,208.8,229.6,208.8,229.6,995,229.6,2026-09-03T19:36:53.121616+00:00
2023-12-24,234.1,252.5,234.1,252.5,1461,252.5,2026-09-03T19:36:53.121616+00:00
2023-12-27,252.0,277.7,252.0,277.7,1382,277.7,2026-09-03T19:36:53.121616+00:00
2023-12-28,283.2,305.4,283.2,305.4,1963,305.4,2026-09-03T19:36:53.121616+00:00
2024-01-01,311.5,335.9,311.5,335.9,2381,335.9,2026-09-03T19:36:53.121616+00:00
2024-01-02,342.6,369.4,342.6,369.4,2040,369.4,2026-09-03T19:36:53.121616+00:00
2024-01-03,376.7,406.3,376.7,406.3,2558,406.3,2026-09-03T19:36:53.121616+00:00
2024-01-04,414.4,446.9,414.4,446.9,2380,446.9,2026-09-03T19:36:53.121616+00:00
2024-01-07,455.8,491.5,455.8,491.5,2290,491.5,2026-09-03T19:36:53.121616+00:00
2024-01-08,481.8,540.6,481.8,540.6,3122,540.6,2026-09-03T19:36:53.121616+00:00
2024-01-09,551.2,594.6,551.2,594.6,2170,594.6,2026-09-03T19:36:53.121616+00:00
2024-01-10,594.0,654.0,594.0,654.0,2040,654.0,2026-09-03T19:36:53.121616+00:00
2024-01-11,655.4,719.4,655.4,719.4,2180,719.4,2026-09-03T19:36:53.121616+00:00
2024-01-14,733.7,791.3,733.7,791.3,2520,791.3,2026-09-03T19:36:53.121616+00:00
2024-01-16,791.0,870.4,791.0,870.4,2120,870.4,2026-09-03T19:36:53.121616+00:00
2024-01-17,887.8,957.4,887.8,957.4,7631,957.4,2026-09-03T19:36:53.121616+00:00
2024-01-18,976.5,996.0,861.7,902.0,170936,902.0,2026-09-03T19:36:53.121616+00:00
2024-01-21,900.0,915.0,885.0,892.6,47406,892.6,2026-09-03T19:36:53.121616+00:00
2024-01-22,889.6,889.6,836.6,855.0,57058,855.0,2026-09-03T19:36:53.121616+00:00
2024-01-23,838.0,876.0,838.0,875.0,32691,875.0,2026-09-03T19:36:53.121616+00:00
2024-01-24,860.0,900.0,860.0,877.5,25662,877.5,2026-09-03T19:36:53.121616+00:00
2024-01-25,868.0,891.0,858.0,865.0,27013,865.0,2026-09-03T19:36:53.121616+00:00
2024-01-28,850.0,871.0,849.0,860.0,21274,860.0,2026-09-03T19:36:53.121616+00:00
2024-01-29,850.0,892.0,850.0,857.0,15019,857.0,2026-09-03T19:36:53.121616+00:00
2024-01-30,850.0,871.5,847.3,856.0,19619,856.0,2026-09-03T19:36:53.121616+00:00
2024-01-31,839.0,850.0,798.0,836.0,56229,836.0,2026-09-03T19:36:53.121616+00:00
2024-02-01,820.0,837.0,815.0,820.0,19467,820.0,2026-09-03T19:36:53.121616+00:00
2024-02-04,810.0,811.1,780.0,789.0,18624,789.0,2026-09-03T19:36:53.121616+00:00
2024-02-05,775.1,804.0,767.0,767.0,15739,767.0,2026-09-03T19:36:53.121616+00:00
2024-02-06,755.5,785.5,755.5,780.0,13235,780.0,2026-09-03T19:36:53.121616+00:00
2024-02-07,787.0,787.0,761.5,772.8,9480,772.8,2026-09-03T19:36:53.121616+00:00
2024-02-08,760.0,780.0,760.0,777.0,6730,777.0,2026-09-03T19:36:53.121616+00:00
