date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,85.0,84.0,84.0,84.0,20,84.0,2026-09-03T19:33:23.504639+00:00
2012-09-11,84.0,85.0,85.0,85.0,40,85.0,2026-09-03T19:33:23.504639+00:00
2012-09-12,85.0,85.0,85.0,85.0,460,85.0,2026-09-03T19:33:23.504639+00:00
2012-09-13,85.0,86.0,86.0,86.0,40,86.0,2026-09-03T19:33:23.504639+00:00
2012-09-16,86.0,86.0,86.0,86.0,40,86.0,2026-09-03T19:33:23.504639+00:00
2012-09-17,86.0,89.0,87.0,89.0,160,89.0,2026-09-03T19:33:23.504639+00:00
2012-09-18,89.0,89.0,89.0,89.0,150,89.0,2026-09-03T19:33:23.504639+00:00
2012-09-19,89.0,90.0,90.0,90.0,20,90.0,2026-09-03T19:33:23.504639+00:00
2012-09-20,90.0,92.0,91.0,92.0,220,92.0,2026-09-03T19:33:23.504639+00:00
2012-09-23,92.0,92.0,92.0,92.0,30,92.0,2026-09-03T19:33:23.504639+00:00
2012-09-24,92.0,92.0,92.0,92.0,310,92.0,2026-09-03T19:33:23.504639+00:00
2012-09-25,92.0,93.0,93.0,93.0,210,93.0,2026-09-03T19:33:23.504639+00:00
2012-09-26,93.0,95.0,94.0,95.0,280,95.0,2026-09-03T19:33:23.504639+00:00
2012-09-30,95.0,97.0,96.0,97.0,80,97.0,2026-09-03T19:33:23.504639+00:00
2012-10-01,97.0,98.0,97.0,98.0,200,98.0,2026-09-03T19:33:23.504639+00:00
2012-10-01,97.0,98.0,97.0,98.0,200,98.0,2026-09-03T19:33:23.504639+00:00
2012-10-02,98.0,97.0,97.0,97.0,280,97.0,2026-09-03T19:33:23.504639+00:00
2012-10-03,97.0,99.0,98.0,99.0,320,99.0,2026-09-03T19:33:23.504639+00:00
2012-10-07,99.0,99.0,99.0,99.0,70,99.0,2026-09-03T19:33:23.504639+00:00
2012-10-08,99.0,99.0,99.0,99.0,70,99.0,2026-09-03T19:33:23.504639+00:00
2012-10-09,99.0,98.0,98.0,98.0,20,98.0,2026-09-03T19:33:23.504639+00:00
2012-10-10,98.0,99.0,99.0,99.0,210,99.0,2026-09-03T19:33:23.504639+00:00
2012-10-11,99.0,99.0,99.0,99.0,40,99.0,2026-09-03T19:33:23.504639+00:00
2012-10-14,99.0,100.0,100.0,100.0,930,100.0,2026-09-03T19:33:23.504639+00:00
2012-10-15,100.0,102.0,100.0,101.0,450,101.0,2026-09-03T19:33:23.504639+00:00
2012-10-17,101.0,100.0,100.0,100.0,150,100.0,2026-09-03T19:33:23.504639+00:00
2012-10-30,100.0,100.0,100.0,100.0,150,100.0,2026-09-03T19:33:23.504639+00:00
2012-10-31,100.0,100.0,100.0,100.0,200,100.0,2026-09-03T19:33:23.504639+00:00
2012-11-01,100.0,101.0,101.0,101.0,20,101.0,2026-09-03T19:33:23.504639+00:00
2012-11-04,101.0,100.0,100.0,100.0,110,100.0,2026-09-03T19:33:23.504639+00:00
2012-11-05,100.0,102.0,101.0,102.0,540,102.0,2026-09-03T19:33:23.504639+00:00
2012-11-06,102.0,101.0,101.0,101.0,210,101.0,2026-09-03T19:33:23.504639+00:00
2012-11-07,101.0,103.0,103.0,103.0,40,103.0,2026-09-03T19:33:23.504639+00:00
2012-11-08,103.0,109.0,103.0,109.0,180,109.0,2026-09-03T19:33:23.504639+00:00
2012-11-11,109.0,113.0,109.0,113.0,160,113.0,2026-09-03T19:33:23.504639+00:00
2012-11-18,113.0,115.0,113.0,115.0,620,115.0,2026-09-03T19:33:23.504639+00:00
2012-11-20,115.0,117.0,117.0,117.0,120,117.0,2026-09-03T19:33:23.504639+00:00
2012-11-21,117.0,115.0,115.0,115.0,40,115.0,2026-09-03T19:33:23.504639+00:00
2012-11-22,115.0,116.0,115.0,115.0,470,115.0,2026-09-03T19:33:23.504639+00:00
2012-11-25,115.0,117.0,117.0,117.0,120,117.0,2026-09-03T19:33:23.504639+00:00
2012-11-27,117.0,117.0,115.0,116.0,450,116.0,2026-09-03T19:33:23.504639+00:00
2012-11-28,116.0,116.0,114.0,116.0,410,116.0,2026-09-03T19:33:23.504639+00:00
2012-11-29,116.0,118.0,114.0,116.0,570,116.0,2026-09-03T19:33:23.504639+00:00
2012-12-04,116.0,114.0,114.0,114.0,420,114.0,2026-09-03T19:33:23.504639+00:00
2012-12-05,114.0,113.0,112.0,112.0,40,112.0,2026-09-03T19:33:23.504639+00:00
2012-12-06,112.0,113.0,110.0,113.0,750,113.0,2026-09-03T19:33:23.504639+00:00
2012-12-09,113.0,111.0,111.0,111.0,130,111.0,2026-09-03T19:33:23.504639+00:00
2012-12-10,111.0,111.0,111.0,111.0,160,111.0,2026-09-03T19:33:23.504639+00:00
2012-12-11,111.0,115.0,112.0,113.0,1350,113.0,2026-09-03T19:33:23.504639+00:00
2012-12-12,113.0,111.0,111.0,111.0,300,111.0,2026-09-03T19:33:23.504639+00:00
2012-12-13,111.0,112.0,112.0,112.0,20,112.0,2026-09-03T19:33:23.504639+00:00
2012-12-16,112.0,113.0,111.0,111.0,140,111.0,2026-09-03T19:33:23.504639+00:00
2012-12-17,111.0,114.0,112.0,114.0,740,114.0,2026-09-03T19:33:23.504639+00:00
2012-12-18,114.0,114.0,112.0,113.0,1280,113.0,2026-09-03T19:33:23.504639+00:00
2012-12-19,113.0,113.0,111.0,111.0,540,111.0,2026-09-03T19:33:23.504639+00:00
2012-12-20,111.0,114.0,111.0,114.0,2040,114.0,2026-09-03T19:33:23.504639+00:00
2012-12-23,114.0,116.0,112.0,116.0,220,116.0,2026-09-03T19:33:23.504639+00:00
2012-12-26,116.0,120.0,118.0,118.0,2840,118.0,2026-09-03T19:33:23.504639+00:00
2012-12-27,118.0,118.0,116.0,117.0,160,117.0,2026-09-03T19:33:23.504639+00:00
