date,open,high,low,close,volume,adj_close,fetched_at
2025-05-04,270.0,297.0,270.0,297.0,160,297.0,2026-09-03T19:37:01.744659+00:00
2025-05-05,293.3,326.7,293.3,326.7,80,326.7,2026-09-03T19:37:01.744659+00:00
2025-05-06,326.6,359.3,326.6,359.3,120,359.3,2026-09-03T19:37:01.744659+00:00
2025-05-07,359.0,395.2,359.0,395.2,150,395.2,2026-09-03T19:37:01.744659+00:00
2025-05-08,399.7,434.7,399.7,434.7,190,434.7,2026-09-03T19:37:01.744659+00:00
2025-05-11,443.3,478.1,443.3,478.1,220,478.1,2026-09-03T19:37:01.744659+00:00
2025-05-13,477.5,525.9,477.5,525.9,300,525.9,2026-09-03T19:37:01.744659+00:00
2025-05-14,525.8,578.4,525.8,578.4,390,578.4,2026-09-03T19:37:01.744659+00:00
2025-05-15,578.3,636.2,578.3,636.2,460,636.2,2026-09-03T19:37:01.744659+00:00
2025-05-18,647.9,699.8,647.9,699.8,460,699.8,2026-09-03T19:37:01.744659+00:00
2025-05-19,713.7,769.7,713.7,769.7,350,769.7,2026-09-03T19:37:01.744659+00:00
2025-05-20,769.6,846.6,769.6,846.6,420,846.6,2026-09-03T19:37:01.744659+00:00
2025-05-21,831.5,931.2,831.5,931.2,590,931.2,2026-09-03T19:37:01.744659+00:00
2025-05-22,931.1,1024.3,931.1,1024.3,1250,1024.3,2026-09-03T19:37:01.744659+00:00
2025-05-25,1044.7,1126.7,1044.7,1126.7,1140,1126.7,2026-09-03T19:37:01.744659+00:00
2025-05-26,1149.2,1239.3,1149.2,1239.3,950,1239.3,2026-09-03T19:37:01.744659+00:00
2025-05-27,1264.0,1363.2,1264.0,1363.2,1180,1363.2,2026-09-03T19:37:01.744659+00:00
2025-05-28,1390.4,1499.5,1390.4,1499.5,4169,1499.5,2026-09-03T19:37:01.744659+00:00
2025-06-02,1529.4,1649.4,1529.4,1649.4,4370,1649.4,2026-09-03T19:37:01.744659+00:00
2025-06-03,1649.4,1814.3,1649.4,1813.43,160034,1813.43,2026-09-03T19:37:01.744659+00:00
2025-06-04,1849.0,1994.7,1750.0,1994.7,55110,1994.7,2026-09-03T19:37:01.744659+00:00
2025-06-05,2034.5,2167.2,1796.0,1809.24,91850,1809.24,2026-09-03T19:37:01.744659+00:00
2025-06-08,1775.1,1790.0,1628.4,1628.4,67440,1628.4,2026-09-03T19:37:01.744659+00:00
2025-06-09,1595.9,1675.0,1533.0,1658.57,57950,1658.57,2026-09-03T19:37:01.744659+00:00
2025-06-10,1630.0,1650.0,1580.0,1590.58,45590,1590.58,2026-09-03T19:37:01.744659+00:00
