date,open,high,low,close,volume,adj_close,fetched_at
2026-04-10,300.0,330.0,300.0,330.0,250,330.0,2026-09-03T19:37:29.357650+00:00
2026-04-13,330.0,363.0,330.0,363.0,410,363.0,2026-09-03T19:37:29.357650+00:00
2026-04-15,370.2,399.3,370.2,399.3,630,399.3,2026-09-03T19:37:29.357650+00:00
2026-04-16,407.2,439.2,407.2,439.2,420,439.2,2026-09-03T19:37:29.357650+00:00
2026-04-17,447.9,483.1,447.9,483.1,550,483.1,2026-09-03T19:37:29.357650+00:00
2026-04-20,507.2,555.5,507.2,555.5,900,555.5,2026-09-03T19:37:29.357650+00:00
2026-04-21,580.0,638.8,580.0,638.8,1000,638.8,2026-09-03T19:37:29.357650+00:00
2026-04-22,657.9,734.6,657.9,734.6,1740,734.6,2026-09-03T19:37:29.357650+00:00
2026-04-23,756.6,844.7,756.6,844.7,4760,844.7,2026-09-03T19:37:29.357650+00:00
2026-04-24,886.2,971.4,886.2,971.4,9180,971.4,2026-09-03T19:37:29.357650+00:00
2026-04-27,1019.9,1117.1,1019.9,1117.1,79890,1117.1,2026-09-03T19:37:29.357650+00:00
2026-04-28,1172.9,1280.0,1025.0,1039.0,538665,1039.0,2026-09-03T19:37:29.357650+00:00
2026-04-29,1039.0,1090.9,943.2,958.1,208142,958.1,2026-09-03T19:37:29.357650+00:00
2026-04-30,940.0,1030.0,885.1,948.0,108003,948.0,2026-09-03T19:37:29.357650+00:00
2026-05-04,948.0,960.0,880.1,888.0,111017,888.0,2026-09-03T19:37:29.357650+00:00
2026-05-05,888.0,916.7,850.0,897.0,87957,897.0,2026-09-03T19:37:29.357650+00:00
2026-05-06,897.0,918.0,875.0,876.0,52889,876.0,2026-09-03T19:37:29.357650+00:00
2026-05-07,860.1,890.0,860.0,869.9,40050,869.9,2026-09-03T19:37:29.357650+00:00
2026-05-08,850.0,916.0,850.0,897.0,65696,897.0,2026-09-03T19:37:29.357650+00:00
2026-05-11,897.0,908.9,887.0,892.0,76095,892.0,2026-09-03T19:37:29.357650+00:00
2026-05-12,892.0,901.0,861.0,875.0,68984,875.0,2026-09-03T19:37:29.357650+00:00
2026-05-13,835.0,901.0,835.0,865.0,61981,865.0,2026-09-03T19:37:29.357650+00:00
2026-05-14,865.0,865.0,840.0,843.0,54070,843.0,2026-09-03T19:37:29.357650+00:00
2026-05-15,840.0,860.0,836.0,839.8,47373,839.8,2026-09-03T19:37:29.357650+00:00
2026-05-18,840.0,845.0,805.9,811.9,65056,811.9,2026-09-03T19:37:29.357650+00:00
2026-05-19,811.9,835.0,800.0,805.0,54810,805.0,2026-09-03T19:37:29.357650+00:00
2026-05-20,765.0,827.0,765.0,822.0,51497,822.0,2026-09-03T19:37:29.357650+00:00
2026-05-21,827.0,835.9,810.0,812.0,34235,812.0,2026-09-03T19:37:29.357650+00:00
2026-05-22,772.0,833.0,772.0,827.0,61577,827.0,2026-09-03T19:37:29.357650+00:00
2026-05-25,827.0,860.0,815.0,852.8,66607,852.8,2026-09-03T19:37:29.357650+00:00
2026-05-26,854.0,865.0,833.5,839.9,41783,839.9,2026-09-03T19:37:29.357650+00:00
2026-05-27,800.0,839.9,800.0,820.0,66085,820.0,2026-09-03T19:37:29.357650+00:00
2026-06-01,815.0,818.9,800.0,803.7,63106,803.7,2026-09-03T19:37:29.357650+00:00
2026-06-02,763.6,811.0,763.6,793.0,59979,793.0,2026-09-03T19:37:29.357650+00:00
2026-06-03,793.0,809.9,793.0,800.0,43504,800.0,2026-09-03T19:37:29.357650+00:00
2026-06-04,800.0,805.0,789.0,789.2,40923,789.2,2026-09-03T19:37:29.357650+00:00
2026-06-05,749.8,850.0,749.8,780.0,39256,780.0,2026-09-03T19:37:29.357650+00:00
2026-06-08,770.0,788.0,754.0,758.0,49322,758.0,2026-09-03T19:37:29.357650+00:00
2026-06-09,750.0,783.0,732.0,768.0,84796,768.0,2026-09-03T19:37:29.357650+00:00
2026-06-10,765.0,787.4,760.0,774.0,39370,774.0,2026-09-03T19:37:29.357650+00:00
2026-06-11,770.0,775.0,755.0,755.9,37639,755.9,2026-09-03T19:37:29.357650+00:00
2026-06-12,755.9,765.0,741.0,744.0,34937,744.0,2026-09-03T19:37:29.357650+00:00
2026-06-15,730.0,759.0,730.0,741.0,40066,741.0,2026-09-03T19:37:29.357650+00:00
2026-06-16,741.0,780.0,730.0,742.0,28987,742.0,2026-09-03T19:37:29.357650+00:00
2026-06-17,740.0,750.0,737.2,740.0,24500,740.0,2026-09-03T19:37:29.357650+00:00
2026-06-18,740.0,745.0,730.0,740.0,27384,740.0,2026-09-03T19:37:29.357650+00:00
2026-06-19,730.0,739.0,718.1,719.0,34513,719.0,2026-09-03T19:37:29.357650+00:00
2026-06-22,700.0,740.5,700.0,725.0,43974,725.0,2026-09-03T19:37:29.357650+00:00
2026-06-23,720.0,720.0,696.0,705.0,54451,705.0,2026-09-03T19:37:29.357650+00:00
2026-06-24,705.0,705.0,670.0,690.0,63460,690.0,2026-09-03T19:37:29.357650+00:00
2026-06-25,681.0,696.0,675.5,680.0,30094,680.0,2026-09-03T19:37:29.357650+00:00
2026-06-26,680.0,689.9,671.0,682.0,18481,682.0,2026-09-03T19:37:29.357650+00:00
2026-06-29,647.9,682.0,647.9,662.0,24776,662.0,2026-09-03T19:37:29.357650+00:00
2026-06-30,660.0,670.0,638.0,639.0,39939,639.0,2026-09-03T19:37:29.357650+00:00
2026-07-01,627.0,666.9,627.0,664.9,37225,664.9,2026-09-03T19:37:29.357650+00:00
2026-07-02,634.7,671.0,634.7,661.0,33466,661.0,2026-09-03T19:37:29.357650+00:00
2026-07-03,651.0,664.9,651.0,654.0,20256,654.0,2026-09-03T19:37:29.357650+00:00
2026-07-06,645.6,650.1,628.6,634.0,31985,634.0,2026-09-03T19:37:29.357650+00:00
2026-07-07,602.3,679.0,602.3,639.8,20793,639.8,2026-09-03T19:37:29.357650+00:00
2026-07-08,640.0,645.0,615.1,623.0,23862,623.0,2026-09-03T19:37:29.357650+00:00
2026-07-09,618.0,622.0,606.2,609.0,20390,609.0,2026-09-03T19:37:29.357650+00:00
2026-07-10,606.0,619.0,601.3,609.9,60547,609.9,2026-09-03T19:37:29.357650+00:00
2026-07-13,609.0,610.0,588.0,590.0,35156,590.0,2026-09-03T19:37:29.357650+00:00
2026-07-14,585.1,599.0,572.1,589.7,33962,589.7,2026-09-03T19:37:29.357650+00:00
2026-07-15,580.0,599.0,573.0,594.0,18338,594.0,2026-09-03T19:37:29.357650+00:00
2026-07-16,590.0,607.0,590.0,595.0,43238,595.0,2026-09-03T19:37:29.357650+00:00
2026-07-17,595.0,669.9,595.0,652.0,103764,652.0,2026-09-03T19:37:29.357650+00:00
2026-07-20,650.0,674.5,650.0,665.0,50863,665.0,2026-09-03T19:37:29.357650+00:00
2026-07-21,665.0,688.0,650.0,665.0,71400,665.0,2026-09-03T19:37:29.357650+00:00
