date,open,high,low,close,volume,adj_close,fetched_at
2023-12-19,598.0,598.0,542.0,589.0,81779,589.0,2026-09-03T19:35:25.383218+00:00
2023-12-20,589.0,647.8,515.0,613.9,58536,613.9,2026-09-03T19:35:25.383218+00:00
2023-12-21,615.0,617.0,585.0,601.8,23695,601.8,2026-09-03T19:35:25.383218+00:00
2023-12-24,610.0,620.0,573.0,590.0,66610,590.0,2026-09-03T19:35:25.383218+00:00
2023-12-27,590.0,617.0,588.3,601.0,48433,601.0,2026-09-03T19:35:25.383218+00:00
2023-12-28,590.0,623.7,590.0,623.7,47088,623.7,2026-09-03T19:35:25.383218+00:00
2024-01-01,612.0,624.0,596.1,598.0,38801,598.0,2026-09-03T19:35:25.383218+00:00
2024-01-02,598.0,598.0,575.0,575.9,11352,575.9,2026-09-03T19:35:25.383218+00:00
2024-01-03,587.0,587.0,557.3,577.0,14011,577.0,2026-09-03T19:35:25.383218+00:00
2024-01-04,582.4,597.0,565.0,579.0,18865,579.0,2026-09-03T19:35:25.383218+00:00
2024-01-07,567.5,579.0,556.7,557.0,13668,557.0,2026-09-03T19:35:25.383218+00:00
2024-01-08,557.0,588.8,556.0,578.3,13638,578.3,2026-09-03T19:35:25.383218+00:00
2024-01-09,580.0,596.0,565.0,569.0,16183,569.0,2026-09-03T19:35:25.383218+00:00
2024-01-10,558.0,600.0,558.0,565.0,8167,565.0,2026-09-03T19:35:25.383218+00:00
2024-01-11,555.0,577.4,553.7,568.0,17710,568.0,2026-09-03T19:35:25.383218+00:00
2024-01-14,565.0,575.0,560.0,564.0,10130,564.0,2026-09-03T19:35:25.383218+00:00
2024-01-16,575.0,575.2,565.0,571.0,20930,571.0,2026-09-03T19:35:25.383218+00:00
2024-01-17,579.5,580.0,561.2,569.0,20555,569.0,2026-09-03T19:35:25.383218+00:00
2024-01-18,558.0,580.3,558.0,568.0,22940,568.0,2026-09-03T19:35:25.383218+00:00
2024-01-21,560.0,571.0,557.6,557.6,22047,557.6,2026-09-03T19:35:25.383218+00:00
2024-01-22,547.0,568.7,547.0,547.5,11332,547.5,2026-09-03T19:35:25.383218+00:00
2024-01-23,542.0,558.4,535.0,540.0,11015,540.0,2026-09-03T19:35:25.383218+00:00
2024-01-24,530.1,561.0,529.0,529.0,13505,529.0,2026-09-03T19:35:25.383218+00:00
2024-01-25,539.0,539.5,525.0,530.0,12910,530.0,2026-09-03T19:35:25.383218+00:00
2024-01-28,530.0,539.5,526.0,534.0,5933,534.0,2026-09-03T19:35:25.383218+00:00
2024-01-29,526.2,545.0,526.2,544.0,10469,544.0,2026-09-03T19:35:25.383218+00:00
2024-01-30,541.0,561.8,541.0,554.0,15896,554.0,2026-09-03T19:35:25.383218+00:00
2024-01-31,550.0,554.0,531.0,538.0,11111,538.0,2026-09-03T19:35:25.383218+00:00
2024-02-01,528.1,535.0,525.0,525.0,14113,525.0,2026-09-03T19:35:25.383218+00:00
2024-02-04,525.0,525.0,516.1,516.1,10730,516.1,2026-09-03T19:35:25.383218+00:00
2024-02-05,510.1,535.0,510.0,524.0,8817,524.0,2026-09-03T19:35:25.383218+00:00
2024-02-06,530.0,534.4,515.0,525.0,9077,525.0,2026-09-03T19:35:25.383218+00:00
2024-02-07,533.0,535.4,525.0,529.9,11985,529.9,2026-09-03T19:35:25.383218+00:00
2024-02-08,521.3,535.0,521.3,526.0,9429,526.0,2026-09-03T19:35:25.383218+00:00
2024-02-11,525.0,534.0,518.0,526.0,9878,526.0,2026-09-03T19:35:25.383218+00:00
2024-02-12,526.0,530.0,523.0,528.1,8757,528.1,2026-09-03T19:35:25.383218+00:00
2024-02-13,520.0,529.0,518.0,525.0,11201,525.0,2026-09-03T19:35:25.383218+00:00
2024-02-14,514.5,528.0,514.5,523.0,5802,523.0,2026-09-03T19:35:25.383218+00:00
2024-02-15,517.2,523.0,511.0,518.0,6932,518.0,2026-09-03T19:35:25.383218+00:00
2024-02-18,508.9,530.0,508.9,514.0,9705,514.0,2026-09-03T19:35:25.383218+00:00
2024-02-20,510.0,515.0,510.0,514.0,6900,514.0,2026-09-03T19:35:25.383218+00:00
2024-02-21,515.0,524.0,508.0,514.0,8831,514.0,2026-09-03T19:35:25.383218+00:00
2024-02-22,506.5,520.0,505.0,510.0,6806,510.0,2026-09-03T19:35:25.383218+00:00
2024-02-25,508.0,519.8,499.0,501.5,12596,501.5,2026-09-03T19:35:25.383218+00:00
2024-02-26,511.5,511.5,493.0,500.0,5715,500.0,2026-09-03T19:35:25.383218+00:00
2024-02-27,490.2,510.0,490.2,492.0,5407,492.0,2026-09-03T19:35:25.383218+00:00
2024-02-28,501.0,503.0,493.2,495.0,4967,495.0,2026-09-03T19:35:25.383218+00:00
2024-02-29,497.2,497.2,489.0,493.0,6715,493.0,2026-09-03T19:35:25.383218+00:00
2024-03-03,493.0,496.0,480.5,491.5,5753,491.5,2026-09-03T19:35:25.383218+00:00
2024-03-04,500.0,530.6,500.0,530.6,240,530.6,2026-09-03T19:35:25.383218+00:00
2024-03-05,540.2,540.2,498.0,507.0,11605,507.0,2026-09-03T19:35:25.383218+00:00
2024-03-06,517.1,517.1,490.0,499.0,13104,499.0,2026-09-03T19:35:25.383218+00:00
2024-03-07,499.0,510.0,494.0,506.0,5241,506.0,2026-09-03T19:35:25.383218+00:00
2024-03-10,512.0,515.0,503.0,513.0,10951,513.0,2026-09-03T19:35:25.383218+00:00
2024-03-12,520.0,555.0,520.0,550.0,37203,550.0,2026-09-03T19:35:25.383218+00:00
2024-03-13,555.0,566.0,545.0,550.0,21282,550.0,2026-09-03T19:35:25.383218+00:00
2024-03-14,550.0,553.0,529.1,531.0,21099,531.0,2026-09-03T19:35:25.383218+00:00
2024-03-17,531.0,535.0,520.5,529.0,14765,529.0,2026-09-03T19:35:25.383218+00:00
2024-03-18,528.0,530.0,520.0,526.1,6473,526.1,2026-09-03T19:35:25.383218+00:00
2024-03-19,526.0,550.0,520.6,544.0,36876,544.0,2026-09-03T19:35:25.383218+00:00
2024-03-20,550.0,550.0,533.0,533.0,7493,533.0,2026-09-03T19:35:25.383218+00:00
2024-03-21,524.1,538.9,524.1,532.0,5452,532.0,2026-09-03T19:35:25.383218+00:00
2024-03-25,527.0,529.0,521.1,526.0,7041,526.0,2026-09-03T19:35:25.383218+00:00
2024-03-26,525.0,536.0,518.0,523.0,8240,523.0,2026-09-03T19:35:25.383218+00:00
2024-03-27,512.9,523.0,512.9,517.9,9426,517.9,2026-09-03T19:35:25.383218+00:00
2024-03-28,510.1,528.0,510.0,517.9,6909,517.9,2026-09-03T19:35:25.383218+00:00
2024-03-31,510.0,518.0,508.0,509.0,8992,509.0,2026-09-03T19:35:25.383218+00:00
2024-04-01,504.0,517.0,504.0,514.0,6350,514.0,2026-09-03T19:35:25.383218+00:00
2024-04-02,505.4,515.9,500.1,512.0,8781,512.0,2026-09-03T19:35:25.383218+00:00
2024-04-03,512.0,519.0,510.0,515.0,5702,515.0,2026-09-03T19:35:25.383218+00:00
2024-04-04,510.0,515.0,508.1,511.0,7877,511.0,2026-09-03T19:35:25.383218+00:00
2024-04-07,508.0,538.0,504.0,525.0,13476,525.0,2026-09-03T19:35:25.383218+00:00
2024-04-09,525.0,533.0,516.0,516.0,22833,516.0,2026-09-03T19:35:25.383218+00:00
2024-04-10,516.0,521.0,512.0,512.4,11433,512.4,2026-09-03T19:35:25.383218+00:00
2024-04-14,508.1,513.0,505.0,508.0,7178,508.0,2026-09-03T19:35:25.383218+00:00
2024-04-15,500.2,510.0,500.2,508.0,5349,508.0,2026-09-03T19:35:25.383218+00:00
2024-04-16,505.5,508.0,500.0,505.5,5211,505.5,2026-09-03T19:35:25.383218+00:00
2024-04-18,505.5,505.5,499.0,499.3,8680,499.3,2026-09-03T19:35:25.383218+00:00
2024-04-21,490.0,509.0,490.0,509.0,5184,509.0,2026-09-03T19:35:25.383218+00:00
2024-04-22,518.9,518.9,495.0,501.0,7244,501.0,2026-09-03T19:35:25.383218+00:00
2024-04-24,491.0,502.0,491.0,497.0,3807,497.0,2026-09-03T19:35:25.383218+00:00
2024-04-25,491.0,497.0,491.0,495.0,4899,495.0,2026-09-03T19:35:25.383218+00:00
2024-04-28,503.0,513.0,495.0,501.8,7952,501.8,2026-09-03T19:35:25.383218+00:00
2024-04-29,511.0,511.0,495.1,499.0,4086,499.0,2026-09-03T19:35:25.383218+00:00
2024-04-30,489.1,510.0,489.1,510.0,9593,510.0,2026-09-03T19:35:25.383218+00:00
2024-05-02,520.0,520.0,505.0,509.0,11478,509.0,2026-09-03T19:35:25.383218+00:00
2024-05-05,512.0,515.0,500.0,500.0,9354,500.0,2026-09-03T19:35:25.383218+00:00
2024-05-06,510.0,510.0,498.0,499.5,6190,499.5,2026-09-03T19:35:25.383218+00:00
2024-05-07,497.9,500.0,495.0,495.0,5606,495.0,2026-09-03T19:35:25.383218+00:00
2024-05-08,489.5,497.0,473.0,494.5,23423,494.5,2026-09-03T19:35:25.383218+00:00
2024-05-09,503.9,510.0,492.0,500.0,7474,500.0,2026-09-03T19:35:25.383218+00:00
2024-05-12,500.0,507.0,500.0,507.0,12436,507.0,2026-09-03T19:35:25.383218+00:00
2024-05-13,500.0,516.0,500.0,504.4,7616,504.4,2026-09-03T19:35:25.383218+00:00
2024-05-14,510.0,514.0,503.8,508.0,6567,508.0,2026-09-03T19:35:25.383218+00:00
2024-05-15,508.0,520.0,490.0,503.0,35141,503.0,2026-09-03T19:35:25.383218+00:00
2024-05-16,493.0,504.0,493.0,493.5,9905,493.5,2026-09-03T19:35:25.383218+00:00
2024-05-19,503.3,530.0,496.1,518.0,27627,518.0,2026-09-03T19:35:25.383218+00:00
2024-05-20,518.0,527.9,508.0,513.9,17558,513.9,2026-09-03T19:35:25.383218+00:00
2024-05-21,506.0,523.5,506.0,520.4,11444,520.4,2026-09-03T19:35:25.383218+00:00
2024-05-22,524.1,524.1,507.7,508.4,15491,508.4,2026-09-03T19:35:25.383218+00:00
2024-05-26,508.0,525.0,500.5,507.0,13928,507.0,2026-09-03T19:35:25.383218+00:00
2024-05-27,504.0,512.0,500.2,509.0,9048,509.0,2026-09-03T19:35:25.383218+00:00
2024-05-29,501.1,518.0,499.2,500.0,10534,500.0,2026-09-03T19:35:25.383218+00:00
2024-05-30,499.0,510.0,491.0,499.5,11143,499.5,2026-09-03T19:35:25.383218+00:00
2024-06-02,509.0,509.0,498.9,505.0,7734,505.0,2026-09-03T19:35:25.383218+00:00
2024-06-03,514.0,514.0,500.1,501.0,8434,501.0,2026-09-03T19:35:25.383218+00:00
2024-06-04,501.0,508.4,497.0,504.5,10687,504.5,2026-09-03T19:35:25.383218+00:00
2024-06-05,505.0,513.0,496.0,503.0,7125,503.0,2026-09-03T19:35:25.383218+00:00
