date,open,high,low,close,volume,adj_close,fetched_at
2015-06-04,380.0,373.0,373.0,373.0,10,373.0,2026-09-03T19:33:38.658865+00:00
2015-06-07,373.0,382.0,373.0,374.0,3130,374.0,2026-09-03T19:33:38.658865+00:00
2015-06-08,374.0,370.0,359.0,360.0,794,360.0,2026-09-03T19:33:38.658865+00:00
2015-06-09,360.0,372.0,365.0,372.0,548,372.0,2026-09-03T19:33:38.658865+00:00
2015-06-11,372.0,366.0,366.0,366.0,10,366.0,2026-09-03T19:33:38.658865+00:00
2015-06-23,366.0,359.0,352.0,352.0,412,352.0,2026-09-03T19:33:38.658865+00:00
2015-06-24,352.0,359.0,345.0,345.0,600,345.0,2026-09-03T19:33:38.658865+00:00
2015-06-29,345.0,379.0,345.0,379.0,2733,379.0,2026-09-03T19:33:38.658865+00:00
2015-06-30,379.0,405.0,385.0,405.0,5305,405.0,2026-09-03T19:33:38.658865+00:00
2015-07-01,405.0,421.0,405.0,408.0,3482,408.0,2026-09-03T19:33:38.658865+00:00
2015-07-02,408.0,407.0,379.0,379.0,634,379.0,2026-09-03T19:33:38.658865+00:00
2015-07-06,379.0,381.0,378.0,381.0,732,381.0,2026-09-03T19:33:38.658865+00:00
2015-07-07,381.0,375.0,375.0,375.0,155,375.0,2026-09-03T19:33:38.658865+00:00
2015-07-08,375.0,368.0,368.0,368.0,61,368.0,2026-09-03T19:33:38.658865+00:00
2015-07-09,368.0,375.0,375.0,375.0,200,375.0,2026-09-03T19:33:38.658865+00:00
2015-07-12,375.0,375.0,368.0,368.0,530,368.0,2026-09-03T19:33:38.658865+00:00
2015-07-13,368.0,367.0,355.0,367.0,2385,367.0,2026-09-03T19:33:38.658865+00:00
2015-07-14,367.0,360.0,360.0,360.0,310,360.0,2026-09-03T19:33:38.658865+00:00
2015-07-15,360.0,365.0,350.0,365.0,4147,365.0,2026-09-03T19:33:38.658865+00:00
2015-07-16,365.0,365.0,350.0,350.0,3017,350.0,2026-09-03T19:33:38.658865+00:00
2015-07-22,350.0,350.0,339.0,345.0,990,345.0,2026-09-03T19:33:38.658865+00:00
2015-07-23,345.0,346.0,345.0,345.0,385,345.0,2026-09-03T19:33:38.658865+00:00
2015-07-26,345.0,358.0,351.0,358.0,23,358.0,2026-09-03T19:33:38.658865+00:00
2015-07-27,358.0,365.0,360.0,360.0,257,360.0,2026-09-03T19:33:38.658865+00:00
