date,open,high,low,close,volume,adj_close,fetched_at
2014-04-21,125.0,125.0,125.0,125.0,120,125.0,2026-09-03T19:33:56.897426+00:00
2014-04-22,125.0,123.0,123.0,123.0,140,123.0,2026-09-03T19:33:56.897426+00:00
2014-04-23,123.0,121.0,121.0,121.0,120,121.0,2026-09-03T19:33:56.897426+00:00
2014-05-28,121.0,119.0,117.0,117.0,140,117.0,2026-09-03T19:33:56.897426+00:00
2014-06-01,117.0,115.0,115.0,115.0,20,115.0,2026-09-03T19:33:56.897426+00:00
2014-06-03,115.0,113.0,113.0,113.0,120,113.0,2026-09-03T19:33:56.897426+00:00
2014-06-05,113.0,111.0,111.0,111.0,560,111.0,2026-09-03T19:33:56.897426+00:00
2014-06-18,111.0,113.0,113.0,113.0,120,113.0,2026-09-03T19:33:56.897426+00:00
2014-07-06,113.0,111.0,111.0,111.0,480,111.0,2026-09-03T19:33:56.897426+00:00
2014-07-15,111.0,109.0,109.0,109.0,200,109.0,2026-09-03T19:33:56.897426+00:00
2014-07-16,109.0,111.0,110.0,110.0,240,110.0,2026-09-03T19:33:56.897426+00:00
2014-07-17,110.0,115.0,112.0,115.0,400,115.0,2026-09-03T19:33:56.897426+00:00
2014-07-30,115.0,119.0,104.0,112.0,115560,112.0,2026-09-03T19:33:56.897426+00:00
2014-08-03,112.0,116.0,112.0,116.0,14280,116.0,2026-09-03T19:33:56.897426+00:00
2014-08-04,116.0,116.0,116.0,116.0,160,116.0,2026-09-03T19:33:56.897426+00:00
2014-08-14,116.0,126.0,118.0,126.0,50,126.0,2026-09-03T19:33:56.897426+00:00
2014-08-18,126.0,136.0,128.0,136.0,590,136.0,2026-09-03T19:33:56.897426+00:00
2014-08-19,136.0,140.0,138.0,140.0,620,140.0,2026-09-03T19:33:56.897426+00:00
2014-08-21,140.0,144.0,138.0,144.0,10360,144.0,2026-09-03T19:33:56.897426+00:00
2014-08-28,144.0,148.0,146.0,146.0,360,146.0,2026-09-03T19:33:56.897426+00:00
2014-09-21,146.0,147.0,147.0,147.0,80,147.0,2026-09-03T19:33:56.897426+00:00
2014-09-22,147.0,145.0,145.0,145.0,510,145.0,2026-09-03T19:33:56.897426+00:00
2014-11-20,145.0,145.0,145.0,145.0,520,145.0,2026-09-03T19:33:56.897426+00:00
2014-11-23,145.0,146.0,146.0,146.0,100,146.0,2026-09-03T19:33:56.897426+00:00
2015-01-01,146.0,144.0,144.0,144.0,140,144.0,2026-09-03T19:33:56.897426+00:00
2015-01-18,144.0,142.0,142.0,142.0,120,142.0,2026-09-03T19:33:56.897426+00:00
2015-01-19,142.0,156.0,144.0,156.0,330,156.0,2026-09-03T19:33:56.897426+00:00
2015-01-20,156.0,157.0,157.0,157.0,120,157.0,2026-09-03T19:33:56.897426+00:00
2015-01-26,157.0,172.0,160.0,172.0,820,172.0,2026-09-03T19:33:56.897426+00:00
2015-01-28,172.0,175.0,172.0,172.0,130,172.0,2026-09-03T19:33:56.897426+00:00
2015-02-04,172.0,175.0,175.0,175.0,250,175.0,2026-09-03T19:33:56.897426+00:00
2015-02-10,175.0,175.0,172.0,172.0,280,172.0,2026-09-03T19:33:56.897426+00:00
2015-02-11,172.0,178.0,175.0,176.0,260,176.0,2026-09-03T19:33:56.897426+00:00
