date,open,high,low,close,volume,adj_close,fetched_at
2023-06-08,10.0,10.0,9.81,9.81,200,9.81,2026-09-03T19:36:29.795632+00:00
2023-06-11,9.62,9.62,9.62,9.62,161,9.62,2026-09-03T19:36:29.795632+00:00
2023-06-12,9.43,9.43,8.65,8.65,2200,8.65,2026-09-03T19:36:29.795632+00:00
2023-06-13,8.65,8.65,7.78,8.31,21100,8.31,2026-09-03T19:36:29.795632+00:00
2023-06-14,8.45,8.47,8.31,8.31,7800,8.31,2026-09-03T19:36:29.795632+00:00
2023-06-15,8.15,8.15,8.05,8.05,2600,8.05,2026-09-03T19:36:29.795632+00:00
2023-06-18,7.9,8.35,7.9,8.25,8700,8.25,2026-09-03T19:36:29.795632+00:00
2023-06-19,8.11,8.37,8.11,8.25,2700,8.25,2026-09-03T19:36:29.795632+00:00
2023-06-20,8.25,8.25,8.22,8.25,600,8.25,2026-09-03T19:36:29.795632+00:00
2023-06-21,8.15,8.25,8.15,8.2,600,8.2,2026-09-03T19:36:29.795632+00:00
2023-06-22,8.2,8.2,8.06,8.19,900,8.19,2026-09-03T19:36:29.795632+00:00
2023-06-25,8.19,8.4,8.19,8.26,29900,8.26,2026-09-03T19:36:29.795632+00:00
2023-06-26,8.1,8.39,8.1,8.27,6400,8.27,2026-09-03T19:36:29.795632+00:00
2023-06-27,8.2,8.51,8.2,8.51,14200,8.51,2026-09-03T19:36:29.795632+00:00
2023-06-28,8.34,8.6,8.34,8.6,2200,8.6,2026-09-03T19:36:29.795632+00:00
2023-07-02,8.45,8.72,8.45,8.72,24400,8.72,2026-09-03T19:36:29.795632+00:00
2023-07-03,8.7,8.7,8.56,8.56,900,8.56,2026-09-03T19:36:29.795632+00:00
2023-07-04,8.42,8.55,8.4,8.55,6500,8.55,2026-09-03T19:36:29.795632+00:00
2023-07-05,8.4,8.55,8.4,8.55,6800,8.55,2026-09-03T19:36:29.795632+00:00
2023-07-06,8.4,8.5,8.4,8.5,1700,8.5,2026-09-03T19:36:29.795632+00:00
2023-07-09,8.35,8.5,8.35,8.5,1800,8.5,2026-09-03T19:36:29.795632+00:00
2023-07-10,8.4,8.45,8.4,8.4,61000,8.4,2026-09-03T19:36:29.795632+00:00
2023-07-11,8.4,8.56,8.15,8.15,119400,8.15,2026-09-03T19:36:29.795632+00:00
2023-07-12,8.3,8.76,8.16,8.59,126400,8.59,2026-09-03T19:36:29.795632+00:00
2023-07-13,8.76,9.44,8.59,9.15,34900,9.15,2026-09-03T19:36:29.795632+00:00
2023-07-16,9.33,10.06,8.97,9.9,102900,9.9,2026-09-03T19:36:29.795632+00:00
2023-07-17,9.71,9.9,9.71,9.71,312800,9.71,2026-09-03T19:36:29.795632+00:00
2023-07-19,9.52,9.52,9.52,9.52,1000,9.52,2026-09-03T19:36:29.795632+00:00
2023-07-23,9.33,9.33,9.12,9.3,11300,9.3,2026-09-03T19:36:29.795632+00:00
2023-08-02,9.12,9.12,8.37,8.37,8100,8.37,2026-09-03T19:36:29.795632+00:00
2023-08-03,8.21,8.37,8.21,8.34,2300,8.34,2026-09-03T19:36:29.795632+00:00
2023-08-06,8.2,8.26,8.15,8.15,4700,8.15,2026-09-03T19:36:29.795632+00:00
2023-08-07,8.15,8.15,8.1,8.12,1200,8.12,2026-09-03T19:36:29.795632+00:00
2023-08-08,7.98,8.16,7.91,7.93,36400,7.93,2026-09-03T19:36:29.795632+00:00
2023-08-09,7.89,8.05,7.89,8.05,1800,8.05,2026-09-03T19:36:29.795632+00:00
2023-08-10,7.91,8.11,7.91,8.11,5400,8.11,2026-09-03T19:36:29.795632+00:00
2023-08-13,8.02,8.11,8.02,8.11,2300,8.11,2026-09-03T19:36:29.795632+00:00
2023-08-14,8.1,8.27,8.1,8.27,4500,8.27,2026-09-03T19:36:29.795632+00:00
2023-08-15,8.11,8.43,8.11,8.43,10200,8.43,2026-09-03T19:36:29.795632+00:00
2023-08-16,8.27,8.27,7.97,8.0,1500,8.0,2026-09-03T19:36:29.795632+00:00
2023-08-17,7.86,8.0,7.85,7.85,1700,7.85,2026-09-03T19:36:29.795632+00:00
2023-08-20,7.7,8.0,7.7,7.82,3200,7.82,2026-09-03T19:36:29.795632+00:00
2023-08-21,7.68,7.84,7.68,7.84,900,7.84,2026-09-03T19:36:29.795632+00:00
2023-08-22,7.72,7.89,7.72,7.89,33100,7.89,2026-09-03T19:36:29.795632+00:00
2023-08-23,7.93,8.28,7.93,8.28,7600,8.28,2026-09-03T19:36:29.795632+00:00
2023-08-24,8.16,8.17,8.16,8.17,600,8.17,2026-09-03T19:36:29.795632+00:00
2023-08-27,8.17,8.2,8.05,8.09,6550,8.09,2026-09-03T19:36:29.795632+00:00
