date,open,high,low,close,volume,adj_close,fetched_at
2015-02-15,311.0,315.0,310.0,315.0,44909,315.0,2026-09-03T19:33:52.275201+00:00
2015-02-16,315.0,323.0,310.0,323.0,88333,323.0,2026-09-03T19:33:52.275201+00:00
2015-02-16,315.0,323.0,310.0,323.0,88333,323.0,2026-09-03T19:33:52.275201+00:00
2015-02-18,323.0,335.0,321.0,335.0,134332,335.0,2026-09-03T19:33:52.275201+00:00
2015-02-22,335.0,343.0,327.0,330.0,94575,330.0,2026-09-03T19:33:52.275201+00:00
2015-02-23,330.0,331.0,315.0,330.0,77796,330.0,2026-09-03T19:33:52.275201+00:00
2015-02-24,330.0,335.0,323.0,332.0,48684,332.0,2026-09-03T19:33:52.275201+00:00
2015-02-25,332.0,335.0,328.0,335.0,37210,335.0,2026-09-03T19:33:52.275201+00:00
2015-02-26,335.0,349.0,335.0,349.0,88605,349.0,2026-09-03T19:33:52.275201+00:00
2015-03-01,349.0,360.0,346.0,350.0,92783,350.0,2026-09-03T19:33:52.275201+00:00
2015-03-02,350.0,350.0,345.0,349.0,30148,349.0,2026-09-03T19:33:52.275201+00:00
2015-03-03,349.0,348.0,342.0,343.0,25611,343.0,2026-09-03T19:33:52.275201+00:00
2015-03-04,343.0,354.0,338.0,341.0,42694,341.0,2026-09-03T19:33:52.275201+00:00
2015-03-09,341.0,353.0,344.0,347.0,73654,347.0,2026-09-03T19:33:52.275201+00:00
2015-03-10,347.0,348.0,339.0,340.0,79413,340.0,2026-09-03T19:33:52.275201+00:00
2015-03-11,340.0,345.0,341.0,342.0,20898,342.0,2026-09-03T19:33:52.275201+00:00
2015-03-12,342.0,348.0,340.0,342.0,26536,342.0,2026-09-03T19:33:52.275201+00:00
2015-03-15,342.0,342.0,335.0,340.0,13347,340.0,2026-09-03T19:33:52.275201+00:00
2015-03-16,340.0,340.0,332.0,334.0,7644,334.0,2026-09-03T19:33:52.275201+00:00
2015-03-17,334.0,341.0,329.0,340.0,14725,340.0,2026-09-03T19:33:52.275201+00:00
2015-03-18,340.0,340.0,335.0,336.0,5868,336.0,2026-09-03T19:33:52.275201+00:00
2015-03-19,336.0,344.0,338.0,339.0,14209,339.0,2026-09-03T19:33:52.275201+00:00
2015-03-22,339.0,346.0,332.0,332.0,8570,332.0,2026-09-03T19:33:52.275201+00:00
2015-03-23,332.0,340.0,329.0,330.0,20269,330.0,2026-09-03T19:33:52.275201+00:00
2015-03-24,330.0,330.0,326.0,328.0,67872,328.0,2026-09-03T19:33:52.275201+00:00
2015-03-25,328.0,330.0,325.0,329.0,9668,329.0,2026-09-03T19:33:52.275201+00:00
2015-03-26,329.0,331.0,324.0,331.0,43881,331.0,2026-09-03T19:33:52.275201+00:00
2015-03-29,331.0,333.0,325.0,330.0,9720,330.0,2026-09-03T19:33:52.275201+00:00
2015-03-30,330.0,335.0,325.0,328.0,13795,328.0,2026-09-03T19:33:52.275201+00:00
2015-03-31,328.0,336.0,325.0,332.0,21375,332.0,2026-09-03T19:33:52.275201+00:00
2015-04-01,332.0,333.0,327.0,328.0,7796,328.0,2026-09-03T19:33:52.275201+00:00
2015-04-02,328.0,336.0,328.0,331.0,82404,331.0,2026-09-03T19:33:52.275201+00:00
2015-04-05,331.0,336.0,329.0,335.0,9048,335.0,2026-09-03T19:33:52.275201+00:00
2015-04-06,335.0,335.0,330.0,334.0,8859,334.0,2026-09-03T19:33:52.275201+00:00
2015-04-07,334.0,340.0,331.0,336.0,12508,336.0,2026-09-03T19:33:52.275201+00:00
2015-04-08,336.0,343.0,332.0,342.0,22579,342.0,2026-09-03T19:33:52.275201+00:00
2015-04-09,342.0,352.0,339.0,352.0,35860,352.0,2026-09-03T19:33:52.275201+00:00
2015-04-12,352.0,362.0,348.0,361.0,34519,361.0,2026-09-03T19:33:52.275201+00:00
