date,open,high,low,close,volume,adj_close,fetched_at
2021-06-22,10.0,10.71,10.0,10.57,104690,10.57,2026-09-03T19:35:33.661813+00:00
2021-06-23,10.6,10.6,10.23,10.35,45880,10.35,2026-09-03T19:35:33.661813+00:00
2021-06-24,10.15,10.5,10.15,10.32,44400,10.32,2026-09-03T19:35:33.661813+00:00
2021-06-27,10.5,10.5,10.05,10.29,28320,10.29,2026-09-03T19:35:33.661813+00:00
2021-06-28,10.15,10.31,10.15,10.18,38239,10.18,2026-09-03T19:35:33.661813+00:00
2021-06-29,10.1,10.2,10.06,10.2,37080,10.2,2026-09-03T19:35:33.661813+00:00
2021-06-30,10.0,10.25,10.0,10.25,36220,10.25,2026-09-03T19:35:33.661813+00:00
2021-07-01,10.07,10.2,10.0,10.0,56550,10.0,2026-09-03T19:35:33.661813+00:00
2021-07-04,10.0,10.2,10.0,10.06,47850,10.06,2026-09-03T19:35:33.661813+00:00
2021-07-05,10.0,10.06,9.98,10.03,58900,10.03,2026-09-03T19:35:33.661813+00:00
2021-07-06,10.03,10.3,9.99,10.3,24250,10.3,2026-09-03T19:35:33.661813+00:00
2021-07-07,10.1,10.2,9.9,10.05,58060,10.05,2026-09-03T19:35:33.661813+00:00
2021-07-08,10.25,10.25,9.9,10.0,9490,10.0,2026-09-03T19:35:33.661813+00:00
2021-07-11,10.0,10.3,9.9,10.25,44550,10.25,2026-09-03T19:35:33.661813+00:00
2021-07-12,10.45,10.45,9.85,10.1,17050,10.1,2026-09-03T19:35:33.661813+00:00
2021-07-13,10.1,10.19,10.0,10.05,78820,10.05,2026-09-03T19:35:33.661813+00:00
2021-07-14,9.85,10.2,9.85,10.14,59000,10.14,2026-09-03T19:35:33.661813+00:00
2021-07-15,10.3,10.3,10.1,10.14,23600,10.14,2026-09-03T19:35:33.661813+00:00
2021-07-18,10.1,10.22,9.99,10.06,66410,10.06,2026-09-03T19:35:33.661813+00:00
2021-07-19,10.0,10.24,10.0,10.1,35350,10.1,2026-09-03T19:35:33.661813+00:00
2021-07-20,10.2,10.82,10.05,10.5,326961,10.5,2026-09-03T19:35:33.661813+00:00
2021-07-22,10.5,11.22,10.5,10.97,1311461,10.97,2026-09-03T19:35:33.661813+00:00
2021-07-25,11.0,11.18,10.6,10.67,251190,10.67,2026-09-03T19:35:33.661813+00:00
2021-07-26,10.5,10.9,10.48,10.75,112900,10.75,2026-09-03T19:35:33.661813+00:00
2021-07-27,10.55,10.91,10.55,10.65,68820,10.65,2026-09-03T19:35:33.661813+00:00
2021-07-28,10.6,10.7,10.57,10.61,45150,10.61,2026-09-03T19:35:33.661813+00:00
2021-07-29,10.55,10.7,10.4,10.58,249100,10.58,2026-09-03T19:35:33.661813+00:00
2021-08-01,10.4,10.72,10.37,10.38,206894,10.38,2026-09-03T19:35:33.661813+00:00
2021-08-02,10.39,10.59,10.35,10.36,63500,10.36,2026-09-03T19:35:33.661813+00:00
2021-08-03,10.36,10.56,10.36,10.49,51580,10.49,2026-09-03T19:35:33.661813+00:00
2021-08-04,10.48,10.55,10.4,10.4,83400,10.4,2026-09-03T19:35:33.661813+00:00
2021-08-05,10.4,10.58,10.3,10.41,74690,10.41,2026-09-03T19:35:33.661813+00:00
2021-08-08,10.25,10.4,10.25,10.3,171700,10.3,2026-09-03T19:35:33.661813+00:00
2021-08-09,10.2,10.45,10.2,10.35,66700,10.35,2026-09-03T19:35:33.661813+00:00
2021-08-10,10.33,10.6,10.22,10.6,170670,10.6,2026-09-03T19:35:33.661813+00:00
2021-08-11,10.6,10.7,10.3,10.3,38625,10.3,2026-09-03T19:35:33.661813+00:00
2021-08-12,10.4,10.5,10.24,10.3,56440,10.3,2026-09-03T19:35:33.661813+00:00
2021-08-15,10.15,10.35,10.15,10.25,36490,10.25,2026-09-03T19:35:33.661813+00:00
2021-08-16,10.2,10.25,9.98,10.15,160966,10.15,2026-09-03T19:35:33.661813+00:00
2021-08-17,10.14,10.17,10.05,10.1,44990,10.1,2026-09-03T19:35:33.661813+00:00
2021-08-18,10.08,10.32,10.05,10.18,89270,10.18,2026-09-03T19:35:33.661813+00:00
2021-08-19,9.99,10.25,9.99,10.13,63900,10.13,2026-09-03T19:35:33.661813+00:00
2021-08-24,10.0,10.15,10.0,10.15,73405,10.15,2026-09-03T19:35:33.661813+00:00
2021-08-25,10.0,10.35,10.0,10.35,88300,10.35,2026-09-03T19:35:33.661813+00:00
2021-08-26,10.15,10.29,10.1,10.2,32450,10.2,2026-09-03T19:35:33.661813+00:00
2021-08-29,10.0,10.4,10.0,10.03,122855,10.03,2026-09-03T19:35:33.661813+00:00
2021-08-31,10.0,10.13,9.95,10.13,51870,10.13,2026-09-03T19:35:33.661813+00:00
2021-09-01,10.1,10.15,10.05,10.05,36543,10.05,2026-09-03T19:35:33.661813+00:00
2021-09-02,9.98,10.12,9.98,10.0,144740,10.0,2026-09-03T19:35:33.661813+00:00
2021-09-05,9.86,10.0,9.7,9.9,87200,9.9,2026-09-03T19:35:33.661813+00:00
2021-09-06,9.9,10.1,9.85,10.1,40510,10.1,2026-09-03T19:35:33.661813+00:00
2021-09-07,10.0,10.01,9.95,9.99,6950,9.99,2026-09-03T19:35:33.661813+00:00
2021-09-08,9.99,10.0,9.9,10.0,32588,10.0,2026-09-03T19:35:33.661813+00:00
2021-09-09,9.9,10.05,9.9,9.97,9240,9.97,2026-09-03T19:35:33.661813+00:00
2021-09-12,9.95,10.0,9.83,9.9,170990,9.9,2026-09-03T19:35:33.661813+00:00
2021-09-13,10.05,10.05,9.85,9.89,7630,9.89,2026-09-03T19:35:33.661813+00:00
2021-09-14,9.91,10.08,9.91,9.95,4820,9.95,2026-09-03T19:35:33.661813+00:00
2021-09-15,9.82,10.0,9.82,9.93,34350,9.93,2026-09-03T19:35:33.661813+00:00
2021-09-16,9.85,9.9,9.73,9.88,73364,9.88,2026-09-03T19:35:33.661813+00:00
2021-09-20,9.7,9.8,9.4,9.4,86090,9.4,2026-09-03T19:35:33.661813+00:00
2021-09-21,9.4,9.64,9.1,9.48,74560,9.48,2026-09-03T19:35:33.661813+00:00
2021-09-22,9.32,9.86,9.32,9.6,43150,9.6,2026-09-03T19:35:33.661813+00:00
2021-09-23,9.45,9.74,9.16,9.35,80620,9.35,2026-09-03T19:35:33.661813+00:00
2021-09-26,9.37,9.67,9.37,9.4,68040,9.4,2026-09-03T19:35:33.661813+00:00
2021-09-27,9.3,9.6,9.3,9.45,35415,9.45,2026-09-03T19:35:33.661813+00:00
