date,open,high,low,close,volume,adj_close,fetched_at
2026-01-18,10.0,10.0,9.0,9.43,17195,9.43,2026-09-03T19:37:18.319148+00:00
2026-01-20,9.25,9.61,9.02,9.61,20770,9.61,2026-09-03T19:37:18.319148+00:00
2026-01-21,9.42,9.48,9.11,9.19,3020,9.19,2026-09-03T19:37:18.319148+00:00
2026-01-22,9.03,9.38,9.03,9.38,19600,9.38,2026-09-03T19:37:18.319148+00:00
2026-01-25,9.2,9.38,9.1,9.16,9400,9.16,2026-09-03T19:37:18.319148+00:00
2026-01-26,9.0,9.34,9.0,9.34,24880,9.34,2026-09-03T19:37:18.319148+00:00
2026-01-27,9.16,9.82,9.15,9.63,278450,9.63,2026-09-03T19:37:18.319148+00:00
2026-01-28,9.44,9.44,9.26,9.27,3150,9.27,2026-09-03T19:37:18.319148+00:00
2026-01-29,9.3,9.4,9.11,9.25,5360,9.25,2026-09-03T19:37:18.319148+00:00
2026-02-01,9.07,9.34,9.07,9.16,4450,9.16,2026-09-03T19:37:18.319148+00:00
2026-02-02,9.13,9.48,9.12,9.32,9549,9.32,2026-09-03T19:37:18.319148+00:00
2026-02-03,9.5,9.5,9.14,9.38,4749,9.38,2026-09-03T19:37:18.319148+00:00
2026-02-04,9.56,9.69,9.4,9.57,6560,9.57,2026-09-03T19:37:18.319148+00:00
2026-02-05,9.76,9.76,9.57,9.75,4610,9.75,2026-09-03T19:37:18.319148+00:00
2026-02-08,9.94,10.11,8.98,9.31,3370,9.31,2026-09-03T19:37:18.319148+00:00
2026-02-09,9.2,9.67,9.2,9.5,4100,9.5,2026-09-03T19:37:18.319148+00:00
2026-02-10,9.69,9.9,9.31,9.88,39866,9.88,2026-09-03T19:37:18.319148+00:00
2026-02-11,9.8,9.8,9.61,9.61,350,9.61,2026-09-03T19:37:18.319148+00:00
2026-02-12,9.5,9.7,9.02,9.38,2440,9.38,2026-09-03T19:37:18.319148+00:00
2026-02-16,9.2,9.3,9.0,9.16,3900,9.16,2026-09-03T19:37:18.319148+00:00
2026-02-17,9.1,9.52,9.1,9.52,3400,9.52,2026-09-03T19:37:18.319148+00:00
2026-02-22,9.52,9.77,9.33,9.77,4425,9.77,2026-09-03T19:37:18.319148+00:00
2026-02-23,9.58,9.6,9.58,9.6,12788,9.6,2026-09-03T19:37:18.319148+00:00
2026-02-25,9.7,9.7,9.1,9.26,3500,9.26,2026-09-03T19:37:18.319148+00:00
2026-02-26,9.44,9.65,9.26,9.46,2420,9.46,2026-09-03T19:37:18.319148+00:00
2026-03-01,9.28,9.64,9.28,9.48,1100,9.48,2026-09-03T19:37:18.319148+00:00
2026-03-03,9.5,9.58,9.3,9.45,4000,9.45,2026-09-03T19:37:18.319148+00:00
2026-03-10,9.27,9.45,9.27,9.28,13900,9.28,2026-09-03T19:37:18.319148+00:00
2026-03-11,9.12,9.66,9.12,9.55,5400,9.55,2026-09-03T19:37:18.319148+00:00
2026-03-12,9.36,9.59,9.36,9.52,14700,9.52,2026-09-03T19:37:18.319148+00:00
2026-03-15,9.71,9.85,9.65,9.83,14250,9.83,2026-09-03T19:37:18.319148+00:00
2026-03-16,10.0,10.0,9.61,9.89,2800,9.89,2026-09-03T19:37:18.319148+00:00
2026-03-17,10.08,10.08,9.66,9.66,700,9.66,2026-09-03T19:37:18.319148+00:00
2026-03-19,9.47,9.83,9.3,9.6,5200,9.6,2026-09-03T19:37:18.319148+00:00
2026-03-22,9.41,10.0,9.41,9.82,7750,9.82,2026-09-03T19:37:18.319148+00:00
2026-03-23,9.63,9.95,9.44,9.95,8400,9.95,2026-09-03T19:37:18.319148+00:00
2026-03-24,9.76,10.2,9.76,10.0,87450,10.0,2026-09-03T19:37:18.319148+00:00
2026-03-25,9.9,10.0,9.56,9.65,3920,9.65,2026-09-03T19:37:18.319148+00:00
2026-03-26,9.65,9.85,9.46,9.85,3100,9.85,2026-09-03T19:37:18.319148+00:00
2026-03-29,9.67,9.86,9.67,9.68,2400,9.68,2026-09-03T19:37:18.319148+00:00
2026-03-30,9.49,9.67,9.49,9.65,4900,9.65,2026-09-03T19:37:18.319148+00:00
2026-03-31,9.5,9.6,9.5,9.55,2400,9.55,2026-09-03T19:37:18.319148+00:00
2026-04-01,9.55,9.55,9.5,9.5,1500,9.5,2026-09-03T19:37:18.319148+00:00
2026-04-02,9.5,9.6,9.5,9.51,1100,9.51,2026-09-03T19:37:18.319148+00:00
2026-04-05,9.34,9.6,9.34,9.6,6650,9.6,2026-09-03T19:37:18.319148+00:00
2026-04-06,9.41,9.51,9.41,9.5,1100,9.5,2026-09-03T19:37:18.319148+00:00
2026-04-07,9.41,9.5,9.4,9.4,1100,9.4,2026-09-03T19:37:18.319148+00:00
2026-04-08,9.4,9.58,9.4,9.55,5670,9.55,2026-09-03T19:37:18.319148+00:00
2026-04-09,9.51,9.83,9.51,9.6,4500,9.6,2026-09-03T19:37:18.319148+00:00
2026-04-10,9.58,9.77,9.58,9.6,2100,9.6,2026-09-03T19:37:18.319148+00:00
2026-04-13,9.56,9.73,9.5,9.6,2200,9.6,2026-09-03T19:37:18.319148+00:00
2026-04-15,9.5,9.8,9.5,9.51,6150,9.51,2026-09-03T19:37:18.319148+00:00
2026-04-16,9.4,9.5,9.37,9.43,1800,9.43,2026-09-03T19:37:18.319148+00:00
2026-04-17,9.5,9.6,9.5,9.55,4500,9.55,2026-09-03T19:37:18.319148+00:00
2026-04-20,9.27,9.5,9.27,9.5,2900,9.5,2026-09-03T19:37:18.319148+00:00
2026-04-21,9.45,9.6,9.25,9.6,9300,9.6,2026-09-03T19:37:18.319148+00:00
2026-04-22,9.6,9.6,9.12,9.35,3300,9.35,2026-09-03T19:37:18.319148+00:00
2026-04-23,9.08,9.45,9.08,9.38,4900,9.38,2026-09-03T19:37:18.319148+00:00
2026-04-24,9.38,9.47,9.16,9.36,2200,9.36,2026-09-03T19:37:18.319148+00:00
2026-04-27,9.36,9.48,9.1,9.48,3250,9.48,2026-09-03T19:37:18.319148+00:00
2026-04-28,9.48,9.48,9.23,9.31,3900,9.31,2026-09-03T19:37:18.319148+00:00
2026-04-29,9.31,9.47,9.2,9.31,2700,9.31,2026-09-03T19:37:18.319148+00:00
2026-04-30,9.15,9.98,9.15,9.21,3076,9.21,2026-09-03T19:37:18.319148+00:00
2026-05-04,9.15,9.45,9.15,9.4,1800,9.4,2026-09-03T19:37:18.319148+00:00
2026-05-05,9.15,9.5,9.01,9.5,3000,9.5,2026-09-03T19:37:18.319148+00:00
2026-05-06,9.22,9.77,9.16,9.77,29250,9.77,2026-09-03T19:37:18.319148+00:00
2026-05-07,9.5,9.55,9.5,9.55,900,9.55,2026-09-03T19:37:18.319148+00:00
2026-05-08,9.29,9.5,9.29,9.33,1000,9.33,2026-09-03T19:37:18.319148+00:00
2026-05-11,9.33,9.75,9.33,9.6,6900,9.6,2026-09-03T19:37:18.319148+00:00
2026-05-12,9.34,9.88,9.34,9.88,2100,9.88,2026-09-03T19:37:18.319148+00:00
2026-05-13,9.59,9.88,9.5,9.51,7100,9.51,2026-09-03T19:37:18.319148+00:00
2026-05-14,9.24,9.7,9.24,9.41,16500,9.41,2026-09-03T19:37:18.319148+00:00
2026-05-15,9.25,9.98,9.25,9.5,5969,9.5,2026-09-03T19:37:18.319148+00:00
2026-05-18,9.5,9.55,9.26,9.36,2500,9.36,2026-09-03T19:37:18.319148+00:00
2026-05-19,9.55,10.0,9.55,9.55,2500,9.55,2026-09-03T19:37:18.319148+00:00
2026-05-20,9.5,9.7,9.3,9.7,1400,9.7,2026-09-03T19:37:18.319148+00:00
2026-05-21,9.7,9.74,9.42,9.52,2200,9.52,2026-09-03T19:37:18.319148+00:00
2026-05-22,9.6,9.8,9.45,9.45,2700,9.45,2026-09-03T19:37:18.319148+00:00
2026-05-25,9.33,9.69,9.33,9.41,2300,9.41,2026-09-03T19:37:18.319148+00:00
2026-05-26,9.4,9.4,9.25,9.31,9900,9.31,2026-09-03T19:37:18.319148+00:00
2026-05-27,9.3,9.85,9.3,9.61,10000,9.61,2026-09-03T19:37:18.319148+00:00
2026-06-01,9.5,9.5,9.35,9.35,2400,9.35,2026-09-03T19:37:18.319148+00:00
2026-06-02,9.3,9.69,9.14,9.45,2500,9.45,2026-09-03T19:37:18.319148+00:00
2026-06-03,9.17,9.6,9.17,9.29,7800,9.29,2026-09-03T19:37:18.319148+00:00
2026-06-04,9.29,9.56,9.28,9.36,2000,9.36,2026-09-03T19:37:18.319148+00:00
2026-06-05,9.5,9.7,9.4,9.42,2100,9.42,2026-09-03T19:37:18.319148+00:00
2026-06-08,9.22,9.5,9.22,9.5,3280,9.5,2026-09-03T19:37:18.319148+00:00
2026-06-09,9.3,9.3,9.3,9.3,400,9.3,2026-09-03T19:37:18.319148+00:00
2026-06-10,9.3,9.3,9.3,9.3,700,9.3,2026-09-03T19:37:18.319148+00:00
2026-06-11,9.3,9.4,9.2,9.25,610,9.25,2026-09-03T19:37:18.319148+00:00
2026-06-12,9.25,9.47,9.2,9.47,800,9.47,2026-09-03T19:37:18.319148+00:00
2026-06-15,9.2,9.26,9.2,9.25,900,9.25,2026-09-03T19:37:18.319148+00:00
2026-06-16,9.5,9.52,9.5,9.5,10650,9.5,2026-09-03T19:37:18.319148+00:00
2026-06-17,9.3,9.5,9.23,9.36,1350,9.36,2026-09-03T19:37:18.319148+00:00
2026-06-18,9.4,9.52,9.4,9.52,2200,9.52,2026-09-03T19:37:18.319148+00:00
2026-06-19,9.45,9.45,9.25,9.45,500,9.45,2026-09-03T19:37:18.319148+00:00
2026-06-22,9.5,9.5,9.31,9.34,1100,9.34,2026-09-03T19:37:18.319148+00:00
2026-06-23,9.2,9.25,9.2,9.21,6549,9.21,2026-09-03T19:37:18.319148+00:00
