date,open,high,low,close,volume,adj_close,fetched_at
2015-07-02,4150.0,4145.0,4145.0,4145.0,100,4145.0,2026-09-03T19:34:23.865961+00:00
2015-07-30,4145.0,4065.0,4000.0,4000.0,638,4000.0,2026-09-03T19:34:23.865961+00:00
2015-08-03,4000.0,3920.0,3920.0,3920.0,13,3920.0,2026-09-03T19:34:23.865961+00:00
2015-08-10,3920.0,3842.0,3842.0,3842.0,13,3842.0,2026-09-03T19:34:23.865961+00:00
2015-08-11,3842.0,3766.0,3546.0,3546.0,939,3546.0,2026-09-03T19:34:23.865961+00:00
2015-09-01,3546.0,3600.0,3600.0,3600.0,1575,3600.0,2026-09-03T19:34:23.865961+00:00
2015-09-02,3600.0,3672.0,3672.0,3672.0,100,3672.0,2026-09-03T19:34:23.865961+00:00
2015-09-03,3672.0,3819.0,3745.0,3819.0,200,3819.0,2026-09-03T19:34:23.865961+00:00
2015-09-06,3819.0,3972.0,3895.0,3972.0,1675,3972.0,2026-09-03T19:34:23.865961+00:00
2015-09-07,3972.0,3976.0,3976.0,3976.0,100,3976.0,2026-09-03T19:34:23.865961+00:00
2015-09-08,3976.0,4055.0,4055.0,4055.0,25,4055.0,2026-09-03T19:34:23.865961+00:00
2015-09-13,4055.0,4080.0,4000.0,4000.0,1588,4000.0,2026-09-03T19:34:23.865961+00:00
2015-09-15,4000.0,4110.0,3951.0,4110.0,55,4110.0,2026-09-03T19:34:23.865961+00:00
2015-09-16,4110.0,3950.0,3950.0,3950.0,450,3950.0,2026-09-03T19:34:23.865961+00:00
2015-09-17,3950.0,4029.0,4029.0,4029.0,56,4029.0,2026-09-03T19:34:23.865961+00:00
2015-09-22,4029.0,4431.0,4109.0,4430.0,123,4430.0,2026-09-03T19:34:23.865961+00:00
2015-09-28,4430.0,4518.0,4518.0,4518.0,38,4518.0,2026-09-03T19:34:23.865961+00:00
2015-09-29,4518.0,4605.0,4605.0,4605.0,13,4605.0,2026-09-03T19:34:23.865961+00:00
2015-09-30,4605.0,4650.0,4600.0,4650.0,1263,4650.0,2026-09-03T19:34:23.865961+00:00
2015-10-01,4650.0,4700.0,4700.0,4700.0,500,4700.0,2026-09-03T19:34:23.865961+00:00
2015-10-05,4700.0,4750.0,4750.0,4750.0,145,4750.0,2026-09-03T19:34:23.865961+00:00
2015-10-15,4750.0,4800.0,4800.0,4800.0,150,4800.0,2026-09-03T19:34:23.865961+00:00
2015-10-19,4800.0,4704.0,4704.0,4704.0,200,4704.0,2026-09-03T19:34:23.865961+00:00
2015-10-28,4704.0,4798.0,4798.0,4798.0,13,4798.0,2026-09-03T19:34:23.865961+00:00
2015-10-29,4798.0,4703.0,4703.0,4703.0,13,4703.0,2026-09-03T19:34:23.865961+00:00
2015-11-02,4703.0,4797.0,4797.0,4797.0,13,4797.0,2026-09-03T19:34:23.865961+00:00
2015-11-04,4797.0,4702.0,4702.0,4702.0,500,4702.0,2026-09-03T19:34:23.865961+00:00
2015-11-10,4702.0,4796.0,4796.0,4796.0,13,4796.0,2026-09-03T19:34:23.865961+00:00
2015-11-22,4796.0,4701.0,4701.0,4701.0,20,4701.0,2026-09-03T19:34:23.865961+00:00
2015-11-23,4701.0,4607.0,4516.0,4516.0,75,4516.0,2026-09-03T19:34:23.865961+00:00
2015-11-24,4516.0,4426.0,4426.0,4426.0,13,4426.0,2026-09-03T19:34:23.865961+00:00
2015-11-25,4426.0,4350.0,4254.0,4350.0,789,4350.0,2026-09-03T19:34:23.865961+00:00
2015-11-26,4350.0,4300.0,4300.0,4300.0,130,4300.0,2026-09-03T19:34:23.865961+00:00
2015-11-29,4300.0,4250.0,4250.0,4250.0,30,4250.0,2026-09-03T19:34:23.865961+00:00
2015-11-30,4250.0,4335.0,4251.0,4251.0,26,4251.0,2026-09-03T19:34:23.865961+00:00
2015-12-01,4251.0,4488.0,4336.0,4488.0,750,4488.0,2026-09-03T19:34:23.865961+00:00
2015-12-03,4488.0,4650.0,4488.0,4650.0,951,4650.0,2026-09-03T19:34:23.865961+00:00
2015-12-06,4650.0,4560.0,4560.0,4560.0,900,4560.0,2026-09-03T19:34:23.865961+00:00
2015-12-07,4560.0,4740.0,4651.0,4740.0,1217,4740.0,2026-09-03T19:34:23.865961+00:00
2015-12-08,4740.0,4800.0,4800.0,4800.0,13,4800.0,2026-09-03T19:34:23.865961+00:00
2015-12-09,4800.0,4800.0,4800.0,4800.0,110,4800.0,2026-09-03T19:34:23.865961+00:00
2015-12-10,4800.0,4800.0,4800.0,4800.0,100,4800.0,2026-09-03T19:34:23.865961+00:00
2015-12-13,4800.0,4800.0,4710.0,4710.0,940,4710.0,2026-09-03T19:34:23.865961+00:00
2015-12-14,4710.0,4990.0,4804.0,4990.0,226,4990.0,2026-09-03T19:34:23.865961+00:00
2015-12-15,4990.0,5190.0,5087.0,5188.0,1096,5188.0,2026-09-03T19:34:23.865961+00:00
