date,open,high,low,close,volume,adj_close,fetched_at
2022-06-16,263.9,290.2,263.9,290.2,60760,290.2,2026-09-03T19:35:58.108722+00:00
2022-06-17,296.0,301.9,270.0,273.0,52534,273.0,2026-09-03T19:35:58.108722+00:00
2022-06-19,267.6,267.6,245.8,246.9,19420,246.9,2026-09-03T19:35:58.108722+00:00
2022-06-20,250.0,250.0,222.3,224.1,31226,224.1,2026-09-03T19:35:58.108722+00:00
2022-06-21,224.0,246.5,211.3,244.0,20128,244.0,2026-09-03T19:35:58.108722+00:00
2022-06-22,248.8,253.7,227.0,233.5,6830,233.5,2026-09-03T19:35:58.108722+00:00
2022-06-23,238.1,238.1,212.0,216.0,11649,216.0,2026-09-03T19:35:58.108722+00:00
2022-06-24,211.7,228.0,200.0,213.0,9612,213.0,2026-09-03T19:35:58.108722+00:00
2022-06-26,215.0,227.0,212.0,227.0,14916,227.0,2026-09-03T19:35:58.108722+00:00
2022-06-27,231.5,231.5,216.6,224.7,13680,224.7,2026-09-03T19:35:58.108722+00:00
2022-06-28,224.0,224.0,212.0,216.9,9230,216.9,2026-09-03T19:35:58.108722+00:00
2022-06-29,213.0,227.0,213.0,225.0,10181,225.0,2026-09-03T19:35:58.108722+00:00
2022-06-30,225.0,235.0,214.1,229.0,24919,229.0,2026-09-03T19:35:58.108722+00:00
2022-07-01,226.0,233.0,222.5,226.0,8939,226.0,2026-09-03T19:35:58.108722+00:00
2022-07-03,221.5,244.0,218.2,242.0,18191,242.0,2026-09-03T19:35:58.108722+00:00
2022-07-04,242.0,260.0,225.4,231.0,33149,231.0,2026-09-03T19:35:58.108722+00:00
2022-07-05,228.0,240.0,221.0,223.0,12329,223.0,2026-09-03T19:35:58.108722+00:00
2022-07-06,223.0,234.0,218.7,225.0,9290,225.0,2026-09-03T19:35:58.108722+00:00
2022-07-07,225.0,234.6,218.2,224.0,13889,224.0,2026-09-03T19:35:58.108722+00:00
2022-07-08,219.6,220.0,214.0,215.0,7726,215.0,2026-09-03T19:35:58.108722+00:00
2022-07-11,211.0,214.0,201.0,203.1,14254,203.1,2026-09-03T19:35:58.108722+00:00
2022-07-12,202.0,211.0,200.0,203.8,8467,203.8,2026-09-03T19:35:58.108722+00:00
2022-07-13,207.0,220.3,205.0,219.0,9792,219.0,2026-09-03T19:35:58.108722+00:00
2022-07-14,216.0,233.3,213.0,233.0,17479,233.0,2026-09-03T19:35:58.108722+00:00
2022-07-15,237.6,237.6,220.0,222.0,9792,222.0,2026-09-03T19:35:58.108722+00:00
2022-07-17,218.0,225.4,215.0,222.0,8151,222.0,2026-09-03T19:35:58.108722+00:00
2022-07-18,226.4,226.4,213.3,226.4,11432,226.4,2026-09-03T19:35:58.108722+00:00
2022-07-19,222.0,231.0,218.1,223.0,12170,223.0,2026-09-03T19:35:58.108722+00:00
2022-07-20,220.0,225.8,219.5,221.0,7531,221.0,2026-09-03T19:35:58.108722+00:00
2022-07-21,217.2,223.0,215.0,218.0,10772,218.0,2026-09-03T19:35:58.108722+00:00
2022-07-22,214.0,221.0,210.0,212.0,6494,212.0,2026-09-03T19:35:58.108722+00:00
2022-07-24,215.0,233.1,212.0,231.5,25996,231.5,2026-09-03T19:35:58.108722+00:00
2022-07-25,231.5,244.8,223.5,237.2,23825,237.2,2026-09-03T19:35:58.108722+00:00
