date,open,high,low,close,volume,adj_close,fetched_at
2022-08-31,319.0,350.9,319.0,322.1,97653,322.1,2026-09-03T19:36:06.483561+00:00
2022-09-01,322.0,322.0,298.1,308.0,31303,308.0,2026-09-03T19:36:06.483561+00:00
2022-09-02,308.0,313.0,298.4,308.9,8910,308.9,2026-09-03T19:36:06.483561+00:00
2022-09-04,310.0,322.0,302.7,310.0,15867,310.0,2026-09-03T19:36:06.483561+00:00
2022-09-05,305.1,312.0,304.0,307.0,13743,307.0,2026-09-03T19:36:06.483561+00:00
2022-09-06,303.0,307.0,299.0,299.0,12826,299.0,2026-09-03T19:36:06.483561+00:00
2022-09-07,293.2,296.0,287.3,296.0,9955,296.0,2026-09-03T19:36:06.483561+00:00
2022-09-08,296.0,310.0,287.0,303.0,13203,303.0,2026-09-03T19:36:06.483561+00:00
2022-09-11,297.0,309.0,293.0,298.0,8300,298.0,2026-09-03T19:36:06.483561+00:00
2022-09-12,297.0,297.0,284.2,291.0,11426,291.0,2026-09-03T19:36:06.483561+00:00
2022-09-13,291.0,299.8,285.0,295.1,6500,295.1,2026-09-03T19:36:06.483561+00:00
2022-09-14,289.2,304.0,289.2,300.0,14405,300.0,2026-09-03T19:36:06.483561+00:00
2022-09-15,294.0,302.1,279.0,284.0,16379,284.0,2026-09-03T19:36:06.483561+00:00
2022-09-16,278.4,278.4,263.7,274.0,10641,274.0,2026-09-03T19:36:06.483561+00:00
2022-09-18,268.6,278.0,249.9,254.0,22806,254.0,2026-09-03T19:36:06.483561+00:00
2022-09-20,249.0,249.0,235.0,239.9,8516,239.9,2026-09-03T19:36:06.483561+00:00
2022-09-21,244.6,244.6,232.4,232.4,5731,232.4,2026-09-03T19:36:06.483561+00:00
2022-09-22,232.4,232.5,225.2,230.0,8612,230.0,2026-09-03T19:36:06.483561+00:00
2022-09-25,225.4,225.4,217.0,224.0,6236,224.0,2026-09-03T19:36:06.483561+00:00
2022-09-27,224.0,242.0,216.7,231.0,4490,231.0,2026-09-03T19:36:06.483561+00:00
2022-09-28,226.4,240.3,209.0,217.0,5269,217.0,2026-09-03T19:36:06.483561+00:00
2022-09-29,215.1,225.7,215.1,220.9,1820,220.9,2026-09-03T19:36:06.483561+00:00
2022-10-09,220.0,229.0,216.0,226.0,3347,226.0,2026-09-03T19:36:06.483561+00:00
2022-10-10,221.5,225.0,216.0,216.1,5525,216.1,2026-09-03T19:36:06.483561+00:00
2022-10-11,216.0,224.0,212.1,224.0,2855,224.0,2026-09-03T19:36:06.483561+00:00
2022-10-12,219.6,224.0,209.0,220.5,3706,220.5,2026-09-03T19:36:06.483561+00:00
2022-10-13,216.1,224.0,212.8,215.2,4501,215.2,2026-09-03T19:36:06.483561+00:00
2022-10-16,212.0,222.0,212.0,222.0,5782,222.0,2026-09-03T19:36:06.483561+00:00
2022-10-17,218.0,222.3,214.0,218.0,3480,218.0,2026-09-03T19:36:06.483561+00:00
2022-10-19,213.7,216.0,210.0,210.4,5745,210.4,2026-09-03T19:36:06.483561+00:00
2022-10-20,206.2,214.0,203.1,210.0,4795,210.0,2026-09-03T19:36:06.483561+00:00
2022-10-23,206.0,211.1,204.0,210.0,2980,210.0,2026-09-03T19:36:06.483561+00:00
2022-10-31,206.0,211.1,206.0,207.0,3090,207.0,2026-09-03T19:36:06.483561+00:00
2022-11-01,203.3,219.9,203.3,217.1,7940,217.1,2026-09-03T19:36:06.483561+00:00
2022-11-02,215.0,221.4,211.5,220.0,4035,220.0,2026-09-03T19:36:06.483561+00:00
2022-11-03,220.0,227.6,215.0,219.0,9907,219.0,2026-09-03T19:36:06.483561+00:00
2022-11-06,223.0,227.0,211.0,227.0,6887,227.0,2026-09-03T19:36:06.483561+00:00
2022-11-07,222.5,234.0,219.0,223.0,13987,223.0,2026-09-03T19:36:06.483561+00:00
2022-11-08,220.0,223.9,218.0,223.0,5053,223.0,2026-09-03T19:36:06.483561+00:00
2022-11-09,220.0,220.0,211.8,213.0,3187,213.0,2026-09-03T19:36:06.483561+00:00
2022-11-10,210.0,210.5,205.0,206.0,5084,206.0,2026-09-03T19:36:06.483561+00:00
2022-11-13,206.0,210.0,203.1,206.0,3170,206.0,2026-09-03T19:36:06.483561+00:00
2022-11-14,202.0,214.9,202.0,214.9,4634,214.9,2026-09-03T19:36:06.483561+00:00
2022-11-15,210.7,213.0,200.0,207.0,12238,207.0,2026-09-03T19:36:06.483561+00:00
2022-11-16,205.0,215.0,203.0,214.0,4122,214.0,2026-09-03T19:36:06.483561+00:00
2022-11-17,210.0,218.0,210.0,217.0,7249,217.0,2026-09-03T19:36:06.483561+00:00
2022-11-22,213.0,221.0,205.0,214.0,11898,214.0,2026-09-03T19:36:06.483561+00:00
2022-11-23,209.8,210.0,206.0,209.9,1615,209.9,2026-09-03T19:36:06.483561+00:00
2022-11-24,206.0,212.0,206.0,209.0,2511,209.0,2026-09-03T19:36:06.483561+00:00
2022-11-27,205.1,215.2,205.1,213.0,11132,213.0,2026-09-03T19:36:06.483561+00:00
2022-11-28,212.0,217.2,207.3,213.0,5350,213.0,2026-09-03T19:36:06.483561+00:00
2022-11-29,208.8,211.9,208.0,211.8,4270,211.8,2026-09-03T19:36:06.483561+00:00
2022-11-30,207.7,213.0,207.7,212.0,2200,212.0,2026-09-03T19:36:06.483561+00:00
2022-12-01,216.2,217.2,208.3,211.0,6485,211.0,2026-09-03T19:36:06.483561+00:00
2022-12-04,210.0,217.0,208.1,214.0,11536,214.0,2026-09-03T19:36:06.483561+00:00
2022-12-05,210.0,217.9,208.0,211.8,4759,211.8,2026-09-03T19:36:06.483561+00:00
2022-12-06,210.0,212.9,207.7,212.9,5597,212.9,2026-09-03T19:36:06.483561+00:00
2022-12-07,217.1,217.1,206.2,208.0,2910,208.0,2026-09-03T19:36:06.483561+00:00
2022-12-11,204.1,208.0,201.2,205.0,9442,205.0,2026-09-03T19:36:06.483561+00:00
2022-12-12,201.2,210.0,201.2,207.0,4140,207.0,2026-09-03T19:36:06.483561+00:00
2022-12-13,210.9,211.0,203.0,207.9,1130,207.9,2026-09-03T19:36:06.483561+00:00
2022-12-14,207.9,208.0,204.0,205.0,5389,205.0,2026-09-03T19:36:06.483561+00:00
2022-12-15,202.0,205.0,202.0,205.0,4137,205.0,2026-09-03T19:36:06.483561+00:00
2022-12-18,201.0,202.5,197.2,200.0,6020,200.0,2026-09-03T19:36:06.483561+00:00
2022-12-19,198.0,200.0,194.1,200.0,4260,200.0,2026-09-03T19:36:06.483561+00:00
2022-12-20,196.0,204.0,196.0,200.8,5670,200.8,2026-09-03T19:36:06.483561+00:00
2022-12-21,196.9,200.3,193.2,198.0,3170,198.0,2026-09-03T19:36:06.483561+00:00
2022-12-22,198.5,199.8,191.6,199.8,2490,199.8,2026-09-03T19:36:06.483561+00:00
2022-12-26,196.0,208.8,196.0,207.0,7353,207.0,2026-09-03T19:36:06.483561+00:00
2022-12-27,208.0,222.3,208.0,220.0,33037,220.0,2026-09-03T19:36:06.483561+00:00
2022-12-28,224.4,224.4,212.1,218.9,11505,218.9,2026-09-03T19:36:06.483561+00:00
2022-12-29,223.2,237.6,210.3,237.6,17926,237.6,2026-09-03T19:36:06.483561+00:00
2023-01-01,238.0,241.4,223.6,230.0,38315,230.0,2026-09-03T19:36:06.483561+00:00
2023-01-02,226.0,235.6,221.0,235.6,13861,235.6,2026-09-03T19:36:06.483561+00:00
2023-01-03,240.3,240.3,226.4,231.0,14031,231.0,2026-09-03T19:36:06.483561+00:00
2023-01-04,231.0,247.0,224.5,247.0,28218,247.0,2026-09-03T19:36:06.483561+00:00
2023-01-05,250.0,262.8,238.5,254.9,29875,254.9,2026-09-03T19:36:06.483561+00:00
2023-01-08,259.9,273.0,249.9,255.0,34356,255.0,2026-09-03T19:36:06.483561+00:00
2023-01-09,255.0,280.5,255.0,274.9,22850,274.9,2026-09-03T19:36:06.483561+00:00
2023-01-10,272.1,302.0,257.0,274.9,45311,274.9,2026-09-03T19:36:06.483561+00:00
2023-01-12,279.0,280.0,247.5,270.0,32776,270.0,2026-09-03T19:36:06.483561+00:00
2023-01-17,264.6,292.0,256.1,284.0,25994,284.0,2026-09-03T19:36:06.483561+00:00
2023-01-18,284.0,298.0,279.0,285.0,27024,285.0,2026-09-03T19:36:06.483561+00:00
2023-01-19,279.3,289.9,271.1,285.0,27546,285.0,2026-09-03T19:36:06.483561+00:00
2023-01-23,285.0,295.0,277.9,287.0,33360,287.0,2026-09-03T19:36:06.483561+00:00
2023-01-24,281.3,285.6,270.0,285.6,32363,285.6,2026-09-03T19:36:06.483561+00:00
2023-01-25,285.0,300.0,276.1,290.8,35292,290.8,2026-09-03T19:36:06.483561+00:00
2023-01-26,295.0,315.0,290.0,313.0,40662,313.0,2026-09-03T19:36:06.483561+00:00
2023-01-29,319.2,319.2,300.1,310.0,37323,310.0,2026-09-03T19:36:06.483561+00:00
2023-01-30,307.0,310.0,288.0,295.0,47991,295.0,2026-09-03T19:36:06.483561+00:00
2023-01-31,289.3,313.0,289.3,299.0,38093,299.0,2026-09-03T19:36:06.483561+00:00
2023-02-01,295.0,317.0,295.0,317.0,32470,317.0,2026-09-03T19:36:06.483561+00:00
2023-02-02,318.0,323.2,302.2,303.4,26506,303.4,2026-09-03T19:36:06.483561+00:00
2023-02-05,301.1,314.9,298.2,300.0,20402,300.0,2026-09-03T19:36:06.483561+00:00
2023-02-06,300.0,305.0,298.5,301.0,14081,301.0,2026-09-03T19:36:06.483561+00:00
2023-02-07,301.0,319.9,301.0,316.2,25863,316.2,2026-09-03T19:36:06.483561+00:00
2023-02-08,313.0,322.0,306.2,310.0,19304,310.0,2026-09-03T19:36:06.483561+00:00
2023-02-09,304.0,314.0,304.0,313.5,15393,313.5,2026-09-03T19:36:06.483561+00:00
2023-02-12,307.3,307.3,295.0,302.2,31789,302.2,2026-09-03T19:36:06.483561+00:00
2023-02-14,296.2,318.5,296.2,318.0,55503,318.0,2026-09-03T19:36:06.483561+00:00
2023-02-15,311.7,337.0,311.7,325.0,43382,325.0,2026-09-03T19:36:06.483561+00:00
2023-02-16,331.5,356.8,321.6,342.0,76794,342.0,2026-09-03T19:36:06.483561+00:00
2023-02-20,348.8,376.2,342.0,376.2,77662,376.2,2026-09-03T19:36:06.483561+00:00
2023-02-22,383.7,406.0,368.1,395.9,73373,395.9,2026-09-03T19:36:06.483561+00:00
2023-02-23,403.8,403.8,362.1,382.5,26080,382.5,2026-09-03T19:36:06.483561+00:00
2023-02-26,374.9,390.1,349.0,390.1,44049,390.1,2026-09-03T19:36:06.483561+00:00
2023-02-27,382.3,382.3,351.1,365.0,58922,365.0,2026-09-03T19:36:06.483561+00:00
2023-02-28,365.0,365.0,349.0,351.0,21605,351.0,2026-09-03T19:36:06.483561+00:00
2023-03-01,351.0,358.0,341.0,348.6,28192,348.6,2026-09-03T19:36:06.483561+00:00
2023-03-02,344.0,367.0,344.0,358.0,37675,358.0,2026-09-03T19:36:06.483561+00:00
2023-03-05,359.0,359.0,341.4,343.2,22495,343.2,2026-09-03T19:36:06.483561+00:00
2023-03-07,343.0,350.5,338.0,340.0,7255,340.0,2026-09-03T19:36:06.483561+00:00
2023-03-09,346.8,355.8,336.3,350.5,35269,350.5,2026-09-03T19:36:06.483561+00:00
2023-03-12,350.0,364.8,346.0,346.0,20952,346.0,2026-09-03T19:36:06.483561+00:00
2023-03-13,342.0,348.7,336.2,341.5,14970,341.5,2026-09-03T19:36:06.483561+00:00
2023-03-14,336.2,353.2,336.2,342.0,12033,342.0,2026-09-03T19:36:06.483561+00:00
2023-03-15,342.0,346.8,337.2,342.0,12958,342.0,2026-09-03T19:36:06.483561+00:00
2023-03-16,338.0,347.9,337.0,338.3,10473,338.3,2026-09-03T19:36:06.483561+00:00
2023-03-19,336.0,345.0,335.2,344.0,37457,344.0,2026-09-03T19:36:06.483561+00:00
2023-03-20,338.0,347.3,338.0,347.3,21798,347.3,2026-09-03T19:36:06.483561+00:00
2023-03-22,342.0,344.0,334.1,335.0,19138,335.0,2026-09-03T19:36:06.483561+00:00
2023-03-23,335.0,337.0,320.0,333.0,28747,333.0,2026-09-03T19:36:06.483561+00:00
2023-03-26,339.0,339.0,313.0,319.0,15825,319.0,2026-09-03T19:36:06.483561+00:00
