date,open,high,low,close,volume,adj_close,fetched_at
2019-08-11,210.0,219.0,207.0,214.0,217982,214.0,2026-09-03T19:35:10.700481+00:00
2019-08-12,212.0,216.0,210.0,212.0,120516,212.0,2026-09-03T19:35:10.700481+00:00
2019-08-13,212.0,215.0,210.0,211.0,67725,211.0,2026-09-03T19:35:10.700481+00:00
2019-08-14,209.0,212.0,207.0,208.0,75889,208.0,2026-09-03T19:35:10.700481+00:00
2019-08-15,204.0,212.0,204.0,210.0,42895,210.0,2026-09-03T19:35:10.700481+00:00
2019-08-18,210.0,211.0,205.0,205.0,82602,205.0,2026-09-03T19:35:10.700481+00:00
2019-08-19,205.0,208.0,200.0,206.0,105338,206.0,2026-09-03T19:35:10.700481+00:00
2019-08-20,206.0,207.0,200.0,207.0,81600,207.0,2026-09-03T19:35:10.700481+00:00
2019-08-21,203.0,204.0,200.0,200.0,47080,200.0,2026-09-03T19:35:10.700481+00:00
2019-08-22,200.0,203.0,200.0,200.0,31447,200.0,2026-09-03T19:35:10.700481+00:00
2019-08-25,200.0,202.0,192.0,195.0,55104,195.0,2026-09-03T19:35:10.700481+00:00
2019-08-26,195.0,195.0,187.0,187.0,45230,187.0,2026-09-03T19:35:10.700481+00:00
2019-08-27,187.0,195.0,185.0,191.0,27836,191.0,2026-09-03T19:35:10.700481+00:00
2019-08-28,188.0,190.0,184.0,185.0,15595,185.0,2026-09-03T19:35:10.700481+00:00
2019-08-29,182.0,187.0,182.0,185.0,31482,185.0,2026-09-03T19:35:10.700481+00:00
2019-09-01,185.0,185.0,174.0,174.0,39290,174.0,2026-09-03T19:35:10.700481+00:00
2019-09-02,172.0,174.0,170.0,173.0,32525,173.0,2026-09-03T19:35:10.700481+00:00
2019-09-03,173.0,179.0,167.0,179.0,31313,179.0,2026-09-03T19:35:10.700481+00:00
2019-09-04,181.0,181.0,172.0,177.0,25040,177.0,2026-09-03T19:35:10.700481+00:00
2019-09-05,177.0,177.0,171.0,173.0,31245,173.0,2026-09-03T19:35:10.700481+00:00
2019-09-08,173.0,176.0,168.0,168.0,19940,168.0,2026-09-03T19:35:10.700481+00:00
2019-09-09,170.0,170.0,166.0,166.0,22735,166.0,2026-09-03T19:35:10.700481+00:00
2019-09-10,166.0,170.0,160.0,161.0,45858,161.0,2026-09-03T19:35:10.700481+00:00
2019-09-11,161.0,164.0,160.0,161.0,20610,161.0,2026-09-03T19:35:10.700481+00:00
2019-09-12,158.0,162.0,158.0,158.0,28131,158.0,2026-09-03T19:35:10.700481+00:00
2019-09-15,158.0,159.0,152.0,154.0,56655,154.0,2026-09-03T19:35:10.700481+00:00
2019-09-16,152.0,159.0,151.0,155.0,38818,155.0,2026-09-03T19:35:10.700481+00:00
2019-09-17,155.0,170.0,153.0,167.0,73396,167.0,2026-09-03T19:35:10.700481+00:00
2019-09-18,168.0,172.0,162.0,169.0,78420,169.0,2026-09-03T19:35:10.700481+00:00
2019-09-19,168.0,169.0,164.0,165.0,27410,165.0,2026-09-03T19:35:10.700481+00:00
2019-09-22,163.0,163.0,155.0,155.0,32550,155.0,2026-09-03T19:35:10.700481+00:00
2019-09-23,155.0,161.0,153.0,154.0,27512,154.0,2026-09-03T19:35:10.700481+00:00
2019-09-24,153.0,156.0,153.0,155.0,14940,155.0,2026-09-03T19:35:10.700481+00:00
2019-09-25,153.0,159.0,153.0,157.0,23697,157.0,2026-09-03T19:35:10.700481+00:00
