date,open,high,low,close,volume,adj_close,fetched_at
2026-03-29,300.0,330.0,300.0,330.0,190,330.0,2026-09-03T19:37:26.195404+00:00
2026-03-30,335.5,363.0,335.5,363.0,150,363.0,2026-09-03T19:37:26.195404+00:00
2026-03-31,370.0,399.3,370.0,399.3,170,399.3,2026-09-03T19:37:26.195404+00:00
2026-04-01,400.5,439.2,400.5,439.2,150,439.2,2026-09-03T19:37:26.195404+00:00
2026-04-02,445.0,483.1,445.0,483.1,270,483.1,2026-09-03T19:37:26.195404+00:00
2026-04-05,492.7,531.4,492.7,531.4,440,531.4,2026-09-03T19:37:26.195404+00:00
2026-04-06,542.0,584.5,542.0,584.5,430,584.5,2026-09-03T19:37:26.195404+00:00
2026-04-07,596.1,642.9,596.1,642.9,510,642.9,2026-09-03T19:37:26.195404+00:00
2026-04-08,655.7,707.1,655.7,707.1,830,707.1,2026-09-03T19:37:26.195404+00:00
2026-04-09,721.2,777.8,721.2,777.8,1200,777.8,2026-09-03T19:37:26.195404+00:00
2026-04-10,793.3,855.5,793.3,855.5,1290,855.5,2026-09-03T19:37:26.195404+00:00
2026-04-13,872.6,941.0,872.6,941.0,1960,941.0,2026-09-03T19:37:26.195404+00:00
2026-04-15,959.8,1035.1,959.8,1035.1,2500,1035.1,2026-09-03T19:37:26.195404+00:00
2026-04-16,1055.0,1138.6,1055.0,1138.6,3660,1138.6,2026-09-03T19:37:26.195404+00:00
2026-04-17,1116.1,1252.4,1116.1,1252.4,12230,1252.4,2026-09-03T19:37:26.195404+00:00
2026-04-20,1315.0,1440.2,1207.0,1390.0,140360,1390.0,2026-09-03T19:37:26.195404+00:00
2026-04-21,1455.0,1592.3,1310.0,1400.0,62780,1400.0,2026-09-03T19:37:26.195404+00:00
2026-04-22,1428.0,1430.0,1265.0,1352.0,71250,1352.0,2026-09-03T19:37:26.195404+00:00
2026-04-23,1352.0,1431.7,1260.2,1279.9,88355,1279.9,2026-09-03T19:37:26.195404+00:00
2026-04-24,1279.9,1340.0,1242.0,1321.1,46369,1321.1,2026-09-03T19:37:26.195404+00:00
2026-04-27,1321.1,1354.0,1275.0,1276.0,43856,1276.0,2026-09-03T19:37:26.195404+00:00
2026-04-28,1270.0,1290.0,1145.0,1145.0,54167,1145.0,2026-09-03T19:37:26.195404+00:00
2026-04-29,1145.0,1202.2,1100.0,1131.0,51593,1131.0,2026-09-03T19:37:26.195404+00:00
2026-04-30,1131.0,1175.0,1080.1,1150.0,34662,1150.0,2026-09-03T19:37:26.195404+00:00
2026-05-04,1150.0,1180.0,1118.0,1131.0,35656,1131.0,2026-09-03T19:37:26.195404+00:00
2026-05-05,1140.0,1160.0,1110.6,1145.0,44625,1145.0,2026-09-03T19:37:26.195404+00:00
2026-05-06,1150.0,1214.6,1125.0,1175.0,31627,1175.0,2026-09-03T19:37:26.195404+00:00
2026-05-07,1175.0,1175.0,1130.1,1160.0,20584,1160.0,2026-09-03T19:37:26.195404+00:00
2026-05-08,1118.0,1199.9,1118.0,1170.0,34019,1170.0,2026-09-03T19:37:26.195404+00:00
2026-05-11,1228.5,1228.5,1168.0,1168.0,17610,1168.0,2026-09-03T19:37:26.195404+00:00
2026-05-12,1198.0,1198.0,1105.0,1108.0,22120,1108.0,2026-09-03T19:37:26.195404+00:00
2026-05-13,1095.0,1095.0,1045.0,1054.0,24683,1054.0,2026-09-03T19:37:26.195404+00:00
2026-05-14,1070.0,1070.0,975.0,1004.0,24421,1004.0,2026-09-03T19:37:26.195404+00:00
2026-05-15,1004.0,1030.0,985.0,997.0,15358,997.0,2026-09-03T19:37:26.195404+00:00
2026-05-18,978.0,1026.9,978.0,1000.0,12055,1000.0,2026-09-03T19:37:26.195404+00:00
2026-05-19,1000.0,1030.0,985.1,986.5,11571,986.5,2026-09-03T19:37:26.195404+00:00
2026-05-20,975.0,1017.0,975.0,1010.0,10983,1010.0,2026-09-03T19:37:26.195404+00:00
2026-05-21,1000.1,1025.0,979.4,999.0,20255,999.0,2026-09-03T19:37:26.195404+00:00
2026-05-22,985.0,1027.0,975.0,1026.9,12636,1026.9,2026-09-03T19:37:26.195404+00:00
