date,open,high,low,close,volume,adj_close,fetched_at
2021-09-02,10.0,10.15,9.98,10.1,16950,10.1,2026-09-03T19:35:37.494482+00:00
2021-09-05,10.1,10.3,9.85,9.95,40555,9.95,2026-09-03T19:35:37.494482+00:00
2021-09-06,9.95,10.1,9.95,10.05,30050,10.05,2026-09-03T19:35:37.494482+00:00
2021-09-07,9.95,10.09,9.95,10.0,9120,10.0,2026-09-03T19:35:37.494482+00:00
2021-09-08,10.0,10.05,9.97,10.03,14900,10.03,2026-09-03T19:35:37.494482+00:00
2021-09-09,9.95,10.0,9.85,9.88,63081,9.88,2026-09-03T19:35:37.494482+00:00
2021-09-12,9.89,10.0,9.89,9.96,21600,9.96,2026-09-03T19:35:37.494482+00:00
2021-09-13,9.98,9.98,9.85,9.92,21100,9.92,2026-09-03T19:35:37.494482+00:00
2021-09-14,9.9,10.05,9.9,9.91,18800,9.91,2026-09-03T19:35:37.494482+00:00
2021-09-15,9.9,10.1,9.9,9.93,6700,9.93,2026-09-03T19:35:37.494482+00:00
2021-09-16,9.85,10.0,9.82,9.85,55350,9.85,2026-09-03T19:35:37.494482+00:00
2021-09-20,9.8,9.89,9.71,9.71,50450,9.71,2026-09-03T19:35:37.494482+00:00
2021-09-21,9.6,9.8,9.5,9.61,27650,9.61,2026-09-03T19:35:37.494482+00:00
2021-09-22,9.7,10.0,9.62,9.65,74300,9.65,2026-09-03T19:35:37.494482+00:00
2021-09-23,9.47,9.88,9.47,9.7,56000,9.7,2026-09-03T19:35:37.494482+00:00
2021-09-26,9.7,9.8,9.58,9.59,10400,9.59,2026-09-03T19:35:37.494482+00:00
2021-09-27,9.5,9.69,9.32,9.5,15600,9.5,2026-09-03T19:35:37.494482+00:00
2021-09-28,9.32,9.52,9.32,9.4,21564,9.4,2026-09-03T19:35:37.494482+00:00
2021-09-29,9.4,9.67,9.4,9.61,16550,9.61,2026-09-03T19:35:37.494482+00:00
2021-09-30,9.6,9.65,9.42,9.52,12050,9.52,2026-09-03T19:35:37.494482+00:00
2021-10-03,9.33,9.5,9.3,9.5,18180,9.5,2026-09-03T19:35:37.494482+00:00
