date,open,high,low,close,volume,adj_close,fetched_at
2017-02-08,0.0,346.0,334.0,346.0,30,346.0,2026-09-03T19:34:38.419539+00:00
2017-02-21,346.0,352.0,352.0,352.0,10,352.0,2026-09-03T19:34:38.419539+00:00
2017-02-23,352.0,380.0,359.0,380.0,50,380.0,2026-09-03T19:34:38.419539+00:00
2017-02-26,380.0,401.0,387.0,401.0,30,401.0,2026-09-03T19:34:38.419539+00:00
2017-03-01,401.0,441.0,409.0,441.0,72,441.0,2026-09-03T19:34:38.419539+00:00
2017-03-02,441.0,484.0,449.0,484.0,58,484.0,2026-09-03T19:34:38.419539+00:00
2017-03-05,484.0,532.0,493.0,532.0,90,532.0,2026-09-03T19:34:38.419539+00:00
2017-03-06,532.0,574.0,542.0,574.0,54,574.0,2026-09-03T19:34:38.419539+00:00
2017-03-07,574.0,631.0,585.0,631.0,236,631.0,2026-09-03T19:34:38.419539+00:00
2017-03-09,631.0,694.0,643.0,694.0,58,694.0,2026-09-03T19:34:38.419539+00:00
2017-03-13,694.0,763.0,728.0,763.0,182,763.0,2026-09-03T19:34:38.419539+00:00
2017-03-21,663.0,689.0,676.0,689.0,50,689.0,2026-09-03T19:34:38.419539+00:00
2017-03-22,689.0,702.0,702.0,702.0,14,702.0,2026-09-03T19:34:38.419539+00:00
2017-03-29,702.0,737.0,737.0,737.0,14,737.0,2026-09-03T19:34:38.419539+00:00
2017-04-04,737.0,751.0,751.0,751.0,14,751.0,2026-09-03T19:34:38.419539+00:00
2017-04-10,737.0,751.0,751.0,751.0,10,751.0,2026-09-03T19:34:38.419539+00:00
2017-04-13,751.0,766.0,766.0,766.0,10,766.0,2026-09-03T19:34:38.419539+00:00
2017-04-18,766.0,796.0,781.0,796.0,20,796.0,2026-09-03T19:34:38.419539+00:00
2017-04-24,796.0,811.0,811.0,811.0,10,811.0,2026-09-03T19:34:38.419539+00:00
2017-04-25,811.0,859.0,827.0,859.0,38,859.0,2026-09-03T19:34:38.419539+00:00
2017-04-26,859.0,893.0,876.0,893.0,28,893.0,2026-09-03T19:34:38.419539+00:00
2017-04-27,893.0,910.0,910.0,910.0,10,910.0,2026-09-03T19:34:38.419539+00:00
2017-04-30,893.0,910.0,910.0,910.0,20,910.0,2026-09-03T19:34:38.419539+00:00
2017-05-02,910.0,983.0,928.0,983.0,44,983.0,2026-09-03T19:34:38.419539+00:00
2017-05-04,983.0,1002.0,1002.0,1002.0,10,1002.0,2026-09-03T19:34:38.419539+00:00
