date,open,high,low,close,volume,adj_close,fetched_at
2025-06-26,10.0,10.0,9.02,9.07,17400,9.07,2026-09-03T19:37:03.769380+00:00
2025-06-29,9.0,9.0,8.82,8.83,13090,8.83,2026-09-03T19:37:03.769380+00:00
2025-06-30,8.7,9.18,8.7,9.1,7150,9.1,2026-09-03T19:37:03.769380+00:00
2025-07-01,8.95,9.28,8.95,9.2,5500,9.2,2026-09-03T19:37:03.769380+00:00
2025-07-02,9.02,9.2,9.02,9.11,8200,9.11,2026-09-03T19:37:03.769380+00:00
2025-07-03,9.11,9.54,8.96,9.32,9510,9.32,2026-09-03T19:37:03.769380+00:00
2025-07-06,9.15,9.5,9.14,9.25,10350,9.25,2026-09-03T19:37:03.769380+00:00
2025-07-07,9.43,9.6,9.4,9.42,2820,9.42,2026-09-03T19:37:03.769380+00:00
2025-07-08,9.24,9.4,9.15,9.4,4415,9.4,2026-09-03T19:37:03.769380+00:00
2025-07-09,9.22,9.22,9.18,9.19,1400,9.19,2026-09-03T19:37:03.769380+00:00
2025-07-10,9.22,9.4,9.17,9.3,3400,9.3,2026-09-03T19:37:03.769380+00:00
2025-07-13,9.3,9.4,9.15,9.17,6820,9.17,2026-09-03T19:37:03.769380+00:00
2025-07-14,8.99,9.35,8.58,9.21,105840,9.21,2026-09-03T19:37:03.769380+00:00
2025-07-15,9.31,9.9,8.85,9.37,8800,9.37,2026-09-03T19:37:03.769380+00:00
2025-07-16,9.3,10.08,9.12,9.93,51661,9.93,2026-09-03T19:37:03.769380+00:00
2025-07-17,9.74,9.74,9.2,9.36,84199,9.36,2026-09-03T19:37:03.769380+00:00
2025-07-20,9.3,9.69,9.3,9.49,317951,9.49,2026-09-03T19:37:03.769380+00:00
2025-07-21,9.5,9.58,9.4,9.41,16280,9.41,2026-09-03T19:37:03.769380+00:00
2025-07-22,9.23,9.79,9.23,9.75,22100,9.75,2026-09-03T19:37:03.769380+00:00
2025-07-23,9.56,9.8,9.3,9.48,27500,9.48,2026-09-03T19:37:03.769380+00:00
2025-07-24,9.4,9.89,9.23,9.89,13765,9.89,2026-09-03T19:37:03.769380+00:00
2025-07-27,9.7,9.95,9.35,9.6,920861,9.6,2026-09-03T19:37:03.769380+00:00
2025-07-28,9.41,9.97,9.26,9.95,142107,9.95,2026-09-03T19:37:03.769380+00:00
2025-07-29,9.76,9.81,9.57,9.8,121100,9.8,2026-09-03T19:37:03.769380+00:00
2025-07-30,9.99,9.99,9.41,9.75,16693,9.75,2026-09-03T19:37:03.769380+00:00
2025-07-31,9.6,9.85,9.6,9.79,8900,9.79,2026-09-03T19:37:03.769380+00:00
2025-08-03,9.6,9.79,9.41,9.58,13300,9.58,2026-09-03T19:37:03.769380+00:00
2025-08-04,9.5,9.75,9.25,9.75,17720,9.75,2026-09-03T19:37:03.769380+00:00
2025-08-05,9.56,9.6,9.4,9.5,3500,9.5,2026-09-03T19:37:03.769380+00:00
2025-08-06,9.31,9.53,9.15,9.24,19600,9.24,2026-09-03T19:37:03.769380+00:00
