date,open,high,low,close,volume,adj_close,fetched_at
2021-07-05,898.0,910.0,895.0,905.0,1966,905.0,2026-09-03T19:35:31.574079+00:00
2021-07-06,905.0,945.0,892.0,910.0,1340,910.0,2026-09-03T19:35:31.574079+00:00
2021-07-07,893.0,907.0,893.0,907.0,600,907.0,2026-09-03T19:35:31.574079+00:00
2021-07-08,907.0,925.0,896.0,902.0,2672,902.0,2026-09-03T19:35:31.574079+00:00
2021-07-11,901.0,930.0,900.0,909.0,2120,909.0,2026-09-03T19:35:31.574079+00:00
2021-07-12,915.0,920.0,902.0,903.0,2670,903.0,2026-09-03T19:35:31.574079+00:00
2021-07-13,903.0,910.0,900.0,910.0,771,910.0,2026-09-03T19:35:31.574079+00:00
2021-07-14,900.0,928.0,900.0,915.0,1305,915.0,2026-09-03T19:35:31.574079+00:00
2021-07-15,905.0,930.0,900.0,906.0,4000,906.0,2026-09-03T19:35:31.574079+00:00
2021-07-18,924.1,940.0,900.0,939.0,2851,939.0,2026-09-03T19:35:31.574079+00:00
2021-07-19,930.0,930.0,912.0,920.0,1119,920.0,2026-09-03T19:35:31.574079+00:00
2021-07-20,903.0,937.0,903.0,930.0,1060,930.0,2026-09-03T19:35:31.574079+00:00
2021-07-22,945.0,1000.0,941.0,967.0,16210,967.0,2026-09-03T19:35:31.574079+00:00
2021-07-25,986.0,986.0,947.0,967.0,5781,967.0,2026-09-03T19:35:31.574079+00:00
2021-07-26,955.0,970.0,950.0,950.1,2890,950.1,2026-09-03T19:35:31.574079+00:00
2021-07-27,940.0,1010.0,940.0,976.1,5827,976.1,2026-09-03T19:35:31.574079+00:00
2021-07-28,995.0,1025.0,975.0,1002.0,6938,1002.0,2026-09-03T19:35:31.574079+00:00
2021-07-29,983.0,999.6,965.0,999.0,4385,999.0,2026-09-03T19:35:31.574079+00:00
2021-08-01,999.0,1005.0,961.0,989.0,5907,989.0,2026-09-03T19:35:31.574079+00:00
2021-08-02,1005.0,1005.0,975.0,980.0,2335,980.0,2026-09-03T19:35:31.574079+00:00
2021-08-03,999.6,1078.0,997.0,1078.0,17893,1078.0,2026-09-03T19:35:31.574079+00:00
2021-08-04,1099.5,1185.8,1099.5,1152.6,14963,1152.6,2026-09-03T19:35:31.574079+00:00
2021-08-05,1152.0,1162.8,1085.1,1100.0,12292,1100.0,2026-09-03T19:35:31.574079+00:00
2021-08-08,1079.0,1120.0,1060.0,1100.0,6768,1100.0,2026-09-03T19:35:31.574079+00:00
2021-08-09,1079.5,1125.0,1079.5,1110.0,5454,1110.0,2026-09-03T19:35:31.574079+00:00
2021-08-10,1115.0,1143.9,1085.0,1100.0,8160,1100.0,2026-09-03T19:35:31.574079+00:00
2021-08-11,1080.0,1210.0,1080.0,1210.0,19474,1210.0,2026-09-03T19:35:31.574079+00:00
2021-08-12,1234.2,1331.0,1234.0,1331.0,14822,1331.0,2026-09-03T19:35:31.574079+00:00
2021-08-15,1355.0,1400.0,1242.0,1398.0,23547,1398.0,2026-09-03T19:35:31.574079+00:00
2021-08-16,1399.0,1537.8,1316.5,1530.0,15796,1530.0,2026-09-03T19:35:31.574079+00:00
2021-08-17,1560.6,1683.0,1560.6,1683.0,11943,1683.0,2026-09-03T19:35:31.574079+00:00
2021-08-18,1683.0,1770.0,1536.7,1770.0,20233,1770.0,2026-09-03T19:35:31.574079+00:00
2021-08-19,1805.0,1849.2,1593.0,1813.0,24376,1813.0,2026-09-03T19:35:31.574079+00:00
2021-08-24,1776.8,1776.8,1631.7,1631.7,4658,1631.7,2026-09-03T19:35:31.574079+00:00
2021-08-25,1599.1,1599.1,1468.6,1550.0,26750,1550.0,2026-09-03T19:35:31.574079+00:00
2021-08-26,1555.0,1662.0,1402.0,1662.0,20481,1662.0,2026-09-03T19:35:31.574079+00:00
2021-08-29,1628.8,1628.8,1495.8,1495.8,22376,1495.8,2026-09-03T19:35:31.574079+00:00
2021-08-31,1465.9,1479.0,1346.3,1346.3,14913,1346.3,2026-09-03T19:35:31.574079+00:00
2021-09-01,1320.0,1479.0,1300.0,1448.0,6391,1448.0,2026-09-03T19:35:31.574079+00:00
2021-09-02,1476.0,1476.0,1339.0,1445.0,6272,1445.0,2026-09-03T19:35:31.574079+00:00
2021-09-05,1416.1,1416.1,1300.5,1300.5,8156,1300.5,2026-09-03T19:35:31.574079+00:00
2021-09-06,1300.0,1410.0,1281.0,1398.0,3706,1398.0,2026-09-03T19:35:31.574079+00:00
2021-09-07,1405.0,1405.0,1278.9,1300.0,7207,1300.0,2026-09-03T19:35:31.574079+00:00
2021-09-08,1305.0,1351.0,1280.0,1305.0,4575,1305.0,2026-09-03T19:35:31.574079+00:00
2021-09-09,1330.0,1331.0,1280.0,1310.0,4705,1310.0,2026-09-03T19:35:31.574079+00:00
2021-09-12,1336.0,1390.0,1325.0,1380.0,7991,1380.0,2026-09-03T19:35:31.574079+00:00
2021-09-13,1400.0,1407.0,1353.0,1375.0,2965,1375.0,2026-09-03T19:35:31.574079+00:00
2021-09-14,1380.0,1380.0,1340.1,1379.0,1520,1379.0,2026-09-03T19:35:31.574079+00:00
2021-09-15,1375.0,1395.0,1265.0,1312.0,4869,1312.0,2026-09-03T19:35:31.574079+00:00
2021-09-16,1286.0,1305.0,1280.0,1280.0,4861,1280.0,2026-09-03T19:35:31.574079+00:00
2021-09-20,1300.0,1300.0,1155.0,1160.0,4631,1160.0,2026-09-03T19:35:31.574079+00:00
