date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,172.0,169.0,155.0,155.0,60,155.0,2026-09-03T19:34:10.706859+00:00
2012-09-25,155.0,152.0,147.0,147.0,30,147.0,2026-09-03T19:34:10.706859+00:00
2012-09-26,147.0,145.0,143.0,143.0,70,143.0,2026-09-03T19:34:10.706859+00:00
2012-10-02,137.0,135.0,124.0,124.0,200,124.0,2026-09-03T19:34:10.706859+00:00
2012-10-03,124.0,122.0,112.0,112.0,4850,112.0,2026-09-03T19:34:10.706859+00:00
2012-10-04,112.0,113.0,106.0,111.0,4670,111.0,2026-09-03T19:34:10.706859+00:00
2012-10-07,111.0,113.0,106.0,112.0,3980,112.0,2026-09-03T19:34:10.706859+00:00
2012-10-08,112.0,114.0,110.0,114.0,2710,114.0,2026-09-03T19:34:10.706859+00:00
2012-10-09,114.0,113.0,111.0,112.0,2770,112.0,2026-09-03T19:34:10.706859+00:00
2012-10-10,112.0,114.0,112.0,112.0,390,112.0,2026-09-03T19:34:10.706859+00:00
2012-10-11,112.0,114.0,114.0,114.0,50,114.0,2026-09-03T19:34:10.706859+00:00
2012-10-14,114.0,113.0,111.0,111.0,2020,111.0,2026-09-03T19:34:10.706859+00:00
2012-10-15,111.0,118.0,112.0,118.0,820,118.0,2026-09-03T19:34:10.706859+00:00
2012-10-18,118.0,120.0,118.0,120.0,1090,120.0,2026-09-03T19:34:10.706859+00:00
2012-10-30,120.0,119.0,118.0,119.0,780,119.0,2026-09-03T19:34:10.706859+00:00
2012-10-31,119.0,122.0,120.0,122.0,760,122.0,2026-09-03T19:34:10.706859+00:00
2012-11-01,122.0,121.0,119.0,120.0,550,120.0,2026-09-03T19:34:10.706859+00:00
2012-11-04,120.0,122.0,118.0,120.0,660,120.0,2026-09-03T19:34:10.706859+00:00
2012-11-05,120.0,124.0,122.0,124.0,1440,124.0,2026-09-03T19:34:10.706859+00:00
2012-11-06,124.0,128.0,125.0,128.0,490,128.0,2026-09-03T19:34:10.706859+00:00
2012-11-07,128.0,129.0,128.0,128.0,220,128.0,2026-09-03T19:34:10.706859+00:00
2012-11-21,128.0,130.0,130.0,130.0,720,130.0,2026-09-03T19:34:10.706859+00:00
2012-11-22,130.0,128.0,126.0,126.0,470,126.0,2026-09-03T19:34:10.706859+00:00
2012-11-25,126.0,124.0,116.0,116.0,660,116.0,2026-09-03T19:34:10.706859+00:00
2012-11-26,116.0,118.0,116.0,116.0,560,116.0,2026-09-03T19:34:10.706859+00:00
2012-11-27,116.0,117.0,117.0,117.0,2530,117.0,2026-09-03T19:34:10.706859+00:00
2012-11-28,117.0,119.0,119.0,119.0,520,119.0,2026-09-03T19:34:10.706859+00:00
2012-11-29,119.0,117.0,117.0,117.0,750,117.0,2026-09-03T19:34:10.706859+00:00
2012-12-03,117.0,116.0,116.0,116.0,80,116.0,2026-09-03T19:34:10.706859+00:00
2012-12-04,116.0,118.0,116.0,118.0,310,118.0,2026-09-03T19:34:10.706859+00:00
2012-12-05,118.0,118.0,117.0,117.0,730,117.0,2026-09-03T19:34:10.706859+00:00
2012-12-06,117.0,119.0,117.0,118.0,1180,118.0,2026-09-03T19:34:10.706859+00:00
2012-12-09,118.0,118.0,116.0,116.0,1430,116.0,2026-09-03T19:34:10.706859+00:00
2012-12-10,116.0,118.0,116.0,116.0,200,116.0,2026-09-03T19:34:10.706859+00:00
2012-12-11,116.0,118.0,114.0,118.0,910,118.0,2026-09-03T19:34:10.706859+00:00
2012-12-12,118.0,116.0,116.0,116.0,150,116.0,2026-09-03T19:34:10.706859+00:00
2012-12-13,116.0,117.0,117.0,117.0,360,117.0,2026-09-03T19:34:10.706859+00:00
2012-12-17,117.0,117.0,117.0,117.0,60,117.0,2026-09-03T19:34:10.706859+00:00
2012-12-18,117.0,116.0,116.0,116.0,430,116.0,2026-09-03T19:34:10.706859+00:00
2012-12-19,116.0,116.0,116.0,116.0,50,116.0,2026-09-03T19:34:10.706859+00:00
2012-12-20,116.0,120.0,118.0,120.0,160,120.0,2026-09-03T19:34:10.706859+00:00
2012-12-24,120.0,122.0,122.0,122.0,200,122.0,2026-09-03T19:34:10.706859+00:00
2012-12-31,122.0,121.0,120.0,120.0,1010,120.0,2026-09-03T19:34:10.706859+00:00
2013-01-01,120.0,118.0,118.0,118.0,80,118.0,2026-09-03T19:34:10.706859+00:00
2013-01-03,118.0,118.0,118.0,118.0,50,118.0,2026-09-03T19:34:10.706859+00:00
2013-01-06,118.0,118.0,118.0,118.0,60,118.0,2026-09-03T19:34:10.706859+00:00
2013-01-08,118.0,117.0,116.0,116.0,1690,116.0,2026-09-03T19:34:10.706859+00:00
2013-01-10,116.0,115.0,115.0,115.0,50,115.0,2026-09-03T19:34:10.706859+00:00
2013-01-16,115.0,116.0,115.0,115.0,690,115.0,2026-09-03T19:34:10.706859+00:00
2013-01-20,115.0,115.0,115.0,115.0,320,115.0,2026-09-03T19:34:10.706859+00:00
2013-01-22,115.0,125.0,117.0,125.0,1280,125.0,2026-09-03T19:34:10.706859+00:00
2013-01-24,125.0,130.0,127.0,130.0,2080,130.0,2026-09-03T19:34:10.706859+00:00
2013-01-27,130.0,132.0,128.0,128.0,3060,128.0,2026-09-03T19:34:10.706859+00:00
2013-01-28,128.0,127.0,125.0,125.0,670,125.0,2026-09-03T19:34:10.706859+00:00
2013-01-30,125.0,125.0,123.0,125.0,1440,125.0,2026-09-03T19:34:10.706859+00:00
2013-01-31,125.0,127.0,127.0,127.0,620,127.0,2026-09-03T19:34:10.706859+00:00
2013-02-03,127.0,129.0,127.0,127.0,780,127.0,2026-09-03T19:34:10.706859+00:00
2013-02-04,127.0,131.0,127.0,130.0,1340,130.0,2026-09-03T19:34:10.706859+00:00
2013-02-05,130.0,128.0,127.0,127.0,250,127.0,2026-09-03T19:34:10.706859+00:00
2013-02-06,127.0,130.0,128.0,129.0,1030,129.0,2026-09-03T19:34:10.706859+00:00
2013-02-07,129.0,129.0,127.0,129.0,440,129.0,2026-09-03T19:34:10.706859+00:00
2013-02-12,129.0,130.0,130.0,130.0,100,130.0,2026-09-03T19:34:10.706859+00:00
2013-02-13,130.0,129.0,129.0,129.0,450,129.0,2026-09-03T19:34:10.706859+00:00
2013-02-14,129.0,131.0,130.0,131.0,380,131.0,2026-09-03T19:34:10.706859+00:00
2013-02-19,131.0,133.0,133.0,133.0,430,133.0,2026-09-03T19:34:10.706859+00:00
2013-02-20,133.0,133.0,131.0,131.0,390,131.0,2026-09-03T19:34:10.706859+00:00
2013-02-21,131.0,129.0,129.0,129.0,200,129.0,2026-09-03T19:34:10.706859+00:00
2013-02-24,129.0,128.0,127.0,127.0,240,127.0,2026-09-03T19:34:10.706859+00:00
2014-09-07,127.0,139.0,129.0,139.0,60,139.0,2026-09-03T19:34:10.706859+00:00
2014-09-09,139.0,151.0,145.0,151.0,40,151.0,2026-09-03T19:34:10.706859+00:00
2014-09-10,151.0,166.0,154.0,166.0,50,166.0,2026-09-03T19:34:10.706859+00:00
2014-09-11,166.0,182.0,169.0,182.0,60,182.0,2026-09-03T19:34:10.706859+00:00
2014-09-14,182.0,200.0,191.0,200.0,40,200.0,2026-09-03T19:34:10.706859+00:00
2014-09-15,200.0,220.0,210.0,220.0,160,220.0,2026-09-03T19:34:10.706859+00:00
2014-09-30,220.0,235.0,231.0,235.0,260,235.0,2026-09-03T19:34:10.706859+00:00
2014-10-08,235.0,251.0,239.0,251.0,460,251.0,2026-09-03T19:34:10.706859+00:00
2014-10-09,251.0,266.0,256.0,266.0,430,266.0,2026-09-03T19:34:10.706859+00:00
2014-10-12,266.0,291.0,271.0,291.0,130,291.0,2026-09-03T19:34:10.706859+00:00
2014-10-13,291.0,320.0,296.0,320.0,21003,320.0,2026-09-03T19:34:10.706859+00:00
2014-10-14,320.0,328.0,301.0,320.0,6800,320.0,2026-09-03T19:34:10.706859+00:00
2014-10-15,320.0,325.0,314.0,320.0,4750,320.0,2026-09-03T19:34:10.706859+00:00
2014-10-16,320.0,326.0,315.0,321.0,4661,321.0,2026-09-03T19:34:10.706859+00:00
2014-10-19,321.0,327.0,321.0,322.0,756,322.0,2026-09-03T19:34:10.706859+00:00
2014-10-20,322.0,320.0,311.0,314.0,1573,314.0,2026-09-03T19:34:10.706859+00:00
2014-10-21,314.0,320.0,315.0,315.0,570,315.0,2026-09-03T19:34:10.706859+00:00
2014-10-22,315.0,327.0,321.0,325.0,1559,325.0,2026-09-03T19:34:10.706859+00:00
2014-10-26,325.0,324.0,318.0,318.0,1270,318.0,2026-09-03T19:34:10.706859+00:00
2014-10-27,318.0,320.0,312.0,318.0,1683,318.0,2026-09-03T19:34:10.706859+00:00
2014-10-28,318.0,325.0,315.0,319.0,2480,319.0,2026-09-03T19:34:10.706859+00:00
2014-10-30,319.0,321.0,314.0,321.0,969,321.0,2026-09-03T19:34:10.706859+00:00
2014-11-02,321.0,315.0,309.0,309.0,150,309.0,2026-09-03T19:34:10.706859+00:00
2014-11-03,309.0,308.0,304.0,308.0,990,308.0,2026-09-03T19:34:10.706859+00:00
2014-11-04,308.0,302.0,302.0,302.0,92,302.0,2026-09-03T19:34:10.706859+00:00
2014-11-05,302.0,306.0,294.0,301.0,6349,301.0,2026-09-03T19:34:10.706859+00:00
2014-11-06,301.0,313.0,303.0,313.0,321,313.0,2026-09-03T19:34:10.706859+00:00
2014-11-09,313.0,311.0,307.0,311.0,810,311.0,2026-09-03T19:34:10.706859+00:00
2014-11-10,311.0,311.0,305.0,306.0,773,306.0,2026-09-03T19:34:10.706859+00:00
2014-11-11,306.0,304.0,294.0,298.0,2101,298.0,2026-09-03T19:34:10.706859+00:00
2014-11-12,298.0,305.0,300.0,305.0,4673,305.0,2026-09-03T19:34:10.706859+00:00
2014-11-13,305.0,299.0,294.0,294.0,170,294.0,2026-09-03T19:34:10.706859+00:00
2014-11-16,294.0,291.0,286.0,290.0,910,290.0,2026-09-03T19:34:10.706859+00:00
2014-11-17,290.0,290.0,285.0,290.0,973,290.0,2026-09-03T19:34:10.706859+00:00
2014-11-18,290.0,285.0,275.0,275.0,671,275.0,2026-09-03T19:34:10.706859+00:00
2014-11-19,275.0,282.0,280.0,282.0,220,282.0,2026-09-03T19:34:10.706859+00:00
2014-11-20,282.0,277.0,277.0,277.0,500,277.0,2026-09-03T19:34:10.706859+00:00
2014-11-23,277.0,285.0,280.0,285.0,1820,285.0,2026-09-03T19:34:10.706859+00:00
2014-11-24,285.0,285.0,280.0,280.0,6980,280.0,2026-09-03T19:34:10.706859+00:00
2014-11-30,280.0,288.0,275.0,288.0,2433,288.0,2026-09-03T19:34:10.706859+00:00
2014-12-01,288.0,290.0,285.0,286.0,2250,286.0,2026-09-03T19:34:10.706859+00:00
2014-12-02,286.0,284.0,283.0,283.0,627,283.0,2026-09-03T19:34:10.706859+00:00
2014-12-03,283.0,285.0,280.0,283.0,2666,283.0,2026-09-03T19:34:10.706859+00:00
2014-12-04,283.0,290.0,282.0,282.0,1751,282.0,2026-09-03T19:34:10.706859+00:00
2014-12-07,282.0,284.0,277.0,283.0,1833,283.0,2026-09-03T19:34:10.706859+00:00
2014-12-09,283.0,278.0,278.0,278.0,440,278.0,2026-09-03T19:34:10.706859+00:00
2014-12-11,278.0,283.0,283.0,283.0,200,283.0,2026-09-03T19:34:10.706859+00:00
2014-12-14,283.0,303.0,288.0,303.0,707,303.0,2026-09-03T19:34:10.706859+00:00
2014-12-15,303.0,297.0,297.0,297.0,443,297.0,2026-09-03T19:34:10.706859+00:00
2014-12-16,297.0,292.0,292.0,292.0,120,292.0,2026-09-03T19:34:10.706859+00:00
2014-12-17,292.0,295.0,290.0,295.0,2190,295.0,2026-09-03T19:34:10.706859+00:00
2014-12-18,295.0,290.0,290.0,290.0,170,290.0,2026-09-03T19:34:10.706859+00:00
