date,open,high,low,close,volume,adj_close,fetched_at
2025-11-09,319.5,351.4,319.5,351.4,100,351.4,2026-09-03T19:37:12.670416+00:00
2025-11-10,345.8,386.5,345.8,386.5,90,386.5,2026-09-03T19:37:12.670416+00:00
2025-11-11,386.5,425.1,386.5,425.1,200,425.1,2026-09-03T19:37:12.670416+00:00
2025-11-12,430.1,467.6,430.1,467.6,210,467.6,2026-09-03T19:37:12.670416+00:00
2025-11-13,476.9,514.3,476.9,514.3,270,514.3,2026-09-03T19:37:12.670416+00:00
2025-11-16,524.5,565.7,524.5,565.7,570,565.7,2026-09-03T19:37:12.670416+00:00
2025-11-17,577.0,622.2,577.0,622.2,710,622.2,2026-09-03T19:37:12.670416+00:00
2025-11-18,634.6,684.4,634.6,684.4,450,684.4,2026-09-03T19:37:12.670416+00:00
2025-11-19,684.0,752.8,684.0,752.8,480,752.8,2026-09-03T19:37:12.670416+00:00
2025-11-20,767.8,828.0,767.8,828.0,950,828.0,2026-09-03T19:37:12.670416+00:00
2025-11-23,828.0,910.8,828.0,910.8,1270,910.8,2026-09-03T19:37:12.670416+00:00
2025-11-24,929.0,1001.8,929.0,1001.8,1600,1001.8,2026-09-03T19:37:12.670416+00:00
2025-11-25,1000.9,1101.9,1000.9,1101.9,1980,1101.9,2026-09-03T19:37:12.670416+00:00
2025-11-26,1101.9,1212.0,1101.9,1212.0,1810,1212.0,2026-09-03T19:37:12.670416+00:00
2025-11-27,1236.2,1333.2,1236.2,1333.2,2870,1333.2,2026-09-03T19:37:12.670416+00:00
2025-11-30,1359.8,1466.5,1359.8,1466.5,2590,1466.5,2026-09-03T19:37:12.670416+00:00
2025-12-01,1495.8,1613.1,1495.8,1613.1,3280,1613.1,2026-09-03T19:37:12.670416+00:00
2025-12-02,1645.3,1774.4,1645.3,1774.4,3010,1774.4,2026-09-03T19:37:12.670416+00:00
2025-12-03,1800.0,1951.8,1800.0,1951.8,4420,1951.8,2026-09-03T19:37:12.670416+00:00
2025-12-07,1990.8,2146.9,1790.1,1817.1,231979,1817.1,2026-09-03T19:37:12.670416+00:00
2025-12-08,1800.0,1892.0,1733.0,1830.0,134790,1830.0,2026-09-03T19:37:12.670416+00:00
2025-12-09,1830.0,1836.0,1794.1,1801.0,32590,1801.0,2026-09-03T19:37:12.670416+00:00
2025-12-10,1801.0,1810.4,1752.0,1754.1,60435,1754.1,2026-09-03T19:37:12.670416+00:00
2025-12-11,1741.0,1805.0,1735.0,1796.0,54615,1796.0,2026-09-03T19:37:12.670416+00:00
2025-12-14,1796.0,1808.0,1756.1,1765.0,39348,1765.0,2026-09-03T19:37:12.670416+00:00
2025-12-15,1756.0,1805.0,1751.0,1772.0,35750,1772.0,2026-09-03T19:37:12.670416+00:00
2025-12-16,1772.0,1785.0,1766.5,1770.0,21380,1770.0,2026-09-03T19:37:12.670416+00:00
2025-12-17,1805.4,1805.4,1740.2,1773.0,21614,1773.0,2026-09-03T19:37:12.670416+00:00
2025-12-18,1740.0,1777.0,1740.0,1740.3,37422,1740.3,2026-09-03T19:37:12.670416+00:00
2025-12-21,1720.3,1740.0,1670.0,1680.2,48656,1680.2,2026-09-03T19:37:12.670416+00:00
2025-12-22,1666.0,1679.9,1652.1,1676.1,33929,1676.1,2026-09-03T19:37:12.670416+00:00
2025-12-23,1654.0,1754.8,1653.4,1720.0,49483,1720.0,2026-09-03T19:37:12.670416+00:00
2025-12-24,1690.0,1744.2,1685.0,1690.1,17378,1690.1,2026-09-03T19:37:12.670416+00:00
2025-12-28,1690.0,1710.0,1670.0,1687.0,28702,1687.0,2026-09-03T19:37:12.670416+00:00
2025-12-29,1697.0,1700.0,1672.0,1678.9,29857,1678.9,2026-09-03T19:37:12.670416+00:00
2025-12-31,1680.0,1725.0,1676.6,1678.0,31924,1678.0,2026-09-03T19:37:12.670416+00:00
2026-01-01,1650.5,1725.0,1650.5,1699.9,61283,1699.9,2026-09-03T19:37:12.670416+00:00
2026-01-04,1666.0,1849.0,1666.0,1833.0,105590,1833.0,2026-09-03T19:37:12.670416+00:00
2026-01-05,1833.0,2016.3,1833.0,2016.3,81032,2016.3,2026-09-03T19:37:12.670416+00:00
2026-01-06,2020.0,2060.0,1931.7,1932.0,93360,1932.0,2026-09-03T19:37:12.670416+00:00
2026-01-07,1932.0,2009.0,1915.0,1969.0,79760,1969.0,2026-09-03T19:37:12.670416+00:00
2026-01-08,1955.0,2038.8,1955.0,1980.0,75232,1980.0,2026-09-03T19:37:12.670416+00:00
2026-01-12,1980.0,2047.0,1980.0,2001.0,92460,2001.0,2026-09-03T19:37:12.670416+00:00
2026-01-13,2010.0,2020.0,1960.0,1966.0,75443,1966.0,2026-09-03T19:37:12.670416+00:00
2026-01-14,1960.0,2019.6,1960.0,2005.0,54968,2005.0,2026-09-03T19:37:12.670416+00:00
