date,open,high,low,close,volume,adj_close,fetched_at
2023-03-15,10.0,10.0,10.0,10.0,200,10.0,2026-09-03T19:36:17.075499+00:00
2023-03-16,9.81,9.81,9.58,9.58,3840,9.58,2026-09-03T19:36:17.075499+00:00
2023-03-19,9.39,9.39,8.76,8.76,5100,8.76,2026-09-03T19:36:17.075499+00:00
2023-03-20,8.75,8.75,8.33,8.37,8275,8.37,2026-09-03T19:36:17.075499+00:00
2023-03-22,8.21,8.21,7.86,7.88,5175,7.88,2026-09-03T19:36:17.075499+00:00
2023-03-23,7.75,7.9,7.6,7.77,3200,7.77,2026-09-03T19:36:17.075499+00:00
2023-03-26,7.62,7.65,7.32,7.44,6900,7.44,2026-09-03T19:36:17.075499+00:00
2023-03-27,7.3,7.65,7.3,7.5,4185,7.5,2026-09-03T19:36:17.075499+00:00
2023-03-28,7.41,7.7,7.41,7.63,1100,7.63,2026-09-03T19:36:17.075499+00:00
2023-03-29,7.5,7.63,7.5,7.57,700,7.57,2026-09-03T19:36:17.075499+00:00
2023-03-30,7.42,7.5,7.2,7.39,2550,7.39,2026-09-03T19:36:17.075499+00:00
2023-04-02,7.3,7.54,7.3,7.42,2780,7.42,2026-09-03T19:36:17.075499+00:00
2023-04-03,7.4,7.4,7.31,7.39,550,7.39,2026-09-03T19:36:17.075499+00:00
2023-04-04,7.53,8.05,7.53,8.05,2375,8.05,2026-09-03T19:36:17.075499+00:00
2023-04-05,7.89,8.73,7.89,8.7,13090,8.7,2026-09-03T19:36:17.075499+00:00
2023-04-06,8.87,8.87,8.2,8.2,7175,8.2,2026-09-03T19:36:17.075499+00:00
2023-04-09,8.36,8.8,8.36,8.73,725,8.73,2026-09-03T19:36:17.075499+00:00
2023-04-10,8.56,8.56,8.56,8.56,100,8.56,2026-09-03T19:36:17.075499+00:00
2023-04-11,8.5,9.2,8.45,9.1,1210,9.1,2026-09-03T19:36:17.075499+00:00
2023-04-12,8.92,9.27,8.92,9.2,7125,9.2,2026-09-03T19:36:17.075499+00:00
2023-04-13,9.2,9.2,9.02,9.2,1900,9.2,2026-09-03T19:36:17.075499+00:00
2023-04-16,9.2,9.2,9.02,9.02,1525,9.02,2026-09-03T19:36:17.075499+00:00
2023-04-17,8.84,8.84,8.5,8.67,1300,8.67,2026-09-03T19:36:17.075499+00:00
2023-04-18,8.5,8.66,8.5,8.66,1200,8.66,2026-09-03T19:36:17.075499+00:00
2023-04-19,8.66,8.7,8.66,8.7,1800,8.7,2026-09-03T19:36:17.075499+00:00
2023-04-20,8.55,8.77,8.55,8.7,2300,8.7,2026-09-03T19:36:17.075499+00:00
2023-04-23,8.54,8.56,8.4,8.55,900,8.55,2026-09-03T19:36:17.075499+00:00
2023-04-24,8.38,8.38,8.23,8.23,300,8.23,2026-09-03T19:36:17.075499+00:00
2023-04-25,8.07,8.35,8.07,8.15,1230,8.15,2026-09-03T19:36:17.075499+00:00
2023-04-26,8.15,8.15,8.1,8.11,1250,8.11,2026-09-03T19:36:17.075499+00:00
2023-04-27,7.97,8.27,7.96,8.11,900,8.11,2026-09-03T19:36:17.075499+00:00
2023-04-30,8.0,8.07,7.98,8.0,900,8.0,2026-09-03T19:36:17.075499+00:00
2023-05-02,7.84,8.16,7.84,8.0,1850,8.0,2026-09-03T19:36:17.075499+00:00
2023-05-03,7.85,7.85,7.73,7.76,500,7.76,2026-09-03T19:36:17.075499+00:00
2023-05-04,7.61,7.84,7.48,7.84,1900,7.84,2026-09-03T19:36:17.075499+00:00
2023-05-07,7.69,7.99,7.69,7.92,900,7.92,2026-09-03T19:36:17.075499+00:00
2023-05-08,7.93,8.0,7.93,7.97,600,7.97,2026-09-03T19:36:17.075499+00:00
2023-05-09,7.84,7.9,7.84,7.88,700,7.88,2026-09-03T19:36:17.075499+00:00
2023-05-10,7.84,7.88,7.84,7.88,1800,7.88,2026-09-03T19:36:17.075499+00:00
2023-05-11,7.84,7.84,7.84,7.84,1200,7.84,2026-09-03T19:36:17.075499+00:00
2023-05-14,7.8,7.9,7.8,7.8,2600,7.8,2026-09-03T19:36:17.075499+00:00
2023-05-15,7.8,7.8,7.72,7.72,620,7.72,2026-09-03T19:36:17.075499+00:00
2023-05-16,7.57,7.74,7.49,7.74,700,7.74,2026-09-03T19:36:17.075499+00:00
2023-05-17,7.74,8.0,7.74,8.0,1800,8.0,2026-09-03T19:36:17.075499+00:00
2023-05-18,8.16,8.16,7.99,7.99,1100,7.99,2026-09-03T19:36:17.075499+00:00
2023-05-21,8.0,8.15,8.0,8.05,2050,8.05,2026-09-03T19:36:17.075499+00:00
2023-05-22,8.02,8.18,8.02,8.06,600,8.06,2026-09-03T19:36:17.075499+00:00
2023-05-23,8.05,8.36,8.05,8.3,2400,8.3,2026-09-03T19:36:17.075499+00:00
2023-05-24,8.2,8.2,8.2,8.2,800,8.2,2026-09-03T19:36:17.075499+00:00
2023-05-28,8.04,8.15,7.89,8.08,3800,8.08,2026-09-03T19:36:17.075499+00:00
2023-05-30,7.95,8.1,7.81,8.1,2325,8.1,2026-09-03T19:36:17.075499+00:00
2023-05-31,7.95,7.95,7.85,7.9,2400,7.9,2026-09-03T19:36:17.075499+00:00
2023-06-01,7.82,8.0,7.82,8.0,700,8.0,2026-09-03T19:36:17.075499+00:00
2023-06-04,8.0,8.0,7.91,7.94,1050,7.94,2026-09-03T19:36:17.075499+00:00
2023-06-05,7.81,7.87,7.81,7.87,5000,7.87,2026-09-03T19:36:17.075499+00:00
2023-06-06,7.8,8.05,7.8,8.05,2375,8.05,2026-09-03T19:36:17.075499+00:00
2023-06-07,8.0,8.15,8.0,8.15,600,8.15,2026-09-03T19:36:17.075499+00:00
2023-06-08,8.0,8.15,8.0,8.15,800,8.15,2026-09-03T19:36:17.075499+00:00
2023-06-11,8.0,8.15,7.85,8.15,3075,8.15,2026-09-03T19:36:17.075499+00:00
2023-06-12,8.1,8.15,7.95,8.15,1500,8.15,2026-09-03T19:36:17.075499+00:00
2023-06-13,8.0,8.31,8.0,8.31,6000,8.31,2026-09-03T19:36:17.075499+00:00
2023-06-14,8.15,8.15,8.01,8.12,1000,8.12,2026-09-03T19:36:17.075499+00:00
2023-06-15,7.97,7.97,7.97,7.97,200,7.97,2026-09-03T19:36:17.075499+00:00
2023-06-18,7.82,8.22,7.7,8.22,3445,8.22,2026-09-03T19:36:17.075499+00:00
2023-06-19,8.06,8.07,7.92,8.0,2700,8.0,2026-09-03T19:36:17.075499+00:00
2023-06-20,7.87,8.1,7.87,8.1,1625,8.1,2026-09-03T19:36:17.075499+00:00
2023-06-21,7.94,8.11,7.94,8.11,1150,8.11,2026-09-03T19:36:17.075499+00:00
2023-06-22,7.95,7.95,7.95,7.95,500,7.95,2026-09-03T19:36:17.075499+00:00
2023-06-25,8.0,8.1,7.95,7.97,2750,7.97,2026-09-03T19:36:17.075499+00:00
2023-06-26,7.97,7.97,7.82,7.95,3625,7.95,2026-09-03T19:36:17.075499+00:00
2023-06-27,7.8,8.2,7.8,8.2,4550,8.2,2026-09-03T19:36:17.075499+00:00
2023-06-28,8.04,8.2,8.04,8.15,1800,8.15,2026-09-03T19:36:17.075499+00:00
2023-07-02,8.0,8.42,8.0,8.42,2300,8.42,2026-09-03T19:36:17.075499+00:00
2023-07-03,8.5,8.58,8.41,8.42,15175,8.42,2026-09-03T19:36:17.075499+00:00
2023-07-04,8.29,8.32,8.29,8.32,2200,8.32,2026-09-03T19:36:17.075499+00:00
2023-07-05,8.2,8.32,8.2,8.2,2700,8.2,2026-09-03T19:36:17.075499+00:00
2023-07-06,8.2,8.2,8.1,8.2,500,8.2,2026-09-03T19:36:17.075499+00:00
2023-07-09,8.1,8.15,8.1,8.15,900,8.15,2026-09-03T19:36:17.075499+00:00
2023-07-10,8.1,8.15,8.1,8.15,1000,8.15,2026-09-03T19:36:17.075499+00:00
2023-07-11,8.04,8.12,8.04,8.12,2220,8.12,2026-09-03T19:36:17.075499+00:00
2023-07-12,8.28,8.6,8.28,8.43,700,8.43,2026-09-03T19:36:17.075499+00:00
2023-07-13,8.59,9.09,8.59,9.09,2700,9.09,2026-09-03T19:36:17.075499+00:00
2023-07-16,8.91,9.99,8.46,9.99,14370,9.99,2026-09-03T19:36:17.075499+00:00
2023-07-17,9.8,9.8,9.24,9.24,1755,9.24,2026-09-03T19:36:17.075499+00:00
2023-07-18,9.06,9.06,8.88,8.88,300,8.88,2026-09-03T19:36:17.075499+00:00
2023-07-19,8.71,8.75,8.71,8.75,500,8.75,2026-09-03T19:36:17.075499+00:00
2023-07-20,8.75,8.75,8.5,8.5,1620,8.5,2026-09-03T19:36:17.075499+00:00
2023-07-23,8.4,8.5,8.36,8.47,1600,8.47,2026-09-03T19:36:17.075499+00:00
2023-07-24,8.33,8.55,8.33,8.55,1325,8.55,2026-09-03T19:36:17.075499+00:00
2023-07-25,8.38,8.38,8.38,8.38,800,8.38,2026-09-03T19:36:17.075499+00:00
2023-07-26,8.22,8.27,8.06,8.25,8850,8.25,2026-09-03T19:36:17.075499+00:00
2023-07-27,8.15,8.2,8.15,8.2,400,8.2,2026-09-03T19:36:17.075499+00:00
2023-07-30,8.07,8.24,8.07,8.22,4300,8.22,2026-09-03T19:36:17.075499+00:00
