date,open,high,low,close,volume,adj_close,fetched_at
2021-12-08,622.3,634.0,594.0,595.0,31289,595.0,2026-09-03T19:35:43.036428+00:00
2021-12-09,595.0,619.0,572.0,581.0,44125,581.0,2026-09-03T19:35:43.036428+00:00
2021-12-12,570.1,584.6,545.0,545.0,39265,545.0,2026-09-03T19:35:43.036428+00:00
2021-12-13,535.0,542.0,500.0,513.0,38196,513.0,2026-09-03T19:35:43.036428+00:00
2021-12-14,505.0,564.0,505.0,563.0,14615,563.0,2026-09-03T19:35:43.036428+00:00
2021-12-15,566.0,600.0,545.0,548.0,30603,548.0,2026-09-03T19:35:43.036428+00:00
2021-12-16,548.0,570.0,523.0,540.0,36059,540.0,2026-09-03T19:35:43.036428+00:00
2021-12-20,530.0,545.2,514.0,524.5,18596,524.5,2026-09-03T19:35:43.036428+00:00
2021-12-21,514.1,540.0,514.1,533.2,23307,533.2,2026-09-03T19:35:43.036428+00:00
2021-12-22,522.6,560.0,522.6,558.9,25566,558.9,2026-09-03T19:35:43.036428+00:00
2021-12-23,565.0,571.5,540.2,551.0,41614,551.0,2026-09-03T19:35:43.036428+00:00
2021-12-26,551.0,572.0,542.1,557.0,27500,557.0,2026-09-03T19:35:43.036428+00:00
2021-12-27,555.0,564.0,530.0,533.2,50149,533.2,2026-09-03T19:35:43.036428+00:00
2021-12-28,523.0,540.0,515.0,537.0,21213,537.0,2026-09-03T19:35:43.036428+00:00
2021-12-29,537.0,548.0,530.0,545.0,16170,545.0,2026-09-03T19:35:43.036428+00:00
2022-01-02,540.0,565.0,534.2,549.0,15457,549.0,2026-09-03T19:35:43.036428+00:00
2022-01-03,545.0,559.0,539.0,544.0,46593,544.0,2026-09-03T19:35:43.036428+00:00
2022-01-04,541.0,568.0,536.0,566.0,27443,566.0,2026-09-03T19:35:43.036428+00:00
2022-01-05,565.0,608.0,560.6,580.0,69522,580.0,2026-09-03T19:35:43.036428+00:00
2022-01-06,570.0,608.0,569.0,607.0,67178,607.0,2026-09-03T19:35:43.036428+00:00
2022-01-09,610.0,655.8,610.0,626.0,70612,626.0,2026-09-03T19:35:43.036428+00:00
2022-01-10,626.0,652.8,618.1,641.0,98654,641.0,2026-09-03T19:35:43.036428+00:00
2022-01-11,639.0,659.9,628.0,640.0,55114,640.0,2026-09-03T19:35:43.036428+00:00
2022-01-12,640.0,680.0,630.0,633.0,69261,633.0,2026-09-03T19:35:43.036428+00:00
2022-01-13,630.0,662.0,630.0,651.0,49360,651.0,2026-09-03T19:35:43.036428+00:00
2022-01-16,651.0,675.0,645.0,648.0,73826,648.0,2026-09-03T19:35:43.036428+00:00
2022-01-17,648.0,660.0,637.0,651.0,50062,651.0,2026-09-03T19:35:43.036428+00:00
2022-01-18,650.0,663.0,636.0,645.0,39260,645.0,2026-09-03T19:35:43.036428+00:00
2022-01-19,635.0,650.0,621.2,625.0,39319,625.0,2026-09-03T19:35:43.036428+00:00
2022-01-20,615.1,636.0,615.1,632.5,44219,632.5,2026-09-03T19:35:43.036428+00:00
2022-01-23,640.0,650.0,624.0,624.0,28508,624.0,2026-09-03T19:35:43.036428+00:00
2022-01-24,630.0,634.0,585.0,596.0,61455,596.0,2026-09-03T19:35:43.036428+00:00
2022-01-25,590.0,604.0,584.0,584.0,45434,584.0,2026-09-03T19:35:43.036428+00:00
2022-01-26,584.0,597.0,570.0,575.3,37192,575.3,2026-09-03T19:35:43.036428+00:00
2022-01-27,585.0,593.0,567.5,579.0,19650,579.0,2026-09-03T19:35:43.036428+00:00
2022-01-30,590.0,620.0,590.0,620.0,54130,620.0,2026-09-03T19:35:43.036428+00:00
2022-01-31,632.0,632.0,610.3,625.9,40002,625.9,2026-09-03T19:35:43.036428+00:00
2022-02-01,626.0,664.9,615.0,660.0,99983,660.0,2026-09-03T19:35:43.036428+00:00
2022-02-03,673.2,726.0,673.2,700.0,243194,700.0,2026-09-03T19:35:43.036428+00:00
2022-02-06,698.0,734.0,680.0,720.0,169085,720.0,2026-09-03T19:35:43.036428+00:00
2022-02-07,734.4,734.4,700.0,701.0,101453,701.0,2026-09-03T19:35:43.036428+00:00
2022-02-08,714.0,734.0,682.1,689.0,81890,689.0,2026-09-03T19:35:43.036428+00:00
2022-02-09,690.0,700.0,676.0,689.0,50041,689.0,2026-09-03T19:35:43.036428+00:00
2022-02-10,689.0,693.0,671.0,673.4,51427,673.4,2026-09-03T19:35:43.036428+00:00
2022-02-13,660.0,661.0,625.0,630.0,95498,630.0,2026-09-03T19:35:43.036428+00:00
2022-02-14,629.0,648.0,629.0,639.7,37280,639.7,2026-09-03T19:35:43.036428+00:00
2022-02-15,635.0,678.0,635.0,675.0,31341,675.0,2026-09-03T19:35:43.036428+00:00
2022-02-16,675.0,684.0,651.0,660.0,39735,660.0,2026-09-03T19:35:43.036428+00:00
2022-02-17,648.1,675.0,648.1,660.0,29969,660.0,2026-09-03T19:35:43.036428+00:00
2022-02-20,648.0,681.0,625.0,650.2,69901,650.2,2026-09-03T19:35:43.036428+00:00
2022-02-21,638.0,695.0,638.0,690.0,88463,690.0,2026-09-03T19:35:43.036428+00:00
2022-02-22,703.8,715.0,690.0,692.0,103869,692.0,2026-09-03T19:35:43.036428+00:00
