date,open,high,low,close,volume,adj_close,fetched_at
2023-05-15,611.1,611.1,554.0,560.5,53417,560.5,2026-09-03T19:33:39.349098+00:00
2023-05-16,558.0,564.0,551.4,558.8,14258,558.8,2026-09-03T19:33:39.349098+00:00
2023-05-17,560.0,584.0,560.0,584.0,19381,584.0,2026-09-03T19:33:39.349098+00:00
2023-05-18,573.0,606.0,573.0,604.9,41447,604.9,2026-09-03T19:33:39.349098+00:00
2023-05-21,610.0,618.0,600.0,613.7,21127,613.7,2026-09-03T19:33:39.349098+00:00
2023-05-22,610.0,629.0,606.0,628.0,12030,628.0,2026-09-03T19:33:39.349098+00:00
2023-05-23,625.0,665.0,625.0,651.0,28344,651.0,2026-09-03T19:33:39.349098+00:00
2023-05-24,661.0,665.0,647.0,660.0,23153,660.0,2026-09-03T19:33:39.349098+00:00
2023-05-28,669.0,669.0,633.0,639.0,33839,639.0,2026-09-03T19:33:39.349098+00:00
2023-05-30,627.0,632.9,608.0,622.0,34278,622.0,2026-09-03T19:33:39.349098+00:00
2023-05-31,609.6,640.0,597.8,606.0,49776,606.0,2026-09-03T19:33:39.349098+00:00
2023-06-01,612.0,628.0,594.1,615.2,16560,615.2,2026-09-03T19:33:39.349098+00:00
2023-06-04,627.0,650.0,625.0,641.0,14219,641.0,2026-09-03T19:33:39.349098+00:00
2023-06-05,645.0,650.0,635.0,635.0,17932,635.0,2026-09-03T19:33:39.349098+00:00
2023-06-06,625.0,666.0,624.2,665.0,29713,665.0,2026-09-03T19:33:39.349098+00:00
2023-06-07,678.0,678.0,658.0,658.1,31512,658.1,2026-09-03T19:33:39.349098+00:00
2023-06-08,655.0,696.9,650.0,696.9,49848,696.9,2026-09-03T19:33:39.349098+00:00
2023-06-11,704.0,708.5,694.3,708.5,41139,708.5,2026-09-03T19:33:39.349098+00:00
2023-06-12,718.0,718.0,700.0,704.0,48227,704.0,2026-09-03T19:33:39.349098+00:00
2023-06-13,690.0,740.0,690.0,728.9,53143,728.9,2026-09-03T19:33:39.349098+00:00
2023-06-14,738.8,745.0,715.0,720.0,44792,720.0,2026-09-03T19:33:39.349098+00:00
2023-06-15,729.9,745.0,720.0,740.0,26899,740.0,2026-09-03T19:33:39.349098+00:00
2023-06-18,753.9,784.9,740.0,780.0,54204,780.0,2026-09-03T19:33:39.349098+00:00
2023-06-19,795.6,795.6,751.0,760.0,30787,760.0,2026-09-03T19:33:39.349098+00:00
2023-06-20,753.1,774.0,726.3,731.1,32472,731.1,2026-09-03T19:33:39.349098+00:00
2023-06-21,731.0,749.9,731.0,733.0,32546,733.0,2026-09-03T19:33:39.349098+00:00
2023-06-22,745.7,759.8,735.0,752.0,27637,752.0,2026-09-03T19:33:39.349098+00:00
2023-06-25,767.0,800.0,764.9,787.9,72656,787.9,2026-09-03T19:33:39.349098+00:00
2023-06-26,800.0,805.0,776.0,776.0,44642,776.0,2026-09-03T19:33:39.349098+00:00
2023-06-27,770.0,786.0,767.0,771.9,29547,771.9,2026-09-03T19:33:39.349098+00:00
2023-06-28,757.2,785.0,747.0,765.0,35448,765.0,2026-09-03T19:33:39.349098+00:00
2023-07-02,770.0,790.0,755.0,774.9,43506,774.9,2026-09-03T19:33:39.349098+00:00
2023-07-03,772.0,776.0,752.0,758.0,67716,758.0,2026-09-03T19:33:39.349098+00:00
2023-07-04,760.3,770.0,746.1,752.0,37118,752.0,2026-09-03T19:33:39.349098+00:00
2023-07-05,739.0,750.0,739.0,739.5,34776,739.5,2026-09-03T19:33:39.349098+00:00
2023-07-06,738.0,747.9,726.3,733.2,31245,733.2,2026-09-03T19:33:39.349098+00:00
2023-07-09,747.8,747.8,730.0,732.1,51779,732.1,2026-09-03T19:33:39.349098+00:00
2023-07-10,745.0,752.0,733.5,736.0,35209,736.0,2026-09-03T19:33:39.349098+00:00
2023-07-11,727.0,750.0,727.0,746.9,32560,746.9,2026-09-03T19:33:39.349098+00:00
2023-07-12,750.0,765.0,743.0,758.0,47558,758.0,2026-09-03T19:33:39.349098+00:00
2023-07-13,751.0,770.0,741.4,750.0,34844,750.0,2026-09-03T19:33:39.349098+00:00
2023-07-16,750.0,750.0,743.3,748.0,16740,748.0,2026-09-03T19:33:39.349098+00:00
2023-07-17,760.0,770.0,741.0,765.0,20219,765.0,2026-09-03T19:33:39.349098+00:00
2023-07-18,780.0,790.0,771.0,780.0,41317,780.0,2026-09-03T19:33:39.349098+00:00
2023-07-19,777.0,789.8,767.5,774.0,29080,774.0,2026-09-03T19:33:39.349098+00:00
2023-07-20,789.0,789.0,766.0,768.1,14725,768.1,2026-09-03T19:33:39.349098+00:00
2023-07-23,781.0,782.4,766.0,770.1,21026,770.1,2026-09-03T19:33:39.349098+00:00
2023-07-24,766.0,780.0,762.0,770.0,18102,770.0,2026-09-03T19:33:39.349098+00:00
2023-07-25,760.0,782.0,752.0,760.0,17512,760.0,2026-09-03T19:33:39.349098+00:00
2023-07-26,759.0,759.7,746.6,749.0,4971,749.0,2026-09-03T19:33:39.349098+00:00
2023-07-27,740.1,756.0,740.1,745.0,30389,745.0,2026-09-03T19:33:39.349098+00:00
2023-07-30,758.0,759.0,730.0,737.0,22638,737.0,2026-09-03T19:33:39.349098+00:00
2023-07-31,745.0,749.0,733.5,733.5,12298,733.5,2026-09-03T19:33:39.349098+00:00
