date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,205.0,205.0,196.0,196.0,1010,196.0,2026-09-03T19:33:31.971842+00:00
2012-09-10,196.0,194.0,190.0,193.0,3025,193.0,2026-09-03T19:33:31.971842+00:00
2012-09-11,193.0,195.0,192.0,195.0,850,195.0,2026-09-03T19:33:31.971842+00:00
2012-09-12,195.0,196.0,193.0,195.0,1852,195.0,2026-09-03T19:33:31.971842+00:00
2012-09-13,195.0,195.0,195.0,195.0,623,195.0,2026-09-03T19:33:31.971842+00:00
2012-09-16,195.0,198.0,197.0,198.0,1150,198.0,2026-09-03T19:33:31.971842+00:00
2012-09-17,198.0,200.0,200.0,200.0,188,200.0,2026-09-03T19:33:31.971842+00:00
2012-09-18,200.0,205.0,200.0,205.0,7630,205.0,2026-09-03T19:33:31.971842+00:00
2012-09-19,205.0,202.0,200.0,201.0,2577,201.0,2026-09-03T19:33:31.971842+00:00
2012-09-20,201.0,200.0,197.0,200.0,2256,200.0,2026-09-03T19:33:31.971842+00:00
2012-09-23,200.0,196.0,193.0,193.0,900,193.0,2026-09-03T19:33:31.971842+00:00
2012-09-24,193.0,193.0,187.0,190.0,3145,190.0,2026-09-03T19:33:31.971842+00:00
2012-09-25,190.0,192.0,187.0,192.0,2231,192.0,2026-09-03T19:33:31.971842+00:00
2012-09-26,192.0,192.0,190.0,190.0,1250,190.0,2026-09-03T19:33:31.971842+00:00
2012-09-30,187.0,185.0,185.0,185.0,778,185.0,2026-09-03T19:33:31.971842+00:00
2012-10-01,185.0,186.0,182.0,185.0,3703,185.0,2026-09-03T19:33:31.971842+00:00
2012-10-01,185.0,186.0,182.0,185.0,3703,185.0,2026-09-03T19:33:31.971842+00:00
2012-10-02,185.0,188.0,185.0,187.0,2556,187.0,2026-09-03T19:33:31.971842+00:00
2012-10-03,187.0,188.0,185.0,187.0,1058,187.0,2026-09-03T19:33:31.971842+00:00
2012-10-04,187.0,185.0,185.0,185.0,1857,185.0,2026-09-03T19:33:31.971842+00:00
2012-10-07,185.0,188.0,178.0,188.0,4008,188.0,2026-09-03T19:33:31.971842+00:00
2012-10-08,188.0,187.0,185.0,187.0,1709,187.0,2026-09-03T19:33:31.971842+00:00
2012-10-09,187.0,190.0,186.0,186.0,1494,186.0,2026-09-03T19:33:31.971842+00:00
2012-10-10,186.0,187.0,185.0,187.0,134,187.0,2026-09-03T19:33:31.971842+00:00
2012-10-11,187.0,184.0,184.0,184.0,200,184.0,2026-09-03T19:33:31.971842+00:00
2012-10-14,184.0,190.0,186.0,190.0,1730,190.0,2026-09-03T19:33:31.971842+00:00
2012-10-15,190.0,188.0,187.0,188.0,624,188.0,2026-09-03T19:33:31.971842+00:00
2012-10-17,188.0,194.0,191.0,194.0,1062,194.0,2026-09-03T19:33:31.971842+00:00
2012-10-18,194.0,200.0,196.0,198.0,3325,198.0,2026-09-03T19:33:31.971842+00:00
2012-10-30,198.0,207.0,201.0,207.0,1190,207.0,2026-09-03T19:33:31.971842+00:00
2012-10-31,207.0,215.0,207.0,213.0,6838,213.0,2026-09-03T19:33:31.971842+00:00
2012-11-01,213.0,213.0,208.0,210.0,5440,210.0,2026-09-03T19:33:31.971842+00:00
2012-11-04,210.0,213.0,210.0,211.0,1635,211.0,2026-09-03T19:33:31.971842+00:00
2012-11-05,211.0,223.0,215.0,219.0,6658,219.0,2026-09-03T19:33:31.971842+00:00
2012-11-06,219.0,220.0,217.0,218.0,3730,218.0,2026-09-03T19:33:31.971842+00:00
2012-11-07,218.0,227.0,215.0,225.0,7613,225.0,2026-09-03T19:33:31.971842+00:00
2012-11-08,225.0,235.0,224.0,225.0,2682,225.0,2026-09-03T19:33:31.971842+00:00
2012-11-11,225.0,231.0,212.0,214.0,10599,214.0,2026-09-03T19:33:31.971842+00:00
2012-11-12,214.0,226.0,216.0,226.0,7659,226.0,2026-09-03T19:33:31.971842+00:00
2012-11-18,226.0,235.0,228.0,232.0,7903,232.0,2026-09-03T19:33:31.971842+00:00
2012-11-20,232.0,250.0,231.0,231.0,19046,231.0,2026-09-03T19:33:31.971842+00:00
2012-11-21,231.0,238.0,228.0,232.0,18315,232.0,2026-09-03T19:33:31.971842+00:00
2012-11-22,232.0,238.0,220.0,231.0,49743,231.0,2026-09-03T19:33:31.971842+00:00
2012-11-25,231.0,240.0,231.0,234.0,12920,234.0,2026-09-03T19:33:31.971842+00:00
2012-11-26,234.0,238.0,232.0,235.0,6268,235.0,2026-09-03T19:33:31.971842+00:00
2012-11-27,235.0,236.0,233.0,233.0,4880,233.0,2026-09-03T19:33:31.971842+00:00
