date,open,high,low,close,volume,adj_close,fetched_at
2025-07-20,359.0,394.9,359.0,394.9,350,394.9,2026-09-03T19:37:05.030908+00:00
2025-07-21,388.7,434.3,388.7,434.3,450,434.3,2026-09-03T19:37:05.030908+00:00
2025-07-22,442.9,477.7,442.9,477.7,500,477.7,2026-09-03T19:37:05.030908+00:00
2025-07-23,487.2,525.4,487.2,525.4,710,525.4,2026-09-03T19:37:05.030908+00:00
2025-07-24,535.9,577.9,535.9,577.9,690,577.9,2026-09-03T19:37:05.030908+00:00
2025-07-27,589.4,635.6,589.4,635.6,1170,635.6,2026-09-03T19:37:05.030908+00:00
2025-07-28,648.0,699.1,648.0,699.1,2644,699.1,2026-09-03T19:37:05.030908+00:00
2025-07-29,713.0,769.0,713.0,769.0,3416,769.0,2026-09-03T19:37:05.030908+00:00
2025-07-30,784.3,845.9,784.3,845.9,4200,845.9,2026-09-03T19:37:05.030908+00:00
2025-07-31,862.8,930.4,845.9,891.5,279583,891.5,2026-09-03T19:37:05.030908+00:00
2025-08-03,900.0,900.0,802.4,802.4,216419,802.4,2026-09-03T19:37:05.030908+00:00
2025-08-04,787.0,830.0,729.0,778.73,185618,778.73,2026-09-03T19:37:05.030908+00:00
2025-08-05,770.0,800.0,753.0,760.53,47554,760.53,2026-09-03T19:37:05.030908+00:00
2025-08-06,775.0,812.0,751.0,794.65,54477,794.65,2026-09-03T19:37:05.030908+00:00
2025-08-07,790.0,800.0,770.0,773.14,54284,773.14,2026-09-03T19:37:05.030908+00:00
2025-08-11,773.7,773.7,741.9,747.32,56104,747.32,2026-09-03T19:37:05.030908+00:00
2025-08-12,745.0,748.0,721.0,723.42,48465,723.42,2026-09-03T19:37:05.030908+00:00
2025-08-13,715.4,729.0,710.2,713.54,28119,713.54,2026-09-03T19:37:05.030908+00:00
2025-08-14,713.0,719.0,703.0,704.89,33064,704.89,2026-09-03T19:37:05.030908+00:00
2025-08-17,700.0,705.0,670.2,673.74,52306,673.74,2026-09-03T19:37:05.030908+00:00
2025-08-18,670.0,690.0,661.0,680.44,25769,680.44,2026-09-03T19:37:05.030908+00:00
2025-08-19,675.0,741.0,675.0,727.93,50197,727.93,2026-09-03T19:37:05.030908+00:00
2025-08-20,730.0,748.9,715.5,722.74,35038,722.74,2026-09-03T19:37:05.030908+00:00
2025-08-21,720.0,731.5,716.1,729.67,21206,729.67,2026-09-03T19:37:05.030908+00:00
2025-08-24,720.1,722.0,698.8,700.6,30382,700.6,2026-09-03T19:37:05.030908+00:00
2025-08-25,705.0,710.0,690.1,704.65,15757,704.65,2026-09-03T19:37:05.030908+00:00
2025-08-26,705.0,726.2,696.0,711.06,21854,711.06,2026-09-03T19:37:05.030908+00:00
2025-08-27,725.1,725.1,701.0,711.02,18576,711.02,2026-09-03T19:37:05.030908+00:00
2025-08-28,710.0,720.0,695.1,696.08,27352,696.08,2026-09-03T19:37:05.030908+00:00
2025-08-31,700.0,700.0,678.1,680.78,23562,680.78,2026-09-03T19:37:05.030908+00:00
2025-09-01,670.0,680.0,670.0,674.65,18680,674.65,2026-09-03T19:37:05.030908+00:00
2025-09-02,669.0,673.0,661.0,663.41,15907,663.41,2026-09-03T19:37:05.030908+00:00
2025-09-03,670.0,675.0,650.0,650.32,24222,650.32,2026-09-03T19:37:05.030908+00:00
2025-09-04,645.0,645.0,630.0,634.25,28262,634.25,2026-09-03T19:37:05.030908+00:00
2025-09-07,637.0,652.0,618.4,619.93,20187,619.93,2026-09-03T19:37:05.030908+00:00
2025-09-08,620.0,620.0,595.3,599.19,23406,599.19,2026-09-03T19:37:05.030908+00:00
2025-09-18,590.0,590.0,544.0,544.0,2090,544.0,2026-09-03T19:37:05.030908+00:00
2025-09-21,545.0,593.0,536.0,588.71,33380,588.71,2026-09-03T19:37:05.030908+00:00
2025-09-23,600.0,627.0,590.0,615.7,20026,615.7,2026-09-03T19:37:05.030908+00:00
2025-09-24,617.0,618.0,605.1,609.9,12338,609.9,2026-09-03T19:37:05.030908+00:00
2025-09-25,609.0,618.0,600.0,613.0,12111,613.0,2026-09-03T19:37:05.030908+00:00
2025-09-28,613.0,636.9,613.0,636.9,12532,636.9,2026-09-03T19:37:05.030908+00:00
2025-10-07,624.2,624.2,588.0,604.9,21790,604.9,2026-09-03T19:37:05.030908+00:00
2025-10-08,604.0,607.0,585.2,594.0,18071,594.0,2026-09-03T19:37:05.030908+00:00
2025-10-09,594.0,642.0,590.0,597.8,17358,597.8,2026-09-03T19:37:05.030908+00:00
2025-10-12,590.0,590.1,575.1,579.0,16613,579.0,2026-09-03T19:37:05.030908+00:00
2025-10-13,588.9,590.0,570.0,586.0,7085,586.0,2026-09-03T19:37:05.030908+00:00
2025-10-14,588.0,595.0,575.0,580.0,10612,580.0,2026-09-03T19:37:05.030908+00:00
2025-10-15,580.0,590.0,560.1,574.0,6141,574.0,2026-09-03T19:37:05.030908+00:00
2025-10-16,572.0,573.0,561.0,563.2,5651,563.2,2026-09-03T19:37:05.030908+00:00
2025-10-19,562.0,563.2,555.0,559.9,6609,559.9,2026-09-03T19:37:05.030908+00:00
2025-10-26,550.3,563.0,550.1,563.0,4004,563.0,2026-09-03T19:37:05.030908+00:00
2025-10-28,562.1,595.0,562.1,594.0,12290,594.0,2026-09-03T19:37:05.030908+00:00
2025-10-29,593.0,610.0,578.7,590.0,20975,590.0,2026-09-03T19:37:05.030908+00:00
2025-10-30,585.0,612.0,580.2,603.0,17537,603.0,2026-09-03T19:37:05.030908+00:00
2025-11-02,601.0,618.9,601.0,617.0,17364,617.0,2026-09-03T19:37:05.030908+00:00
2025-11-03,610.0,624.5,600.0,608.0,18997,608.0,2026-09-03T19:37:05.030908+00:00
2025-11-04,608.0,620.0,591.1,594.6,8077,594.6,2026-09-03T19:37:05.030908+00:00
2025-11-05,585.0,600.0,585.0,596.0,6435,596.0,2026-09-03T19:37:05.030908+00:00
2025-11-06,595.0,606.0,586.0,589.7,6502,589.7,2026-09-03T19:37:05.030908+00:00
2025-11-09,589.0,589.0,576.0,577.0,10456,577.0,2026-09-03T19:37:05.030908+00:00
2025-11-10,577.0,588.5,571.0,573.0,5551,573.0,2026-09-03T19:37:05.030908+00:00
2025-11-11,573.0,599.0,568.1,589.9,18696,589.9,2026-09-03T19:37:05.030908+00:00
2025-11-12,582.0,590.0,580.0,580.0,10479,580.0,2026-09-03T19:37:05.030908+00:00
2025-11-13,574.3,590.0,572.0,580.0,8451,580.0,2026-09-03T19:37:05.030908+00:00
2025-11-16,578.0,580.0,568.0,571.5,11853,571.5,2026-09-03T19:37:05.030908+00:00
2025-11-17,570.0,579.9,566.0,577.0,11080,577.0,2026-09-03T19:37:05.030908+00:00
2025-11-18,577.0,587.5,568.1,583.5,10074,583.5,2026-09-03T19:37:05.030908+00:00
2025-11-19,571.9,641.8,571.9,641.8,107443,641.8,2026-09-03T19:37:05.030908+00:00
2025-11-20,641.0,688.0,638.0,644.0,68012,644.0,2026-09-03T19:37:05.030908+00:00
2025-11-23,644.0,652.8,610.0,639.0,35013,639.0,2026-09-03T19:37:05.030908+00:00
2025-11-24,626.3,664.0,626.3,645.0,48035,645.0,2026-09-03T19:37:05.030908+00:00
2025-11-25,650.0,661.0,635.0,649.0,43294,649.0,2026-09-03T19:37:05.030908+00:00
