date,open,high,low,close,volume,adj_close,fetched_at
2020-01-06,132.0,135.0,127.0,131.0,3761,131.0,2026-09-03T19:35:12.171388+00:00
2020-01-07,129.0,134.0,127.0,134.0,8738,134.0,2026-09-03T19:35:12.171388+00:00
2020-01-08,132.0,135.0,130.0,134.0,9804,134.0,2026-09-03T19:35:12.171388+00:00
2020-01-09,134.0,138.0,131.0,132.0,7670,132.0,2026-09-03T19:35:12.171388+00:00
2020-01-12,133.0,141.0,133.0,141.0,10071,141.0,2026-09-03T19:35:12.171388+00:00
2020-01-13,140.0,151.0,140.0,147.0,10610,147.0,2026-09-03T19:35:12.171388+00:00
2020-01-14,145.0,145.0,138.0,138.0,1610,138.0,2026-09-03T19:35:12.171388+00:00
2020-01-15,136.0,141.0,136.0,140.0,1668,140.0,2026-09-03T19:35:12.171388+00:00
2020-01-16,142.0,154.0,142.0,153.0,9839,153.0,2026-09-03T19:35:12.171388+00:00
2020-01-19,156.0,168.0,156.0,168.0,13992,168.0,2026-09-03T19:35:12.171388+00:00
2020-01-20,168.0,168.0,154.0,157.0,19326,157.0,2026-09-03T19:35:12.171388+00:00
2020-01-21,155.0,156.0,151.0,151.0,4300,151.0,2026-09-03T19:35:12.171388+00:00
2020-01-22,148.0,148.0,140.0,147.0,5061,147.0,2026-09-03T19:35:12.171388+00:00
2020-01-23,148.0,150.0,147.0,147.0,11520,147.0,2026-09-03T19:35:12.171388+00:00
2020-01-26,145.0,146.0,135.0,135.0,7001,135.0,2026-09-03T19:35:12.171388+00:00
2020-01-27,133.0,139.0,133.0,139.0,758,139.0,2026-09-03T19:35:12.171388+00:00
2020-01-28,141.0,142.0,137.0,137.0,5483,137.0,2026-09-03T19:35:12.171388+00:00
2020-01-29,139.0,147.0,139.0,143.0,1730,143.0,2026-09-03T19:35:12.171388+00:00
2020-01-30,145.0,147.0,142.0,142.0,7629,142.0,2026-09-03T19:35:12.171388+00:00
2020-02-02,140.0,147.0,140.0,144.0,4049,144.0,2026-09-03T19:35:12.171388+00:00
2020-02-03,145.0,151.0,144.0,150.0,5931,150.0,2026-09-03T19:35:12.171388+00:00
2020-02-04,149.0,156.0,149.0,151.0,5141,151.0,2026-09-03T19:35:12.171388+00:00
2020-02-05,150.0,150.0,144.0,144.0,4498,144.0,2026-09-03T19:35:12.171388+00:00
2020-02-06,145.0,150.0,142.0,143.0,4653,143.0,2026-09-03T19:35:12.171388+00:00
2020-02-09,142.0,144.0,142.0,143.0,3419,143.0,2026-09-03T19:35:12.171388+00:00
2020-02-10,142.0,145.0,142.0,145.0,920,145.0,2026-09-03T19:35:12.171388+00:00
2020-02-11,147.0,154.0,147.0,153.0,12921,153.0,2026-09-03T19:35:12.171388+00:00
2020-02-12,154.0,154.0,151.0,151.0,712,151.0,2026-09-03T19:35:12.171388+00:00
2020-02-13,150.0,150.0,146.0,146.0,3376,146.0,2026-09-03T19:35:12.171388+00:00
2020-02-16,146.0,146.0,140.0,144.0,8284,144.0,2026-09-03T19:35:12.171388+00:00
2020-02-17,144.0,149.0,142.0,147.0,4519,147.0,2026-09-03T19:35:12.171388+00:00
2020-02-18,149.0,154.0,143.0,144.0,13755,144.0,2026-09-03T19:35:12.171388+00:00
2020-02-19,146.0,148.0,146.0,148.0,155,148.0,2026-09-03T19:35:12.171388+00:00
2020-02-20,148.0,153.0,145.0,150.0,3782,150.0,2026-09-03T19:35:12.171388+00:00
2020-02-23,153.0,156.0,147.0,153.0,4755,153.0,2026-09-03T19:35:12.171388+00:00
2020-02-24,156.0,161.0,150.0,157.0,13915,157.0,2026-09-03T19:35:12.171388+00:00
2020-02-25,157.0,163.0,157.0,163.0,9592,163.0,2026-09-03T19:35:12.171388+00:00
2020-02-26,161.0,164.0,157.0,164.0,13727,164.0,2026-09-03T19:35:12.171388+00:00
2020-02-27,161.0,163.0,155.0,162.0,3359,162.0,2026-09-03T19:35:12.171388+00:00
2020-03-01,163.0,163.0,160.0,160.0,121,160.0,2026-09-03T19:35:12.171388+00:00
2020-03-03,157.0,157.0,148.0,151.0,8594,151.0,2026-09-03T19:35:12.171388+00:00
2020-03-04,148.0,148.0,142.0,143.0,7813,143.0,2026-09-03T19:35:12.171388+00:00
2020-03-05,142.0,143.0,140.0,140.0,3765,140.0,2026-09-03T19:35:12.171388+00:00
2020-03-10,138.0,138.0,128.0,128.0,1141,128.0,2026-09-03T19:35:12.171388+00:00
2020-03-11,129.0,140.0,129.0,138.0,2078,138.0,2026-09-03T19:35:12.171388+00:00
2020-03-12,140.0,140.0,132.0,134.0,8757,134.0,2026-09-03T19:35:12.171388+00:00
2020-03-15,132.0,133.0,129.0,130.0,4502,130.0,2026-09-03T19:35:12.171388+00:00
2020-03-16,128.0,133.0,126.0,129.0,3131,129.0,2026-09-03T19:35:12.171388+00:00
2020-03-17,128.0,128.0,125.0,125.0,6468,125.0,2026-09-03T19:35:12.171388+00:00
2020-03-18,123.0,125.0,117.0,124.0,11875,124.0,2026-09-03T19:35:12.171388+00:00
2020-03-19,122.0,122.0,114.0,114.0,50852,114.0,2026-09-03T19:35:12.171388+00:00
2020-05-12,107.0,107.0,105.0,105.0,1404,105.0,2026-09-03T19:35:12.171388+00:00
2020-05-13,104.0,104.0,102.0,102.0,130,102.0,2026-09-03T19:35:12.171388+00:00
