date,open,high,low,close,volume,adj_close,fetched_at
2021-06-09,10.0,10.16,9.75,10.12,124987,10.12,2026-09-03T19:35:32.265216+00:00
2021-06-10,10.0,11.0,9.93,10.6,213883,10.6,2026-09-03T19:35:32.265216+00:00
2021-06-13,10.5,10.7,10.3,10.32,70260,10.32,2026-09-03T19:35:32.265216+00:00
2021-06-14,10.18,10.35,10.18,10.34,38625,10.34,2026-09-03T19:35:32.265216+00:00
2021-06-15,10.34,10.45,10.21,10.26,66800,10.26,2026-09-03T19:35:32.265216+00:00
2021-06-16,10.18,10.4,10.18,10.35,65500,10.35,2026-09-03T19:35:32.265216+00:00
2021-06-17,10.2,10.3,10.15,10.27,50155,10.27,2026-09-03T19:35:32.265216+00:00
2021-06-20,10.3,10.45,10.1,10.14,37400,10.14,2026-09-03T19:35:32.265216+00:00
2021-06-21,10.0,10.1,10.0,10.06,68200,10.06,2026-09-03T19:35:32.265216+00:00
2021-06-22,10.07,10.1,9.99,10.08,51197,10.08,2026-09-03T19:35:32.265216+00:00
2021-06-23,9.99,10.11,9.99,10.05,27809,10.05,2026-09-03T19:35:32.265216+00:00
2021-06-24,10.06,10.08,10.0,10.03,40890,10.03,2026-09-03T19:35:32.265216+00:00
2021-06-27,10.0,10.14,9.95,10.14,22050,10.14,2026-09-03T19:35:32.265216+00:00
2021-06-28,10.12,10.12,10.02,10.05,12010,10.05,2026-09-03T19:35:32.265216+00:00
2021-06-29,10.05,10.09,9.91,10.09,9550,10.09,2026-09-03T19:35:32.265216+00:00
2021-06-30,10.1,10.1,9.99,10.0,9750,10.0,2026-09-03T19:35:32.265216+00:00
2021-07-01,10.0,10.16,9.98,10.1,53500,10.1,2026-09-03T19:35:32.265216+00:00
2021-07-04,10.0,10.13,10.0,10.03,24510,10.03,2026-09-03T19:35:32.265216+00:00
2021-07-05,10.0,10.14,10.0,10.0,16350,10.0,2026-09-03T19:35:32.265216+00:00
2021-07-06,10.0,10.19,9.91,10.0,60477,10.0,2026-09-03T19:35:32.265216+00:00
2021-07-07,10.0,10.19,9.89,10.0,43400,10.0,2026-09-03T19:35:32.265216+00:00
2021-07-08,10.1,10.1,9.95,10.0,5050,10.0,2026-09-03T19:35:32.265216+00:00
2021-07-11,10.0,10.2,10.0,10.04,22260,10.04,2026-09-03T19:35:32.265216+00:00
2021-07-12,9.9,10.19,9.9,10.0,41987,10.0,2026-09-03T19:35:32.265216+00:00
2021-07-13,9.89,10.5,9.89,10.13,21650,10.13,2026-09-03T19:35:32.265216+00:00
