date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,580.0,575.0,570.0,570.0,4314,570.0,2026-09-03T19:33:16.499658+00:00
2012-09-10,570.0,580.0,558.0,580.0,1250,580.0,2026-09-03T19:33:16.499658+00:00
2012-09-11,580.0,584.0,580.0,581.0,1265,581.0,2026-09-03T19:33:16.499658+00:00
2012-09-12,581.0,582.0,580.0,580.0,174,580.0,2026-09-03T19:33:16.499658+00:00
2012-09-13,580.0,586.0,583.0,586.0,351,586.0,2026-09-03T19:33:16.499658+00:00
2012-09-16,586.0,585.0,575.0,583.0,1845,583.0,2026-09-03T19:33:16.499658+00:00
2012-09-17,583.0,585.0,579.0,579.0,1620,579.0,2026-09-03T19:33:16.499658+00:00
2012-09-18,579.0,601.0,590.0,600.0,1561,600.0,2026-09-03T19:33:16.499658+00:00
2012-09-19,600.0,600.0,595.0,595.0,435,595.0,2026-09-03T19:33:16.499658+00:00
2012-09-20,595.0,590.0,588.0,589.0,844,589.0,2026-09-03T19:33:16.499658+00:00
2012-09-23,589.0,580.0,570.0,579.0,730,579.0,2026-09-03T19:33:16.499658+00:00
2012-09-24,579.0,590.0,570.0,570.0,2421,570.0,2026-09-03T19:33:16.499658+00:00
2012-09-25,570.0,583.0,566.0,583.0,1097,583.0,2026-09-03T19:33:16.499658+00:00
2012-09-26,583.0,578.0,568.0,578.0,2101,578.0,2026-09-03T19:33:16.499658+00:00
2012-09-30,571.0,560.0,560.0,560.0,100,560.0,2026-09-03T19:33:16.499658+00:00
2012-10-01,560.0,500.0,498.0,499.0,742,499.0,2026-09-03T19:33:16.499658+00:00
2012-10-01,560.0,500.0,498.0,499.0,742,499.0,2026-09-03T19:33:16.499658+00:00
2012-10-02,499.0,490.0,485.0,485.0,488,485.0,2026-09-03T19:33:16.499658+00:00
2012-10-03,485.0,494.0,487.0,494.0,502,494.0,2026-09-03T19:33:16.499658+00:00
2012-10-04,494.0,494.0,494.0,494.0,216,494.0,2026-09-03T19:33:16.499658+00:00
2012-10-07,494.0,494.0,476.0,494.0,1649,494.0,2026-09-03T19:33:16.499658+00:00
2012-10-08,494.0,513.0,503.0,513.0,528,513.0,2026-09-03T19:33:16.499658+00:00
2012-10-09,513.0,525.0,515.0,525.0,989,525.0,2026-09-03T19:33:16.499658+00:00
2012-10-11,525.0,527.0,527.0,527.0,880,527.0,2026-09-03T19:33:16.499658+00:00
2012-10-14,527.0,527.0,517.0,517.0,563,517.0,2026-09-03T19:33:16.499658+00:00
2012-10-17,517.0,527.0,527.0,527.0,929,527.0,2026-09-03T19:33:16.499658+00:00
2012-10-18,527.0,517.0,500.0,511.0,4821,511.0,2026-09-03T19:33:16.499658+00:00
2012-10-30,511.0,562.0,521.0,562.0,1103,562.0,2026-09-03T19:33:16.499658+00:00
2012-10-31,562.0,595.0,573.0,588.0,1646,588.0,2026-09-03T19:33:16.499658+00:00
2012-11-01,588.0,599.0,569.0,580.0,5167,580.0,2026-09-03T19:33:16.499658+00:00
2012-11-04,580.0,596.0,581.0,596.0,2819,596.0,2026-09-03T19:33:16.499658+00:00
2012-11-05,596.0,643.0,607.0,643.0,325,643.0,2026-09-03T19:33:16.499658+00:00
2012-11-06,643.0,643.0,619.0,641.0,5045,641.0,2026-09-03T19:33:16.499658+00:00
2012-11-07,641.0,665.0,645.0,655.0,5503,655.0,2026-09-03T19:33:16.499658+00:00
2012-11-08,655.0,700.0,656.0,677.0,9890,677.0,2026-09-03T19:33:16.499658+00:00
2012-11-11,677.0,665.0,638.0,638.0,1631,638.0,2026-09-03T19:33:16.499658+00:00
2012-11-12,638.0,663.0,630.0,650.0,2937,650.0,2026-09-03T19:33:16.499658+00:00
2012-11-18,650.0,675.0,650.0,670.0,2672,670.0,2026-09-03T19:33:16.499658+00:00
2012-11-20,670.0,695.0,670.0,676.0,1632,676.0,2026-09-03T19:33:16.499658+00:00
