date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,310.0,312.0,306.0,309.0,1089,309.0,2026-09-03T19:33:21.087288+00:00
2012-09-10,309.0,305.0,304.0,305.0,2020,305.0,2026-09-03T19:33:21.087288+00:00
2012-09-11,305.0,310.0,301.0,307.0,1582,307.0,2026-09-03T19:33:21.087288+00:00
2012-09-12,307.0,317.0,307.0,316.0,3970,316.0,2026-09-03T19:33:21.087288+00:00
2012-09-13,316.0,311.0,310.0,310.0,1978,310.0,2026-09-03T19:33:21.087288+00:00
2012-09-16,310.0,312.0,310.0,312.0,1734,312.0,2026-09-03T19:33:21.087288+00:00
2012-09-17,312.0,318.0,309.0,318.0,1692,318.0,2026-09-03T19:33:21.087288+00:00
2012-09-18,318.0,324.0,318.0,318.0,2227,318.0,2026-09-03T19:33:21.087288+00:00
2012-09-19,318.0,324.0,315.0,320.0,1886,320.0,2026-09-03T19:33:21.087288+00:00
2012-09-20,320.0,316.0,310.0,310.0,1314,310.0,2026-09-03T19:33:21.087288+00:00
2012-09-23,310.0,310.0,301.0,307.0,1281,307.0,2026-09-03T19:33:21.087288+00:00
2012-09-24,307.0,304.0,298.0,298.0,1532,298.0,2026-09-03T19:33:21.087288+00:00
2012-09-25,298.0,302.0,297.0,302.0,776,302.0,2026-09-03T19:33:21.087288+00:00
2012-09-26,302.0,305.0,300.0,304.0,1441,304.0,2026-09-03T19:33:21.087288+00:00
2012-09-30,305.0,303.0,297.0,300.0,625,300.0,2026-09-03T19:33:21.087288+00:00
2012-10-01,300.0,305.0,300.0,300.0,676,300.0,2026-09-03T19:33:21.087288+00:00
2012-10-01,300.0,305.0,300.0,300.0,676,300.0,2026-09-03T19:33:21.087288+00:00
2012-10-02,300.0,300.0,300.0,300.0,841,300.0,2026-09-03T19:33:21.087288+00:00
2012-10-03,300.0,300.0,294.0,295.0,2316,295.0,2026-09-03T19:33:21.087288+00:00
2012-10-04,295.0,298.0,290.0,290.0,2165,290.0,2026-09-03T19:33:21.087288+00:00
2012-10-07,290.0,300.0,290.0,298.0,1405,298.0,2026-09-03T19:33:21.087288+00:00
2012-10-08,298.0,304.0,293.0,300.0,1095,300.0,2026-09-03T19:33:21.087288+00:00
2012-10-09,300.0,298.0,293.0,293.0,614,293.0,2026-09-03T19:33:21.087288+00:00
2012-10-10,293.0,294.0,289.0,290.0,1885,290.0,2026-09-03T19:33:21.087288+00:00
2012-10-11,290.0,290.0,285.0,289.0,373,289.0,2026-09-03T19:33:21.087288+00:00
2012-10-14,289.0,293.0,287.0,289.0,480,289.0,2026-09-03T19:33:21.087288+00:00
2012-10-15,289.0,303.0,286.0,291.0,39514,291.0,2026-09-03T19:33:21.087288+00:00
2012-10-17,291.0,303.0,295.0,302.0,2997,302.0,2026-09-03T19:33:21.087288+00:00
2012-10-18,302.0,305.0,300.0,304.0,2442,304.0,2026-09-03T19:33:21.087288+00:00
2012-10-30,304.0,316.0,304.0,311.0,844,311.0,2026-09-03T19:33:21.087288+00:00
2012-10-31,311.0,323.0,313.0,319.0,1705,319.0,2026-09-03T19:33:21.087288+00:00
2012-11-01,319.0,314.0,308.0,313.0,2623,313.0,2026-09-03T19:33:21.087288+00:00
2012-11-04,313.0,325.0,308.0,316.0,2303,316.0,2026-09-03T19:33:21.087288+00:00
2012-11-05,316.0,323.0,311.0,320.0,10411,320.0,2026-09-03T19:33:21.087288+00:00
2012-11-06,320.0,328.0,320.0,321.0,5591,321.0,2026-09-03T19:33:21.087288+00:00
2012-11-07,321.0,333.0,325.0,331.0,6585,331.0,2026-09-03T19:33:21.087288+00:00
2012-11-08,331.0,356.0,330.0,342.0,14160,342.0,2026-09-03T19:33:21.087288+00:00
2012-11-11,342.0,340.0,317.0,322.0,2000,322.0,2026-09-03T19:33:21.087288+00:00
2012-11-12,322.0,339.0,320.0,339.0,2327,339.0,2026-09-03T19:33:21.087288+00:00
2012-11-18,339.0,347.0,337.0,346.0,4422,346.0,2026-09-03T19:33:21.087288+00:00
2012-11-20,346.0,366.0,345.0,354.0,5122,354.0,2026-09-03T19:33:21.087288+00:00
2012-11-21,354.0,352.0,329.0,343.0,5835,343.0,2026-09-03T19:33:21.087288+00:00
2012-11-22,343.0,341.0,335.0,335.0,4444,335.0,2026-09-03T19:33:21.087288+00:00
2012-11-25,335.0,345.0,319.0,321.0,12155,321.0,2026-09-03T19:33:21.087288+00:00
2012-11-26,321.0,331.0,315.0,323.0,4045,323.0,2026-09-03T19:33:21.087288+00:00
2012-11-27,323.0,322.0,317.0,319.0,2094,319.0,2026-09-03T19:33:21.087288+00:00
2012-11-28,319.0,324.0,317.0,324.0,259,324.0,2026-09-03T19:33:21.087288+00:00
2012-11-29,324.0,322.0,318.0,322.0,2244,322.0,2026-09-03T19:33:21.087288+00:00
2012-12-02,322.0,316.0,315.0,315.0,386,315.0,2026-09-03T19:33:21.087288+00:00
2012-12-03,315.0,312.0,305.0,307.0,2374,307.0,2026-09-03T19:33:21.087288+00:00
2012-12-04,307.0,317.0,308.0,313.0,3193,313.0,2026-09-03T19:33:21.087288+00:00
2012-12-05,313.0,330.0,319.0,329.0,3442,329.0,2026-09-03T19:33:21.087288+00:00
2012-12-06,329.0,326.0,320.0,323.0,1369,323.0,2026-09-03T19:33:21.087288+00:00
2012-12-09,323.0,322.0,316.0,317.0,1916,317.0,2026-09-03T19:33:21.087288+00:00
2012-12-10,317.0,325.0,315.0,325.0,1085,325.0,2026-09-03T19:33:21.087288+00:00
