date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,1780.0,1760.0,1750.0,1750.0,269,1750.0,2026-09-03T19:33:14.929913+00:00
2012-09-10,1750.0,1756.0,1742.0,1742.0,207,1742.0,2026-09-03T19:33:14.929913+00:00
2012-09-11,1742.0,1840.0,1751.0,1810.0,1956,1810.0,2026-09-03T19:33:14.929913+00:00
2012-09-12,1810.0,1846.0,1790.0,1800.0,998,1800.0,2026-09-03T19:33:14.929913+00:00
2012-09-13,1800.0,1850.0,1800.0,1829.0,5011,1829.0,2026-09-03T19:33:14.929913+00:00
2012-09-16,1829.0,1840.0,1818.0,1840.0,1321,1840.0,2026-09-03T19:33:14.929913+00:00
2012-09-17,1840.0,1835.0,1804.0,1807.0,694,1807.0,2026-09-03T19:33:14.929913+00:00
2012-09-18,1807.0,1825.0,1800.0,1809.0,1930,1809.0,2026-09-03T19:33:14.929913+00:00
2012-09-19,1809.0,1800.0,1790.0,1790.0,347,1790.0,2026-09-03T19:33:14.929913+00:00
2012-09-20,1790.0,1790.0,1740.0,1764.0,1235,1764.0,2026-09-03T19:33:14.929913+00:00
2012-09-23,1764.0,1762.0,1730.0,1745.0,647,1745.0,2026-09-03T19:33:14.929913+00:00
2012-09-24,1745.0,1735.0,1711.0,1711.0,965,1711.0,2026-09-03T19:33:14.929913+00:00
2012-09-25,1711.0,1710.0,1677.0,1710.0,1068,1710.0,2026-09-03T19:33:14.929913+00:00
2012-09-26,1710.0,1719.0,1706.0,1706.0,1075,1706.0,2026-09-03T19:33:14.929913+00:00
2012-09-30,1715.0,1725.0,1700.0,1703.0,1021,1703.0,2026-09-03T19:33:14.929913+00:00
2012-10-01,1703.0,1732.0,1700.0,1705.0,1538,1705.0,2026-09-03T19:33:14.929913+00:00
2012-10-01,1703.0,1732.0,1700.0,1705.0,1538,1705.0,2026-09-03T19:33:14.929913+00:00
2012-10-02,1705.0,1720.0,1705.0,1710.0,440,1710.0,2026-09-03T19:33:14.929913+00:00
