date,open,high,low,close,volume,adj_close,fetched_at
2018-01-17,10.0,10.15,10.0,10.15,13200,10.15,2026-09-03T19:34:50.517748+00:00
2018-01-21,10.15,10.15,10.1,10.14,32150,10.14,2026-09-03T19:34:50.517748+00:00
2018-01-23,10.14,10.2,10.1,10.1,23500,10.1,2026-09-03T19:34:50.517748+00:00
2018-01-24,10.1,10.1,10.0,10.0,13500,10.0,2026-09-03T19:34:50.517748+00:00
2018-01-25,10.0,10.0,10.0,10.0,3000,10.0,2026-09-03T19:34:50.517748+00:00
2018-01-28,10.0,10.0,10.0,10.0,3000,10.0,2026-09-03T19:34:50.517748+00:00
2018-01-29,10.0,10.2,10.05,10.05,2100,10.05,2026-09-03T19:34:50.517748+00:00
2018-01-31,10.05,10.09,9.97,10.09,51000,10.09,2026-09-03T19:34:50.517748+00:00
2018-02-01,10.09,10.09,9.96,9.96,8300,9.96,2026-09-03T19:34:50.517748+00:00
2018-02-04,9.96,9.9,9.9,9.9,4500,9.9,2026-09-03T19:34:50.517748+00:00
2018-02-05,9.9,10.0,9.78,9.81,19500,9.81,2026-09-03T19:34:50.517748+00:00
2018-02-06,9.81,9.9,9.71,9.9,19900,9.9,2026-09-03T19:34:50.517748+00:00
2018-02-07,9.9,9.88,9.73,9.8,1700,9.8,2026-09-03T19:34:50.517748+00:00
2018-02-08,9.8,9.7,9.69,9.7,7100,9.7,2026-09-03T19:34:50.517748+00:00
2018-02-11,9.7,9.7,9.66,9.66,15200,9.66,2026-09-03T19:34:50.517748+00:00
2018-02-12,9.66,9.8,9.61,9.75,8700,9.75,2026-09-03T19:34:50.517748+00:00
2018-02-15,9.75,9.8,9.8,9.8,2000,9.8,2026-09-03T19:34:50.517748+00:00
2018-02-18,9.6,9.6,9.6,9.6,11500,9.6,2026-09-03T19:34:50.517748+00:00
2018-02-20,9.79,9.79,9.6,9.6,4800,9.6,2026-09-03T19:34:50.517748+00:00
2018-02-21,9.6,9.6,9.6,9.6,12500,9.6,2026-09-03T19:34:50.517748+00:00
2018-02-22,9.56,9.6,9.56,9.6,21100,9.6,2026-09-03T19:34:50.517748+00:00
2018-02-25,9.46,9.46,9.46,9.46,1000,9.46,2026-09-03T19:34:50.517748+00:00
2018-02-26,9.45,9.48,9.45,9.48,3500,9.48,2026-09-03T19:34:50.517748+00:00
2018-02-28,9.67,9.67,9.45,9.47,22400,9.47,2026-09-03T19:34:50.517748+00:00
2018-03-04,9.45,9.45,9.26,9.26,5000,9.26,2026-09-03T19:34:50.517748+00:00
2018-03-05,9.26,9.3,9.16,9.2,23100,9.2,2026-09-03T19:34:50.517748+00:00
2018-03-06,9.16,9.35,9.16,9.35,12100,9.35,2026-09-03T19:34:50.517748+00:00
2018-03-07,9.41,9.41,9.2,9.4,55800,9.4,2026-09-03T19:34:50.517748+00:00
2018-03-11,9.27,9.68,9.27,9.68,5500,9.68,2026-09-03T19:34:50.517748+00:00
2018-03-13,9.75,9.75,9.75,9.75,10000,9.75,2026-09-03T19:34:50.517748+00:00
2018-03-14,9.7,9.7,9.5,9.7,44500,9.7,2026-09-03T19:34:50.517748+00:00
2018-03-15,9.7,9.75,9.65,9.75,16700,9.75,2026-09-03T19:34:50.517748+00:00
2018-03-18,9.7,9.8,9.6,9.6,15000,9.6,2026-09-03T19:34:50.517748+00:00
2018-03-19,9.69,9.7,9.69,9.7,22500,9.7,2026-09-03T19:34:50.517748+00:00
2018-03-20,9.85,9.85,9.85,9.85,4300,9.85,2026-09-03T19:34:50.517748+00:00
2018-03-22,9.75,9.75,9.57,9.57,3500,9.57,2026-09-03T19:34:50.517748+00:00
2018-03-26,9.5,9.5,9.22,9.23,15400,9.23,2026-09-03T19:34:50.517748+00:00
2018-03-27,9.1,9.2,9.1,9.2,9000,9.2,2026-09-03T19:34:50.517748+00:00
2018-03-28,9.38,9.59,9.38,9.59,18500,9.59,2026-09-03T19:34:50.517748+00:00
2018-03-29,9.4,9.79,9.36,9.65,10000,9.65,2026-09-03T19:34:50.517748+00:00
2018-04-01,9.65,9.7,9.5,9.5,49350,9.5,2026-09-03T19:34:50.517748+00:00
2018-04-02,9.35,9.5,9.3,9.31,105500,9.31,2026-09-03T19:34:50.517748+00:00
2018-04-03,9.16,9.4,9.15,9.23,8850,9.23,2026-09-03T19:34:50.517748+00:00
2018-04-05,9.41,10.0,9.41,10.0,20700,10.0,2026-09-03T19:34:50.517748+00:00
2018-04-08,9.85,10.0,9.8,10.0,25800,10.0,2026-09-03T19:34:50.517748+00:00
2018-04-09,9.85,9.99,9.85,9.88,29500,9.88,2026-09-03T19:34:50.517748+00:00
2018-04-10,9.7,9.8,9.7,9.75,25200,9.75,2026-09-03T19:34:50.517748+00:00
2018-04-11,9.85,9.94,9.85,9.94,27650,9.94,2026-09-03T19:34:50.517748+00:00
2018-04-12,9.8,9.85,9.8,9.85,8000,9.85,2026-09-03T19:34:50.517748+00:00
2018-04-15,9.65,9.65,9.65,9.65,1000,9.65,2026-09-03T19:34:50.517748+00:00
2018-04-16,9.8,9.85,9.75,9.85,3100,9.85,2026-09-03T19:34:50.517748+00:00
2018-04-17,9.85,10.0,9.8,10.0,2000,10.0,2026-09-03T19:34:50.517748+00:00
2018-04-18,10.01,10.01,10.01,10.01,5000,10.01,2026-09-03T19:34:50.517748+00:00
2018-04-19,9.81,10.0,9.75,9.9,19780,9.9,2026-09-03T19:34:50.517748+00:00
2018-04-22,9.9,9.99,9.9,9.95,48800,9.95,2026-09-03T19:34:50.517748+00:00
2018-04-23,9.8,9.9,9.75,9.9,59000,9.9,2026-09-03T19:34:50.517748+00:00
2018-04-24,10.0,10.0,9.8,9.86,9300,9.86,2026-09-03T19:34:50.517748+00:00
2018-04-25,9.66,9.85,9.66,9.7,6700,9.7,2026-09-03T19:34:50.517748+00:00
2018-04-26,9.55,9.6,9.55,9.6,3500,9.6,2026-09-03T19:34:50.517748+00:00
2018-04-29,9.41,9.5,9.35,9.35,11500,9.35,2026-09-03T19:34:50.517748+00:00
2018-05-02,9.35,9.45,9.3,9.45,14700,9.45,2026-09-03T19:34:50.517748+00:00
2018-05-03,9.32,9.32,9.32,9.32,2000,9.32,2026-09-03T19:34:50.517748+00:00
2018-05-06,9.27,9.53,9.27,9.53,4100,9.53,2026-09-03T19:34:50.517748+00:00
2018-05-07,9.72,9.72,9.6,9.6,6800,9.6,2026-09-03T19:34:50.517748+00:00
2018-05-08,9.5,9.69,9.5,9.69,600,9.69,2026-09-03T19:34:50.517748+00:00
2018-05-09,9.5,9.6,9.5,9.6,11800,9.6,2026-09-03T19:34:50.517748+00:00
2018-05-10,9.6,9.6,9.41,9.6,2100,9.6,2026-09-03T19:34:50.517748+00:00
2018-05-14,9.41,9.55,9.36,9.55,3290,9.55,2026-09-03T19:34:50.517748+00:00
2018-05-16,9.45,9.6,9.45,9.6,3400,9.6,2026-09-03T19:34:50.517748+00:00
2018-05-17,9.6,9.6,9.6,9.6,2500,9.6,2026-09-03T19:34:50.517748+00:00
2018-05-20,9.45,9.64,9.45,9.6,4800,9.6,2026-09-03T19:34:50.517748+00:00
2018-05-21,9.6,9.64,9.45,9.5,7700,9.5,2026-09-03T19:34:50.517748+00:00
2018-05-22,9.6,9.65,9.6,9.65,8800,9.65,2026-09-03T19:34:50.517748+00:00
2018-05-24,9.75,9.75,9.75,9.75,2000,9.75,2026-09-03T19:34:50.517748+00:00
2018-05-28,9.56,9.56,9.56,9.56,8000,9.56,2026-09-03T19:34:50.517748+00:00
2018-05-29,9.37,9.55,9.37,9.5,8100,9.5,2026-09-03T19:34:50.517748+00:00
2018-05-31,9.5,9.5,9.38,9.38,2000,9.38,2026-09-03T19:34:50.517748+00:00
2018-06-04,9.5,9.5,9.5,9.5,19000,9.5,2026-09-03T19:34:50.517748+00:00
2018-06-06,9.36,9.36,9.36,9.36,500,9.36,2026-09-03T19:34:50.517748+00:00
2018-06-07,9.36,9.36,9.32,9.32,10700,9.32,2026-09-03T19:34:50.517748+00:00
2018-06-10,9.15,9.3,9.13,9.13,5500,9.13,2026-09-03T19:34:50.517748+00:00
2018-06-11,9.0,9.2,9.0,9.2,9750,9.2,2026-09-03T19:34:50.517748+00:00
2018-06-12,9.1,9.28,9.1,9.1,2700,9.1,2026-09-03T19:34:50.517748+00:00
2018-06-14,9.1,9.1,9.03,9.03,3000,9.03,2026-09-03T19:34:50.517748+00:00
2018-06-17,8.9,8.9,8.9,8.9,400,8.9,2026-09-03T19:34:50.517748+00:00
2018-06-19,8.8,8.8,8.8,8.8,2500,8.8,2026-09-03T19:34:50.517748+00:00
2018-06-24,8.8,8.98,8.8,8.98,1500,8.98,2026-09-03T19:34:50.517748+00:00
2018-06-25,9.0,9.05,9.0,9.05,1200,9.05,2026-09-03T19:34:50.517748+00:00
2018-06-27,9.05,9.2,9.05,9.2,3620,9.2,2026-09-03T19:34:50.517748+00:00
2018-06-28,9.2,9.2,9.2,9.2,1100,9.2,2026-09-03T19:34:50.517748+00:00
2018-07-01,9.1,9.1,8.92,8.92,3200,8.92,2026-09-03T19:34:50.517748+00:00
2018-07-03,9.0,9.02,9.0,9.02,3000,9.02,2026-09-03T19:34:50.517748+00:00
2018-07-04,9.02,9.1,9.02,9.1,3000,9.1,2026-09-03T19:34:50.517748+00:00
2018-07-05,9.1,9.2,9.1,9.2,6000,9.2,2026-09-03T19:34:50.517748+00:00
2018-07-08,9.1,9.1,8.9,8.91,15100,8.91,2026-09-03T19:34:50.517748+00:00
2018-07-09,9.0,9.0,8.91,8.91,1500,8.91,2026-09-03T19:34:50.517748+00:00
2018-07-11,8.91,8.91,8.91,8.91,200,8.91,2026-09-03T19:34:50.517748+00:00
2018-07-12,8.92,8.92,8.82,8.82,2000,8.82,2026-09-03T19:34:50.517748+00:00
2018-07-15,8.83,9.38,8.83,9.2,22750,9.2,2026-09-03T19:34:50.517748+00:00
2018-07-16,9.2,9.56,9.2,9.56,700,9.56,2026-09-03T19:34:50.517748+00:00
2018-07-17,9.56,9.56,9.56,9.56,9500,9.56,2026-09-03T19:34:50.517748+00:00
2018-07-18,9.56,9.56,9.56,9.56,1500,9.56,2026-09-03T19:34:50.517748+00:00
2018-07-19,9.75,9.75,9.75,9.75,1500,9.75,2026-09-03T19:34:50.517748+00:00
2018-07-22,9.75,9.75,9.4,9.4,9500,9.4,2026-09-03T19:34:50.517748+00:00
2018-07-23,9.21,9.21,9.0,9.0,31000,9.0,2026-09-03T19:34:50.517748+00:00
2018-07-24,9.18,9.48,9.11,9.48,155000,9.48,2026-09-03T19:34:50.517748+00:00
2018-07-25,9.3,9.3,9.29,9.29,1500,9.29,2026-09-03T19:34:50.517748+00:00
2018-07-26,9.3,9.3,9.0,9.0,100800,9.0,2026-09-03T19:34:50.517748+00:00
2018-07-29,9.0,9.15,8.9,9.0,4600,9.0,2026-09-03T19:34:50.517748+00:00
2018-07-30,8.82,9.18,8.66,9.18,52500,9.18,2026-09-03T19:34:50.517748+00:00
2018-07-31,9.2,9.2,9.14,9.2,18000,9.2,2026-09-03T19:34:50.517748+00:00
2018-08-01,9.15,9.15,9.1,9.1,12000,9.1,2026-09-03T19:34:50.517748+00:00
2018-08-02,9.1,9.1,9.1,9.1,1000,9.1,2026-09-03T19:34:50.517748+00:00
2018-08-05,9.14,9.14,9.01,9.01,23000,9.01,2026-09-03T19:34:50.517748+00:00
2018-08-06,9.03,9.1,9.03,9.1,11000,9.1,2026-09-03T19:34:50.517748+00:00
2018-08-07,9.1,9.1,9.0,9.0,3500,9.0,2026-09-03T19:34:50.517748+00:00
2018-08-09,9.15,9.15,9.0,9.0,6100,9.0,2026-09-03T19:34:50.517748+00:00
2018-08-12,9.15,9.18,9.06,9.18,24100,9.18,2026-09-03T19:34:50.517748+00:00
2018-08-13,9.11,9.36,9.11,9.36,2550,9.36,2026-09-03T19:34:50.517748+00:00
2018-08-14,9.2,9.35,9.2,9.35,22500,9.35,2026-09-03T19:34:50.517748+00:00
2018-08-15,9.36,9.36,9.36,9.36,1500,9.36,2026-09-03T19:34:50.517748+00:00
2018-08-16,9.45,9.45,9.45,9.45,3000,9.45,2026-09-03T19:34:50.517748+00:00
2018-08-20,9.4,9.49,9.35,9.35,900,9.35,2026-09-03T19:34:50.517748+00:00
2018-08-21,9.16,9.16,9.0,9.11,2700,9.11,2026-09-03T19:34:50.517748+00:00
2018-08-26,9.0,9.0,8.9,8.9,1100,8.9,2026-09-03T19:34:50.517748+00:00
2018-08-29,8.86,8.87,8.86,8.87,2000,8.87,2026-09-03T19:34:50.517748+00:00
2018-08-30,9.05,9.05,8.95,8.95,1100,8.95,2026-09-03T19:34:50.517748+00:00
2018-09-02,8.95,8.95,8.95,8.95,1000,8.95,2026-09-03T19:34:50.517748+00:00
2018-09-03,9.13,9.2,9.02,9.02,8700,9.02,2026-09-03T19:34:50.517748+00:00
2018-09-06,9.2,9.38,9.2,9.36,12000,9.36,2026-09-03T19:34:50.517748+00:00
2018-09-09,9.17,9.17,9.17,9.17,2000,9.17,2026-09-03T19:34:50.517748+00:00
2018-09-10,9.17,9.17,9.17,9.17,6500,9.17,2026-09-03T19:34:50.517748+00:00
2018-09-11,9.35,9.35,9.35,9.35,1500,9.35,2026-09-03T19:34:50.517748+00:00
2018-09-12,9.4,9.5,9.4,9.4,8240,9.4,2026-09-03T19:34:50.517748+00:00
2018-09-16,9.21,9.88,9.21,9.5,16090,9.5,2026-09-03T19:34:50.517748+00:00
2018-09-17,9.5,9.5,9.5,9.5,6000,9.5,2026-09-03T19:34:50.517748+00:00
2018-09-20,9.69,9.69,9.69,9.69,5000,9.69,2026-09-03T19:34:50.517748+00:00
2018-09-23,9.6,9.6,9.6,9.6,2000,9.6,2026-09-03T19:34:50.517748+00:00
2018-09-25,9.79,9.79,9.65,9.79,8050,9.79,2026-09-03T19:34:50.517748+00:00
2018-09-26,9.99,9.99,9.97,9.99,21000,9.99,2026-09-03T19:34:50.517748+00:00
2018-09-27,9.94,9.94,9.94,9.94,2000,9.94,2026-09-03T19:34:50.517748+00:00
2018-09-30,9.8,9.8,9.62,9.62,7600,9.62,2026-09-03T19:34:50.517748+00:00
2018-10-01,9.65,9.65,9.6,9.6,33000,9.6,2026-09-03T19:34:50.517748+00:00
2018-10-02,9.79,9.79,9.79,9.79,2000,9.79,2026-09-03T19:34:50.517748+00:00
2018-10-03,9.9,9.9,9.9,9.9,500,9.9,2026-09-03T19:34:50.517748+00:00
2018-10-04,9.85,9.85,9.85,9.85,2800,9.85,2026-09-03T19:34:50.517748+00:00
2018-10-07,9.7,9.7,9.7,9.7,4300,9.7,2026-09-03T19:34:50.517748+00:00
2018-10-08,9.53,9.53,9.53,9.53,3000,9.53,2026-09-03T19:34:50.517748+00:00
2018-10-09,9.55,9.71,9.53,9.53,19500,9.53,2026-09-03T19:34:50.517748+00:00
2018-10-11,9.72,9.72,9.53,9.53,3600,9.53,2026-09-03T19:34:50.517748+00:00
2018-10-14,9.55,9.55,9.55,9.55,1000,9.55,2026-09-03T19:34:50.517748+00:00
2018-10-15,9.54,9.54,9.54,9.54,500,9.54,2026-09-03T19:34:50.517748+00:00
2018-10-23,9.7,9.7,9.53,9.55,6100,9.55,2026-09-03T19:34:50.517748+00:00
2018-10-24,9.6,9.6,9.5,9.5,5500,9.5,2026-09-03T19:34:50.517748+00:00
2018-10-25,9.5,9.5,9.42,9.42,3700,9.42,2026-09-03T19:34:50.517748+00:00
