date,open,high,low,close,volume,adj_close,fetched_at
2023-04-20,10.0,10.0,10.0,10.0,100,10.0,2026-09-03T19:36:23.009061+00:00
2023-04-23,9.81,9.81,9.0,9.0,1205,9.0,2026-09-03T19:36:23.009061+00:00
2023-04-24,8.82,8.82,8.1,8.2,5170,8.2,2026-09-03T19:36:23.009061+00:00
2023-04-25,8.04,8.04,7.77,7.8,5200,7.8,2026-09-03T19:36:23.009061+00:00
2023-04-26,7.65,7.8,7.35,7.69,2000,7.69,2026-09-03T19:36:23.009061+00:00
2023-04-27,7.56,7.86,7.56,7.7,975,7.7,2026-09-03T19:36:23.009061+00:00
2023-04-30,7.64,7.85,7.64,7.73,2150,7.73,2026-09-03T19:36:23.009061+00:00
2023-05-02,7.65,7.7,7.65,7.7,825,7.7,2026-09-03T19:36:23.009061+00:00
2023-05-03,7.75,7.76,7.75,7.75,1250,7.75,2026-09-03T19:36:23.009061+00:00
2023-05-04,7.6,7.85,7.6,7.8,725,7.8,2026-09-03T19:36:23.009061+00:00
2023-05-07,7.65,7.84,7.65,7.84,1600,7.84,2026-09-03T19:36:23.009061+00:00
2023-05-08,7.71,7.86,7.71,7.83,800,7.83,2026-09-03T19:36:23.009061+00:00
2023-05-09,7.7,7.85,7.7,7.79,900,7.79,2026-09-03T19:36:23.009061+00:00
2023-05-10,7.65,7.82,7.65,7.82,1175,7.82,2026-09-03T19:36:23.009061+00:00
2023-05-11,7.7,7.79,7.7,7.79,900,7.79,2026-09-03T19:36:23.009061+00:00
2023-05-14,7.8,7.8,7.72,7.73,720,7.73,2026-09-03T19:36:23.009061+00:00
2023-05-15,7.65,7.65,7.65,7.65,100,7.65,2026-09-03T19:36:23.009061+00:00
2023-05-16,7.68,8.0,7.68,8.0,2775,8.0,2026-09-03T19:36:23.009061+00:00
2023-05-17,7.84,8.42,7.84,7.85,1800,7.85,2026-09-03T19:36:23.009061+00:00
2023-05-18,7.74,7.82,7.74,7.82,850,7.82,2026-09-03T19:36:23.009061+00:00
2023-05-21,7.69,8.43,7.69,8.43,1025,8.43,2026-09-03T19:36:23.009061+00:00
2023-05-22,8.59,9.1,8.59,8.8,1750,8.8,2026-09-03T19:36:23.009061+00:00
2023-05-23,8.97,9.14,8.97,9.1,1000,9.1,2026-09-03T19:36:23.009061+00:00
2023-05-24,9.28,9.28,9.2,9.2,1100,9.2,2026-09-03T19:36:23.009061+00:00
2023-05-30,9.02,9.02,8.67,8.67,3300,8.67,2026-09-03T19:36:23.009061+00:00
2023-05-31,8.5,8.5,8.17,8.33,400,8.33,2026-09-03T19:36:23.009061+00:00
2023-06-01,8.17,8.17,7.61,7.83,3650,7.83,2026-09-03T19:36:23.009061+00:00
2023-06-04,7.71,7.8,7.71,7.8,400,7.8,2026-09-03T19:36:23.009061+00:00
2023-06-05,7.67,8.04,7.53,7.9,2125,7.9,2026-09-03T19:36:23.009061+00:00
2023-06-06,7.75,8.63,7.63,8.63,3000,8.63,2026-09-03T19:36:23.009061+00:00
2023-06-07,8.46,8.46,8.3,8.3,200,8.3,2026-09-03T19:36:23.009061+00:00
2023-06-08,8.14,8.14,8.03,8.03,800,8.03,2026-09-03T19:36:23.009061+00:00
2023-06-11,7.9,8.0,7.9,8.0,500,8.0,2026-09-03T19:36:23.009061+00:00
2023-06-12,7.85,8.0,7.85,7.99,1500,7.99,2026-09-03T19:36:23.009061+00:00
2023-06-13,7.87,8.05,7.87,7.92,900,7.92,2026-09-03T19:36:23.009061+00:00
2023-06-14,7.77,8.05,7.77,7.92,800,7.92,2026-09-03T19:36:23.009061+00:00
2023-06-15,8.07,8.07,8.0,8.0,600,8.0,2026-09-03T19:36:23.009061+00:00
2023-06-18,7.85,8.07,7.85,8.07,1300,8.07,2026-09-03T19:36:23.009061+00:00
2023-06-19,7.92,8.08,7.92,7.95,2400,7.95,2026-09-03T19:36:23.009061+00:00
2023-06-20,7.9,8.0,7.84,7.95,1300,7.95,2026-09-03T19:36:23.009061+00:00
2023-06-21,7.9,7.9,7.9,7.9,200,7.9,2026-09-03T19:36:23.009061+00:00
2023-06-22,7.75,7.9,7.75,7.89,1400,7.89,2026-09-03T19:36:23.009061+00:00
2023-06-25,7.79,8.0,7.79,7.9,1325,7.9,2026-09-03T19:36:23.009061+00:00
2023-06-26,7.81,7.96,7.81,7.95,600,7.95,2026-09-03T19:36:23.009061+00:00
2023-06-27,7.89,8.0,7.89,8.0,2200,8.0,2026-09-03T19:36:23.009061+00:00
2023-06-28,8.0,8.43,8.0,8.27,6400,8.27,2026-09-03T19:36:23.009061+00:00
2023-07-02,8.2,8.43,8.2,8.43,1600,8.43,2026-09-03T19:36:23.009061+00:00
2023-07-03,8.28,8.28,8.28,8.28,600,8.28,2026-09-03T19:36:23.009061+00:00
2023-07-04,8.12,8.25,8.12,8.25,2600,8.25,2026-09-03T19:36:23.009061+00:00
2023-07-05,8.1,8.1,8.1,8.1,1200,8.1,2026-09-03T19:36:23.009061+00:00
2023-07-06,7.94,8.03,7.94,8.03,500,8.03,2026-09-03T19:36:23.009061+00:00
2023-07-09,8.19,8.19,8.03,8.03,3300,8.03,2026-09-03T19:36:23.009061+00:00
2023-07-10,8.0,8.0,8.0,8.0,100,8.0,2026-09-03T19:36:23.009061+00:00
2023-07-11,7.87,7.96,7.72,7.95,2450,7.95,2026-09-03T19:36:23.009061+00:00
2023-07-12,7.87,8.34,7.87,8.34,800,8.34,2026-09-03T19:36:23.009061+00:00
2023-07-13,8.5,9.17,8.5,8.8,19046,8.8,2026-09-03T19:36:23.009061+00:00
2023-07-16,8.97,9.68,8.3,9.68,8325,9.68,2026-09-03T19:36:23.009061+00:00
2023-07-17,9.68,9.68,9.15,9.68,101999,9.68,2026-09-03T19:36:23.009061+00:00
2023-07-18,9.49,9.49,9.49,9.49,200,9.49,2026-09-03T19:36:23.009061+00:00
2023-07-19,9.31,9.31,8.95,8.95,1100,8.95,2026-09-03T19:36:23.009061+00:00
2023-07-20,8.8,8.9,8.8,8.8,1075,8.8,2026-09-03T19:36:23.009061+00:00
2023-07-23,8.64,8.64,8.46,8.64,1600,8.64,2026-09-03T19:36:23.009061+00:00
2023-07-24,8.48,8.48,8.32,8.34,600,8.34,2026-09-03T19:36:23.009061+00:00
2023-07-25,8.18,8.2,8.03,8.03,1625,8.03,2026-09-03T19:36:23.009061+00:00
2023-07-26,8.1,8.11,8.06,8.11,1200,8.11,2026-09-03T19:36:23.009061+00:00
2023-07-27,8.03,8.11,8.03,8.11,1800,8.11,2026-09-03T19:36:23.009061+00:00
2023-07-30,8.11,8.2,8.02,8.1,1290,8.1,2026-09-03T19:36:23.009061+00:00
2023-07-31,7.94,8.01,7.8,7.87,3900,7.87,2026-09-03T19:36:23.009061+00:00
2023-08-01,7.91,7.92,7.91,7.92,250,7.92,2026-09-03T19:36:23.009061+00:00
2023-08-02,8.0,8.19,8.0,8.08,11595,8.08,2026-09-03T19:36:23.009061+00:00
2023-08-03,8.0,8.16,8.0,8.16,1000,8.16,2026-09-03T19:36:23.009061+00:00
2023-08-06,8.12,8.15,8.01,8.03,2000,8.03,2026-09-03T19:36:23.009061+00:00
2023-08-07,8.0,8.19,7.9,7.92,1325,7.92,2026-09-03T19:36:23.009061+00:00
2023-08-08,7.94,8.07,7.94,8.05,1850,8.05,2026-09-03T19:36:23.009061+00:00
2023-08-09,7.9,8.05,7.9,8.03,2675,8.03,2026-09-03T19:36:23.009061+00:00
2023-08-10,7.87,8.19,7.87,8.19,900,8.19,2026-09-03T19:36:23.009061+00:00
2023-08-13,8.1,8.35,8.1,8.18,3910,8.18,2026-09-03T19:36:23.009061+00:00
2023-08-14,8.07,8.26,8.07,8.11,2000,8.11,2026-09-03T19:36:23.009061+00:00
2023-08-15,8.11,8.15,8.0,8.0,900,8.0,2026-09-03T19:36:23.009061+00:00
2023-08-16,8.0,8.48,8.0,8.32,2400,8.32,2026-09-03T19:36:23.009061+00:00
2023-08-17,8.2,8.48,8.2,8.48,1300,8.48,2026-09-03T19:36:23.009061+00:00
2023-08-20,8.35,8.35,8.09,8.11,900,8.11,2026-09-03T19:36:23.009061+00:00
2023-08-21,7.95,8.1,7.95,8.1,400,8.1,2026-09-03T19:36:23.009061+00:00
2023-08-22,8.0,8.0,8.0,8.0,400,8.0,2026-09-03T19:36:23.009061+00:00
2023-08-23,8.0,8.16,8.0,8.01,1100,8.01,2026-09-03T19:36:23.009061+00:00
2023-08-24,7.9,8.05,7.9,7.91,550,7.91,2026-09-03T19:36:23.009061+00:00
2023-08-27,8.06,8.17,7.9,8.17,1700,8.17,2026-09-03T19:36:23.009061+00:00
2023-08-28,8.17,8.25,8.09,8.25,1100,8.25,2026-09-03T19:36:23.009061+00:00
2023-08-29,8.1,8.4,8.1,8.24,1525,8.24,2026-09-03T19:36:23.009061+00:00
2023-08-30,8.12,8.28,8.12,8.12,500,8.12,2026-09-03T19:36:23.009061+00:00
2023-09-03,8.1,8.28,8.1,8.12,800,8.12,2026-09-03T19:36:23.009061+00:00
2023-09-04,8.0,8.01,8.0,8.01,1750,8.01,2026-09-03T19:36:23.009061+00:00
2023-09-05,7.87,7.87,7.87,7.87,1450,7.87,2026-09-03T19:36:23.009061+00:00
2023-09-07,7.87,8.0,7.76,7.85,1600,7.85,2026-09-03T19:36:23.009061+00:00
2023-09-10,7.81,7.96,7.81,7.81,2100,7.81,2026-09-03T19:36:23.009061+00:00
2023-09-11,7.81,7.86,7.81,7.86,500,7.86,2026-09-03T19:36:23.009061+00:00
2023-09-12,7.8,8.01,7.8,8.01,1200,8.01,2026-09-03T19:36:23.009061+00:00
