date,open,high,low,close,volume,adj_close,fetched_at
2020-07-15,10.0,10.0,10.0,10.0,200,10.0,2026-09-03T19:35:13.611767+00:00
2020-07-26,9.81,9.81,9.7,9.7,60000,9.7,2026-09-03T19:35:13.611767+00:00
2020-07-27,9.52,9.52,9.52,9.52,1150,9.52,2026-09-03T19:35:13.611767+00:00
2020-07-28,9.4,9.4,9.4,9.4,2300,9.4,2026-09-03T19:35:13.611767+00:00
2020-07-29,9.3,9.3,9.3,9.3,180,9.3,2026-09-03T19:35:13.611767+00:00
2020-07-30,9.2,9.2,9.2,9.2,100,9.2,2026-09-03T19:35:13.611767+00:00
2020-08-02,9.2,9.2,9.2,9.2,200,9.2,2026-09-03T19:35:13.611767+00:00
2020-08-03,9.1,9.1,9.1,9.1,46700,9.1,2026-09-03T19:35:13.611767+00:00
2020-08-05,9.1,9.1,9.1,9.1,600,9.1,2026-09-03T19:35:13.611767+00:00
2020-08-06,9.05,9.05,9.05,9.05,400,9.05,2026-09-03T19:35:13.611767+00:00
2020-08-09,9.04,9.04,9.04,9.04,700,9.04,2026-09-03T19:35:13.611767+00:00
2020-08-10,9.08,9.1,9.08,9.1,800,9.1,2026-09-03T19:35:13.611767+00:00
2020-08-11,9.0,9.0,9.0,9.0,2700,9.0,2026-09-03T19:35:13.611767+00:00
2020-08-12,9.07,9.07,9.07,9.07,100,9.07,2026-09-03T19:35:13.611767+00:00
2020-08-13,9.1,9.1,9.1,9.1,200,9.1,2026-09-03T19:35:13.611767+00:00
2020-08-16,9.1,9.15,9.03,9.15,600,9.15,2026-09-03T19:35:13.611767+00:00
2020-08-18,9.12,9.12,9.12,9.12,100,9.12,2026-09-03T19:35:13.611767+00:00
2020-08-23,9.06,9.08,9.06,9.08,200,9.08,2026-09-03T19:35:13.611767+00:00
2020-08-26,9.06,9.17,9.06,9.17,1300,9.17,2026-09-03T19:35:13.611767+00:00
2020-08-27,9.1,9.14,9.1,9.14,800,9.14,2026-09-03T19:35:13.611767+00:00
