date,open,high,low,close,volume,adj_close,fetched_at
2023-01-23,374.8,404.2,374.8,404.2,1330,404.2,2026-09-03T19:35:23.148695+00:00
2023-01-24,412.2,444.6,412.2,444.6,1740,444.6,2026-09-03T19:35:23.148695+00:00
2023-01-25,436.1,489.0,436.1,489.0,44755,489.0,2026-09-03T19:35:23.148695+00:00
2023-01-26,498.7,537.9,492.0,495.0,63167,495.0,2026-09-03T19:35:23.148695+00:00
2023-01-29,485.1,514.0,476.0,498.0,23218,498.0,2026-09-03T19:35:23.148695+00:00
2023-01-30,507.9,507.9,473.0,477.0,14178,477.0,2026-09-03T19:35:23.148695+00:00
2023-01-31,467.5,492.5,459.0,469.9,16773,469.9,2026-09-03T19:35:23.148695+00:00
2023-02-01,475.0,493.6,467.5,493.0,28218,493.0,2026-09-03T19:35:23.148695+00:00
2023-02-02,500.0,502.8,484.0,488.0,32515,488.0,2026-09-03T19:35:23.148695+00:00
2023-02-05,487.0,495.0,479.0,485.0,11668,485.0,2026-09-03T19:35:23.148695+00:00
2023-02-06,478.0,492.0,475.4,484.9,12433,484.9,2026-09-03T19:35:23.148695+00:00
2023-02-07,494.0,513.8,488.0,499.9,20657,499.9,2026-09-03T19:35:23.148695+00:00
2023-02-08,505.0,515.1,496.1,503.9,36464,503.9,2026-09-03T19:35:23.148695+00:00
2023-02-09,495.0,500.0,490.0,496.0,5463,496.0,2026-09-03T19:35:23.148695+00:00
2023-02-12,500.0,500.0,475.9,485.0,14627,485.0,2026-09-03T19:35:23.148695+00:00
2023-02-14,481.0,485.0,471.4,479.2,9992,479.2,2026-09-03T19:35:23.148695+00:00
2023-02-15,470.7,484.0,470.7,473.0,6796,473.0,2026-09-03T19:35:23.148695+00:00
2023-02-16,465.0,470.0,461.1,463.0,9279,463.0,2026-09-03T19:35:23.148695+00:00
2023-02-20,455.0,471.8,446.1,455.0,19162,455.0,2026-09-03T19:35:23.148695+00:00
2023-02-22,446.5,479.0,446.5,474.9,7523,474.9,2026-09-03T19:35:23.148695+00:00
2023-02-23,468.0,470.0,451.0,465.0,10270,465.0,2026-09-03T19:35:23.148695+00:00
2023-02-26,455.7,471.0,438.0,471.0,6881,471.0,2026-09-03T19:35:23.148695+00:00
2023-02-27,462.0,478.9,456.0,466.0,9070,466.0,2026-09-03T19:35:23.148695+00:00
2023-02-28,460.1,472.0,460.0,463.0,2253,463.0,2026-09-03T19:35:23.148695+00:00
2023-03-01,458.0,467.0,454.0,454.0,5801,454.0,2026-09-03T19:35:23.148695+00:00
2023-03-02,446.1,454.0,446.1,453.9,4848,453.9,2026-09-03T19:35:23.148695+00:00
2023-03-05,445.3,459.1,445.3,459.0,5120,459.0,2026-09-03T19:35:23.148695+00:00
2023-03-07,450.0,461.0,442.0,459.0,4195,459.0,2026-09-03T19:35:23.148695+00:00
2023-03-09,468.1,468.1,452.1,468.0,7278,468.0,2026-09-03T19:35:23.148695+00:00
2023-03-12,471.0,475.0,455.1,456.0,6134,456.0,2026-09-03T19:35:23.148695+00:00
2023-03-13,448.7,456.0,448.7,455.0,3730,455.0,2026-09-03T19:35:23.148695+00:00
2023-03-14,450.0,467.0,450.0,455.0,2543,455.0,2026-09-03T19:35:23.148695+00:00
2023-03-15,448.0,462.0,448.0,457.2,5079,457.2,2026-09-03T19:35:23.148695+00:00
2023-03-16,450.0,462.0,450.0,458.0,4615,458.0,2026-09-03T19:35:23.148695+00:00
2023-03-19,451.0,457.5,451.0,454.0,2447,454.0,2026-09-03T19:35:23.148695+00:00
2023-03-20,450.2,463.0,450.2,463.0,3560,463.0,2026-09-03T19:35:23.148695+00:00
2023-03-22,456.0,466.3,455.0,456.0,5825,456.0,2026-09-03T19:35:23.148695+00:00
2023-03-23,450.1,459.0,449.0,451.0,6485,451.0,2026-09-03T19:35:23.148695+00:00
2023-03-26,443.1,446.0,438.5,439.0,5835,439.0,2026-09-03T19:35:23.148695+00:00
2023-03-27,431.5,449.9,431.5,449.0,3229,449.0,2026-09-03T19:35:23.148695+00:00
2023-03-28,442.0,455.0,442.0,451.0,4466,451.0,2026-09-03T19:35:23.148695+00:00
