date,open,high,low,close,volume,adj_close,fetched_at
2021-07-05,398.0,410.0,398.0,404.0,4652,404.0,2026-09-03T19:35:30.851061+00:00
2021-07-06,397.0,413.0,396.0,399.0,5470,399.0,2026-09-03T19:35:30.851061+00:00
2021-07-07,393.0,405.0,392.0,394.0,4523,394.0,2026-09-03T19:35:30.851061+00:00
2021-07-08,375.0,404.0,375.0,397.0,9432,397.0,2026-09-03T19:35:30.851061+00:00
2021-07-11,397.0,405.0,397.0,404.0,7190,404.0,2026-09-03T19:35:30.851061+00:00
2021-07-12,405.0,406.0,395.0,397.0,9515,397.0,2026-09-03T19:35:30.851061+00:00
2021-07-13,390.0,404.0,390.0,400.0,4997,400.0,2026-09-03T19:35:30.851061+00:00
2021-07-14,393.0,426.0,393.0,418.0,12501,418.0,2026-09-03T19:35:30.851061+00:00
2021-07-15,425.0,435.0,399.0,433.0,26859,433.0,2026-09-03T19:35:30.851061+00:00
2021-07-18,441.0,476.3,441.0,476.3,98402,476.3,2026-09-03T19:35:30.851061+00:00
2021-07-19,485.8,523.8,468.5,471.0,45751,471.0,2026-09-03T19:35:30.851061+00:00
2021-07-20,471.0,497.2,461.0,488.0,45188,488.0,2026-09-03T19:35:30.851061+00:00
2021-07-22,488.0,488.0,476.0,485.0,46306,485.0,2026-09-03T19:35:30.851061+00:00
2021-07-25,482.0,504.0,482.0,501.0,73930,501.0,2026-09-03T19:35:30.851061+00:00
2021-07-26,505.0,551.1,494.0,539.0,130141,539.0,2026-09-03T19:35:30.851061+00:00
2021-07-27,539.0,575.0,522.0,562.0,79099,562.0,2026-09-03T19:35:30.851061+00:00
2021-07-28,560.0,562.0,532.0,534.0,45672,534.0,2026-09-03T19:35:30.851061+00:00
2021-07-29,535.0,537.0,513.0,531.0,65651,531.0,2026-09-03T19:35:30.851061+00:00
2021-08-01,521.0,551.0,521.0,540.0,73164,540.0,2026-09-03T19:35:30.851061+00:00
2021-08-02,536.0,556.0,529.5,529.6,38670,529.6,2026-09-03T19:35:30.851061+00:00
2021-08-03,525.0,550.8,520.4,537.0,44582,537.0,2026-09-03T19:35:30.851061+00:00
2021-08-04,547.7,566.0,538.0,548.0,82786,548.0,2026-09-03T19:35:30.851061+00:00
2021-08-05,558.0,581.0,535.0,536.7,28131,536.7,2026-09-03T19:35:30.851061+00:00
2021-08-08,530.0,566.0,525.0,545.0,57893,545.0,2026-09-03T19:35:30.851061+00:00
2021-08-09,535.0,565.0,535.0,556.1,59620,556.1,2026-09-03T19:35:30.851061+00:00
2021-08-10,548.0,560.0,532.0,535.0,46120,535.0,2026-09-03T19:35:30.851061+00:00
2021-08-11,545.0,570.0,535.2,570.0,63402,570.0,2026-09-03T19:35:30.851061+00:00
2021-08-12,581.0,605.0,560.0,581.0,132334,581.0,2026-09-03T19:35:30.851061+00:00
2021-08-15,585.0,585.0,538.1,558.0,64077,558.0,2026-09-03T19:35:30.851061+00:00
2021-08-16,547.0,580.0,546.0,554.0,39476,554.0,2026-09-03T19:35:30.851061+00:00
2021-08-17,554.0,609.4,554.0,595.0,139577,595.0,2026-09-03T19:35:30.851061+00:00
2021-08-18,606.9,650.0,606.9,630.2,159551,630.2,2026-09-03T19:35:30.851061+00:00
2021-08-19,630.2,630.2,600.0,612.0,70972,612.0,2026-09-03T19:35:30.851061+00:00
2021-08-24,599.8,612.0,550.8,612.0,76180,612.0,2026-09-03T19:35:30.851061+00:00
2021-08-25,599.8,599.8,553.7,592.0,44850,592.0,2026-09-03T19:35:30.851061+00:00
2021-08-26,590.0,622.0,567.0,599.0,48765,599.0,2026-09-03T19:35:30.851061+00:00
2021-08-29,610.9,648.2,550.8,555.0,41821,555.0,2026-09-03T19:35:30.851061+00:00
2021-08-31,566.1,566.1,539.0,541.0,22519,541.0,2026-09-03T19:35:30.851061+00:00
2021-09-01,541.0,577.0,521.0,543.0,21790,543.0,2026-09-03T19:35:30.851061+00:00
2021-09-02,532.2,551.8,515.0,521.0,15939,521.0,2026-09-03T19:35:30.851061+00:00
2021-09-05,511.0,511.0,468.9,478.0,26640,478.0,2026-09-03T19:35:30.851061+00:00
2021-09-06,468.5,525.8,462.0,524.0,17708,524.0,2026-09-03T19:35:30.851061+00:00
2021-09-07,534.0,548.0,504.0,510.0,15199,510.0,2026-09-03T19:35:30.851061+00:00
2021-09-08,500.0,511.0,492.0,495.0,9300,495.0,2026-09-03T19:35:30.851061+00:00
2021-09-09,504.9,515.0,494.0,507.3,12143,507.3,2026-09-03T19:35:30.851061+00:00
2021-09-12,517.4,555.0,516.0,543.0,23451,543.0,2026-09-03T19:35:30.851061+00:00
2021-09-13,551.0,555.0,525.0,530.0,10740,530.0,2026-09-03T19:35:30.851061+00:00
2021-09-14,525.0,566.0,511.2,548.0,51946,548.0,2026-09-03T19:35:30.851061+00:00
2021-09-15,537.1,549.7,526.4,529.0,9235,529.0,2026-09-03T19:35:30.851061+00:00
2021-09-16,529.0,539.0,480.0,499.5,40792,499.5,2026-09-03T19:35:30.851061+00:00
2021-09-20,491.0,493.0,449.6,449.6,19620,449.6,2026-09-03T19:35:30.851061+00:00
2021-09-21,449.0,475.0,409.7,444.0,16330,444.0,2026-09-03T19:35:30.851061+00:00
2021-09-22,452.8,476.0,452.8,469.0,14211,469.0,2026-09-03T19:35:30.851061+00:00
2021-09-23,478.0,487.3,452.1,462.0,11519,462.0,2026-09-03T19:35:30.851061+00:00
2021-09-26,453.0,462.0,427.0,429.0,14280,429.0,2026-09-03T19:35:30.851061+00:00
2021-09-27,420.5,454.0,412.1,415.0,13437,415.0,2026-09-03T19:35:30.851061+00:00
2021-09-28,415.0,423.3,395.0,397.0,17168,397.0,2026-09-03T19:35:30.851061+00:00
2021-09-29,392.0,418.0,392.0,415.0,15680,415.0,2026-09-03T19:35:30.851061+00:00
2021-09-30,418.0,425.0,407.0,408.0,5454,408.0,2026-09-03T19:35:30.851061+00:00
2021-10-03,399.9,402.0,382.2,382.2,9809,382.2,2026-09-03T19:35:30.851061+00:00
