date,open,high,low,close,volume,adj_close,fetched_at
2013-12-05,197.0,200.0,200.0,200.0,290,200.0,2026-09-03T19:34:11.453375+00:00
2013-12-08,200.0,204.0,204.0,204.0,53,204.0,2026-09-03T19:34:11.453375+00:00
2013-12-10,204.0,208.0,208.0,208.0,12,208.0,2026-09-03T19:34:11.453375+00:00
2013-12-11,208.0,212.0,208.0,208.0,28,208.0,2026-09-03T19:34:11.453375+00:00
2013-12-12,208.0,208.0,204.0,208.0,84,208.0,2026-09-03T19:34:11.453375+00:00
2013-12-16,208.0,216.0,212.0,216.0,853,216.0,2026-09-03T19:34:11.453375+00:00
2013-12-18,216.0,220.0,220.0,220.0,13,220.0,2026-09-03T19:34:11.453375+00:00
2013-12-19,220.0,224.0,224.0,224.0,232,224.0,2026-09-03T19:34:11.453375+00:00
2013-12-22,224.0,246.0,228.0,246.0,531,246.0,2026-09-03T19:34:11.453375+00:00
2013-12-23,246.0,250.0,250.0,250.0,181,250.0,2026-09-03T19:34:11.453375+00:00
2013-12-24,250.0,260.0,250.0,260.0,695,260.0,2026-09-03T19:34:11.453375+00:00
2013-12-26,260.0,275.0,265.0,275.0,221,275.0,2026-09-03T19:34:11.453375+00:00
2013-12-29,275.0,285.0,275.0,285.0,487,285.0,2026-09-03T19:34:11.453375+00:00
2013-12-31,285.0,296.0,290.0,296.0,405,296.0,2026-09-03T19:34:11.453375+00:00
2014-01-01,296.0,292.0,292.0,292.0,131,292.0,2026-09-03T19:34:11.453375+00:00
2014-01-02,292.0,287.0,272.0,277.0,983,277.0,2026-09-03T19:34:11.453375+00:00
2014-01-05,277.0,282.0,277.0,278.0,1186,278.0,2026-09-03T19:34:11.453375+00:00
2014-01-06,278.0,288.0,280.0,283.0,487,283.0,2026-09-03T19:34:11.453375+00:00
2014-01-07,283.0,304.0,288.0,304.0,2291,304.0,2026-09-03T19:34:11.453375+00:00
2014-01-08,304.0,316.0,310.0,316.0,400,316.0,2026-09-03T19:34:11.453375+00:00
2014-01-09,316.0,334.0,316.0,331.0,1045,331.0,2026-09-03T19:34:11.453375+00:00
2014-01-12,331.0,354.0,325.0,354.0,6751,354.0,2026-09-03T19:34:11.453375+00:00
2014-01-13,354.0,367.0,347.0,367.0,1193,367.0,2026-09-03T19:34:11.453375+00:00
2014-01-14,367.0,368.0,340.0,368.0,1236,368.0,2026-09-03T19:34:11.453375+00:00
2014-01-16,368.0,375.0,370.0,371.0,1235,371.0,2026-09-03T19:34:11.453375+00:00
