date,open,high,low,close,volume,adj_close,fetched_at
2019-03-24,464.0,464.0,418.0,418.0,3920,418.0,2026-09-03T19:35:01.698020+00:00
2019-03-25,398.0,398.0,377.0,377.0,90,377.0,2026-09-03T19:35:01.698020+00:00
2019-03-26,359.0,359.0,340.0,340.0,500,340.0,2026-09-03T19:35:01.698020+00:00
2019-03-27,323.0,350.0,306.0,340.0,170472,340.0,2026-09-03T19:35:01.698020+00:00
2019-03-28,323.0,353.0,323.0,333.0,78450,333.0,2026-09-03T19:35:01.698020+00:00
2019-03-31,335.0,335.0,323.0,325.0,32407,325.0,2026-09-03T19:35:01.698020+00:00
2019-04-01,323.0,332.0,321.0,330.0,31990,330.0,2026-09-03T19:35:01.698020+00:00
2019-04-02,327.0,336.0,325.0,329.0,38720,329.0,2026-09-03T19:35:01.698020+00:00
2019-04-03,327.0,329.0,324.0,325.0,18011,325.0,2026-09-03T19:35:01.698020+00:00
2019-04-04,330.0,330.0,320.0,321.0,33290,321.0,2026-09-03T19:35:01.698020+00:00
2019-04-07,319.0,322.0,318.0,320.0,14305,320.0,2026-09-03T19:35:01.698020+00:00
2019-04-08,322.0,330.0,320.0,329.0,53402,329.0,2026-09-03T19:35:01.698020+00:00
2019-04-09,323.0,323.0,308.0,310.0,14819,310.0,2026-09-03T19:35:01.698020+00:00
2019-04-10,305.0,311.0,305.0,308.0,14774,308.0,2026-09-03T19:35:01.698020+00:00
2019-04-11,307.0,310.0,306.0,306.0,16100,306.0,2026-09-03T19:35:01.698020+00:00
2019-04-15,304.0,308.0,304.0,308.0,4335,308.0,2026-09-03T19:35:01.698020+00:00
2019-04-16,308.0,312.0,307.0,311.0,14905,311.0,2026-09-03T19:35:01.698020+00:00
2019-04-17,316.0,316.0,305.0,305.0,19531,305.0,2026-09-03T19:35:01.698020+00:00
2019-04-18,305.0,310.0,300.0,309.0,17750,309.0,2026-09-03T19:35:01.698020+00:00
2019-04-21,311.0,311.0,303.0,305.0,18065,305.0,2026-09-03T19:35:01.698020+00:00
2019-04-22,305.0,311.0,304.0,305.0,20035,305.0,2026-09-03T19:35:01.698020+00:00
