date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,261.0,266.0,265.0,265.0,478,265.0,2026-09-03T19:33:21.833916+00:00
2012-09-10,265.0,269.0,266.0,266.0,841,266.0,2026-09-03T19:33:21.833916+00:00
2012-09-11,266.0,266.0,265.0,266.0,1526,266.0,2026-09-03T19:33:21.833916+00:00
2012-09-12,266.0,270.0,267.0,270.0,963,270.0,2026-09-03T19:33:21.833916+00:00
2012-09-13,270.0,280.0,275.0,280.0,485,280.0,2026-09-03T19:33:21.833916+00:00
2012-09-16,280.0,295.0,285.0,295.0,644,295.0,2026-09-03T19:33:21.833916+00:00
2012-09-17,295.0,298.0,297.0,297.0,1385,297.0,2026-09-03T19:33:21.833916+00:00
2012-09-18,297.0,292.0,292.0,292.0,200,292.0,2026-09-03T19:33:21.833916+00:00
2012-09-19,292.0,295.0,295.0,295.0,156,295.0,2026-09-03T19:33:21.833916+00:00
2012-09-25,295.0,294.0,290.0,290.0,402,290.0,2026-09-03T19:33:21.833916+00:00
2012-09-30,290.0,285.0,281.0,281.0,320,281.0,2026-09-03T19:33:21.833916+00:00
2012-10-01,281.0,276.0,276.0,276.0,1000,276.0,2026-09-03T19:33:21.833916+00:00
2012-10-01,281.0,276.0,276.0,276.0,1000,276.0,2026-09-03T19:33:21.833916+00:00
2012-10-02,276.0,281.0,281.0,281.0,120,281.0,2026-09-03T19:33:21.833916+00:00
2012-10-03,281.0,286.0,272.0,272.0,1360,272.0,2026-09-03T19:33:21.833916+00:00
2012-10-04,272.0,271.0,270.0,270.0,1232,270.0,2026-09-03T19:33:21.833916+00:00
2012-10-07,270.0,265.0,265.0,265.0,300,265.0,2026-09-03T19:33:21.833916+00:00
2012-10-09,265.0,270.0,270.0,270.0,142,270.0,2026-09-03T19:33:21.833916+00:00
2012-10-10,270.0,276.0,270.0,276.0,535,276.0,2026-09-03T19:33:21.833916+00:00
2012-10-11,276.0,280.0,276.0,279.0,1523,279.0,2026-09-03T19:33:21.833916+00:00
2012-10-14,279.0,274.0,274.0,274.0,1200,274.0,2026-09-03T19:33:21.833916+00:00
2012-10-15,274.0,277.0,274.0,274.0,1200,274.0,2026-09-03T19:33:21.833916+00:00
2012-10-18,274.0,279.0,279.0,279.0,200,279.0,2026-09-03T19:33:21.833916+00:00
2012-11-01,279.0,279.0,279.0,279.0,2000,279.0,2026-09-03T19:33:21.833916+00:00
