date,open,high,low,close,volume,adj_close,fetched_at
2014-03-24,540.0,566.0,538.0,560.0,10249,560.0,2026-09-03T19:34:20.131607+00:00
2014-03-25,560.0,580.0,547.0,570.0,21974,570.0,2026-09-03T19:34:20.131607+00:00
2014-03-26,570.0,589.0,560.0,584.0,22124,584.0,2026-09-03T19:34:20.131607+00:00
2014-03-27,584.0,605.0,580.0,604.0,39017,604.0,2026-09-03T19:34:20.131607+00:00
2014-03-31,604.0,632.0,600.0,632.0,19441,632.0,2026-09-03T19:34:20.131607+00:00
2014-04-01,632.0,665.0,626.0,660.0,18629,660.0,2026-09-03T19:34:20.131607+00:00
2014-04-02,660.0,700.0,653.0,684.0,35568,684.0,2026-09-03T19:34:20.131607+00:00
2014-04-03,684.0,700.0,640.0,642.0,18448,642.0,2026-09-03T19:34:20.131607+00:00
2014-04-06,642.0,644.0,630.0,640.0,10967,640.0,2026-09-03T19:34:20.131607+00:00
2014-04-07,640.0,655.0,628.0,655.0,10843,655.0,2026-09-03T19:34:20.131607+00:00
2014-04-09,655.0,672.0,642.0,670.0,7401,670.0,2026-09-03T19:34:20.131607+00:00
2014-04-10,670.0,675.0,659.0,673.0,5842,673.0,2026-09-03T19:34:20.131607+00:00
2014-04-13,673.0,685.0,660.0,685.0,15886,685.0,2026-09-03T19:34:20.131607+00:00
2014-04-15,685.0,690.0,665.0,685.0,12285,685.0,2026-09-03T19:34:20.131607+00:00
2014-04-16,685.0,689.0,663.0,670.0,8958,670.0,2026-09-03T19:34:20.131607+00:00
2014-04-17,670.0,683.0,660.0,680.0,8003,680.0,2026-09-03T19:34:20.131607+00:00
2014-04-20,680.0,686.0,673.0,673.0,9516,673.0,2026-09-03T19:34:20.131607+00:00
2014-04-21,673.0,681.0,658.0,668.0,6649,668.0,2026-09-03T19:34:20.131607+00:00
2014-04-22,668.0,686.0,658.0,680.0,9748,680.0,2026-09-03T19:34:20.131607+00:00
2014-04-23,680.0,685.0,671.0,677.0,13283,677.0,2026-09-03T19:34:20.131607+00:00
2014-04-27,677.0,680.0,660.0,672.0,4486,672.0,2026-09-03T19:34:20.131607+00:00
2014-04-28,672.0,669.0,653.0,660.0,3711,660.0,2026-09-03T19:34:20.131607+00:00
2014-04-29,660.0,668.0,655.0,661.0,4659,661.0,2026-09-03T19:34:20.131607+00:00
2014-04-30,661.0,650.0,626.0,642.0,14040,642.0,2026-09-03T19:34:20.131607+00:00
2014-05-04,642.0,650.0,630.0,635.0,7737,635.0,2026-09-03T19:34:20.131607+00:00
2014-05-05,635.0,665.0,614.0,655.0,9585,655.0,2026-09-03T19:34:20.131607+00:00
2014-05-06,655.0,655.0,642.0,654.0,2437,654.0,2026-09-03T19:34:20.131607+00:00
2014-05-07,654.0,659.0,640.0,650.0,4894,650.0,2026-09-03T19:34:20.131607+00:00
2014-05-08,650.0,665.0,649.0,656.0,7781,656.0,2026-09-03T19:34:20.131607+00:00
2014-05-11,656.0,658.0,630.0,630.0,4525,630.0,2026-09-03T19:34:20.131607+00:00
2014-05-12,630.0,642.0,625.0,637.0,2471,637.0,2026-09-03T19:34:20.131607+00:00
2014-05-13,637.0,640.0,624.0,640.0,2726,640.0,2026-09-03T19:34:20.131607+00:00
2014-05-15,640.0,650.0,612.0,645.0,2409,645.0,2026-09-03T19:34:20.131607+00:00
2014-05-15,640.0,650.0,612.0,645.0,2409,645.0,2026-09-03T19:34:20.131607+00:00
2014-05-18,645.0,654.0,640.0,640.0,3155,640.0,2026-09-03T19:34:20.131607+00:00
2014-05-19,640.0,646.0,632.0,640.0,6262,640.0,2026-09-03T19:34:20.131607+00:00
2014-05-20,640.0,644.0,631.0,639.0,4845,639.0,2026-09-03T19:34:20.131607+00:00
2014-05-21,639.0,648.0,635.0,640.0,4606,640.0,2026-09-03T19:34:20.131607+00:00
2014-05-22,640.0,645.0,630.0,640.0,3716,640.0,2026-09-03T19:34:20.131607+00:00
2014-05-25,640.0,673.0,645.0,650.0,8110,650.0,2026-09-03T19:34:20.131607+00:00
2014-05-26,650.0,660.0,641.0,659.0,8712,659.0,2026-09-03T19:34:20.131607+00:00
2014-05-27,659.0,672.0,650.0,660.0,6168,660.0,2026-09-03T19:34:20.131607+00:00
2014-05-28,660.0,680.0,648.0,670.0,16331,670.0,2026-09-03T19:34:20.131607+00:00
2014-06-01,670.0,689.0,652.0,675.0,14235,675.0,2026-09-03T19:34:20.131607+00:00
2014-06-02,675.0,708.0,674.0,691.0,5875,691.0,2026-09-03T19:34:20.131607+00:00
2014-06-03,691.0,693.0,670.0,671.0,4027,671.0,2026-09-03T19:34:20.131607+00:00
2014-06-04,671.0,684.0,661.0,684.0,4150,684.0,2026-09-03T19:34:20.131607+00:00
2014-06-05,684.0,697.0,675.0,688.0,4755,688.0,2026-09-03T19:34:20.131607+00:00
2014-06-08,688.0,696.0,680.0,689.0,3198,689.0,2026-09-03T19:34:20.131607+00:00
2014-06-09,689.0,691.0,680.0,690.0,3578,690.0,2026-09-03T19:34:20.131607+00:00
2014-06-10,690.0,700.0,680.0,690.0,4805,690.0,2026-09-03T19:34:20.131607+00:00
2014-06-11,690.0,703.0,685.0,697.0,4942,697.0,2026-09-03T19:34:20.131607+00:00
2014-06-12,697.0,701.0,683.0,700.0,3155,700.0,2026-09-03T19:34:20.131607+00:00
2014-06-15,700.0,701.0,690.0,696.0,10976,696.0,2026-09-03T19:34:20.131607+00:00
2014-06-16,696.0,700.0,690.0,691.0,7744,691.0,2026-09-03T19:34:20.131607+00:00
2014-06-17,691.0,699.0,681.0,699.0,5555,699.0,2026-09-03T19:34:20.131607+00:00
2014-06-17,691.0,699.0,681.0,699.0,5555,699.0,2026-09-03T19:34:20.131607+00:00
2014-06-18,699.0,700.0,685.0,690.0,3965,690.0,2026-09-03T19:34:20.131607+00:00
2014-06-19,690.0,695.0,680.0,684.0,1423,684.0,2026-09-03T19:34:20.131607+00:00
2014-06-23,684.0,690.0,668.0,675.0,3820,675.0,2026-09-03T19:34:20.131607+00:00
2014-06-24,675.0,686.0,662.0,680.0,8173,680.0,2026-09-03T19:34:20.131607+00:00
2014-06-25,680.0,693.0,675.0,679.0,4748,679.0,2026-09-03T19:34:20.131607+00:00
2014-06-26,679.0,695.0,684.0,688.0,4227,688.0,2026-09-03T19:34:20.131607+00:00
2014-06-29,688.0,701.0,680.0,690.0,3632,690.0,2026-09-03T19:34:20.131607+00:00
2014-06-30,690.0,703.0,690.0,700.0,8617,700.0,2026-09-03T19:34:20.131607+00:00
2014-07-01,700.0,702.0,694.0,695.0,8616,695.0,2026-09-03T19:34:20.131607+00:00
2014-07-02,695.0,699.0,685.0,699.0,4863,699.0,2026-09-03T19:34:20.131607+00:00
2014-07-03,699.0,765.0,695.0,720.0,23364,720.0,2026-09-03T19:34:20.131607+00:00
2014-07-06,720.0,792.0,708.0,792.0,17498,792.0,2026-09-03T19:34:20.131607+00:00
2014-07-07,792.0,841.0,800.0,826.0,19971,826.0,2026-09-03T19:34:20.131607+00:00
2014-07-08,826.0,871.0,830.0,855.0,8729,855.0,2026-09-03T19:34:20.131607+00:00
2014-07-09,855.0,860.0,825.0,835.0,3931,835.0,2026-09-03T19:34:20.131607+00:00
2014-07-10,835.0,838.0,820.0,833.0,5620,833.0,2026-09-03T19:34:20.131607+00:00
2014-07-13,833.0,849.0,810.0,835.0,8821,835.0,2026-09-03T19:34:20.131607+00:00
2014-07-14,835.0,835.0,810.0,810.0,3288,810.0,2026-09-03T19:34:20.131607+00:00
2014-07-15,810.0,819.0,780.0,795.0,5182,795.0,2026-09-03T19:34:20.131607+00:00
2014-07-16,795.0,810.0,790.0,795.0,16217,795.0,2026-09-03T19:34:20.131607+00:00
2014-07-17,795.0,819.0,795.0,819.0,6154,819.0,2026-09-03T19:34:20.131607+00:00
2014-07-20,819.0,840.0,810.0,840.0,6658,840.0,2026-09-03T19:34:20.131607+00:00
2014-07-21,840.0,840.0,825.0,832.0,5231,832.0,2026-09-03T19:34:20.131607+00:00
2014-07-22,832.0,824.0,800.0,810.0,5518,810.0,2026-09-03T19:34:20.131607+00:00
2014-07-23,810.0,825.0,801.0,815.0,9771,815.0,2026-09-03T19:34:20.131607+00:00
2014-07-24,815.0,820.0,805.0,812.0,12151,812.0,2026-09-03T19:34:20.131607+00:00
2014-07-27,812.0,819.0,800.0,802.0,8650,802.0,2026-09-03T19:34:20.131607+00:00
2014-07-28,802.0,805.0,775.0,800.0,4191,800.0,2026-09-03T19:34:20.131607+00:00
2014-07-30,800.0,810.0,770.0,777.0,8120,777.0,2026-09-03T19:34:20.131607+00:00
2014-07-31,777.0,801.0,777.0,798.0,2555,798.0,2026-09-03T19:34:20.131607+00:00
2014-08-03,798.0,800.0,731.0,770.0,8742,770.0,2026-09-03T19:34:20.131607+00:00
2014-08-04,770.0,783.0,756.0,772.0,4284,772.0,2026-09-03T19:34:20.131607+00:00
2014-08-05,772.0,781.0,752.0,754.0,3757,754.0,2026-09-03T19:34:20.131607+00:00
2014-08-06,754.0,768.0,745.0,745.0,4029,745.0,2026-09-03T19:34:20.131607+00:00
2014-08-07,745.0,765.0,740.0,765.0,7164,765.0,2026-09-03T19:34:20.131607+00:00
2014-08-12,765.0,770.0,750.0,750.0,1342,750.0,2026-09-03T19:34:20.131607+00:00
2014-08-13,750.0,763.0,735.0,735.0,2632,735.0,2026-09-03T19:34:20.131607+00:00
2014-08-14,735.0,750.0,730.0,750.0,23103,750.0,2026-09-03T19:34:20.131607+00:00
2014-08-18,750.0,745.0,725.0,730.0,1394,730.0,2026-09-03T19:34:20.131607+00:00
2014-08-19,730.0,763.0,716.0,731.0,3843,731.0,2026-09-03T19:34:20.131607+00:00
2014-08-20,731.0,731.0,715.0,716.0,3026,716.0,2026-09-03T19:34:20.131607+00:00
2014-08-21,716.0,702.0,655.0,690.0,4090,690.0,2026-09-03T19:34:20.131607+00:00
2014-08-24,690.0,690.0,680.0,685.0,2975,685.0,2026-09-03T19:34:20.131607+00:00
2014-08-25,685.0,685.0,617.0,641.0,2484,641.0,2026-09-03T19:34:20.131607+00:00
2014-08-26,641.0,703.0,653.0,682.0,7383,682.0,2026-09-03T19:34:20.131607+00:00
2014-08-27,682.0,718.0,667.0,693.0,10642,693.0,2026-09-03T19:34:20.131607+00:00
2014-08-28,693.0,708.0,685.0,705.0,10579,705.0,2026-09-03T19:34:20.131607+00:00
2014-08-31,705.0,697.0,670.0,682.0,1532,682.0,2026-09-03T19:34:20.131607+00:00
2014-09-01,682.0,680.0,660.0,680.0,3733,680.0,2026-09-03T19:34:20.131607+00:00
2014-09-03,680.0,680.0,666.0,675.0,1341,675.0,2026-09-03T19:34:20.131607+00:00
2014-09-04,675.0,675.0,650.0,670.0,2091,670.0,2026-09-03T19:34:20.131607+00:00
2014-09-07,670.0,665.0,610.0,610.0,902,610.0,2026-09-03T19:34:20.131607+00:00
2014-09-09,610.0,647.0,603.0,640.0,11273,640.0,2026-09-03T19:34:20.131607+00:00
2014-09-10,640.0,652.0,612.0,645.0,7071,645.0,2026-09-03T19:34:20.131607+00:00
2014-09-11,645.0,673.0,615.0,673.0,4491,673.0,2026-09-03T19:34:20.131607+00:00
2014-09-14,673.0,665.0,616.0,640.0,1709,640.0,2026-09-03T19:34:20.131607+00:00
2014-09-15,640.0,649.0,622.0,640.0,11950,640.0,2026-09-03T19:34:20.131607+00:00
2014-09-16,640.0,646.0,623.0,635.0,4380,635.0,2026-09-03T19:34:20.131607+00:00
2014-09-17,635.0,648.0,630.0,631.0,4181,631.0,2026-09-03T19:34:20.131607+00:00
2014-09-18,631.0,643.0,617.0,625.0,10039,625.0,2026-09-03T19:34:20.131607+00:00
2014-09-21,625.0,615.0,600.0,610.0,5982,610.0,2026-09-03T19:34:20.131607+00:00
2014-09-22,610.0,622.0,595.0,622.0,5378,622.0,2026-09-03T19:34:20.131607+00:00
