date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,307.0,314.0,308.0,314.0,1170,314.0,2026-09-03T19:33:42.385091+00:00
2012-09-10,314.0,324.0,319.0,324.0,500,324.0,2026-09-03T19:33:42.385091+00:00
2012-09-11,324.0,336.0,324.0,336.0,1100,336.0,2026-09-03T19:33:42.385091+00:00
2012-09-12,336.0,364.0,341.0,356.0,1540,356.0,2026-09-03T19:33:42.385091+00:00
2012-09-13,356.0,350.0,350.0,350.0,1000,350.0,2026-09-03T19:33:42.385091+00:00
2012-09-16,350.0,370.0,357.0,370.0,990,370.0,2026-09-03T19:33:42.385091+00:00
2012-09-17,370.0,377.0,377.0,377.0,80,377.0,2026-09-03T19:33:42.385091+00:00
2012-09-18,377.0,384.0,370.0,370.0,230,370.0,2026-09-03T19:33:42.385091+00:00
2012-09-20,370.0,363.0,349.0,349.0,90,349.0,2026-09-03T19:33:42.385091+00:00
2012-09-24,349.0,355.0,355.0,355.0,10,355.0,2026-09-03T19:33:42.385091+00:00
2012-09-25,355.0,348.0,332.0,336.0,1510,336.0,2026-09-03T19:33:42.385091+00:00
2012-09-26,336.0,340.0,330.0,340.0,570,340.0,2026-09-03T19:33:42.385091+00:00
2012-09-30,346.0,373.0,350.0,366.0,2490,366.0,2026-09-03T19:33:42.385091+00:00
2012-10-02,366.0,372.0,365.0,365.0,30,365.0,2026-09-03T19:33:42.385091+00:00
2012-10-03,365.0,358.0,345.0,345.0,110,345.0,2026-09-03T19:33:42.385091+00:00
2012-10-04,345.0,357.0,350.0,357.0,100,357.0,2026-09-03T19:33:42.385091+00:00
2012-10-07,357.0,375.0,364.0,375.0,740,375.0,2026-09-03T19:33:42.385091+00:00
2012-10-08,375.0,375.0,368.0,368.0,850,368.0,2026-09-03T19:33:42.385091+00:00
2012-10-09,368.0,362.0,361.0,361.0,1020,361.0,2026-09-03T19:33:42.385091+00:00
2012-10-10,361.0,368.0,354.0,354.0,70,354.0,2026-09-03T19:33:42.385091+00:00
2012-10-11,354.0,361.0,350.0,354.0,2300,354.0,2026-09-03T19:33:42.385091+00:00
2012-10-14,354.0,352.0,350.0,350.0,350,350.0,2026-09-03T19:33:42.385091+00:00
2012-10-15,350.0,350.0,348.0,348.0,300,348.0,2026-09-03T19:33:42.385091+00:00
2012-10-17,348.0,352.0,352.0,352.0,90,352.0,2026-09-03T19:33:42.385091+00:00
2012-10-18,352.0,381.0,359.0,381.0,200,381.0,2026-09-03T19:33:42.385091+00:00
2012-11-01,381.0,378.0,374.0,378.0,860,378.0,2026-09-03T19:33:42.385091+00:00
2012-11-04,378.0,381.0,377.0,381.0,2750,381.0,2026-09-03T19:33:42.385091+00:00
2012-11-05,381.0,374.0,368.0,368.0,40,368.0,2026-09-03T19:33:42.385091+00:00
2012-11-07,368.0,375.0,375.0,375.0,900,375.0,2026-09-03T19:33:42.385091+00:00
2012-11-08,375.0,400.0,381.0,400.0,1910,400.0,2026-09-03T19:33:42.385091+00:00
2012-11-11,400.0,407.0,407.0,407.0,10,407.0,2026-09-03T19:33:42.385091+00:00
2012-11-12,407.0,405.0,399.0,405.0,380,405.0,2026-09-03T19:33:42.385091+00:00
2012-11-18,405.0,397.0,397.0,397.0,20,397.0,2026-09-03T19:33:42.385091+00:00
2012-11-20,397.0,406.0,404.0,406.0,30,406.0,2026-09-03T19:33:42.385091+00:00
2012-11-21,406.0,398.0,391.0,391.0,1580,391.0,2026-09-03T19:33:42.385091+00:00
2012-11-22,391.0,384.0,384.0,384.0,240,384.0,2026-09-03T19:33:42.385091+00:00
2012-11-25,384.0,384.0,384.0,384.0,70,384.0,2026-09-03T19:33:42.385091+00:00
2012-11-26,384.0,380.0,380.0,380.0,500,380.0,2026-09-03T19:33:42.385091+00:00
2012-11-27,380.0,386.0,372.0,372.0,2090,372.0,2026-09-03T19:33:42.385091+00:00
2012-11-28,372.0,394.0,379.0,394.0,190,394.0,2026-09-03T19:33:42.385091+00:00
2012-11-29,394.0,387.0,387.0,387.0,120,387.0,2026-09-03T19:33:42.385091+00:00
2012-12-03,387.0,380.0,380.0,380.0,100,380.0,2026-09-03T19:33:42.385091+00:00
2012-12-06,380.0,374.0,374.0,374.0,10,374.0,2026-09-03T19:33:42.385091+00:00
2012-12-12,374.0,381.0,381.0,381.0,20,381.0,2026-09-03T19:33:42.385091+00:00
2012-12-13,381.0,388.0,381.0,381.0,150,381.0,2026-09-03T19:33:42.385091+00:00
2012-12-16,381.0,395.0,381.0,395.0,60,395.0,2026-09-03T19:33:42.385091+00:00
2012-12-17,395.0,403.0,394.0,403.0,6050,403.0,2026-09-03T19:33:42.385091+00:00
2012-12-18,403.0,400.0,400.0,400.0,70,400.0,2026-09-03T19:33:42.385091+00:00
2012-12-23,400.0,408.0,408.0,408.0,10,408.0,2026-09-03T19:33:42.385091+00:00
2012-12-24,408.0,408.0,400.0,400.0,2220,400.0,2026-09-03T19:33:42.385091+00:00
2012-12-26,400.0,416.0,405.0,416.0,270,416.0,2026-09-03T19:33:42.385091+00:00
2012-12-27,416.0,409.0,409.0,409.0,100,409.0,2026-09-03T19:33:42.385091+00:00
2013-01-01,409.0,418.0,409.0,410.0,2290,410.0,2026-09-03T19:33:42.385091+00:00
2013-01-02,410.0,402.0,394.0,394.0,11710,394.0,2026-09-03T19:33:42.385091+00:00
2013-01-03,394.0,387.0,387.0,387.0,20,387.0,2026-09-03T19:33:42.385091+00:00
2013-01-07,387.0,424.0,394.0,424.0,190,424.0,2026-09-03T19:33:42.385091+00:00
2013-01-08,424.0,432.0,432.0,432.0,30,432.0,2026-09-03T19:33:42.385091+00:00
2013-01-09,432.0,440.0,439.0,440.0,60,440.0,2026-09-03T19:33:42.385091+00:00
2013-01-10,440.0,452.0,445.0,452.0,270,452.0,2026-09-03T19:33:42.385091+00:00
2013-01-15,452.0,458.0,449.0,449.0,310,449.0,2026-09-03T19:33:42.385091+00:00
2013-01-16,449.0,453.0,445.0,453.0,320,453.0,2026-09-03T19:33:42.385091+00:00
2013-01-17,453.0,461.0,455.0,461.0,40,461.0,2026-09-03T19:33:42.385091+00:00
2013-01-20,461.0,452.0,452.0,452.0,170,452.0,2026-09-03T19:33:42.385091+00:00
2013-01-21,452.0,450.0,450.0,450.0,170,450.0,2026-09-03T19:33:42.385091+00:00
2013-01-23,450.0,450.0,441.0,441.0,1130,441.0,2026-09-03T19:33:42.385091+00:00
2013-01-24,441.0,449.0,435.0,449.0,580,449.0,2026-09-03T19:33:42.385091+00:00
2013-01-27,449.0,450.0,450.0,450.0,30,450.0,2026-09-03T19:33:42.385091+00:00
2013-01-28,450.0,450.0,450.0,450.0,20,450.0,2026-09-03T19:33:42.385091+00:00
2013-01-30,450.0,459.0,459.0,459.0,20,459.0,2026-09-03T19:33:42.385091+00:00
2013-02-04,459.0,464.0,464.0,464.0,30,464.0,2026-09-03T19:33:42.385091+00:00
2013-02-06,464.0,491.0,473.0,491.0,40,491.0,2026-09-03T19:33:42.385091+00:00
2013-02-07,491.0,504.0,494.0,494.0,250,494.0,2026-09-03T19:33:42.385091+00:00
2013-02-10,494.0,502.0,490.0,502.0,90,502.0,2026-09-03T19:33:42.385091+00:00
2013-02-13,502.0,502.0,492.0,502.0,120,502.0,2026-09-03T19:33:42.385091+00:00
2013-02-14,502.0,512.0,512.0,512.0,20,512.0,2026-09-03T19:33:42.385091+00:00
2013-02-17,512.0,518.0,518.0,518.0,100,518.0,2026-09-03T19:33:42.385091+00:00
2013-02-19,518.0,548.0,528.0,548.0,50,548.0,2026-09-03T19:33:42.385091+00:00
2013-02-20,548.0,558.0,558.0,558.0,10,558.0,2026-09-03T19:33:42.385091+00:00
2013-02-21,558.0,565.0,565.0,565.0,10,565.0,2026-09-03T19:33:42.385091+00:00
2013-02-24,565.0,554.0,523.0,523.0,450,523.0,2026-09-03T19:33:42.385091+00:00
2013-02-25,523.0,553.0,533.0,542.0,250,542.0,2026-09-03T19:33:42.385091+00:00
2013-02-26,542.0,542.0,532.0,542.0,220,542.0,2026-09-03T19:33:42.385091+00:00
2013-02-27,542.0,541.0,531.0,531.0,360,531.0,2026-09-03T19:33:42.385091+00:00
2013-02-28,531.0,521.0,515.0,515.0,70,515.0,2026-09-03T19:33:42.385091+00:00
2013-03-03,515.0,518.0,490.0,508.0,1670,508.0,2026-09-03T19:33:42.385091+00:00
2013-03-06,508.0,500.0,500.0,500.0,50,500.0,2026-09-03T19:33:42.385091+00:00
2013-03-07,500.0,500.0,490.0,500.0,2070,500.0,2026-09-03T19:33:42.385091+00:00
2013-03-11,500.0,495.0,495.0,495.0,90,495.0,2026-09-03T19:33:42.385091+00:00
2013-03-13,495.0,495.0,480.0,480.0,960,480.0,2026-09-03T19:33:42.385091+00:00
2013-03-18,480.0,473.0,472.0,473.0,520,473.0,2026-09-03T19:33:42.385091+00:00
2013-03-19,473.0,482.0,482.0,482.0,20,482.0,2026-09-03T19:33:42.385091+00:00
2013-03-20,482.0,475.0,475.0,475.0,300,475.0,2026-09-03T19:33:42.385091+00:00
2013-03-25,475.0,470.0,470.0,470.0,60,470.0,2026-09-03T19:33:42.385091+00:00
2013-03-27,470.0,475.0,465.0,465.0,560,465.0,2026-09-03T19:33:42.385091+00:00
2013-03-28,465.0,460.0,444.0,444.0,1280,444.0,2026-09-03T19:33:42.385091+00:00
2013-04-01,444.0,444.0,444.0,444.0,100,444.0,2026-09-03T19:33:42.385091+00:00
2013-04-02,444.0,451.0,444.0,451.0,450,451.0,2026-09-03T19:33:42.385091+00:00
2013-04-03,451.0,442.0,442.0,442.0,110,442.0,2026-09-03T19:33:42.385091+00:00
2013-04-04,442.0,450.0,442.0,450.0,300,450.0,2026-09-03T19:33:42.385091+00:00
2013-04-07,450.0,455.0,446.0,446.0,90,446.0,2026-09-03T19:33:42.385091+00:00
2013-04-08,446.0,452.0,446.0,452.0,230,452.0,2026-09-03T19:33:42.385091+00:00
2013-04-09,452.0,452.0,452.0,452.0,50,452.0,2026-09-03T19:33:42.385091+00:00
2013-04-11,452.0,460.0,460.0,460.0,100,460.0,2026-09-03T19:33:42.385091+00:00
2013-04-18,460.0,451.0,451.0,451.0,500,451.0,2026-09-03T19:33:42.385091+00:00
2013-04-21,451.0,446.0,437.0,437.0,600,437.0,2026-09-03T19:33:42.385091+00:00
2013-04-22,437.0,429.0,429.0,429.0,10,429.0,2026-09-03T19:33:42.385091+00:00
2013-04-23,429.0,437.0,437.0,437.0,500,437.0,2026-09-03T19:33:42.385091+00:00
2013-04-29,437.0,430.0,429.0,429.0,1000,429.0,2026-09-03T19:33:42.385091+00:00
2013-04-30,429.0,450.0,437.0,450.0,380,450.0,2026-09-03T19:33:42.385091+00:00
2013-05-06,450.0,445.0,441.0,441.0,400,441.0,2026-09-03T19:33:42.385091+00:00
2013-05-08,441.0,433.0,433.0,433.0,100,433.0,2026-09-03T19:33:42.385091+00:00
2013-05-12,433.0,441.0,440.0,440.0,2100,440.0,2026-09-03T19:33:42.385091+00:00
2013-05-13,440.0,447.0,439.0,447.0,460,447.0,2026-09-03T19:33:42.385091+00:00
2013-05-14,447.0,455.0,445.0,445.0,2010,445.0,2026-09-03T19:33:42.385091+00:00
2013-05-15,445.0,450.0,450.0,450.0,100,450.0,2026-09-03T19:33:42.385091+00:00
2013-05-16,450.0,459.0,450.0,450.0,2010,450.0,2026-09-03T19:33:42.385091+00:00
2013-05-19,450.0,487.0,451.0,487.0,1210,487.0,2026-09-03T19:33:42.385091+00:00
2013-05-20,487.0,479.0,470.0,470.0,2470,470.0,2026-09-03T19:33:42.385091+00:00
2013-05-21,470.0,475.0,470.0,470.0,130,470.0,2026-09-03T19:33:42.385091+00:00
2013-05-22,470.0,461.0,461.0,461.0,200,461.0,2026-09-03T19:33:42.385091+00:00
