date,open,high,low,close,volume,adj_close,fetched_at
2012-09-10,175.0,178.0,178.0,178.0,34,178.0,2026-09-03T19:33:49.990958+00:00
2012-09-20,178.0,181.0,181.0,181.0,240,181.0,2026-09-03T19:33:49.990958+00:00
2012-09-24,181.0,181.0,181.0,181.0,80,181.0,2026-09-03T19:33:49.990958+00:00
2012-09-26,181.0,180.0,180.0,180.0,100,180.0,2026-09-03T19:33:49.990958+00:00
2012-09-30,180.0,183.0,183.0,183.0,4000,183.0,2026-09-03T19:33:49.990958+00:00
2012-10-01,183.0,198.0,186.0,198.0,1553,198.0,2026-09-03T19:33:49.990958+00:00
2012-10-01,183.0,198.0,186.0,198.0,1553,198.0,2026-09-03T19:33:49.990958+00:00
2012-10-02,198.0,213.0,201.0,213.0,40,213.0,2026-09-03T19:33:49.990958+00:00
2012-10-03,213.0,217.0,209.0,217.0,120,217.0,2026-09-03T19:33:49.990958+00:00
2012-10-11,217.0,221.0,221.0,221.0,10,221.0,2026-09-03T19:33:49.990958+00:00
2012-10-15,221.0,225.0,225.0,225.0,192,225.0,2026-09-03T19:33:49.990958+00:00
2012-12-13,225.0,225.0,225.0,225.0,790,225.0,2026-09-03T19:33:49.990958+00:00
2012-12-17,225.0,221.0,221.0,221.0,14,221.0,2026-09-03T19:33:49.990958+00:00
2012-12-18,221.0,225.0,225.0,225.0,46,225.0,2026-09-03T19:33:49.990958+00:00
2012-12-19,225.0,225.0,225.0,225.0,183,225.0,2026-09-03T19:33:49.990958+00:00
2013-01-02,225.0,221.0,221.0,221.0,40,221.0,2026-09-03T19:33:49.990958+00:00
2013-01-07,221.0,217.0,217.0,217.0,100,217.0,2026-09-03T19:33:49.990958+00:00
2013-01-31,217.0,213.0,210.0,210.0,108,210.0,2026-09-03T19:33:49.990958+00:00
2013-02-10,210.0,206.0,206.0,206.0,40,206.0,2026-09-03T19:33:49.990958+00:00
2013-02-20,206.0,206.0,202.0,202.0,300,202.0,2026-09-03T19:33:49.990958+00:00
2013-03-27,202.0,198.0,198.0,198.0,40,198.0,2026-09-03T19:33:49.990958+00:00
2013-03-28,198.0,195.0,192.0,192.0,80,192.0,2026-09-03T19:33:49.990958+00:00
2013-04-11,192.0,192.0,192.0,192.0,504,192.0,2026-09-03T19:33:49.990958+00:00
2013-04-16,192.0,189.0,186.0,186.0,600,186.0,2026-09-03T19:33:49.990958+00:00
2013-04-18,186.0,186.0,185.0,185.0,506,185.0,2026-09-03T19:33:49.990958+00:00
2013-04-22,185.0,182.0,182.0,182.0,11,182.0,2026-09-03T19:33:49.990958+00:00
2013-04-30,182.0,179.0,179.0,179.0,40,179.0,2026-09-03T19:33:49.990958+00:00
2013-05-02,179.0,182.0,182.0,182.0,40,182.0,2026-09-03T19:33:49.990958+00:00
2013-05-12,182.0,179.0,179.0,179.0,25,179.0,2026-09-03T19:33:49.990958+00:00
2013-05-21,179.0,176.0,176.0,176.0,80,176.0,2026-09-03T19:33:49.990958+00:00
2013-05-22,176.0,173.0,173.0,173.0,160,173.0,2026-09-03T19:33:49.990958+00:00
2013-05-26,173.0,171.0,171.0,171.0,36,171.0,2026-09-03T19:33:49.990958+00:00
2013-05-27,171.0,168.0,168.0,168.0,120,168.0,2026-09-03T19:33:49.990958+00:00
2013-05-28,168.0,165.0,165.0,165.0,160,165.0,2026-09-03T19:33:49.990958+00:00
2013-06-09,165.0,165.0,162.0,162.0,280,162.0,2026-09-03T19:33:49.990958+00:00
2013-06-27,162.0,171.0,165.0,171.0,120,171.0,2026-09-03T19:33:49.990958+00:00
2013-07-01,171.0,177.0,174.0,177.0,612,177.0,2026-09-03T19:33:49.990958+00:00
2013-07-02,177.0,177.0,177.0,177.0,160,177.0,2026-09-03T19:33:49.990958+00:00
2013-07-03,177.0,180.0,180.0,180.0,40,180.0,2026-09-03T19:33:49.990958+00:00
2013-07-04,180.0,183.0,183.0,183.0,40,183.0,2026-09-03T19:33:49.990958+00:00
2013-07-07,183.0,201.0,186.0,201.0,482,201.0,2026-09-03T19:33:49.990958+00:00
2013-07-08,201.0,221.0,205.0,221.0,6134,221.0,2026-09-03T19:33:49.990958+00:00
2013-07-09,221.0,243.0,225.0,243.0,835,243.0,2026-09-03T19:33:49.990958+00:00
2013-07-10,243.0,256.0,247.0,256.0,59,256.0,2026-09-03T19:33:49.990958+00:00
2013-07-11,256.0,281.0,261.0,281.0,4913,281.0,2026-09-03T19:33:49.990958+00:00
2013-07-14,281.0,286.0,276.0,281.0,525,281.0,2026-09-03T19:33:49.990958+00:00
2013-07-15,281.0,286.0,280.0,284.0,1263,284.0,2026-09-03T19:33:49.990958+00:00
2013-07-16,284.0,285.0,279.0,279.0,3450,279.0,2026-09-03T19:33:49.990958+00:00
2013-07-17,279.0,279.0,279.0,279.0,40,279.0,2026-09-03T19:33:49.990958+00:00
2013-07-18,279.0,280.0,275.0,275.0,813,275.0,2026-09-03T19:33:49.990958+00:00
2013-07-21,275.0,290.0,280.0,285.0,928,285.0,2026-09-03T19:33:49.990958+00:00
2013-07-22,285.0,285.0,280.0,280.0,259,280.0,2026-09-03T19:33:49.990958+00:00
2013-07-23,280.0,280.0,275.0,280.0,185,280.0,2026-09-03T19:33:49.990958+00:00
2013-07-24,280.0,290.0,285.0,290.0,894,290.0,2026-09-03T19:33:49.990958+00:00
2013-07-25,290.0,285.0,280.0,280.0,1000,280.0,2026-09-03T19:33:49.990958+00:00
2013-07-28,280.0,290.0,285.0,290.0,579,290.0,2026-09-03T19:33:49.990958+00:00
2013-07-29,290.0,290.0,285.0,290.0,537,290.0,2026-09-03T19:33:49.990958+00:00
2013-07-30,290.0,290.0,289.0,289.0,1617,289.0,2026-09-03T19:33:49.990958+00:00
2013-07-31,289.0,290.0,285.0,290.0,351,290.0,2026-09-03T19:33:49.990958+00:00
2013-08-01,290.0,300.0,291.0,291.0,351,291.0,2026-09-03T19:33:49.990958+00:00
2013-08-04,291.0,296.0,296.0,296.0,454,296.0,2026-09-03T19:33:49.990958+00:00
2013-08-05,296.0,300.0,300.0,300.0,40,300.0,2026-09-03T19:33:49.990958+00:00
2013-08-07,300.0,294.0,275.0,275.0,392,275.0,2026-09-03T19:33:49.990958+00:00
2013-08-13,275.0,275.0,270.0,275.0,296,275.0,2026-09-03T19:33:49.990958+00:00
2013-08-14,275.0,276.0,275.0,275.0,2518,275.0,2026-09-03T19:33:49.990958+00:00
2013-08-15,275.0,285.0,280.0,285.0,140,285.0,2026-09-03T19:33:49.990958+00:00
2013-08-18,285.0,285.0,276.0,276.0,641,276.0,2026-09-03T19:33:49.990958+00:00
2013-08-20,276.0,271.0,271.0,271.0,36,271.0,2026-09-03T19:33:49.990958+00:00
2013-08-25,271.0,281.0,276.0,281.0,3896,281.0,2026-09-03T19:33:49.990958+00:00
2013-08-26,281.0,286.0,285.0,285.0,2740,285.0,2026-09-03T19:33:49.990958+00:00
2013-08-27,285.0,290.0,290.0,290.0,240,290.0,2026-09-03T19:33:49.990958+00:00
2013-09-01,290.0,285.0,285.0,285.0,80,285.0,2026-09-03T19:33:49.990958+00:00
2013-09-02,285.0,290.0,290.0,290.0,36,290.0,2026-09-03T19:33:49.990958+00:00
2013-09-03,290.0,285.0,285.0,285.0,125,285.0,2026-09-03T19:33:49.990958+00:00
2013-09-04,285.0,280.0,280.0,280.0,500,280.0,2026-09-03T19:33:49.990958+00:00
2013-09-09,280.0,275.0,275.0,275.0,80,275.0,2026-09-03T19:33:49.990958+00:00
2013-09-11,275.0,271.0,265.0,265.0,296,265.0,2026-09-03T19:33:49.990958+00:00
2013-09-15,265.0,260.0,255.0,255.0,46,255.0,2026-09-03T19:33:49.990958+00:00
2013-09-16,255.0,265.0,260.0,265.0,5579,265.0,2026-09-03T19:33:49.990958+00:00
2013-09-17,265.0,275.0,270.0,275.0,6101,275.0,2026-09-03T19:33:49.990958+00:00
2013-09-19,275.0,280.0,275.0,275.0,186,275.0,2026-09-03T19:33:49.990958+00:00
2013-09-30,275.0,288.0,288.0,288.0,10,288.0,2026-09-03T19:33:49.990958+00:00
2013-10-07,288.0,289.0,289.0,289.0,38,289.0,2026-09-03T19:33:49.990958+00:00
2013-10-08,289.0,284.0,284.0,284.0,48,284.0,2026-09-03T19:33:49.990958+00:00
2013-10-17,284.0,298.0,298.0,298.0,10,298.0,2026-09-03T19:33:49.990958+00:00
2013-10-29,298.0,293.0,293.0,293.0,70,293.0,2026-09-03T19:33:49.990958+00:00
2013-10-30,293.0,288.0,288.0,288.0,80,288.0,2026-09-03T19:33:49.990958+00:00
2013-11-06,288.0,285.0,280.0,285.0,390,285.0,2026-09-03T19:33:49.990958+00:00
2013-11-10,285.0,295.0,285.0,295.0,258,295.0,2026-09-03T19:33:49.990958+00:00
2013-11-12,295.0,295.0,295.0,295.0,80,295.0,2026-09-03T19:33:49.990958+00:00
2013-11-13,295.0,312.0,300.0,312.0,615,312.0,2026-09-03T19:33:49.990958+00:00
2013-11-14,312.0,312.0,308.0,308.0,7238,308.0,2026-09-03T19:33:49.990958+00:00
2013-12-05,280.0,285.0,285.0,285.0,20,285.0,2026-09-03T19:33:49.990958+00:00
2013-12-09,285.0,295.0,290.0,295.0,20,295.0,2026-09-03T19:33:49.990958+00:00
2013-12-10,295.0,330.0,300.0,330.0,100,330.0,2026-09-03T19:33:49.990958+00:00
2013-12-11,318.0,324.0,324.0,324.0,68,324.0,2026-09-03T19:33:49.990958+00:00
2013-12-12,324.0,336.0,330.0,336.0,839,336.0,2026-09-03T19:33:49.990958+00:00
2013-12-16,336.0,342.0,342.0,342.0,10,342.0,2026-09-03T19:33:49.990958+00:00
2013-12-18,342.0,348.0,348.0,348.0,188,348.0,2026-09-03T19:33:49.990958+00:00
2013-12-19,348.0,361.0,354.0,361.0,1515,361.0,2026-09-03T19:33:49.990958+00:00
2013-12-22,361.0,397.0,368.0,397.0,5028,397.0,2026-09-03T19:33:49.990958+00:00
2013-12-23,397.0,436.0,404.0,436.0,7372,436.0,2026-09-03T19:33:49.990958+00:00
2013-12-24,436.0,470.0,444.0,465.0,2400,465.0,2026-09-03T19:33:49.990958+00:00
2013-12-26,465.0,456.0,450.0,450.0,1200,450.0,2026-09-03T19:33:49.990958+00:00
2013-12-29,450.0,450.0,441.0,449.0,1070,449.0,2026-09-03T19:33:49.990958+00:00
2013-12-31,449.0,441.0,435.0,435.0,468,435.0,2026-09-03T19:33:49.990958+00:00
2014-01-01,435.0,427.0,419.0,419.0,320,419.0,2026-09-03T19:33:49.990958+00:00
2014-01-05,419.0,425.0,420.0,420.0,840,420.0,2026-09-03T19:33:49.990958+00:00
2014-01-06,420.0,415.0,415.0,415.0,420,415.0,2026-09-03T19:33:49.990958+00:00
2014-01-07,415.0,413.0,400.0,413.0,11100,413.0,2026-09-03T19:33:49.990958+00:00
2014-01-08,413.0,425.0,421.0,425.0,2022,425.0,2026-09-03T19:33:49.990958+00:00
2014-01-09,425.0,425.0,425.0,425.0,1000,425.0,2026-09-03T19:33:49.990958+00:00
2014-01-12,425.0,433.0,425.0,433.0,1500,433.0,2026-09-03T19:33:49.990958+00:00
2014-01-13,433.0,425.0,425.0,425.0,40,425.0,2026-09-03T19:33:49.990958+00:00
2014-01-14,425.0,426.0,426.0,426.0,38,426.0,2026-09-03T19:33:49.990958+00:00
2014-01-23,426.0,420.0,420.0,420.0,160,420.0,2026-09-03T19:33:49.990958+00:00
2014-01-26,420.0,445.0,428.0,440.0,3456,440.0,2026-09-03T19:33:49.990958+00:00
2014-01-27,440.0,465.0,440.0,465.0,351,465.0,2026-09-03T19:33:49.990958+00:00
2014-01-28,465.0,470.0,470.0,470.0,1000,470.0,2026-09-03T19:33:49.990958+00:00
2014-01-29,470.0,480.0,472.0,479.0,2152,479.0,2026-09-03T19:33:49.990958+00:00
2014-02-02,479.0,488.0,475.0,475.0,6420,475.0,2026-09-03T19:33:49.990958+00:00
2014-02-06,475.0,474.0,470.0,470.0,307,470.0,2026-09-03T19:33:49.990958+00:00
2014-02-11,470.0,487.0,469.0,487.0,2044,487.0,2026-09-03T19:33:49.990958+00:00
2014-02-13,487.0,478.0,478.0,478.0,20,478.0,2026-09-03T19:33:49.990958+00:00
2014-02-17,478.0,496.0,469.0,496.0,378,496.0,2026-09-03T19:33:49.990958+00:00
2014-02-20,496.0,499.0,499.0,499.0,50,499.0,2026-09-03T19:33:49.990958+00:00
2014-02-26,499.0,508.0,498.0,498.0,384,498.0,2026-09-03T19:33:49.990958+00:00
2014-03-03,498.0,498.0,498.0,498.0,308,498.0,2026-09-03T19:33:49.990958+00:00
2014-03-23,498.0,489.0,489.0,489.0,191,489.0,2026-09-03T19:33:49.990958+00:00
2014-03-24,489.0,480.0,480.0,480.0,1335,480.0,2026-09-03T19:33:49.990958+00:00
