date,open,high,low,close,volume,adj_close,fetched_at
2024-01-04,8.42,8.42,8.42,8.42,150000,8.42,2026-09-03T19:36:33.732707+00:00
2024-01-31,10.0,10.0,10.0,10.0,100,10.0,2026-09-03T19:36:33.732707+00:00
2024-02-05,9.81,9.81,9.81,9.81,500,9.81,2026-09-03T19:36:33.732707+00:00
2024-02-07,9.62,9.62,9.43,9.43,200,9.43,2026-09-03T19:36:33.732707+00:00
2024-02-08,9.25,9.25,8.48,8.49,15850,8.49,2026-09-03T19:36:33.732707+00:00
2024-02-11,8.36,8.6,8.36,8.6,9450,8.6,2026-09-03T19:36:33.732707+00:00
2024-02-12,8.43,8.45,8.3,8.36,5800,8.36,2026-09-03T19:36:33.732707+00:00
2024-02-13,8.36,8.5,8.35,8.35,3150,8.35,2026-09-03T19:36:33.732707+00:00
2024-02-14,8.35,8.39,8.35,8.39,2300,8.39,2026-09-03T19:36:33.732707+00:00
2024-02-15,8.23,8.39,8.23,8.3,875,8.3,2026-09-03T19:36:33.732707+00:00
2024-02-18,8.17,8.21,8.0,8.1,2400,8.1,2026-09-03T19:36:33.732707+00:00
2024-02-20,7.99,8.77,7.99,8.77,2500,8.77,2026-09-03T19:36:33.732707+00:00
2024-02-21,8.94,9.0,8.48,8.77,12475,8.77,2026-09-03T19:36:33.732707+00:00
2024-02-22,8.77,8.93,8.77,8.89,1300,8.89,2026-09-03T19:36:33.732707+00:00
2024-02-25,8.99,9.18,8.99,9.0,6225,9.0,2026-09-03T19:36:33.732707+00:00
2024-02-26,9.0,9.36,9.0,9.36,700,9.36,2026-09-03T19:36:33.732707+00:00
2024-03-05,9.18,9.18,9.18,9.18,1000,9.18,2026-09-03T19:36:33.732707+00:00
2024-03-14,9.0,9.0,8.85,8.85,4110,8.85,2026-09-03T19:36:33.732707+00:00
2024-03-18,8.68,9.04,8.68,9.04,47025,9.04,2026-09-03T19:36:33.732707+00:00
2024-03-20,8.86,8.86,8.17,8.31,3100,8.31,2026-09-03T19:36:33.732707+00:00
2024-03-21,8.31,8.33,8.31,8.33,800,8.33,2026-09-03T19:36:33.732707+00:00
2024-03-25,8.32,8.34,8.32,8.32,1660,8.32,2026-09-03T19:36:33.732707+00:00
2024-03-26,8.32,8.32,8.32,8.32,900,8.32,2026-09-03T19:36:33.732707+00:00
2024-03-27,8.35,8.4,8.32,8.32,1200,8.32,2026-09-03T19:36:33.732707+00:00
2024-03-28,8.37,8.5,8.37,8.37,2200,8.37,2026-09-03T19:36:33.732707+00:00
2024-03-31,8.31,8.7,8.31,8.31,4300,8.31,2026-09-03T19:36:33.732707+00:00
2024-04-01,8.15,8.31,8.15,8.18,600,8.18,2026-09-03T19:36:33.732707+00:00
2024-04-02,8.1,8.18,8.06,8.18,1600,8.18,2026-09-03T19:36:33.732707+00:00
2024-04-03,8.02,8.1,8.02,8.1,2450,8.1,2026-09-03T19:36:33.732707+00:00
2024-04-04,8.0,8.37,8.0,8.37,600,8.37,2026-09-03T19:36:33.732707+00:00
2024-04-07,8.21,8.22,8.06,8.22,400,8.22,2026-09-03T19:36:33.732707+00:00
2024-04-09,8.09,8.12,8.09,8.12,200,8.12,2026-09-03T19:36:33.732707+00:00
2024-04-10,8.1,8.64,7.99,8.64,3300,8.64,2026-09-03T19:36:33.732707+00:00
2024-04-14,8.48,8.48,8.47,8.47,700,8.47,2026-09-03T19:36:33.732707+00:00
2024-04-15,8.31,8.47,8.31,8.47,500,8.47,2026-09-03T19:36:33.732707+00:00
2024-04-16,8.31,8.47,8.31,8.47,1000,8.47,2026-09-03T19:36:33.732707+00:00
2024-04-18,8.63,8.63,8.46,8.46,1050,8.46,2026-09-03T19:36:33.732707+00:00
2024-04-21,8.4,8.4,8.24,8.24,600,8.24,2026-09-03T19:36:33.732707+00:00
2024-04-22,8.24,8.24,8.08,8.08,400,8.08,2026-09-03T19:36:33.732707+00:00
2024-04-24,8.0,8.02,8.0,8.02,1400,8.02,2026-09-03T19:36:33.732707+00:00
2024-04-25,7.86,8.01,7.86,7.98,1010,7.98,2026-09-03T19:36:33.732707+00:00
2024-04-28,7.97,8.0,7.9,8.0,500,8.0,2026-09-03T19:36:33.732707+00:00
2024-04-29,7.9,8.18,7.9,8.03,2575,8.03,2026-09-03T19:36:33.732707+00:00
2024-04-30,8.02,8.05,8.02,8.03,5500,8.03,2026-09-03T19:36:33.732707+00:00
2024-05-02,8.06,8.17,8.06,8.08,2000,8.08,2026-09-03T19:36:33.732707+00:00
2024-05-05,8.1,8.28,8.1,8.28,1400,8.28,2026-09-03T19:36:33.732707+00:00
2024-05-06,8.28,8.55,8.28,8.55,2900,8.55,2026-09-03T19:36:33.732707+00:00
2024-05-07,8.72,8.72,8.55,8.72,750,8.72,2026-09-03T19:36:33.732707+00:00
2024-05-08,8.89,9.0,8.65,8.82,750,8.82,2026-09-03T19:36:33.732707+00:00
2024-05-09,8.96,8.96,8.9,8.9,200,8.9,2026-09-03T19:36:33.732707+00:00
2024-05-14,8.73,8.95,8.7,8.95,1500,8.95,2026-09-03T19:36:33.732707+00:00
