date,open,high,low,close,volume,adj_close,fetched_at
2022-11-15,350.5,364.6,315.5,321.0,59590,321.0,2026-09-03T19:36:12.437659+00:00
2022-11-16,327.4,353.1,327.4,353.1,23650,353.1,2026-09-03T19:36:12.437659+00:00
2022-11-17,360.1,388.4,360.1,388.4,3150,388.4,2026-09-03T19:36:12.437659+00:00
2022-11-22,396.1,396.1,355.1,371.0,49629,371.0,2026-09-03T19:36:12.437659+00:00
2022-11-23,365.0,371.0,365.0,369.0,17258,369.0,2026-09-03T19:36:12.437659+00:00
2022-11-24,364.0,370.0,357.1,369.0,17640,369.0,2026-09-03T19:36:12.437659+00:00
2022-11-27,369.0,372.0,362.1,368.7,15542,368.7,2026-09-03T19:36:12.437659+00:00
2022-11-28,365.0,376.4,365.0,365.0,9213,365.0,2026-09-03T19:36:12.437659+00:00
2022-11-29,362.6,366.8,362.6,365.0,7570,365.0,2026-09-03T19:36:12.437659+00:00
2022-11-30,362.6,369.0,358.0,360.0,5590,360.0,2026-09-03T19:36:12.437659+00:00
2022-12-01,360.0,360.3,354.0,360.3,6355,360.3,2026-09-03T19:36:12.437659+00:00
2022-12-04,361.0,382.0,361.0,373.3,14335,373.3,2026-09-03T19:36:12.437659+00:00
2022-12-05,366.0,382.0,366.0,370.1,20311,370.1,2026-09-03T19:36:12.437659+00:00
2022-12-06,364.0,372.0,361.3,365.0,7995,365.0,2026-09-03T19:36:12.437659+00:00
2022-12-07,360.1,372.3,359.0,365.0,12303,365.0,2026-09-03T19:36:12.437659+00:00
2022-12-11,359.1,370.9,358.0,364.0,17457,364.0,2026-09-03T19:36:12.437659+00:00
2022-12-12,357.0,373.0,357.0,373.0,12190,373.0,2026-09-03T19:36:12.437659+00:00
2022-12-13,370.0,379.9,370.0,378.0,12480,378.0,2026-09-03T19:36:12.437659+00:00
2022-12-14,370.5,380.0,370.5,379.0,16964,379.0,2026-09-03T19:36:12.437659+00:00
2022-12-15,375.0,382.0,373.4,374.3,6711,374.3,2026-09-03T19:36:12.437659+00:00
2022-12-18,367.0,370.2,359.8,370.0,6700,370.0,2026-09-03T19:36:12.437659+00:00
2022-12-19,364.0,370.0,360.1,370.0,5916,370.0,2026-09-03T19:36:12.437659+00:00
2022-12-20,363.0,375.0,363.0,371.9,5703,371.9,2026-09-03T19:36:12.437659+00:00
2022-12-21,364.5,369.0,364.5,366.0,2070,366.0,2026-09-03T19:36:12.437659+00:00
2022-12-22,361.0,368.0,361.0,367.0,5740,367.0,2026-09-03T19:36:12.437659+00:00
2022-12-26,362.1,380.0,362.1,376.0,5965,376.0,2026-09-03T19:36:12.437659+00:00
2022-12-27,376.0,388.5,371.4,376.7,16396,376.7,2026-09-03T19:36:12.437659+00:00
2022-12-28,371.2,384.2,371.2,378.0,6903,378.0,2026-09-03T19:36:12.437659+00:00
