date,open,high,low,close,volume,adj_close,fetched_at
2014-02-24,124.0,130.0,126.0,130.0,2480,130.0,2026-09-03T19:34:17.075347+00:00
2014-02-25,130.0,134.0,132.0,132.0,2500,132.0,2026-09-03T19:34:17.075347+00:00
2014-02-26,132.0,130.0,128.0,130.0,1400,130.0,2026-09-03T19:34:17.075347+00:00
2014-03-05,130.0,136.0,132.0,136.0,1330,136.0,2026-09-03T19:34:17.075347+00:00
2014-03-06,136.0,136.0,136.0,136.0,1000,136.0,2026-09-03T19:34:17.075347+00:00
2014-03-09,136.0,140.0,134.0,140.0,2580,140.0,2026-09-03T19:34:17.075347+00:00
2014-03-10,140.0,148.0,142.0,148.0,2620,148.0,2026-09-03T19:34:17.075347+00:00
2014-03-11,148.0,159.0,150.0,159.0,1800,159.0,2026-09-03T19:34:17.075347+00:00
2014-03-12,159.0,163.0,159.0,159.0,720,159.0,2026-09-03T19:34:17.075347+00:00
2014-03-13,159.0,158.0,158.0,158.0,1000,158.0,2026-09-03T19:34:17.075347+00:00
2014-03-17,158.0,161.0,157.0,157.0,2380,157.0,2026-09-03T19:34:17.075347+00:00
2014-03-19,157.0,154.0,151.0,151.0,750,151.0,2026-09-03T19:34:17.075347+00:00
2014-03-20,151.0,148.0,140.0,140.0,3820,140.0,2026-09-03T19:34:17.075347+00:00
2014-03-24,140.0,138.0,136.0,136.0,810,136.0,2026-09-03T19:34:17.075347+00:00
2014-03-25,136.0,136.0,134.0,136.0,610,136.0,2026-09-03T19:34:17.075347+00:00
2014-03-31,136.0,134.0,134.0,134.0,310,134.0,2026-09-03T19:34:17.075347+00:00
2014-04-01,134.0,132.0,130.0,130.0,3910,130.0,2026-09-03T19:34:17.075347+00:00
2014-04-03,130.0,128.0,128.0,128.0,500,128.0,2026-09-03T19:34:17.075347+00:00
2014-04-09,128.0,126.0,122.0,122.0,930,122.0,2026-09-03T19:34:17.075347+00:00
2014-04-13,122.0,124.0,124.0,124.0,70,124.0,2026-09-03T19:34:17.075347+00:00
2014-04-15,124.0,126.0,126.0,126.0,250,126.0,2026-09-03T19:34:17.075347+00:00
2014-04-16,126.0,130.0,128.0,130.0,700,130.0,2026-09-03T19:34:17.075347+00:00
2014-04-17,130.0,128.0,124.0,124.0,900,124.0,2026-09-03T19:34:17.075347+00:00
2014-04-21,124.0,122.0,122.0,122.0,1050,122.0,2026-09-03T19:34:17.075347+00:00
2014-04-23,122.0,124.0,124.0,124.0,1200,124.0,2026-09-03T19:34:17.075347+00:00
2014-04-28,124.0,126.0,126.0,126.0,1000,126.0,2026-09-03T19:34:17.075347+00:00
2014-05-05,126.0,128.0,126.0,128.0,1110,128.0,2026-09-03T19:34:17.075347+00:00
2014-05-08,128.0,126.0,126.0,126.0,210,126.0,2026-09-03T19:34:17.075347+00:00
2014-05-18,126.0,128.0,128.0,128.0,350,128.0,2026-09-03T19:34:17.075347+00:00
2014-05-19,128.0,126.0,126.0,126.0,200,126.0,2026-09-03T19:34:17.075347+00:00
2014-05-22,126.0,128.0,128.0,128.0,750,128.0,2026-09-03T19:34:17.075347+00:00
2014-05-25,128.0,132.0,130.0,132.0,700,132.0,2026-09-03T19:34:17.075347+00:00
2014-05-28,132.0,136.0,134.0,136.0,210,136.0,2026-09-03T19:34:17.075347+00:00
2014-06-02,136.0,134.0,134.0,134.0,1000,134.0,2026-09-03T19:34:17.075347+00:00
2014-06-03,134.0,136.0,132.0,136.0,1990,136.0,2026-09-03T19:34:17.075347+00:00
2014-06-05,136.0,140.0,138.0,140.0,100,140.0,2026-09-03T19:34:17.075347+00:00
2014-06-10,140.0,142.0,142.0,142.0,500,142.0,2026-09-03T19:34:17.075347+00:00
2014-06-18,142.0,140.0,140.0,140.0,110,140.0,2026-09-03T19:34:17.075347+00:00
2014-06-26,140.0,140.0,138.0,140.0,550,140.0,2026-09-03T19:34:17.075347+00:00
2014-06-29,140.0,138.0,138.0,138.0,500,138.0,2026-09-03T19:34:17.075347+00:00
2014-06-30,138.0,140.0,140.0,140.0,500,140.0,2026-09-03T19:34:17.075347+00:00
2014-07-02,140.0,148.0,142.0,146.0,5060,146.0,2026-09-03T19:34:17.075347+00:00
2014-07-03,146.0,148.0,148.0,148.0,60,148.0,2026-09-03T19:34:17.075347+00:00
2014-07-06,148.0,148.0,148.0,148.0,1000,148.0,2026-09-03T19:34:17.075347+00:00
2014-07-07,148.0,161.0,150.0,159.0,1880,159.0,2026-09-03T19:34:17.075347+00:00
2014-07-08,159.0,162.0,159.0,160.0,1040,160.0,2026-09-03T19:34:17.075347+00:00
2014-07-09,160.0,163.0,157.0,157.0,3660,157.0,2026-09-03T19:34:17.075347+00:00
2014-07-10,157.0,155.0,154.0,155.0,1400,155.0,2026-09-03T19:34:17.075347+00:00
2014-07-13,155.0,161.0,158.0,161.0,200,161.0,2026-09-03T19:34:17.075347+00:00
2014-07-14,161.0,165.0,160.0,165.0,1870,165.0,2026-09-03T19:34:17.075347+00:00
2014-07-15,165.0,165.0,162.0,162.0,1760,162.0,2026-09-03T19:34:17.075347+00:00
2014-07-16,162.0,162.0,160.0,160.0,3090,160.0,2026-09-03T19:34:17.075347+00:00
2014-07-17,160.0,163.0,162.0,163.0,2710,163.0,2026-09-03T19:34:17.075347+00:00
2014-07-20,163.0,169.0,166.0,169.0,660,169.0,2026-09-03T19:34:17.075347+00:00
2014-07-23,169.0,177.0,172.0,177.0,12110,177.0,2026-09-03T19:34:17.075347+00:00
2014-07-24,177.0,180.0,180.0,180.0,100,180.0,2026-09-03T19:34:17.075347+00:00
2014-07-27,180.0,198.0,183.0,198.0,1000,198.0,2026-09-03T19:34:17.075347+00:00
2014-07-28,198.0,217.0,201.0,217.0,500,217.0,2026-09-03T19:34:17.075347+00:00
2014-07-30,217.0,238.0,221.0,238.0,6630,238.0,2026-09-03T19:34:17.075347+00:00
2014-07-31,238.0,261.0,240.0,261.0,14740,261.0,2026-09-03T19:34:17.075347+00:00
2014-08-03,261.0,260.0,255.0,260.0,1950,260.0,2026-09-03T19:34:17.075347+00:00
2014-08-04,260.0,265.0,255.0,255.0,1200,255.0,2026-09-03T19:34:17.075347+00:00
2014-08-05,255.0,253.0,247.0,247.0,400,247.0,2026-09-03T19:34:17.075347+00:00
2014-08-06,247.0,243.0,243.0,243.0,100,243.0,2026-09-03T19:34:17.075347+00:00
2014-08-13,243.0,239.0,239.0,239.0,930,239.0,2026-09-03T19:34:17.075347+00:00
2014-09-01,239.0,235.0,235.0,235.0,1000,235.0,2026-09-03T19:34:17.075347+00:00
2014-09-03,235.0,231.0,231.0,231.0,1000,231.0,2026-09-03T19:34:17.075347+00:00
2014-10-09,231.0,227.0,223.0,223.0,5100,223.0,2026-09-03T19:34:17.075347+00:00
2014-11-23,223.0,219.0,219.0,219.0,200,219.0,2026-09-03T19:34:17.075347+00:00
2014-12-02,219.0,215.0,215.0,215.0,50,215.0,2026-09-03T19:34:17.075347+00:00
2015-01-07,215.0,211.0,207.0,207.0,260,207.0,2026-09-03T19:34:17.075347+00:00
2015-01-11,207.0,203.0,203.0,203.0,600,203.0,2026-09-03T19:34:17.075347+00:00
2015-01-12,203.0,199.0,199.0,199.0,200,199.0,2026-09-03T19:34:17.075347+00:00
2015-01-14,199.0,200.0,190.0,196.0,23550,196.0,2026-09-03T19:34:17.075347+00:00
2015-01-26,182.0,192.0,180.0,192.0,2040,192.0,2026-09-03T19:34:17.075347+00:00
2015-01-27,192.0,201.0,195.0,201.0,520,201.0,2026-09-03T19:34:17.075347+00:00
2015-01-28,201.0,221.0,205.0,221.0,890,221.0,2026-09-03T19:34:17.075347+00:00
2015-01-29,221.0,243.0,225.0,242.0,7080,242.0,2026-09-03T19:34:17.075347+00:00
2015-02-01,242.0,255.0,245.0,245.0,1110,245.0,2026-09-03T19:34:17.075347+00:00
2015-02-02,245.0,241.0,236.0,236.0,4650,236.0,2026-09-03T19:34:17.075347+00:00
2015-02-08,236.0,232.0,224.0,224.0,1500,224.0,2026-09-03T19:34:17.075347+00:00
2015-02-09,224.0,220.0,216.0,216.0,260,216.0,2026-09-03T19:34:17.075347+00:00
2015-02-10,216.0,216.0,212.0,212.0,1500,212.0,2026-09-03T19:34:17.075347+00:00
2015-02-11,212.0,220.0,212.0,220.0,3470,220.0,2026-09-03T19:34:17.075347+00:00
2015-02-12,220.0,242.0,224.0,242.0,1330,242.0,2026-09-03T19:34:17.075347+00:00
2015-02-15,242.0,266.0,242.0,266.0,17320,266.0,2026-09-03T19:34:17.075347+00:00
2015-02-16,266.0,265.0,251.0,251.0,1850,251.0,2026-09-03T19:34:17.075347+00:00
2015-02-16,266.0,265.0,251.0,251.0,1850,251.0,2026-09-03T19:34:17.075347+00:00
2015-02-18,251.0,248.0,245.0,245.0,2470,245.0,2026-09-03T19:34:17.075347+00:00
2015-02-22,245.0,249.0,242.0,242.0,3730,242.0,2026-09-03T19:34:17.075347+00:00
2015-02-23,242.0,242.0,238.0,242.0,3450,242.0,2026-09-03T19:34:17.075347+00:00
2015-02-24,242.0,238.0,238.0,238.0,100,238.0,2026-09-03T19:34:17.075347+00:00
2015-02-25,238.0,234.0,229.0,230.0,2600,230.0,2026-09-03T19:34:17.075347+00:00
2015-02-26,230.0,238.0,234.0,234.0,4500,234.0,2026-09-03T19:34:17.075347+00:00
2015-03-01,234.0,238.0,230.0,238.0,5830,238.0,2026-09-03T19:34:17.075347+00:00
2015-03-02,238.0,257.0,240.0,257.0,4010,257.0,2026-09-03T19:34:17.075347+00:00
2015-03-03,257.0,253.0,253.0,253.0,2000,253.0,2026-09-03T19:34:17.075347+00:00
2015-03-04,253.0,252.0,248.0,252.0,510,252.0,2026-09-03T19:34:17.075347+00:00
2015-03-09,252.0,252.0,245.0,245.0,3700,245.0,2026-09-03T19:34:17.075347+00:00
2015-03-10,245.0,242.0,240.0,242.0,9560,242.0,2026-09-03T19:34:17.075347+00:00
2015-03-11,242.0,238.0,238.0,238.0,10,238.0,2026-09-03T19:34:17.075347+00:00
2015-03-12,238.0,250.0,236.0,250.0,7600,250.0,2026-09-03T19:34:17.075347+00:00
2015-03-15,250.0,246.0,246.0,246.0,1000,246.0,2026-09-03T19:34:17.075347+00:00
2015-03-17,246.0,242.0,242.0,242.0,400,242.0,2026-09-03T19:34:17.075347+00:00
2015-03-22,242.0,238.0,234.0,234.0,1800,234.0,2026-09-03T19:34:17.075347+00:00
2015-03-23,234.0,241.0,237.0,239.0,1050,239.0,2026-09-03T19:34:17.075347+00:00
2015-03-25,239.0,235.0,231.0,231.0,546,231.0,2026-09-03T19:34:17.075347+00:00
2015-03-31,231.0,239.0,235.0,239.0,2274,239.0,2026-09-03T19:34:17.075347+00:00
2015-04-01,239.0,236.0,235.0,235.0,610,235.0,2026-09-03T19:34:17.075347+00:00
2015-04-07,235.0,231.0,231.0,231.0,1000,231.0,2026-09-03T19:34:17.075347+00:00
2015-04-08,231.0,235.0,235.0,235.0,100,235.0,2026-09-03T19:34:17.075347+00:00
2015-04-09,235.0,234.0,230.0,230.0,1100,230.0,2026-09-03T19:34:17.075347+00:00
2015-04-12,230.0,232.0,232.0,232.0,1000,232.0,2026-09-03T19:34:17.075347+00:00
2015-04-20,232.0,235.0,227.0,227.0,1250,227.0,2026-09-03T19:34:17.075347+00:00
